alias	categoryCode	target_type	alias_type	locale	confidence	notes
roku	TECH.TV_HOME_THEATER	STREAMING_DEVICE	TYPE_ALIAS	ru	0.9	direct type alias
shield tv	TECH.TV_HOME_THEATER	STREAMING_DEVICE	TYPE_ALIAS	ru	0.9	direct type alias
тв бокс	TECH.TV_HOME_THEATER	TV_BOX	TYPE_ALIAS	ru	0.9	direct type alias
tv box	TECH.TV_HOME_THEATER	TV_BOX	TYPE_ALIAS	ru	0.9	direct type alias
android tv box	TECH.TV_HOME_THEATER	TV_BOX	TYPE_ALIAS	ru	0.9	direct type alias
андроид приставка	TECH.TV_HOME_THEATER	TV_BOX	TYPE_ALIAS	ru	0.9	direct type alias
медиабокс	TECH.TV_HOME_THEATER	TV_BOX	TYPE_ALIAS	ru	0.9	direct type alias
домашний кинотеатр	TECH.TV_HOME_THEATER	HOME_THEATER_SYSTEM	TYPE_ALIAS	ru	0.9	direct type alias
комплект домашнего кинотеатра	TECH.TV_HOME_THEATER	HOME_THEATER_SYSTEM	TYPE_ALIAS	ru	0.9	direct type alias
5.1 комплект	TECH.TV_HOME_THEATER	HOME_THEATER_SYSTEM	TYPE_ALIAS	ru	0.9	direct type alias
home theater	TECH.TV_HOME_THEATER	HOME_THEATER_SYSTEM	TYPE_ALIAS	ru	0.9	direct type alias
av ресивер	TECH.TV_HOME_THEATER	AV_RECEIVER	TYPE_ALIAS	ru	0.9	direct type alias
ав ресивер	TECH.TV_HOME_THEATER	AV_RECEIVER	TYPE_ALIAS	ru	0.9	direct type alias
ресивер домашний кинотеатр	TECH.TV_HOME_THEATER	AV_RECEIVER	TYPE_ALIAS	ru	0.9	direct type alias
denon ресивер	TECH.TV_HOME_THEATER	AV_RECEIVER	TYPE_ALIAS	ru	0.9	direct type alias
yamaha ресивер	TECH.TV_HOME_THEATER	AV_RECEIVER	TYPE_ALIAS	ru	0.9	direct type alias
blu ray плеер	TECH.TV_HOME_THEATER	DVD_BLU_RAY_PLAYER	TYPE_ALIAS	ru	0.9	direct type alias
блюрей плеер	TECH.TV_HOME_THEATER	DVD_BLU_RAY_PLAYER	TYPE_ALIAS	ru	0.9	direct type alias
dvd плеер	TECH.TV_HOME_THEATER	DVD_BLU_RAY_PLAYER	TYPE_ALIAS	ru	0.9	direct type alias
uhd blu ray	TECH.TV_HOME_THEATER	DVD_BLU_RAY_PLAYER	TYPE_ALIAS	ru	0.9	direct type alias
4k blu-ray player	TECH.TV_HOME_THEATER	DVD_BLU_RAY_PLAYER	TYPE_ALIAS	ru	0.9	direct type alias
приставка тв	TECH.TV_HOME_THEATER	SET_TOP_BOX	TYPE_ALIAS	ru	0.9	direct type alias
set top box	TECH.TV_HOME_THEATER	SET_TOP_BOX	TYPE_ALIAS	ru	0.9	direct type alias
iptv приставка	TECH.TV_HOME_THEATER	SET_TOP_BOX	TYPE_ALIAS	ru	0.9	direct type alias
спутниковый ресивер	TECH.TV_HOME_THEATER	SET_TOP_BOX	TYPE_ALIAS	ru	0.9	direct type alias
dvb t2 приставка	TECH.TV_HOME_THEATER	SET_TOP_BOX	TYPE_ALIAS	ru	0.9	direct type alias
пульт	TECH.TV_HOME_THEATER	REMOTE_CONTROL	TYPE_ALIAS	ru	0.9	direct type alias
пульт ду	TECH.TV_HOME_THEATER	REMOTE_CONTROL	TYPE_ALIAS	ru	0.9	direct type alias
пульт телевизора	TECH.TV_HOME_THEATER	REMOTE_CONTROL	TYPE_ALIAS	ru	0.9	direct type alias
magic remote	TECH.TV_HOME_THEATER	REMOTE_CONTROL	TYPE_ALIAS	ru	0.9	direct type alias
siri remote	TECH.TV_HOME_THEATER	REMOTE_CONTROL	TYPE_ALIAS	ru	0.9	direct type alias
универсальный пульт	TECH.TV_HOME_THEATER	REMOTE_CONTROL	TYPE_ALIAS	ru	0.9	direct type alias
кронштейн для телевизора	TECH.TV_HOME_THEATER	TV_MOUNT	TYPE_ALIAS	ru	0.9	direct type alias
крепление для тв	TECH.TV_HOME_THEATER	TV_MOUNT	TYPE_ALIAS	ru	0.9	direct type alias
настенный кронштейн тв	TECH.TV_HOME_THEATER	TV_MOUNT	TYPE_ALIAS	ru	0.9	direct type alias
vesa mount	TECH.TV_HOME_THEATER	TV_MOUNT	TYPE_ALIAS	ru	0.9	direct type alias
стойка для телевизора	TECH.TV_HOME_THEATER	TV_MOUNT	TYPE_ALIAS	ru	0.9	direct type alias
экран для проектора	TECH.TV_HOME_THEATER	PROJECTOR_SCREEN	TYPE_ALIAS	ru	0.9	direct type alias
проекционный экран	TECH.TV_HOME_THEATER	PROJECTOR_SCREEN	TYPE_ALIAS	ru	0.9	direct type alias
моторизованный экран	TECH.TV_HOME_THEATER	PROJECTOR_SCREEN	TYPE_ALIAS	ru	0.9	direct type alias
alr экран	TECH.TV_HOME_THEATER	PROJECTOR_SCREEN	TYPE_ALIAS	ru	0.9	direct type alias
экран 100 дюймов	TECH.TV_HOME_THEATER	PROJECTOR_SCREEN	TYPE_ALIAS	ru	0.9	direct type alias
Samsung	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
самсунг	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
LG	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
лджи	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
элджи	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Sony	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
сони	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
TCL	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
тисель	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Hisense	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
хайсенс	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Philips	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
филипс	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Panasonic	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
панасоник	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Sharp	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
шарп	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Toshiba	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
тошиба	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Xiaomi	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
сяоми	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Vizio	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
визио	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
JVC	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
дживиси	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Skyworth	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
скайворт	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Haier	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
хаер	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Hyundai	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
хендай	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Erisson	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
эриссон	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
BBK	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
ббк	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Supra	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
супра	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Apple	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
эпл	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Google	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
гугл	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Roku	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
року	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Amazon	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
fire tv	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
NVIDIA	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
нвидиа	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
XGIMI	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
ксиджими	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
xgimi	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Epson	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
эпсон	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
BenQ	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
бенкью	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Optoma	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
оптома	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
ViewSonic	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
вьюсоник	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Anker Nebula	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
nebula	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Formovie	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
формуви	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Dangbei	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
дангбей	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
JMGO	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
джимго	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Denon	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
денон	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Marantz	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
маранц	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Yamaha	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
ямаха	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Onkyo	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
онкио	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Pioneer	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
пионер	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Harman Kardon	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
харман кардон	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Sanus	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
санус	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Vogel's	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
vogels	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
ONKRON	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
онкрон	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Kromax	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
кромакс	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Elite Screens	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
элит скринс	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Lumene	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
люмен	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Projecta	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
проджекта	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
Silver Ticket	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.85	brand alias
silver ticket	TECH.TV_HOME_THEATER	*	BRAND_ALIAS	ru	0.8	localized brand alias
