av_type	attribute_code	importance	usage	covered
HOME_THEATER_SYSTEM	price	T0/T1	commerce	yes
HOME_THEATER_SYSTEM	currency	T0/T1	commerce	yes
HOME_THEATER_SYSTEM	availability	T0/T1	commerce	yes
HOME_THEATER_SYSTEM	audio_channel_config	T0/T1	used_in_search_filter	yes
HOME_THEATER_SYSTEM	surround_format	T0/T1	used_in_search_filter	yes
HOME_THEATER_SYSTEM	included_accessories	T0/T1	used_in_search_filter	yes
AV_RECEIVER	av_type	T0/T1	used_in_search_filter	yes
AV_RECEIVER	brand	T0/T1	used_in_search_filter	yes
AV_RECEIVER	condition	T0/T1	used_in_search_filter	yes
AV_RECEIVER	model_name_text	T0/T1	used_in_search_filter	yes
AV_RECEIVER	price	T0/T1	commerce	yes
AV_RECEIVER	currency	T0/T1	commerce	yes
AV_RECEIVER	availability	T0/T1	commerce	yes
AV_RECEIVER	receiver_channels	T0/T1	used_in_search_filter	yes
AV_RECEIVER	surround_format	T0/T1	used_in_search_filter	yes
AV_RECEIVER	hdmi_ports	T0/T1	used_in_search_filter	yes
AV_RECEIVER	hdmi_version	T2	used_in_search_filter	yes
AV_RECEIVER	amplifier_power_w_per_channel	T2	used_in_search_filter	yes
DVD_BLU_RAY_PLAYER	av_type	T0/T1	used_in_search_filter	yes
DVD_BLU_RAY_PLAYER	brand	T0/T1	used_in_search_filter	yes
DVD_BLU_RAY_PLAYER	condition	T0/T1	used_in_search_filter	yes
DVD_BLU_RAY_PLAYER	model_name_text	T0/T1	used_in_search_filter	yes
DVD_BLU_RAY_PLAYER	price	T0/T1	commerce	yes
DVD_BLU_RAY_PLAYER	currency	T0/T1	commerce	yes
DVD_BLU_RAY_PLAYER	availability	T0/T1	commerce	yes
DVD_BLU_RAY_PLAYER	disc_format	T0/T1	used_in_search_filter	yes
DVD_BLU_RAY_PLAYER	max_output_resolution	T0/T1	used_in_search_filter	yes
DVD_BLU_RAY_PLAYER	hdr_standard	T0/T1	used_in_search_filter	yes
DVD_BLU_RAY_PLAYER	hdmi_version	T2	used_in_search_filter	yes
SET_TOP_BOX	av_type	T0/T1	used_in_search_filter	yes
SET_TOP_BOX	brand	T0/T1	used_in_search_filter	yes
SET_TOP_BOX	condition	T0/T1	used_in_search_filter	yes
SET_TOP_BOX	model_name_text	T0/T1	used_in_search_filter	yes
SET_TOP_BOX	price	T0/T1	commerce	yes
SET_TOP_BOX	currency	T0/T1	commerce	yes
SET_TOP_BOX	availability	T0/T1	commerce	yes
SET_TOP_BOX	set_top_box_type	T0/T1	used_in_search_filter	yes
SET_TOP_BOX	tuner_standard	T0/T1	used_in_search_filter	yes
SET_TOP_BOX	max_output_resolution	T0/T1	used_in_search_filter	yes
REMOTE_CONTROL	av_type	T0/T1	used_in_search_filter	yes
REMOTE_CONTROL	brand	T0/T1	used_in_search_filter	yes
REMOTE_CONTROL	condition	T0/T1	used_in_search_filter	yes
REMOTE_CONTROL	model_name_text	T0/T1	used_in_search_filter	yes
REMOTE_CONTROL	price	T0/T1	commerce	yes
REMOTE_CONTROL	currency	T0/T1	commerce	yes
REMOTE_CONTROL	availability	T0/T1	commerce	yes
REMOTE_CONTROL	remote_target_type	T0/T1	used_in_search_filter	yes
REMOTE_CONTROL	voice_remote	T0/T1	used_in_search_filter	yes
REMOTE_CONTROL	compatibility_target_text	T0/T1	used_in_search_filter	yes
TV_MOUNT	av_type	T0/T1	used_in_search_filter	yes
TV_MOUNT	brand	T0/T1	used_in_search_filter	yes
TV_MOUNT	condition	T0/T1	used_in_search_filter	yes
TV_MOUNT	model_name_text	T0/T1	used_in_search_filter	yes
TV_MOUNT	price	T0/T1	commerce	yes
TV_MOUNT	currency	T0/T1	commerce	yes
TV_MOUNT	availability	T0/T1	commerce	yes
TV_MOUNT	mount_type	T0/T1	used_in_search_filter	yes
TV_MOUNT	vesa_pattern	T0/T1	used_in_search_filter	yes
TV_MOUNT	max_load_kg	T0/T1	used_in_search_filter	yes
TV_MOUNT	screen_size_in	T2	used_in_search_filter	yes
PROJECTOR_SCREEN	av_type	T0/T1	used_in_search_filter	yes
PROJECTOR_SCREEN	brand	T0/T1	used_in_search_filter	yes
PROJECTOR_SCREEN	condition	T0/T1	used_in_search_filter	yes
PROJECTOR_SCREEN	model_name_text	T0/T1	used_in_search_filter	yes
PROJECTOR_SCREEN	price	T0/T1	commerce	yes
PROJECTOR_SCREEN	currency	T0/T1	commerce	yes
PROJECTOR_SCREEN	availability	T0/T1	commerce	yes
PROJECTOR_SCREEN	screen_diagonal_in	T0/T1	used_in_search_filter	yes
PROJECTOR_SCREEN	screen_format	T0/T1	used_in_search_filter	yes
PROJECTOR_SCREEN	screen_surface_type	T0/T1	used_in_search_filter	yes
PROJECTOR_SCREEN	screen_gain	T2	used_in_search_filter	yes
PROJECTOR_SCREEN	alr_support	T2	used_in_search_filter	yes
PROJECTOR_SCREEN	motorized	T2	used_in_search_filter	yes
