id	query	expected_categoryCode	expected_av_type	expected_attrs_json	notes
GQ0045	benq tk860i		PROJECTOR	"{""brand"": ""BENQ""}"	manual head query
GQ0046	xgimi horizon ultra		PROJECTOR	"{""brand"": ""XGIMI""}"	manual head query
GQ0047	мини проектор nebula capsule		PROJECTOR	"{""brand"": ""ANKER_NEBULA""}"	manual head query
GQ0048	apple tv 4k		STREAMING_DEVICE	"{""brand"": ""APPLE"", ""resolution"": ""UHD_4K""}"	manual head query
GQ0049	chromecast google tv 4k		STREAMING_DEVICE	"{""brand"": ""GOOGLE""}"	manual head query
GQ0050	fire tv stick 4k max		STREAMING_DEVICE	"{""brand"": ""AMAZON""}"	manual head query
GQ0051	nvidia shield tv pro		STREAMING_DEVICE	"{""brand"": ""NVIDIA""}"	manual head query
GQ0052	roku ultra		STREAMING_DEVICE	"{""brand"": ""ROKU""}"	manual head query
GQ0053	xiaomi tv box s		TV_BOX	"{""brand"": ""XIAOMI""}"	manual head query
GQ0054	android tv box 4gb 64gb		TV_BOX	"{""ram_gb"": 4, ""storage_capacity_gb"": 64}"	manual head query
GQ0055	iptv приставка mag		SET_TOP_BOX	"{""set_top_box_type"": ""IPTV_BOX""}"	manual head query
GQ0056	denon avr x1800h		AV_RECEIVER	"{""brand"": ""DENON""}"	manual head query
GQ0057	marantz cinema 50		AV_RECEIVER	"{""brand"": ""MARANTZ""}"	manual head query
GQ0058	yamaha rx v6a		AV_RECEIVER	"{""brand"": ""YAMAHA""}"	manual head query
GQ0059	av ресивер 7.2 atmos		AV_RECEIVER	"{""receiver_channels"": ""SEVEN_TWO"", ""surround_format"": ""DOLBY_ATMOS""}"	manual head query
GQ0060	домашний кинотеатр 5.1 sony		HOME_THEATER_SYSTEM	"{""brand"": ""SONY"", ""audio_channel_config"": ""FIVE_ONE""}"	manual head query
GQ0061	sony ubp x700 blu ray		DVD_BLU_RAY_PLAYER	"{""brand"": ""SONY"", ""disc_format"": ""UHD_BLU_RAY""}"	manual head query
GQ0062	panasonic ub820 4k blu ray		DVD_BLU_RAY_PLAYER	"{""brand"": ""PANASONIC""}"	manual head query
GQ0063	dvd плеер с hdmi		DVD_BLU_RAY_PLAYER	"{""disc_format"": ""DVD""}"	manual head query
GQ0064	пульт lg magic remote		REMOTE_CONTROL	"{""brand"": ""LG"", ""remote_target_type"": ""TV""}"	manual head query
GQ0065	пульт samsung smart remote		REMOTE_CONTROL	"{""brand"": ""SAMSUNG""}"	manual head query
GQ0066	siri remote apple tv		REMOTE_CONTROL	"{""brand"": ""APPLE""}"	manual head query
GQ0067	универсальный пульт для телевизора		REMOTE_CONTROL	"{""remote_target_type"": ""UNIVERSAL""}"	manual head query
GQ0068	кронштейн для телевизора vesa 400x400		TV_MOUNT	"{""vesa_pattern"": ""VESA_400X400""}"	manual head query
GQ0069	настенное крепление тв 65		TV_MOUNT	"{""mount_type"": ""FULL_MOTION""}"	manual head query
GQ0070	sanus tv mount		TV_MOUNT	"{""brand"": ""SANUS""}"	manual head query
GQ0071	экран для проектора 100 дюймов		PROJECTOR_SCREEN	"{""screen_diagonal_in"": 100}"	manual head query
GQ0072	alr screen 120 ust		PROJECTOR_SCREEN	"{""alr_support"": true}"	manual head query
GQ0073	моторизованный экран для проектора		PROJECTOR_SCREEN	"{""motorized"": true}"	manual head query
GQ0074	саундбар samsung q990d	TECH.AUDIO		"{""blocked_from"": ""TECH.TV_HOME_THEATER""}"	negative route conflict
GQ0075	наушники sony wh 1000xm6	TECH.AUDIO		"{""blocked_from"": ""TECH.TV_HOME_THEATER""}"	negative route conflict
GQ0076	монитор 27 дюймов 144hz	TECH.MONITORS_DISPLAYS		"{""blocked_from"": ""TECH.TV_HOME_THEATER""}"	negative route conflict
GQ0077	playstation 5 slim	TECH.GAMING		"{""blocked_from"": ""TECH.TV_HOME_THEATER""}"	negative route conflict
GQ0078	hdmi кабель 2.1 3 метра	TECH.POWER_CHARGING_CABLES		"{""blocked_from"": ""TECH.TV_HOME_THEATER""}"	negative route conflict
GQ0079	кронштейн для монитора vesa	TECH.COMPUTER_ACCESSORIES		"{""blocked_from"": ""TECH.TV_HOME_THEATER""}"	negative route conflict
GQ0080	камера sony alpha	TECH.CAMERAS_DRONES		"{""blocked_from"": ""TECH.TV_HOME_THEATER""}"	negative route conflict
GQ0081	usb hub hdmi type c	TECH.COMPUTER_ACCESSORIES		"{""blocked_from"": ""TECH.TV_HOME_THEATER""}"	negative route conflict
GQ0082	SAMSUNG QN90D	TECH.TV_HOME_THEATER	TV	"{""brand"": ""SAMSUNG"", ""model"": ""QN90D""}"	model seed smoke
GQ0083	SAMSUNG QN900D	TECH.TV_HOME_THEATER	TV	"{""brand"": ""SAMSUNG"", ""model"": ""QN900D""}"	model seed smoke
GQ0084	SAMSUNG S95D	TECH.TV_HOME_THEATER	TV	"{""brand"": ""SAMSUNG"", ""model"": ""S95D""}"	model seed smoke
GQ0085	SAMSUNG The Frame LS03D	TECH.TV_HOME_THEATER	TV	"{""brand"": ""SAMSUNG"", ""model"": ""The Frame LS03D""}"	model seed smoke
GQ0086	LG OLED C4	TECH.TV_HOME_THEATER	TV	"{""brand"": ""LG"", ""model"": ""OLED C4""}"	model seed smoke
GQ0087	LG OLED G4	TECH.TV_HOME_THEATER	TV	"{""brand"": ""LG"", ""model"": ""OLED G4""}"	model seed smoke
GQ0088	LG QNED86	TECH.TV_HOME_THEATER	TV	"{""brand"": ""LG"", ""model"": ""QNED86""}"	model seed smoke
GQ0089	SONY BRAVIA 9	TECH.TV_HOME_THEATER	TV	"{""brand"": ""SONY"", ""model"": ""BRAVIA 9""}"	model seed smoke
GQ0090	SONY BRAVIA 8	TECH.TV_HOME_THEATER	TV	"{""brand"": ""SONY"", ""model"": ""BRAVIA 8""}"	model seed smoke
GQ0091	SONY X90L	TECH.TV_HOME_THEATER	TV	"{""brand"": ""SONY"", ""model"": ""X90L""}"	model seed smoke
GQ0092	SONY A95L	TECH.TV_HOME_THEATER	TV	"{""brand"": ""SONY"", ""model"": ""A95L""}"	model seed smoke
GQ0093	TCL C805	TECH.TV_HOME_THEATER	TV	"{""brand"": ""TCL"", ""model"": ""C805""}"	model seed smoke
GQ0094	TCL C855	TECH.TV_HOME_THEATER	TV	"{""brand"": ""TCL"", ""model"": ""C855""}"	model seed smoke
GQ0095	TCL QM8	TECH.TV_HOME_THEATER	TV	"{""brand"": ""TCL"", ""model"": ""QM8""}"	model seed smoke
GQ0096	HISENSE U7N	TECH.TV_HOME_THEATER	TV	"{""brand"": ""HISENSE"", ""model"": ""U7N""}"	model seed smoke
GQ0097	HISENSE U8N	TECH.TV_HOME_THEATER	TV	"{""brand"": ""HISENSE"", ""model"": ""U8N""}"	model seed smoke
GQ0098	PHILIPS OLED808	TECH.TV_HOME_THEATER	TV	"{""brand"": ""PHILIPS"", ""model"": ""OLED808""}"	model seed smoke
GQ0099	PANASONIC MZ2000	TECH.TV_HOME_THEATER	TV	"{""brand"": ""PANASONIC"", ""model"": ""MZ2000""}"	model seed smoke
GQ0100	XIAOMI TV A Pro	TECH.TV_HOME_THEATER	TV	"{""brand"": ""XIAOMI"", ""model"": ""TV A Pro""}"	model seed smoke
GQ0101	VIZIO M-Series Quantum	TECH.TV_HOME_THEATER	TV	"{""brand"": ""VIZIO"", ""model"": ""M-Series Quantum""}"	model seed smoke
GQ0102	EPSON Home Cinema 5050UB	TECH.TV_HOME_THEATER	PROJECTOR	"{""brand"": ""EPSON"", ""model"": ""Home Cinema 5050UB""}"	model seed smoke
GQ0103	EPSON EH-TW7000	TECH.TV_HOME_THEATER	PROJECTOR	"{""brand"": ""EPSON"", ""model"": ""EH-TW7000""}"	model seed smoke
GQ0104	EPSON EH-LS800	TECH.TV_HOME_THEATER	PROJECTOR	"{""brand"": ""EPSON"", ""model"": ""EH-LS800""}"	model seed smoke
GQ0105	BENQ TK860i	TECH.TV_HOME_THEATER	PROJECTOR	"{""brand"": ""BENQ"", ""model"": ""TK860i""}"	model seed smoke
GQ0106	BENQ X3000i	TECH.TV_HOME_THEATER	PROJECTOR	"{""brand"": ""BENQ"", ""model"": ""X3000i""}"	model seed smoke
GQ0107	OPTOMA UHD35	TECH.TV_HOME_THEATER	PROJECTOR	"{""brand"": ""OPTOMA"", ""model"": ""UHD35""}"	model seed smoke
GQ0108	XGIMI Horizon Ultra	TECH.TV_HOME_THEATER	PROJECTOR	"{""brand"": ""XGIMI"", ""model"": ""Horizon Ultra""}"	model seed smoke
GQ0109	ANKER_NEBULA Nebula Capsule 3	TECH.TV_HOME_THEATER	PROJECTOR	"{""brand"": ""ANKER_NEBULA"", ""model"": ""Nebula Capsule 3""}"	model seed smoke
GQ0110	VIEWSONIC X2-4K	TECH.TV_HOME_THEATER	PROJECTOR	"{""brand"": ""VIEWSONIC"", ""model"": ""X2-4K""}"	model seed smoke
GQ0111	FORMOVIE Formovie Theater	TECH.TV_HOME_THEATER	PROJECTOR	"{""brand"": ""FORMOVIE"", ""model"": ""Formovie Theater""}"	model seed smoke
GQ0112	APPLE Apple TV 4K	TECH.TV_HOME_THEATER	STREAMING_DEVICE	"{""brand"": ""APPLE"", ""model"": ""Apple TV 4K""}"	model seed smoke
GQ0113	GOOGLE Chromecast with Google TV	TECH.TV_HOME_THEATER	STREAMING_DEVICE	"{""brand"": ""GOOGLE"", ""model"": ""Chromecast with Google TV""}"	model seed smoke
GQ0114	GOOGLE Google TV Streamer 4K	TECH.TV_HOME_THEATER	STREAMING_DEVICE	"{""brand"": ""GOOGLE"", ""model"": ""Google TV Streamer 4K""}"	model seed smoke
GQ0115	ROKU Roku Ultra	TECH.TV_HOME_THEATER	STREAMING_DEVICE	"{""brand"": ""ROKU"", ""model"": ""Roku Ultra""}"	model seed smoke
GQ0116	ROKU Roku Express 4K	TECH.TV_HOME_THEATER	STREAMING_DEVICE	"{""brand"": ""ROKU"", ""model"": ""Roku Express 4K""}"	model seed smoke
GQ0117	AMAZON Fire TV Stick 4K Max	TECH.TV_HOME_THEATER	STREAMING_DEVICE	"{""brand"": ""AMAZON"", ""model"": ""Fire TV Stick 4K Max""}"	model seed smoke
GQ0118	NVIDIA Shield TV Pro	TECH.TV_HOME_THEATER	STREAMING_DEVICE	"{""brand"": ""NVIDIA"", ""model"": ""Shield TV Pro""}"	model seed smoke
GQ0119	XIAOMI TV Box S 2nd Gen	TECH.TV_HOME_THEATER	TV_BOX	"{""brand"": ""XIAOMI"", ""model"": ""TV Box S 2nd Gen""}"	model seed smoke
GQ0120	FORMULER Z11 Pro Max	TECH.TV_HOME_THEATER	TV_BOX	"{""brand"": ""FORMULER"", ""model"": ""Z11 Pro Max""}"	model seed smoke
GQ0121	INFOMIR MAG 524w3	TECH.TV_HOME_THEATER	SET_TOP_BOX	"{""brand"": ""INFOMIR"", ""model"": ""MAG 524w3""}"	model seed smoke
GQ0122	DENON AVR-X1800H	TECH.TV_HOME_THEATER	AV_RECEIVER	"{""brand"": ""DENON"", ""model"": ""AVR-X1800H""}"	model seed smoke
GQ0123	DENON AVR-X2800H	TECH.TV_HOME_THEATER	AV_RECEIVER	"{""brand"": ""DENON"", ""model"": ""AVR-X2800H""}"	model seed smoke
GQ0124	DENON AVR-X3800H	TECH.TV_HOME_THEATER	AV_RECEIVER	"{""brand"": ""DENON"", ""model"": ""AVR-X3800H""}"	model seed smoke
GQ0125	MARANTZ Cinema 50	TECH.TV_HOME_THEATER	AV_RECEIVER	"{""brand"": ""MARANTZ"", ""model"": ""Cinema 50""}"	model seed smoke
GQ0126	YAMAHA RX-V6A	TECH.TV_HOME_THEATER	AV_RECEIVER	"{""brand"": ""YAMAHA"", ""model"": ""RX-V6A""}"	model seed smoke
GQ0127	ONKYO TX-NR6100	TECH.TV_HOME_THEATER	AV_RECEIVER	"{""brand"": ""ONKYO"", ""model"": ""TX-NR6100""}"	model seed smoke
GQ0128	PIONEER VSX-935	TECH.TV_HOME_THEATER	AV_RECEIVER	"{""brand"": ""PIONEER"", ""model"": ""VSX-935""}"	model seed smoke
GQ0129	SONY HT-A9	TECH.TV_HOME_THEATER	HOME_THEATER_SYSTEM	"{""brand"": ""SONY"", ""model"": ""HT-A9""}"	model seed smoke
GQ0130	YAMAHA YHT-4950U	TECH.TV_HOME_THEATER	HOME_THEATER_SYSTEM	"{""brand"": ""YAMAHA"", ""model"": ""YHT-4950U""}"	model seed smoke
GQ0131	LG LHB655	TECH.TV_HOME_THEATER	HOME_THEATER_SYSTEM	"{""brand"": ""LG"", ""model"": ""LHB655""}"	model seed smoke
GQ0132	SONY UBP-X700	TECH.TV_HOME_THEATER	DVD_BLU_RAY_PLAYER	"{""brand"": ""SONY"", ""model"": ""UBP-X700""}"	model seed smoke
GQ0133	PANASONIC DP-UB820	TECH.TV_HOME_THEATER	DVD_BLU_RAY_PLAYER	"{""brand"": ""PANASONIC"", ""model"": ""DP-UB820""}"	model seed smoke
GQ0134	LG UBK90	TECH.TV_HOME_THEATER	DVD_BLU_RAY_PLAYER	"{""brand"": ""LG"", ""model"": ""UBK90""}"	model seed smoke
GQ0135	APPLE Siri Remote 3rd gen	TECH.TV_HOME_THEATER	REMOTE_CONTROL	"{""brand"": ""APPLE"", ""model"": ""Siri Remote 3rd gen""}"	model seed smoke
GQ0136	SAMSUNG Smart Remote BN59	TECH.TV_HOME_THEATER	REMOTE_CONTROL	"{""brand"": ""SAMSUNG"", ""model"": ""Smart Remote BN59""}"	model seed smoke
GQ0137	LG Magic Remote MR23	TECH.TV_HOME_THEATER	REMOTE_CONTROL	"{""brand"": ""LG"", ""model"": ""Magic Remote MR23""}"	model seed smoke
GQ0138	SONY Voice Remote RMF-TX	TECH.TV_HOME_THEATER	REMOTE_CONTROL	"{""brand"": ""SONY"", ""model"": ""Voice Remote RMF-TX""}"	model seed smoke
GQ0139	ROKU Voice Remote Pro	TECH.TV_HOME_THEATER	REMOTE_CONTROL	"{""brand"": ""ROKU"", ""model"": ""Voice Remote Pro""}"	model seed smoke
GQ0140	SANUS VLF728	TECH.TV_HOME_THEATER	TV_MOUNT	"{""brand"": ""SANUS"", ""model"": ""VLF728""}"	model seed smoke
GQ0141	VOGELS TVM 5445	TECH.TV_HOME_THEATER	TV_MOUNT	"{""brand"": ""VOGELS"", ""model"": ""TVM 5445""}"	model seed smoke
GQ0142	ONKRON M4	TECH.TV_HOME_THEATER	TV_MOUNT	"{""brand"": ""ONKRON"", ""model"": ""M4""}"	model seed smoke
GQ0143	KROMAX Atlantis-99	TECH.TV_HOME_THEATER	TV_MOUNT	"{""brand"": ""KROMAX"", ""model"": ""Atlantis-99""}"	model seed smoke
GQ0144	ELITE_SCREENS Sable Frame B2	TECH.TV_HOME_THEATER	PROJECTOR_SCREEN	"{""brand"": ""ELITE_SCREENS"", ""model"": ""Sable Frame B2""}"	model seed smoke
GQ0145	ELITE_SCREENS Yard Master Plus	TECH.TV_HOME_THEATER	PROJECTOR_SCREEN	"{""brand"": ""ELITE_SCREENS"", ""model"": ""Yard Master Plus""}"	model seed smoke
GQ0146	LUMENE Movie Palace UHD 4K	TECH.TV_HOME_THEATER	PROJECTOR_SCREEN	"{""brand"": ""LUMENE"", ""model"": ""Movie Palace UHD 4K""}"	model seed smoke
GQ0147	PROJECTA Descender Pro	TECH.TV_HOME_THEATER	PROJECTOR_SCREEN	"{""brand"": ""PROJECTA"", ""model"": ""Descender Pro""}"	model seed smoke
GQ0148	SILVER_TICKET STR Series	TECH.TV_HOME_THEATER	PROJECTOR_SCREEN	"{""brand"": ""SILVER_TICKET"", ""model"": ""STR Series""}"	model seed smoke
