alias	brand	family	line	model	av_type	alias_type	confidence	notes
самсунг the frame ls03d	SAMSUNG	THE_FRAME	LS03	The Frame LS03D	TV	MODEL_ALIAS	0.89	generated_head_alias
LG OLED C4	LG	OLED_EVO	C_SERIES	OLED C4	TV	MODEL_ALIAS	0.91	generated_head_alias
OLED C4	LG	OLED_EVO	C_SERIES	OLED C4	TV	MODEL_ALIAS	0.88	generated_head_alias
lg oled c4	LG	OLED_EVO	C_SERIES	OLED C4	TV	MODEL_ALIAS	0.91	generated_head_alias
oled c4	LG	OLED_EVO	C_SERIES	OLED C4	TV	MODEL_ALIAS	0.88	generated_head_alias
лджи oled c4	LG	OLED_EVO	C_SERIES	OLED C4	TV	MODEL_ALIAS	0.98	generated_head_alias
LG OLED G4	LG	OLED_EVO	G_SERIES	OLED G4	TV	MODEL_ALIAS	0.88	generated_head_alias
OLED G4	LG	OLED_EVO	G_SERIES	OLED G4	TV	MODEL_ALIAS	0.92	generated_head_alias
lg oled g4	LG	OLED_EVO	G_SERIES	OLED G4	TV	MODEL_ALIAS	0.97	generated_head_alias
oled g4	LG	OLED_EVO	G_SERIES	OLED G4	TV	MODEL_ALIAS	0.94	generated_head_alias
лджи oled g4	LG	OLED_EVO	G_SERIES	OLED G4	TV	MODEL_ALIAS	0.9	generated_head_alias
LG QNED86	LG	QNED	QNED	QNED86	TV	MODEL_ALIAS	0.88	generated_head_alias
QNED86	LG	QNED	QNED	QNED86	TV	MODEL_ALIAS	0.84	generated_head_alias
lg qned86	LG	QNED	QNED	QNED86	TV	MODEL_ALIAS	0.85	generated_head_alias
qned86	LG	QNED	QNED	QNED86	TV	MODEL_ALIAS	0.97	generated_head_alias
лджи qned86	LG	QNED	QNED	QNED86	TV	MODEL_ALIAS	0.93	generated_head_alias
BRAVIA 9	SONY	BRAVIA	BRAVIA_9	BRAVIA 9	TV	MODEL_ALIAS	0.82	generated_head_alias
SONY BRAVIA 9	SONY	BRAVIA	BRAVIA_9	BRAVIA 9	TV	MODEL_ALIAS	0.86	generated_head_alias
bravia 9	SONY	BRAVIA	BRAVIA_9	BRAVIA 9	TV	MODEL_ALIAS	0.86	generated_head_alias
sony bravia 9	SONY	BRAVIA	BRAVIA_9	BRAVIA 9	TV	MODEL_ALIAS	0.88	generated_head_alias
сони bravia 9	SONY	BRAVIA	BRAVIA_9	BRAVIA 9	TV	MODEL_ALIAS	0.95	generated_head_alias
BRAVIA 8	SONY	BRAVIA	BRAVIA_8	BRAVIA 8	TV	MODEL_ALIAS	0.88	generated_head_alias
SONY BRAVIA 8	SONY	BRAVIA	BRAVIA_8	BRAVIA 8	TV	MODEL_ALIAS	0.88	generated_head_alias
bravia 8	SONY	BRAVIA	BRAVIA_8	BRAVIA 8	TV	MODEL_ALIAS	0.94	generated_head_alias
sony bravia 8	SONY	BRAVIA	BRAVIA_8	BRAVIA 8	TV	MODEL_ALIAS	0.92	generated_head_alias
сони bravia 8	SONY	BRAVIA	BRAVIA_8	BRAVIA 8	TV	MODEL_ALIAS	0.86	generated_head_alias
SONY X90L	SONY	BRAVIA	X90	X90L	TV	MODEL_ALIAS	0.93	generated_head_alias
X90L	SONY	BRAVIA	X90	X90L	TV	MODEL_ALIAS	0.87	generated_head_alias
sony x90l	SONY	BRAVIA	X90	X90L	TV	MODEL_ALIAS	0.84	generated_head_alias
x90l	SONY	BRAVIA	X90	X90L	TV	MODEL_ALIAS	0.85	generated_head_alias
сони x90l	SONY	BRAVIA	X90	X90L	TV	MODEL_ALIAS	0.95	generated_head_alias
A95L	SONY	BRAVIA	A95	A95L	TV	MODEL_ALIAS	0.9	generated_head_alias
SONY A95L	SONY	BRAVIA	A95	A95L	TV	MODEL_ALIAS	0.92	generated_head_alias
a95l	SONY	BRAVIA	A95	A95L	TV	MODEL_ALIAS	0.87	generated_head_alias
sony a95l	SONY	BRAVIA	A95	A95L	TV	MODEL_ALIAS	0.93	generated_head_alias
сони a95l	SONY	BRAVIA	A95	A95L	TV	MODEL_ALIAS	0.83	generated_head_alias
C805	TCL	C_SERIES	C805	C805	TV	MODEL_ALIAS	0.88	generated_head_alias
TCL C805	TCL	C_SERIES	C805	C805	TV	MODEL_ALIAS	0.91	generated_head_alias
c805	TCL	C_SERIES	C805	C805	TV	MODEL_ALIAS	0.87	generated_head_alias
tcl c805	TCL	C_SERIES	C805	C805	TV	MODEL_ALIAS	0.97	generated_head_alias
C855	TCL	C_SERIES	C855	C855	TV	MODEL_ALIAS	0.86	generated_head_alias
TCL C855	TCL	C_SERIES	C855	C855	TV	MODEL_ALIAS	0.89	generated_head_alias
c855	TCL	C_SERIES	C855	C855	TV	MODEL_ALIAS	0.82	generated_head_alias
tcl c855	TCL	C_SERIES	C855	C855	TV	MODEL_ALIAS	0.9	generated_head_alias
QM8	TCL	QM_SERIES	QM8	QM8	TV	MODEL_ALIAS	0.87	generated_head_alias
TCL QM8	TCL	QM_SERIES	QM8	QM8	TV	MODEL_ALIAS	0.91	generated_head_alias
qm8	TCL	QM_SERIES	QM8	QM8	TV	MODEL_ALIAS	0.88	generated_head_alias
tcl qm8	TCL	QM_SERIES	QM8	QM8	TV	MODEL_ALIAS	0.83	generated_head_alias
HISENSE U7N	HISENSE	U_SERIES	U7	U7N	TV	MODEL_ALIAS	0.87	generated_head_alias
U7N	HISENSE	U_SERIES	U7	U7N	TV	MODEL_ALIAS	0.98	generated_head_alias
hisense u7n	HISENSE	U_SERIES	U7	U7N	TV	MODEL_ALIAS	0.9	generated_head_alias
u7n	HISENSE	U_SERIES	U7	U7N	TV	MODEL_ALIAS	0.89	generated_head_alias
HISENSE U8N	HISENSE	U_SERIES	U8	U8N	TV	MODEL_ALIAS	0.85	generated_head_alias
U8N	HISENSE	U_SERIES	U8	U8N	TV	MODEL_ALIAS	0.83	generated_head_alias
hisense u8n	HISENSE	U_SERIES	U8	U8N	TV	MODEL_ALIAS	0.84	generated_head_alias
u8n	HISENSE	U_SERIES	U8	U8N	TV	MODEL_ALIAS	0.88	generated_head_alias
OLED808	PHILIPS	OLED	OLED808	OLED808	TV	MODEL_ALIAS	0.91	generated_head_alias
PHILIPS OLED808	PHILIPS	OLED	OLED808	OLED808	TV	MODEL_ALIAS	0.91	generated_head_alias
oled808	PHILIPS	OLED	OLED808	OLED808	TV	MODEL_ALIAS	0.96	generated_head_alias
philips oled808	PHILIPS	OLED	OLED808	OLED808	TV	MODEL_ALIAS	0.97	generated_head_alias
MZ2000	PANASONIC	OLED	MZ2000	MZ2000	TV	MODEL_ALIAS	0.87	generated_head_alias
PANASONIC MZ2000	PANASONIC	OLED	MZ2000	MZ2000	TV	MODEL_ALIAS	0.97	generated_head_alias
mz2000	PANASONIC	OLED	MZ2000	MZ2000	TV	MODEL_ALIAS	0.95	generated_head_alias
panasonic mz2000	PANASONIC	OLED	MZ2000	MZ2000	TV	MODEL_ALIAS	0.89	generated_head_alias
TV A Pro	XIAOMI	TV_A_PRO	A_PRO	TV A Pro	TV	MODEL_ALIAS	0.87	generated_head_alias
XIAOMI TV A Pro	XIAOMI	TV_A_PRO	A_PRO	TV A Pro	TV	MODEL_ALIAS	0.85	generated_head_alias
tv a pro	XIAOMI	TV_A_PRO	A_PRO	TV A Pro	TV	MODEL_ALIAS	0.87	generated_head_alias
xiaomi tv a pro	XIAOMI	TV_A_PRO	A_PRO	TV A Pro	TV	MODEL_ALIAS	0.83	generated_head_alias
M Series Quantum	VIZIO	M_SERIES	M	M-Series Quantum	TV	MODEL_ALIAS	0.91	generated_head_alias
M-Series Quantum	VIZIO	M_SERIES	M	M-Series Quantum	TV	MODEL_ALIAS	0.84	generated_head_alias
VIZIO M-Series Quantum	VIZIO	M_SERIES	M	M-Series Quantum	TV	MODEL_ALIAS	0.83	generated_head_alias
m-series quantum	VIZIO	M_SERIES	M	M-Series Quantum	TV	MODEL_ALIAS	0.96	generated_head_alias
vizio m-series quantum	VIZIO	M_SERIES	M	M-Series Quantum	TV	MODEL_ALIAS	0.96	generated_head_alias
EPSON Home Cinema 5050UB	EPSON	HOME_CINEMA	5050UB	Home Cinema 5050UB	PROJECTOR	MODEL_ALIAS	0.87	generated_head_alias
Home Cinema 5050UB	EPSON	HOME_CINEMA	5050UB	Home Cinema 5050UB	PROJECTOR	MODEL_ALIAS	0.91	generated_head_alias
epson home cinema 5050ub	EPSON	HOME_CINEMA	5050UB	Home Cinema 5050UB	PROJECTOR	MODEL_ALIAS	0.86	generated_head_alias
home cinema 5050ub	EPSON	HOME_CINEMA	5050UB	Home Cinema 5050UB	PROJECTOR	MODEL_ALIAS	0.84	generated_head_alias
эпсон home cinema 5050ub	EPSON	HOME_CINEMA	5050UB	Home Cinema 5050UB	PROJECTOR	MODEL_ALIAS	0.83	generated_head_alias
EH TW7000	EPSON	EH_TW	TW7000	EH-TW7000	PROJECTOR	MODEL_ALIAS	0.95	generated_head_alias
EH-TW7000	EPSON	EH_TW	TW7000	EH-TW7000	PROJECTOR	MODEL_ALIAS	0.97	generated_head_alias
EPSON EH-TW7000	EPSON	EH_TW	TW7000	EH-TW7000	PROJECTOR	MODEL_ALIAS	0.84	generated_head_alias
eh-tw7000	EPSON	EH_TW	TW7000	EH-TW7000	PROJECTOR	MODEL_ALIAS	0.9	generated_head_alias
epson eh-tw7000	EPSON	EH_TW	TW7000	EH-TW7000	PROJECTOR	MODEL_ALIAS	0.83	generated_head_alias
эпсон eh-tw7000	EPSON	EH_TW	TW7000	EH-TW7000	PROJECTOR	MODEL_ALIAS	0.92	generated_head_alias
EH LS800	EPSON	EH_LS	LS800	EH-LS800	PROJECTOR	MODEL_ALIAS	0.88	generated_head_alias
EH-LS800	EPSON	EH_LS	LS800	EH-LS800	PROJECTOR	MODEL_ALIAS	0.93	generated_head_alias
EPSON EH-LS800	EPSON	EH_LS	LS800	EH-LS800	PROJECTOR	MODEL_ALIAS	0.97	generated_head_alias
eh-ls800	EPSON	EH_LS	LS800	EH-LS800	PROJECTOR	MODEL_ALIAS	0.91	generated_head_alias
epson eh-ls800	EPSON	EH_LS	LS800	EH-LS800	PROJECTOR	MODEL_ALIAS	0.86	generated_head_alias
эпсон eh-ls800	EPSON	EH_LS	LS800	EH-LS800	PROJECTOR	MODEL_ALIAS	0.97	generated_head_alias
BENQ TK860i	BENQ	TK_SERIES	TK860	TK860i	PROJECTOR	MODEL_ALIAS	0.87	generated_head_alias
TK860i	BENQ	TK_SERIES	TK860	TK860i	PROJECTOR	MODEL_ALIAS	0.96	generated_head_alias
benq tk860i	BENQ	TK_SERIES	TK860	TK860i	PROJECTOR	MODEL_ALIAS	0.94	generated_head_alias
tk860i	BENQ	TK_SERIES	TK860	TK860i	PROJECTOR	MODEL_ALIAS	0.85	generated_head_alias
BENQ X3000i	BENQ	X_SERIES	X3000	X3000i	PROJECTOR	MODEL_ALIAS	0.87	generated_head_alias
X3000i	BENQ	X_SERIES	X3000	X3000i	PROJECTOR	MODEL_ALIAS	0.97	generated_head_alias
benq x3000i	BENQ	X_SERIES	X3000	X3000i	PROJECTOR	MODEL_ALIAS	0.83	generated_head_alias
x3000i	BENQ	X_SERIES	X3000	X3000i	PROJECTOR	MODEL_ALIAS	0.84	generated_head_alias
OPTOMA UHD35	OPTOMA	UHD	UHD35	UHD35	PROJECTOR	MODEL_ALIAS	0.96	generated_head_alias
UHD35	OPTOMA	UHD	UHD35	UHD35	PROJECTOR	MODEL_ALIAS	0.91	generated_head_alias
optoma uhd35	OPTOMA	UHD	UHD35	UHD35	PROJECTOR	MODEL_ALIAS	0.93	generated_head_alias
uhd35	OPTOMA	UHD	UHD35	UHD35	PROJECTOR	MODEL_ALIAS	0.95	generated_head_alias
Horizon Ultra	XGIMI	HORIZON	HORIZON_ULTRA	Horizon Ultra	PROJECTOR	MODEL_ALIAS	0.86	generated_head_alias
XGIMI Horizon Ultra	XGIMI	HORIZON	HORIZON_ULTRA	Horizon Ultra	PROJECTOR	MODEL_ALIAS	0.94	generated_head_alias
horizon ultra	XGIMI	HORIZON	HORIZON_ULTRA	Horizon Ultra	PROJECTOR	MODEL_ALIAS	0.87	generated_head_alias
xgimi horizon ultra	XGIMI	HORIZON	HORIZON_ULTRA	Horizon Ultra	PROJECTOR	MODEL_ALIAS	0.87	generated_head_alias
ANKER_NEBULA Nebula Capsule 3	ANKER_NEBULA	CAPSULE	CAPSULE_3	Nebula Capsule 3	PROJECTOR	MODEL_ALIAS	0.95	generated_head_alias
Nebula Capsule 3	ANKER_NEBULA	CAPSULE	CAPSULE_3	Nebula Capsule 3	PROJECTOR	MODEL_ALIAS	0.84	generated_head_alias
anker_nebula nebula capsule 3	ANKER_NEBULA	CAPSULE	CAPSULE_3	Nebula Capsule 3	PROJECTOR	MODEL_ALIAS	0.89	generated_head_alias
nebula capsule 3	ANKER_NEBULA	CAPSULE	CAPSULE_3	Nebula Capsule 3	PROJECTOR	MODEL_ALIAS	0.96	generated_head_alias
VIEWSONIC X2-4K	VIEWSONIC	X_SERIES	X2_4K	X2-4K	PROJECTOR	MODEL_ALIAS	0.95	generated_head_alias
X2 4K	VIEWSONIC	X_SERIES	X2_4K	X2-4K	PROJECTOR	MODEL_ALIAS	0.98	generated_head_alias
X2-4K	VIEWSONIC	X_SERIES	X2_4K	X2-4K	PROJECTOR	MODEL_ALIAS	0.93	generated_head_alias
viewsonic x2-4k	VIEWSONIC	X_SERIES	X2_4K	X2-4K	PROJECTOR	MODEL_ALIAS	0.94	generated_head_alias
x2-4k	VIEWSONIC	X_SERIES	X2_4K	X2-4K	PROJECTOR	MODEL_ALIAS	0.84	generated_head_alias
FORMOVIE Formovie Theater	FORMOVIE	THEATER	THEATER	Formovie Theater	PROJECTOR	MODEL_ALIAS	0.92	generated_head_alias
Formovie Theater	FORMOVIE	THEATER	THEATER	Formovie Theater	PROJECTOR	MODEL_ALIAS	0.84	generated_head_alias
formovie formovie theater	FORMOVIE	THEATER	THEATER	Formovie Theater	PROJECTOR	MODEL_ALIAS	0.89	generated_head_alias
formovie theater	FORMOVIE	THEATER	THEATER	Formovie Theater	PROJECTOR	MODEL_ALIAS	0.96	generated_head_alias
APPLE Apple TV 4K	APPLE	APPLE_TV	4K	Apple TV 4K	STREAMING_DEVICE	MODEL_ALIAS	0.95	generated_head_alias
Apple TV 4K	APPLE	APPLE_TV	4K	Apple TV 4K	STREAMING_DEVICE	MODEL_ALIAS	0.95	generated_head_alias
apple apple tv 4k	APPLE	APPLE_TV	4K	Apple TV 4K	STREAMING_DEVICE	MODEL_ALIAS	0.88	generated_head_alias
apple tv 4k	APPLE	APPLE_TV	4K	Apple TV 4K	STREAMING_DEVICE	MODEL_ALIAS	0.9	generated_head_alias
эпл apple tv 4k	APPLE	APPLE_TV	4K	Apple TV 4K	STREAMING_DEVICE	MODEL_ALIAS	0.83	generated_head_alias
Chromecast with Google TV	GOOGLE	CHROMECAST	GOOGLE_TV	Chromecast with Google TV	STREAMING_DEVICE	MODEL_ALIAS	0.89	generated_head_alias
GOOGLE Chromecast with Google TV	GOOGLE	CHROMECAST	GOOGLE_TV	Chromecast with Google TV	STREAMING_DEVICE	MODEL_ALIAS	0.92	generated_head_alias
chromecast with google tv	GOOGLE	CHROMECAST	GOOGLE_TV	Chromecast with Google TV	STREAMING_DEVICE	MODEL_ALIAS	0.92	generated_head_alias
google chromecast with google tv	GOOGLE	CHROMECAST	GOOGLE_TV	Chromecast with Google TV	STREAMING_DEVICE	MODEL_ALIAS	0.88	generated_head_alias
GOOGLE Google TV Streamer 4K	GOOGLE	GOOGLE_TV_STREAMER	4K	Google TV Streamer 4K	STREAMING_DEVICE	MODEL_ALIAS	0.9	generated_head_alias
Google TV Streamer 4K	GOOGLE	GOOGLE_TV_STREAMER	4K	Google TV Streamer 4K	STREAMING_DEVICE	MODEL_ALIAS	0.96	generated_head_alias
google google tv streamer 4k	GOOGLE	GOOGLE_TV_STREAMER	4K	Google TV Streamer 4K	STREAMING_DEVICE	MODEL_ALIAS	0.86	generated_head_alias
google tv streamer 4k	GOOGLE	GOOGLE_TV_STREAMER	4K	Google TV Streamer 4K	STREAMING_DEVICE	MODEL_ALIAS	0.91	generated_head_alias
ROKU Roku Ultra	ROKU	ULTRA	ULTRA	Roku Ultra	STREAMING_DEVICE	MODEL_ALIAS	0.93	generated_head_alias
Roku Ultra	ROKU	ULTRA	ULTRA	Roku Ultra	STREAMING_DEVICE	MODEL_ALIAS	0.88	generated_head_alias
roku roku ultra	ROKU	ULTRA	ULTRA	Roku Ultra	STREAMING_DEVICE	MODEL_ALIAS	0.89	generated_head_alias
roku ultra	ROKU	ULTRA	ULTRA	Roku Ultra	STREAMING_DEVICE	MODEL_ALIAS	0.92	generated_head_alias
ROKU Roku Express 4K	ROKU	EXPRESS	EXPRESS_4K	Roku Express 4K	STREAMING_DEVICE	MODEL_ALIAS	0.9	generated_head_alias
Roku Express 4K	ROKU	EXPRESS	EXPRESS_4K	Roku Express 4K	STREAMING_DEVICE	MODEL_ALIAS	0.83	generated_head_alias
roku express 4k	ROKU	EXPRESS	EXPRESS_4K	Roku Express 4K	STREAMING_DEVICE	MODEL_ALIAS	0.96	generated_head_alias
roku roku express 4k	ROKU	EXPRESS	EXPRESS_4K	Roku Express 4K	STREAMING_DEVICE	MODEL_ALIAS	0.95	generated_head_alias
AMAZON Fire TV Stick 4K Max	AMAZON	FIRE_TV	STICK_4K_MAX	Fire TV Stick 4K Max	STREAMING_DEVICE	MODEL_ALIAS	0.86	generated_head_alias
Fire TV Stick 4K Max	AMAZON	FIRE_TV	STICK_4K_MAX	Fire TV Stick 4K Max	STREAMING_DEVICE	MODEL_ALIAS	0.84	generated_head_alias
amazon fire tv stick 4k max	AMAZON	FIRE_TV	STICK_4K_MAX	Fire TV Stick 4K Max	STREAMING_DEVICE	MODEL_ALIAS	0.92	generated_head_alias
fire tv stick 4k max	AMAZON	FIRE_TV	STICK_4K_MAX	Fire TV Stick 4K Max	STREAMING_DEVICE	MODEL_ALIAS	0.86	generated_head_alias
NVIDIA Shield TV Pro	NVIDIA	SHIELD_TV	PRO	Shield TV Pro	STREAMING_DEVICE	MODEL_ALIAS	0.87	generated_head_alias
Shield TV Pro	NVIDIA	SHIELD_TV	PRO	Shield TV Pro	STREAMING_DEVICE	MODEL_ALIAS	0.93	generated_head_alias
nvidia shield tv pro	NVIDIA	SHIELD_TV	PRO	Shield TV Pro	STREAMING_DEVICE	MODEL_ALIAS	0.94	generated_head_alias
shield tv pro	NVIDIA	SHIELD_TV	PRO	Shield TV Pro	STREAMING_DEVICE	MODEL_ALIAS	0.84	generated_head_alias
TV Box S 2nd Gen	XIAOMI	TV_BOX	S_2ND_GEN	TV Box S 2nd Gen	TV_BOX	MODEL_ALIAS	0.94	generated_head_alias
XIAOMI TV Box S 2nd Gen	XIAOMI	TV_BOX	S_2ND_GEN	TV Box S 2nd Gen	TV_BOX	MODEL_ALIAS	0.95	generated_head_alias
tv box s 2nd gen	XIAOMI	TV_BOX	S_2ND_GEN	TV Box S 2nd Gen	TV_BOX	MODEL_ALIAS	0.83	generated_head_alias
xiaomi tv box s 2nd gen	XIAOMI	TV_BOX	S_2ND_GEN	TV Box S 2nd Gen	TV_BOX	MODEL_ALIAS	0.92	generated_head_alias
FORMULER Z11 Pro Max	FORMULER	Z_SERIES	Z11_PRO_MAX	Z11 Pro Max	TV_BOX	MODEL_ALIAS	0.87	generated_head_alias
Z11 Pro Max	FORMULER	Z_SERIES	Z11_PRO_MAX	Z11 Pro Max	TV_BOX	MODEL_ALIAS	0.95	generated_head_alias
formuler z11 pro max	FORMULER	Z_SERIES	Z11_PRO_MAX	Z11 Pro Max	TV_BOX	MODEL_ALIAS	0.83	generated_head_alias
z11 pro max	FORMULER	Z_SERIES	Z11_PRO_MAX	Z11 Pro Max	TV_BOX	MODEL_ALIAS	0.95	generated_head_alias
INFOMIR MAG 524w3	INFOMIR	MAG	MAG524	MAG 524w3	SET_TOP_BOX	MODEL_ALIAS	0.93	generated_head_alias
MAG 524w3	INFOMIR	MAG	MAG524	MAG 524w3	SET_TOP_BOX	MODEL_ALIAS	0.86	generated_head_alias
infomir mag 524w3	INFOMIR	MAG	MAG524	MAG 524w3	SET_TOP_BOX	MODEL_ALIAS	0.94	generated_head_alias
mag 524w3	INFOMIR	MAG	MAG524	MAG 524w3	SET_TOP_BOX	MODEL_ALIAS	0.83	generated_head_alias
AVR X1800H	DENON	AVR_X	X1800H	AVR-X1800H	AV_RECEIVER	MODEL_ALIAS	0.9	generated_head_alias
AVR-X1800H	DENON	AVR_X	X1800H	AVR-X1800H	AV_RECEIVER	MODEL_ALIAS	0.86	generated_head_alias
DENON AVR-X1800H	DENON	AVR_X	X1800H	AVR-X1800H	AV_RECEIVER	MODEL_ALIAS	0.84	generated_head_alias
avr-x1800h	DENON	AVR_X	X1800H	AVR-X1800H	AV_RECEIVER	MODEL_ALIAS	0.87	generated_head_alias
denon avr-x1800h	DENON	AVR_X	X1800H	AVR-X1800H	AV_RECEIVER	MODEL_ALIAS	0.92	generated_head_alias
AVR X2800H	DENON	AVR_X	X2800H	AVR-X2800H	AV_RECEIVER	MODEL_ALIAS	0.98	generated_head_alias
AVR-X2800H	DENON	AVR_X	X2800H	AVR-X2800H	AV_RECEIVER	MODEL_ALIAS	0.96	generated_head_alias
DENON AVR-X2800H	DENON	AVR_X	X2800H	AVR-X2800H	AV_RECEIVER	MODEL_ALIAS	0.87	generated_head_alias
avr-x2800h	DENON	AVR_X	X2800H	AVR-X2800H	AV_RECEIVER	MODEL_ALIAS	0.97	generated_head_alias
denon avr-x2800h	DENON	AVR_X	X2800H	AVR-X2800H	AV_RECEIVER	MODEL_ALIAS	0.92	generated_head_alias
AVR X3800H	DENON	AVR_X	X3800H	AVR-X3800H	AV_RECEIVER	MODEL_ALIAS	0.89	generated_head_alias
AVR-X3800H	DENON	AVR_X	X3800H	AVR-X3800H	AV_RECEIVER	MODEL_ALIAS	0.96	generated_head_alias
DENON AVR-X3800H	DENON	AVR_X	X3800H	AVR-X3800H	AV_RECEIVER	MODEL_ALIAS	0.96	generated_head_alias
avr-x3800h	DENON	AVR_X	X3800H	AVR-X3800H	AV_RECEIVER	MODEL_ALIAS	0.91	generated_head_alias
denon avr-x3800h	DENON	AVR_X	X3800H	AVR-X3800H	AV_RECEIVER	MODEL_ALIAS	0.92	generated_head_alias
Cinema 50	MARANTZ	CINEMA	CINEMA_50	Cinema 50	AV_RECEIVER	MODEL_ALIAS	0.92	generated_head_alias
MARANTZ Cinema 50	MARANTZ	CINEMA	CINEMA_50	Cinema 50	AV_RECEIVER	MODEL_ALIAS	0.87	generated_head_alias
cinema 50	MARANTZ	CINEMA	CINEMA_50	Cinema 50	AV_RECEIVER	MODEL_ALIAS	0.83	generated_head_alias
marantz cinema 50	MARANTZ	CINEMA	CINEMA_50	Cinema 50	AV_RECEIVER	MODEL_ALIAS	0.86	generated_head_alias
RX V6A	YAMAHA	RX_V	V6A	RX-V6A	AV_RECEIVER	MODEL_ALIAS	0.84	generated_head_alias
RX-V6A	YAMAHA	RX_V	V6A	RX-V6A	AV_RECEIVER	MODEL_ALIAS	0.93	generated_head_alias
YAMAHA RX-V6A	YAMAHA	RX_V	V6A	RX-V6A	AV_RECEIVER	MODEL_ALIAS	0.91	generated_head_alias
rx-v6a	YAMAHA	RX_V	V6A	RX-V6A	AV_RECEIVER	MODEL_ALIAS	0.96	generated_head_alias
yamaha rx-v6a	YAMAHA	RX_V	V6A	RX-V6A	AV_RECEIVER	MODEL_ALIAS	0.98	generated_head_alias
ONKYO TX-NR6100	ONKYO	TX_NR	NR6100	TX-NR6100	AV_RECEIVER	MODEL_ALIAS	0.98	generated_head_alias
TX NR6100	ONKYO	TX_NR	NR6100	TX-NR6100	AV_RECEIVER	MODEL_ALIAS	0.93	generated_head_alias
TX-NR6100	ONKYO	TX_NR	NR6100	TX-NR6100	AV_RECEIVER	MODEL_ALIAS	0.94	generated_head_alias
onkyo tx-nr6100	ONKYO	TX_NR	NR6100	TX-NR6100	AV_RECEIVER	MODEL_ALIAS	0.84	generated_head_alias
tx-nr6100	ONKYO	TX_NR	NR6100	TX-NR6100	AV_RECEIVER	MODEL_ALIAS	0.89	generated_head_alias
PIONEER VSX-935	PIONEER	VSX	935	VSX-935	AV_RECEIVER	MODEL_ALIAS	0.88	generated_head_alias
VSX 935	PIONEER	VSX	935	VSX-935	AV_RECEIVER	MODEL_ALIAS	0.92	generated_head_alias
VSX-935	PIONEER	VSX	935	VSX-935	AV_RECEIVER	MODEL_ALIAS	0.92	generated_head_alias
pioneer vsx-935	PIONEER	VSX	935	VSX-935	AV_RECEIVER	MODEL_ALIAS	0.87	generated_head_alias
vsx-935	PIONEER	VSX	935	VSX-935	AV_RECEIVER	MODEL_ALIAS	0.93	generated_head_alias
HT A9	SONY	HOME_THEATER	HT_A9	HT-A9	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.82	generated_head_alias
HT-A9	SONY	HOME_THEATER	HT_A9	HT-A9	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.95	generated_head_alias
SONY HT-A9	SONY	HOME_THEATER	HT_A9	HT-A9	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.87	generated_head_alias
ht-a9	SONY	HOME_THEATER	HT_A9	HT-A9	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.88	generated_head_alias
sony ht-a9	SONY	HOME_THEATER	HT_A9	HT-A9	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.97	generated_head_alias
