attribute_code	value_code	label_ru	aliases	priority	value_kind	notes
disc_format	UHD_BLU_RAY	UHD Blu-ray	4k blu-ray	102	head	
disc_format	CD	CD		103	head	
disc_format	SACD	SACD		104	head	
disc_format	DVD_AUDIO	DVD-Audio		105	head	
set_top_box_type	CABLE_BOX	Кабельная приставка	cable	100	head	
set_top_box_type	SATELLITE_RECEIVER	Спутниковый ресивер	sat receiver	101	head	
set_top_box_type	IPTV_BOX	IPTV box		102	head	
set_top_box_type	DVB_T2_RECEIVER	DVB-T2 ресивер		103	head	
set_top_box_type	HYBRID_RECEIVER	Hybrid receiver		104	head	
set_top_box_type	OTT_BOX	OTT box		105	head	
remote_target_type	TV	Для ТВ		100	head	
remote_target_type	STREAMING_DEVICE	Для медиаплеера		101	head	
remote_target_type	AV_RECEIVER	Для AV-ресивера		102	head	
remote_target_type	PROJECTOR	Для проектора		103	head	
remote_target_type	SET_TOP_BOX	Для приставки		104	head	
remote_target_type	UNIVERSAL	Универсальный		105	head	
remote_target_type	AIR_MOUSE	Air mouse		106	head	
remote_target_type	MAGIC_REMOTE	Magic Remote	LG	107	head	
mount_type	FIXED_WALL	Фиксированный настенный	fixed	100	head	
mount_type	TILT_WALL	Наклонный настенный	tilt	101	head	
mount_type	FULL_MOTION	Поворотно-наклонный	full motion / swivel	102	head	
mount_type	CEILING_MOUNT	Потолочный	ceiling	103	head	
mount_type	FLOOR_STAND	Напольная стойка	floor stand	104	head	
mount_type	DESK_STAND	Настольная стойка	table stand	105	head	
mount_type	PROJECTOR_CEILING	Потолочный для проектора	projector mount	106	head	
vesa_pattern	VESA_75X75	75x75		100	head	
vesa_pattern	VESA_100X100	100x100		101	head	
vesa_pattern	VESA_200X200	200x200		102	head	
vesa_pattern	VESA_300X300	300x300		103	head	
vesa_pattern	VESA_400X400	400x400		104	head	
vesa_pattern	VESA_600X400	600x400		105	head	
vesa_pattern	VESA_800X400	800x400		106	head	
vesa_pattern	UNIVERSAL	Universal		107	head	
screen_format	FORMAT_16_9	16:9		100	head	
screen_format	FORMAT_16_10	16:10		101	head	
screen_format	FORMAT_4_3	4:3		102	head	
screen_format	FORMAT_2_35_1	2.35:1	cinemascope	103	head	
screen_format	FORMAT_1_1	1:1		104	head	
screen_surface_type	MATTE_WHITE	Matte white		100	head	
screen_surface_type	GREY	Grey		101	head	
screen_surface_type	ALR	ALR	ambient light rejecting	102	head	
screen_surface_type	CLR_UST	CLR/UST	ultra short throw screen	103	head	
screen_surface_type	ACOUSTIC_TRANSPARENT	Acoustic transparent		104	head	
screen_surface_type	BEADED	Glass beaded		105	head	
voice_assistant	GOOGLE_ASSISTANT	Google Assistant		100	head	
voice_assistant	ALEXA	Alexa		101	head	
voice_assistant	SIRI	Siri		102	head	
voice_assistant	BIXBY	Bixby		103	head	
voice_assistant	ALICE	Алиса		104	head	
voice_assistant	NONE	Нет		105	head	
panel_defect_status	NO_KNOWN_DEFECTS	Без известных дефектов		100	head	
panel_defect_status	BURN_IN	Выгорание OLED	burn-in	101	head	
panel_defect_status	DEAD_PIXELS	Битые пиксели		102	head	
panel_defect_status	LINES_ON_PANEL	Полосы на матрице		103	head	
panel_defect_status	BACKLIGHT_BLEED	Засветы		104	head	
panel_defect_status	CRACKED_PANEL	Трещина/разбитая панель		105	head	
panel_defect_status	UNKNOWN	Неизвестно		106	head	
currency	RUB	RUB	руб	100	head	
currency	EUR	EUR	€	101	head	
currency	USD	USD	$	102	head	
availability	IN_STOCK	В наличии		100	head	
availability	OUT_OF_STOCK	Нет в наличии		101	head	
availability	PREORDER	Предзаказ		102	head	
av_brand_head_delta	SAMSUNG	Samsung	самсунг	100	head	
av_brand_head_delta	LG	LG	лджи / элджи	101	head	
av_brand_head_delta	SONY	Sony	сони	102	head	
av_brand_head_delta	TCL	TCL	тисель	103	head	
av_brand_head_delta	HISENSE	Hisense	хайсенс	104	head	
av_brand_head_delta	PHILIPS	Philips	филипс	105	head	
av_brand_head_delta	PANASONIC	Panasonic	панасоник	106	head	
av_brand_head_delta	SHARP	Sharp	шарп	107	head	
av_brand_head_delta	TOSHIBA	Toshiba	тошиба	108	head	
av_brand_head_delta	XIAOMI	Xiaomi	сяоми	109	head	
av_brand_head_delta	VIZIO	Vizio	визио	110	head	
av_brand_head_delta	JVC	JVC	дживиси	111	head	
av_brand_head_delta	SKYWORTH	Skyworth	скайворт	112	head	
av_brand_head_delta	HAIER	Haier	хаер	113	head	
av_brand_head_delta	HYUNDAI	Hyundai	хендай	114	head	
av_brand_head_delta	ERISSON	Erisson	эриссон	115	head	
av_brand_head_delta	BBK	BBK	ббк	116	head	
av_brand_head_delta	SUPRA	Supra	супра	117	head	
av_brand_head_delta	APPLE	Apple	эпл	118	head	
av_brand_head_delta	GOOGLE	Google	гугл	119	head	
av_brand_head_delta	ROKU	Roku	року	120	head	
av_brand_head_delta	AMAZON	Amazon	fire tv	121	head	
av_brand_head_delta	NVIDIA	NVIDIA	нвидиа	122	head	
av_brand_head_delta	XGIMI	XGIMI	ксиджими / xgimi	123	head	
av_brand_head_delta	EPSON	Epson	эпсон	124	head	
av_brand_head_delta	BENQ	BenQ	бенкью	125	head	
av_brand_head_delta	OPTOMA	Optoma	оптома	126	head	
av_brand_head_delta	VIEWSONIC	ViewSonic	вьюсоник	127	head	
av_brand_head_delta	ANKER_NEBULA	Anker Nebula	nebula	128	head	
av_brand_head_delta	FORMOVIE	Formovie	формуви	129	head	
av_brand_head_delta	DANGBEI	Dangbei	дангбей	130	head	
av_brand_head_delta	JMGO	JMGO	джимго	131	head	
av_brand_head_delta	DENON	Denon	денон	132	head	
av_brand_head_delta	MARANTZ	Marantz	маранц	133	head	
av_brand_head_delta	YAMAHA	Yamaha	ямаха	134	head	
av_brand_head_delta	ONKYO	Onkyo	онкио	135	head	
av_brand_head_delta	PIONEER	Pioneer	пионер	136	head	
av_brand_head_delta	HARMAN_KARDON	Harman Kardon	харман кардон	137	head	
av_brand_head_delta	SANUS	Sanus	санус	138	head	
av_brand_head_delta	VOGELS	Vogel's	vogels	139	head	
av_brand_head_delta	ONKRON	ONKRON	онкрон	140	head	
av_brand_head_delta	KROMAX	Kromax	кромакс	141	head	
av_brand_head_delta	ELITE_SCREENS	Elite Screens	элит скринс	142	head	
av_brand_head_delta	LUMENE	Lumene	люмен	143	head	
av_brand_head_delta	PROJECTA	Projecta	проджекта	144	head	
av_brand_head_delta	SILVER_TICKET	Silver Ticket	silver ticket	145	head	
av_brand_head_delta	SAMSUNG	Samsung	самсунг	100	head	AV brand head/facet delta
av_brand_head_delta	LG	LG	лджи / элджи	101	head	AV brand head/facet delta
av_brand_head_delta	SONY	Sony	сони	102	head	AV brand head/facet delta
av_brand_head_delta	TCL	TCL	тисель	103	head	AV brand head/facet delta
av_brand_head_delta	HISENSE	Hisense	хайсенс	104	head	AV brand head/facet delta
av_brand_head_delta	PHILIPS	Philips	филипс	105	head	AV brand head/facet delta
av_brand_head_delta	PANASONIC	Panasonic	панасоник	106	head	AV brand head/facet delta
av_brand_head_delta	SHARP	Sharp	шарп	107	head	AV brand head/facet delta
av_brand_head_delta	TOSHIBA	Toshiba	тошиба	108	head	AV brand head/facet delta
av_brand_head_delta	XIAOMI	Xiaomi	сяоми	109	head	AV brand head/facet delta
av_brand_head_delta	VIZIO	Vizio	визио	110	head	AV brand head/facet delta
av_brand_head_delta	JVC	JVC	дживиси	111	head	AV brand head/facet delta
av_brand_head_delta	SKYWORTH	Skyworth	скайворт	112	head	AV brand head/facet delta
av_brand_head_delta	HAIER	Haier	хаер	113	head	AV brand head/facet delta
av_brand_head_delta	HYUNDAI	Hyundai	хендай	114	head	AV brand head/facet delta
av_brand_head_delta	ERISSON	Erisson	эриссон	115	head	AV brand head/facet delta
av_brand_head_delta	BBK	BBK	ббк	116	head	AV brand head/facet delta
av_brand_head_delta	SUPRA	Supra	супра	117	head	AV brand head/facet delta
av_brand_head_delta	APPLE	Apple	эпл	118	head	AV brand head/facet delta
av_brand_head_delta	GOOGLE	Google	гугл	119	head	AV brand head/facet delta
av_brand_head_delta	ROKU	Roku	року	120	head	AV brand head/facet delta
av_brand_head_delta	AMAZON	Amazon	fire tv	121	head	AV brand head/facet delta
av_brand_head_delta	NVIDIA	NVIDIA	нвидиа	122	head	AV brand head/facet delta
av_brand_head_delta	XGIMI	XGIMI	ксиджими / xgimi	123	head	AV brand head/facet delta
av_brand_head_delta	EPSON	Epson	эпсон	124	head	AV brand head/facet delta
av_brand_head_delta	BENQ	BenQ	бенкью	125	head	AV brand head/facet delta
av_brand_head_delta	OPTOMA	Optoma	оптома	126	head	AV brand head/facet delta
av_brand_head_delta	VIEWSONIC	ViewSonic	вьюсоник	127	head	AV brand head/facet delta
av_brand_head_delta	ANKER_NEBULA	Anker Nebula	nebula	128	head	AV brand head/facet delta
av_brand_head_delta	FORMOVIE	Formovie	формуви	129	head	AV brand head/facet delta
av_brand_head_delta	DANGBEI	Dangbei	дангбей	130	head	AV brand head/facet delta
av_brand_head_delta	JMGO	JMGO	джимго	131	head	AV brand head/facet delta
av_brand_head_delta	DENON	Denon	денон	132	head	AV brand head/facet delta
av_brand_head_delta	MARANTZ	Marantz	маранц	133	head	AV brand head/facet delta
av_brand_head_delta	YAMAHA	Yamaha	ямаха	134	head	AV brand head/facet delta
av_brand_head_delta	ONKYO	Onkyo	онкио	135	head	AV brand head/facet delta
av_brand_head_delta	PIONEER	Pioneer	пионер	136	head	AV brand head/facet delta
av_brand_head_delta	HARMAN_KARDON	Harman Kardon	харман кардон	137	head	AV brand head/facet delta
av_brand_head_delta	SANUS	Sanus	санус	138	head	AV brand head/facet delta
av_brand_head_delta	VOGELS	Vogel's	vogels	139	head	AV brand head/facet delta
av_brand_head_delta	ONKRON	ONKRON	онкрон	140	head	AV brand head/facet delta
av_brand_head_delta	KROMAX	Kromax	кромакс	141	head	AV brand head/facet delta
av_brand_head_delta	ELITE_SCREENS	Elite Screens	элит скринс	142	head	AV brand head/facet delta
av_brand_head_delta	LUMENE	Lumene	люмен	143	head	AV brand head/facet delta
av_brand_head_delta	PROJECTA	Projecta	проджекта	144	head	AV brand head/facet delta
av_brand_head_delta	SILVER_TICKET	Silver Ticket	silver ticket	145	head	AV brand head/facet delta
