attribute_code	label_ru	role	data_type	required_policy	multi_value	allowed_values_source	unit	usage_scope	description_ru
included_accessories	Комплектация	T2_OPTIONAL_ENRICHMENT	string	optional	true	free_text		display	Пульт, кабель питания, ножки, кронштейн и т.д.
original_remote_included	Оригинальный пульт в комплекте	T2_OPTIONAL_ENRICHMENT	boolean	optional	false	boolean		publish_quality	Особенно важно для ТВ/ресиверов/приставок.
original_stand_included	Оригинальная подставка ТВ	T2_OPTIONAL_ENRICHMENT	boolean	optional_for_tv	false	boolean		publish_quality	Важный resale-признак.
panel_defect_status	Дефекты панели/матрицы	T2_OPTIONAL_ENRICHMENT	enum	optional_for_tv_projector	false	values.tsv#panel_defect_status		publish_quality	Burn-in, битые пиксели, полосы и т.д.
lamp_hours	Наработка лампы/лазера, ч	T2_OPTIONAL_ENRICHMENT	number	optional_for_projector	false	range:0..100000	hours	publish_quality	Наработка проектора.
warranty	Гарантия	T2_OPTIONAL_ENRICHMENT	enum	optional	false	TECH.ELECTRONICS_COMMON#warranty		publish_quality	Гарантия продавца/производителя.
compatibility_target_text	Текст совместимости	T2_OPTIONAL_ENRICHMENT	string	optional_for_remote_mount_screen	false	free_text		compatibility	Для каких ТВ/проекторов/устройств подходит.
identity_confidence	Уверенность identity	T3_SYSTEM_HIDDEN	number	system	false	range:0..1		system	Не показывать в UI.
spec_confidence	Уверенность specs	T3_SYSTEM_HIDDEN	number	system	false	range:0..1		system	Не показывать в UI.
route_confidence	Уверенность routing	T3_SYSTEM_HIDDEN	number	system	false	range:0..1		system	Не показывать в UI.
source_evidence	Evidence	T3_SYSTEM_HIDDEN	json	system	true	computed		system	Служебные источники evidence.
dedup_key	Dedup key	T3_SYSTEM_HIDDEN	string	system	false	computed		system	Служебный ключ дедупликации.
image_fingerprint	Image fingerprint	T3_SYSTEM_HIDDEN	string	system	false	computed		system	Служебный perceptual hash.
normalized_title	Нормализованный title	T3_SYSTEM_HIDDEN	string	system	false	computed		system	Для routing/search.
brand	Бренд	T0_CORE	enum	always	false	TECH.ELECTRONICS_COMMON#brand		inherited	Наследуется из Electronics common + AV brand head/runtime candidates.
condition	Состояние	T0_CORE	enum	always	false	TECH.ELECTRONICS_COMMON#condition		inherited	Новое/б/у/refurbished/for parts.
model_name_text	Название модели текстом	T0_CORE	string	recommended	false	free_text		identity	Текстовая модель до нормализации.
family	Семейство	T1_TYPE_SPECIFIC	enum	optional	false	TECH.DEVICE_IDENTITY_COMMON#family		identity	BRAVIA, OLED evo, The Frame, Shield TV и т.п.
line	Линейка	T1_TYPE_SPECIFIC	enum	optional	false	TECH.DEVICE_IDENTITY_COMMON#line		identity	Линейка внутри семейства.
model	Модель	T1_TYPE_SPECIFIC	enum	optional	false	runtime_candidates/live_values		identity	Head seed + runtime candidates.
mpn	MPN	T2_OPTIONAL_ENRICHMENT	string	optional	false	free_text		identity	Model/part number производителя.
gtin	GTIN/EAN/UPC	T2_OPTIONAL_ENRICHMENT	string	optional	false	regex:gtin		identity	Штрихкод.
release_year	Год выпуска	T1_TYPE_SPECIFIC	number	optional	false	range:1990..2035	year	search_filter	Наследуемое поле.
region_variant	Региональная версия	T2_OPTIONAL_ENRICHMENT	enum	optional	false	TECH.DEVICE_IDENTITY_COMMON#region_variant		identity	EU/US/JP/CN/Global и т.п.
color_family	Цвет	T0_CORE	enum	recommended	false	TECH.ELECTRONICS_COMMON#color_family		search_filter_publish	Нормализованный цвет.
price	Цена	T0_CORE	number	publish_required	false	range:0..10000000		commerce	Commerce layer.
currency	Валюта	T0_CORE	enum	publish_required	false	values:currency		commerce	Commerce layer.
availability	Наличие	T0_CORE	enum	publish_required	false	values:availability		commerce	Commerce layer.
