brand	family	line	model	model_aliases	phone_type	release_year	region_scope	source_policy	status	notes
GOOGLE	PIXEL	Pixel 9	Pixel 9 Pro	pixel 9 pro|гугл pixel 9 pro	SMARTPHONE	2024	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel Fold	Pixel 9 Pro Fold	pixel 9 pro fold|гугл pixel 9 pro fold	FOLDABLE_PHONE	2024	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel 9	Pixel 9	pixel 9|гугл pixel 9	SMARTPHONE	2024	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel A	Pixel 9a	pixel 9a|гугл pixel 9a	SMARTPHONE	2025	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel 8	Pixel 8 Pro	pixel 8 pro|гугл pixel 8 pro	SMARTPHONE	2023	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel 8	Pixel 8	pixel 8|гугл pixel 8	SMARTPHONE	2023	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel A	Pixel 8a	pixel 8a|гугл pixel 8a	SMARTPHONE	2024	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel 7	Pixel 7 Pro	pixel 7 pro|гугл pixel 7 pro	SMARTPHONE	2022	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel 7	Pixel 7	pixel 7|гугл pixel 7	SMARTPHONE	2022	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
GOOGLE	PIXEL	Pixel A	Pixel 7a	pixel 7a|гугл pixel 7a	SMARTPHONE	2023	GLOBAL	official_google_store_2026_05	head_seed	head seed, not full registry
XIAOMI	XIAOMI	Xiaomi	Xiaomi 15	xiaomi 15	SMARTPHONE	2025	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
XIAOMI	XIAOMI	Xiaomi	Xiaomi 15 Ultra	xiaomi 15 ultra	SMARTPHONE	2025	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
XIAOMI	XIAOMI	Xiaomi	Xiaomi 14	xiaomi 14	SMARTPHONE	2024	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
XIAOMI	XIAOMI	Xiaomi	Xiaomi 14 Ultra	xiaomi 14 ultra	SMARTPHONE	2024	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
REDMI	REDMI	Redmi	Redmi 15	redmi 15	SMARTPHONE	2026	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
REDMI	REDMI	Redmi	Redmi 15 5G	redmi 15 5g	SMARTPHONE	2026	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
REDMI	REDMI	Redmi	Redmi 15C	redmi 15c	SMARTPHONE	2026	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
REDMI	REDMI_NOTE	Redmi Note	Redmi Note 14 Pro+ 5G	redmi note 14 pro+ 5g	SMARTPHONE	2025	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
REDMI	REDMI_NOTE	Redmi Note	Redmi Note 14 Pro 5G	redmi note 14 pro 5g	SMARTPHONE	2025	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
REDMI	REDMI_NOTE	Redmi Note	Redmi Note 14S	redmi note 14s	SMARTPHONE	2025	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
REDMI	REDMI	Redmi	Redmi 13x	redmi 13x	SMARTPHONE	2025	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
REDMI	REDMI_A	Redmi A	Redmi A5	redmi a5	SMARTPHONE	2025	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
POCO	POCO_F	POCO F	POCO F7 Ultra	poco f7 ultra	SMARTPHONE	2026	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
POCO	POCO_F	POCO F	POCO F7 Pro	poco f7 pro	SMARTPHONE	2026	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
POCO	POCO_F	POCO F	POCO F7	poco f7	SMARTPHONE	2026	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
POCO	POCO_M	POCO M	POCO M7 Pro 5G	poco m7 pro 5g	SMARTPHONE	2025	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
POCO	POCO_M	POCO M	POCO M7	poco m7	SMARTPHONE	2026	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
POCO	POCO_C	POCO C	POCO C71	poco c71	SMARTPHONE	2026	GLOBAL	official_xiaomi_product_list_2026_05	head_seed	head seed, not full registry
HUAWEI	PURA	Pura	Huawei Pura 70 Ultra	huawei pura 70 ultra	SMARTPHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
HUAWEI	MATE	Mate	Huawei Mate 60 Pro	huawei mate 60 pro	SMARTPHONE	2023	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
HONOR	MAGIC	Magic	Honor Magic7 Pro	honor magic7 pro	SMARTPHONE	2025	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
HONOR	X	X	Honor X9c	honor x9c	SMARTPHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
ONEPLUS	ONEPLUS	Number Series	OnePlus 13	oneplus 13	SMARTPHONE	2025	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
ONEPLUS	NORD	Nord	OnePlus Nord 4	oneplus nord 4	SMARTPHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
OPPO	FIND	Find	OPPO Find X8 Pro	oppo find x8 pro	SMARTPHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
OPPO	RENO	Reno	OPPO Reno13 Pro	oppo reno13 pro	SMARTPHONE	2025	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
VIVO	X	X	vivo X200 Pro	vivo x200 pro	SMARTPHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
VIVO	V	V	vivo V40	vivo v40	SMARTPHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
REALME	GT	GT	realme GT 7 Pro	realme gt 7 pro	SMARTPHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
REALME	NUMBER	Number	realme 14 Pro+	realme 14 pro+	SMARTPHONE	2025	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
NOTHING	PHONE	Phone	Nothing Phone (3)	nothing phone (3)	SMARTPHONE	2025	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
NOTHING	PHONE	Phone	Nothing Phone (2a)	nothing phone (2a)	SMARTPHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
MOTOROLA	EDGE	Edge	Motorola Edge 50 Pro	motorola edge 50 pro	SMARTPHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
MOTOROLA	RAZR	Razr	Motorola Razr 50 Ultra	motorola razr 50 ultra	FOLDABLE_PHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
NOKIA	CLASSIC	Classic	Nokia 3310 (2017)	nokia 3310 (2017)	FEATURE_PHONE	2017	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
NOKIA	FEATURE	Feature	Nokia 105	nokia 105	FEATURE_PHONE	2023	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
SONY	XPERIA	Xperia	Sony Xperia 1 VI	sony xperia 1 vi	SMARTPHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
ASUS	ROG_PHONE	ROG Phone	ASUS ROG Phone 9 Pro	asus rog phone 9 pro	SMARTPHONE	2025	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
TECNO	CAMON	Camon	Tecno Camon 30 Pro	tecno camon 30 pro	SMARTPHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
INFINIX	NOTE	Note	Infinix Note 40 Pro	infinix note 40 pro	SMARTPHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
BLACKVIEW	BV	BV	Blackview BV9300 Pro	blackview bv9300 pro	RUGGED_PHONE	2024	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
CAT	S	S	CAT S75	cat s75	RUGGED_PHONE	2023	GLOBAL	runtime_vendor_title_or_official_feed_required	head_seed	head seed, not full registry
