attribute_code	value_code	label_ru	aliases_ru	priority	head	status	notes
condition	FOR_PARTS	На запчасти	for parts|не работает|донор	100	true	active	
condition	REFURBISHED	Восстановленный	refurbished|реф|восстановлен	100	true	active	
network_lock_status	UNLOCKED	Разлочен / unlocked	unlocked|factory unlocked|без привязки	100	true	active	
network_lock_status	LOCKED_TO_CARRIER	Залочен на оператора	locked|залочен|под оператора	100	true	active	
network_lock_status	FACTORY_UNLOCKED	Factory unlocked	factory unlocked	100	true	active	
network_lock_status	CARRIER_UNLOCK_ELIGIBLE	Можно разлочить	unlock eligible	100	true	active	
network_lock_status	UNKNOWN	Неизвестно	не знаю|unknown	100	true	active	
activation_status	NOT_ACTIVATED	Не активирован		100	true	active	
activation_status	ACTIVATED	Активирован		100	true	active	
activation_status	ACTIVATION_LOCKED	Блокировка активации		100	true	active	
activation_status	UNKNOWN	Неизвестно		100	true	active	
account_lock_status	NO_ACCOUNT_LOCK	Нет блокировки аккаунта	icloud off|frp off	100	true	active	
account_lock_status	ICLOUD_LOCKED	iCloud locked	icloud lock|айклауд	100	true	active	
account_lock_status	GOOGLE_FRP_LOCKED	Google FRP locked	frp lock	100	true	active	
account_lock_status	OWNER_ACCOUNT_LOCKED	Блокировка владельца	owner locked	100	true	active	
account_lock_status	UNKNOWN	Неизвестно	unknown	100	true	active	
imei_status	CLEAN	Чистый		100	true	active	
imei_status	BLACKLISTED	В чёрном списке		100	true	active	
imei_status	REPORTED_STOLEN	Заявлен украденным		100	true	active	
imei_status	FINANCE_LOCKED	Финансовая блокировка		100	true	active	
imei_status	UNKNOWN	Неизвестно		100	true	active	
imei_status	NOT_CHECKED	Не проверялось		100	true	active	
blacklist_status	CLEAR	Нет blacklist		100	true	active	
blacklist_status	BLACKLISTED	Blacklist		100	true	active	
blacklist_status	UNKNOWN	Неизвестно		100	true	active	
blacklist_status	NOT_APPLICABLE	Не применимо		100	true	active	
storage_capacity_gb	4	4 ГБ	4gb|4 гб|4g	100	true	active	
storage_capacity_gb	8	8 ГБ	8gb|8 гб|8g	100	true	active	
storage_capacity_gb	16	16 ГБ	16gb|16 гб|16g	100	true	active	
storage_capacity_gb	32	32 ГБ	32gb|32 гб|32g	100	true	active	
storage_capacity_gb	64	64 ГБ	64gb|64 гб|64g	100	true	active	
storage_capacity_gb	128	128 ГБ	128gb|128 гб|128g	100	true	active	
storage_capacity_gb	256	256 ГБ	256gb|256 гб|256g	95	true	active	
storage_capacity_gb	512	512 ГБ	512gb|512 гб|512g	95	true	active	
storage_capacity_gb	1024	1024 ГБ	1024gb|1024 гб|1024g	95	true	active	
storage_capacity_gb	2048	2048 ГБ	2048gb|2048 гб|2048g	95	true	active	
ram_gb	0_5	0.5 ГБ	0.5gb ram|0.5 гб озу	100	true	active	
ram_gb	1	1 ГБ	1gb ram|1 гб озу	100	true	active	
ram_gb	2	2 ГБ	2gb ram|2 гб озу	100	true	active	
ram_gb	3	3 ГБ	3gb ram|3 гб озу	100	true	active	
ram_gb	4	4 ГБ	4gb ram|4 гб озу	100	true	active	
ram_gb	6	6 ГБ	6gb ram|6 гб озу	100	true	active	
ram_gb	8	8 ГБ	8gb ram|8 гб озу	100	true	active	
ram_gb	12	12 ГБ	12gb ram|12 гб озу	100	true	active	
ram_gb	16	16 ГБ	16gb ram|16 гб озу	100	true	active	
ram_gb	18	18 ГБ	18gb ram|18 гб озу	100	true	active	
ram_gb	24	24 ГБ	24gb ram|24 гб озу	100	true	active	
refresh_rate_hz	60	60 Гц	60hz|60 гц	100	true	active	
refresh_rate_hz	90	90 Гц	90hz|90 гц	100	true	active	
refresh_rate_hz	120	120 Гц	120hz|120 гц	100	true	active	
refresh_rate_hz	144	144 Гц	144hz|144 гц	100	true	active	
refresh_rate_hz	165	165 Гц	165hz|165 гц	100	true	active	
os_family	IOS	iOS		100	true	active	
os_family	ANDROID	Android		100	true	active	
os_family	HARMONY_OS	HarmonyOS		100	true	active	
os_family	KAIOS	KaiOS		100	true	active	
os_family	OTHER	Другая		100	true	active	
os_family	UNKNOWN	Неизвестно		100	true	active	
mobile_network_generation	2G	2G		100	true	active	
mobile_network_generation	3G	3G		100	true	active	
mobile_network_generation	4G_LTE	4G LTE		100	true	active	
mobile_network_generation	5G	5G		100	true	active	
mobile_network_generation	5G_NR	5G NR		100	true	active	
mobile_network_generation	SATELLITE	Satellite		100	true	active	
mobile_network_generation	UNKNOWN	Неизвестно		100	true	active	
sim_configuration	NANO_SIM	Nano-SIM		100	true	active	
sim_configuration	MICRO_SIM	Micro-SIM		100	true	active	
sim_configuration	ESIM_ONLY	Только eSIM		100	true	active	
sim_configuration	NANO_SIM_ESIM	Nano-SIM + eSIM		100	true	active	
sim_configuration	DUAL_NANO_SIM	2x Nano-SIM		100	true	active	
sim_configuration	DUAL_SIM_HYBRID	Hybrid Dual SIM		100	true	active	
sim_configuration	UNKNOWN	Неизвестно		100	true	active	
charging_connector	USB_C	USB-C		100	true	active	
charging_connector	LIGHTNING	Lightning		100	true	active	
charging_connector	MICRO_USB	Micro-USB		100	true	active	
charging_connector	PROPRIETARY	Проприетарный		100	true	active	
charging_connector	NONE	Нет		100	true	active	
charging_connector	UNKNOWN	Неизвестно		100	true	active	
battery_health_bucket	ABOVE_95	95–100%		100	true	active	
battery_health_bucket	90_94	90–94%		100	true	active	
battery_health_bucket	85_89	85–89%		100	true	active	
battery_health_bucket	80_84	80–84%		100	true	active	
battery_health_bucket	BELOW_80	Ниже 80%		100	true	active	
battery_health_bucket	UNKNOWN	Неизвестно		100	true	active	
battery_service_status	NORMAL	Норма		100	true	active	
battery_service_status	SERVICE_RECOMMENDED	Рекомендуется сервис		100	true	active	
battery_service_status	REPLACED	Батарея заменена		100	true	active	
battery_service_status	UNKNOWN	Неизвестно		100	true	active	
part_condition	NO_VISIBLE_DAMAGE	Без видимых повреждений		100	true	active	
part_condition	MINOR_SCRATCHES	Небольшие царапины		100	true	active	
part_condition	SCRATCHED	Царапины		100	true	active	
part_condition	CRACKED	Трещина		100	true	active	
part_condition	BROKEN	Сломано		100	true	active	
part_condition	NOT_WORKING	Не работает		100	true	active	
part_condition	UNKNOWN	Неизвестно		100	true	active	
biometric_auth_type	FACE_ID	Face ID		100	true	active	
biometric_auth_type	TOUCH_ID	Touch ID		100	true	active	
biometric_auth_type	FINGERPRINT	Сканер отпечатка		100	true	active	
biometric_auth_type	FACE_UNLOCK	Face Unlock		100	true	active	
biometric_auth_type	NONE	Нет		100	true	active	
biometric_auth_type	UNKNOWN	Неизвестно		100	true	active	
biometric_status	WORKING	Работает		100	true	active	
biometric_status	NOT_WORKING	Не работает		100	true	active	
biometric_status	REPAIRED	Ремонтировалось		100	true	active	
biometric_status	UNKNOWN	Неизвестно		100	true	active	
repair_history	NO_REPAIR_DECLARED	Ремонта не было		100	true	active	
repair_history	REPAIRED	Ремонтировался		100	true	active	
repair_history	PARTS_REPLACED	Менялись детали		100	true	active	
repair_history	UNKNOWN	Неизвестно		100	true	active	
evidence_status	YES	Да		100	true	active	
evidence_status	NO	Нет		100	true	active	
evidence_status	UNKNOWN	Неизвестно		100	true	active	
evidence_status	NOT_CHECKED	Не проверялось		100	true	active	
refurbished_status	NOT_REFURBISHED	Не восстановленный		100	true	active	
refurbished_status	MANUFACTURER_REFURBISHED	Восстановлен производителем		100	true	active	
refurbished_status	SELLER_REFURBISHED	Восстановлен продавцом		100	true	active	
refurbished_status	CERTIFIED_REFURBISHED	Сертифицированный refurbished		100	true	active	
refurbished_status	UNKNOWN	Неизвестно		100	true	active	
refurbished_grade	CERTIFIED	Certified		100	true	active	
refurbished_grade	A	Grade A		100	true	active	
refurbished_grade	B	Grade B		100	true	active	
refurbished_grade	C	Grade C		100	true	active	
refurbished_grade	UNKNOWN	Неизвестно		100	true	active	
refurbished_by	MANUFACTURER	Производитель		100	true	active	
refurbished_by	AUTHORIZED_SERVICE	Авторизованный сервис		100	true	active	
refurbished_by	SELLER	Продавец		100	true	active	
refurbished_by	THIRD_PARTY	Сторонний сервис		100	true	active	
refurbished_by	UNKNOWN	Неизвестно		100	true	active	
warranty_status	NO_WARRANTY	Нет гарантии		100	true	active	
warranty_status	SELLER_WARRANTY	Гарантия продавца		100	true	active	
warranty_status	MANUFACTURER_WARRANTY	Гарантия производителя		100	true	active	
warranty_status	EXTENDED_WARRANTY	Расширенная гарантия		100	true	active	
warranty_status	UNKNOWN	Неизвестно		100	true	active	
included_accessory	PHONE_ONLY	Только телефон		100	true	active	
included_accessory	CABLE	Кабель		100	true	active	
included_accessory	CHARGER	Зарядка		100	true	active	
included_accessory	ORIGINAL_BOX	Оригинальная коробка		100	true	active	
included_accessory	CASE	Чехол		100	true	active	
included_accessory	SCREEN_PROTECTOR	Защитное стекло		100	true	active	
included_accessory	RECEIPT	Чек		100	true	active	
included_accessory	HEADPHONES	Наушники		100	true	active	
included_accessory	SIM_TOOL	Скрепка SIM		100	true	active	
lot_type	SINGLE_ITEM	Один товар		100	true	active	
lot_type	SAME_MODEL_LOT	Лот одной модели		100	true	active	
lot_type	MIXED_PHONE_LOT	Смешанный лот телефонов		100	true	active	
lot_type	PARTS_LOT	Лот на запчасти		100	true	active	
water_resistance	IP67	IP67		100	true	active	
water_resistance	IP68	IP68		100	true	active	
water_resistance	IP69K	IP69K		100	true	active	
water_resistance	SPLASH_RESISTANT	Защита от брызг		100	true	active	
water_resistance	NONE	Нет		100	true	active	
water_resistance	UNKNOWN	Неизвестно		100	true	active	
region_variant	GLOBAL	Global		100	true	active	
region_variant	EU	EU		100	true	active	
region_variant	US	US		100	true	active	
region_variant	UK	UK		100	true	active	
region_variant	CN	China		100	true	active	
region_variant	HK	Hong Kong		100	true	active	
region_variant	JP	Japan		100	true	active	
region_variant	KR	Korea		100	true	active	
region_variant	IN	India		100	true	active	
region_variant	RU	Russia		100	true	active	
region_variant	AE	UAE		100	true	active	
region_variant	CA	Canada		100	true	active	
region_variant	AU	Australia		100	true	active	
region_variant	LATAM	Latin America		100	true	active	
region_variant	UNKNOWN	Unknown		100	true	active	
country_version	RU	Россия		100	true	active	
country_version	US	США		100	true	active	
country_version	EU	Европа		100	true	active	
country_version	CN	Китай		100	true	active	
country_version	JP	Япония		100	true	active	
country_version	IN	Индия		100	true	active	
country_version	KR	Корея		100	true	active	
country_version	UK	Великобритания		100	true	active	
country_version	AE	ОАЭ		100	true	active	
country_version	GLOBAL	Global		100	true	active	
country_version	UNKNOWN	Неизвестно		100	true	active	
carrier	MTS	МТС		100	true	active	
carrier	BEELINE	Билайн		100	true	active	
carrier	MEGAFON	МегаФон		100	true	active	
carrier	TELE2_RU	Tele2 Россия		100	true	active	
carrier	T_MOBILE_US	T-Mobile US		100	true	active	
carrier	VERIZON	Verizon		100	true	active	
carrier	ATT	AT&T		100	true	active	
carrier	US_CELLULAR	US Cellular		100	true	active	
carrier	EE	EE		100	true	active	
carrier	VODAFONE	Vodafone		100	true	active	
carrier	O2	O2		100	true	active	
carrier	THREE	Three		100	true	active	
carrier	ORANGE	Orange		100	true	active	
carrier	SFR	SFR		100	true	active	
carrier	TELEKOM_DE	Telekom DE		100	true	active	
carrier	AIRTEL	Airtel		100	true	active	
carrier	JIO	Jio		100	true	active	
carrier	DOCOMO	NTT Docomo		100	true	active	
carrier	SOFTBANK	SoftBank		100	true	active	
carrier	KDDI	au/KDDI		100	true	active	
carrier	UNKNOWN	Неизвестно		100	true	active	
identity_resolution_status	RESOLVED	Resolved		100	true	active	
identity_resolution_status	AMBIGUOUS	Ambiguous		100	true	active	
identity_resolution_status	MANUAL_REVIEW	Manual review		100	true	active	
identity_resolution_status	TEXT_ONLY	Text only		100	true	active	
identity_resolution_status	COARSE_ONLY	Coarse only		100	true	active	
identity_resolution_status	REJECTED_NO_EVIDENCE	Rejected: no evidence		100	true	active	
color_family	BLACK	Чёрный		100	true	active	
color_family	WHITE	Белый		100	true	active	
color_family	BLUE	Синий		100	true	active	
color_family	GREEN	Зелёный		100	true	active	
color_family	RED	Красный		100	true	active	
color_family	PINK	Розовый		100	true	active	
color_family	PURPLE	Фиолетовый		100	true	active	
color_family	GOLD	Золотой		100	true	active	
color_family	SILVER	Серебристый		100	true	active	
color_family	GRAY	Серый		100	true	active	
color_family	YELLOW	Жёлтый		100	true	active	
color_family	ORANGE	Оранжевый		100	true	active	
color_family	TITANIUM	Титановый		100	true	active	
color_family	MULTICOLOR	Многоцветный		100	true	active	
color_family	UNKNOWN	Неизвестно		100	true	active	
