phrase	locale	target_category_code	target_attribute	target_value	match_type	priority	route_intent	negative_guard	notes
iphone 14 pro max	ru	TECH.PHONES	model	iPhone 14 Pro Max	normalized_phrase	88	include	false	
айфон 14 pro max	ru	TECH.PHONES	model	iPhone 14 Pro Max	normalized_phrase	89	include	false	
iphone  14 pro max	ru	TECH.PHONES	model	iPhone 14 Pro Max	normalized_phrase	70	include	false	
iphone 14 plus	ru	TECH.PHONES	model	iPhone 14 Plus	normalized_phrase	88	include	false	
айфон 14 plus	ru	TECH.PHONES	model	iPhone 14 Plus	normalized_phrase	89	include	false	
iphone  14 plus	ru	TECH.PHONES	model	iPhone 14 Plus	normalized_phrase	70	include	false	
iphone 14	ru	TECH.PHONES	model	iPhone 14	normalized_phrase	88	include	false	
айфон 14	ru	TECH.PHONES	model	iPhone 14	normalized_phrase	89	include	false	
iphone  14	ru	TECH.PHONES	model	iPhone 14	normalized_phrase	70	include	false	
iphone 13 pro	ru	TECH.PHONES	model	iPhone 13 Pro	normalized_phrase	88	include	false	
айфон 13 pro	ru	TECH.PHONES	model	iPhone 13 Pro	normalized_phrase	89	include	false	
iphone  13 pro	ru	TECH.PHONES	model	iPhone 13 Pro	normalized_phrase	70	include	false	
iphone 13 pro max	ru	TECH.PHONES	model	iPhone 13 Pro Max	normalized_phrase	88	include	false	
айфон 13 pro max	ru	TECH.PHONES	model	iPhone 13 Pro Max	normalized_phrase	89	include	false	
iphone  13 pro max	ru	TECH.PHONES	model	iPhone 13 Pro Max	normalized_phrase	70	include	false	
iphone 13 mini	ru	TECH.PHONES	model	iPhone 13 mini	normalized_phrase	88	include	false	
айфон 13 mini	ru	TECH.PHONES	model	iPhone 13 mini	normalized_phrase	89	include	false	
iphone  13 mini	ru	TECH.PHONES	model	iPhone 13 mini	normalized_phrase	70	include	false	
iphone 13	ru	TECH.PHONES	model	iPhone 13	normalized_phrase	88	include	false	
айфон 13	ru	TECH.PHONES	model	iPhone 13	normalized_phrase	89	include	false	
iphone  13	ru	TECH.PHONES	model	iPhone 13	normalized_phrase	70	include	false	
iphone se (3rd generation)	ru	TECH.PHONES	model	iPhone SE (3rd generation)	normalized_phrase	88	include	false	
айфон se (3rd generation)	ru	TECH.PHONES	model	iPhone SE (3rd generation)	normalized_phrase	89	include	false	
iphone  se (3rd generation)	ru	TECH.PHONES	model	iPhone SE (3rd generation)	normalized_phrase	70	include	false	
iphone 12 pro	ru	TECH.PHONES	model	iPhone 12 Pro	normalized_phrase	88	include	false	
айфон 12 pro	ru	TECH.PHONES	model	iPhone 12 Pro	normalized_phrase	89	include	false	
iphone  12 pro	ru	TECH.PHONES	model	iPhone 12 Pro	normalized_phrase	70	include	false	
iphone 12 pro max	ru	TECH.PHONES	model	iPhone 12 Pro Max	normalized_phrase	88	include	false	
айфон 12 pro max	ru	TECH.PHONES	model	iPhone 12 Pro Max	normalized_phrase	89	include	false	
iphone  12 pro max	ru	TECH.PHONES	model	iPhone 12 Pro Max	normalized_phrase	70	include	false	
iphone 12 mini	ru	TECH.PHONES	model	iPhone 12 mini	normalized_phrase	88	include	false	
айфон 12 mini	ru	TECH.PHONES	model	iPhone 12 mini	normalized_phrase	89	include	false	
iphone  12 mini	ru	TECH.PHONES	model	iPhone 12 mini	normalized_phrase	70	include	false	
iphone 12	ru	TECH.PHONES	model	iPhone 12	normalized_phrase	88	include	false	
айфон 12	ru	TECH.PHONES	model	iPhone 12	normalized_phrase	89	include	false	
iphone  12	ru	TECH.PHONES	model	iPhone 12	normalized_phrase	70	include	false	
iphone 11 pro	ru	TECH.PHONES	model	iPhone 11 Pro	normalized_phrase	88	include	false	
айфон 11 pro	ru	TECH.PHONES	model	iPhone 11 Pro	normalized_phrase	89	include	false	
iphone  11 pro	ru	TECH.PHONES	model	iPhone 11 Pro	normalized_phrase	70	include	false	
iphone 11 pro max	ru	TECH.PHONES	model	iPhone 11 Pro Max	normalized_phrase	88	include	false	
айфон 11 pro max	ru	TECH.PHONES	model	iPhone 11 Pro Max	normalized_phrase	89	include	false	
iphone  11 pro max	ru	TECH.PHONES	model	iPhone 11 Pro Max	normalized_phrase	70	include	false	
iphone 11	ru	TECH.PHONES	model	iPhone 11	normalized_phrase	88	include	false	
айфон 11	ru	TECH.PHONES	model	iPhone 11	normalized_phrase	89	include	false	
iphone  11	ru	TECH.PHONES	model	iPhone 11	normalized_phrase	70	include	false	
iphone se (2nd generation)	ru	TECH.PHONES	model	iPhone SE (2nd generation)	normalized_phrase	88	include	false	
айфон se (2nd generation)	ru	TECH.PHONES	model	iPhone SE (2nd generation)	normalized_phrase	89	include	false	
iphone  se (2nd generation)	ru	TECH.PHONES	model	iPhone SE (2nd generation)	normalized_phrase	70	include	false	
iphone xs	ru	TECH.PHONES	model	iPhone XS	normalized_phrase	88	include	false	
айфон xs	ru	TECH.PHONES	model	iPhone XS	normalized_phrase	89	include	false	
iphone  xs	ru	TECH.PHONES	model	iPhone XS	normalized_phrase	70	include	false	
iphone xs max	ru	TECH.PHONES	model	iPhone XS Max	normalized_phrase	88	include	false	
айфон xs max	ru	TECH.PHONES	model	iPhone XS Max	normalized_phrase	89	include	false	
iphone  xs max	ru	TECH.PHONES	model	iPhone XS Max	normalized_phrase	70	include	false	
iphone xr	ru	TECH.PHONES	model	iPhone XR	normalized_phrase	88	include	false	
айфон xr	ru	TECH.PHONES	model	iPhone XR	normalized_phrase	89	include	false	
iphone  xr	ru	TECH.PHONES	model	iPhone XR	normalized_phrase	70	include	false	
iphone x	ru	TECH.PHONES	model	iPhone X	normalized_phrase	88	include	false	
айфон x	ru	TECH.PHONES	model	iPhone X	normalized_phrase	89	include	false	
iphone  x	ru	TECH.PHONES	model	iPhone X	normalized_phrase	70	include	false	
iphone 8 plus	ru	TECH.PHONES	model	iPhone 8 Plus	normalized_phrase	88	include	false	
айфон 8 plus	ru	TECH.PHONES	model	iPhone 8 Plus	normalized_phrase	89	include	false	
iphone  8 plus	ru	TECH.PHONES	model	iPhone 8 Plus	normalized_phrase	70	include	false	
iphone 8	ru	TECH.PHONES	model	iPhone 8	normalized_phrase	88	include	false	
айфон 8	ru	TECH.PHONES	model	iPhone 8	normalized_phrase	89	include	false	
iphone  8	ru	TECH.PHONES	model	iPhone 8	normalized_phrase	70	include	false	
iphone 7 plus	ru	TECH.PHONES	model	iPhone 7 Plus	normalized_phrase	88	include	false	
айфон 7 plus	ru	TECH.PHONES	model	iPhone 7 Plus	normalized_phrase	89	include	false	
iphone  7 plus	ru	TECH.PHONES	model	iPhone 7 Plus	normalized_phrase	70	include	false	
iphone 7	ru	TECH.PHONES	model	iPhone 7	normalized_phrase	88	include	false	
айфон 7	ru	TECH.PHONES	model	iPhone 7	normalized_phrase	89	include	false	
iphone  7	ru	TECH.PHONES	model	iPhone 7	normalized_phrase	70	include	false	
galaxy s26	ru	TECH.PHONES	model	Galaxy S26	normalized_phrase	88	include	false	
галакси s26	ru	TECH.PHONES	model	Galaxy S26	normalized_phrase	88	include	false	
самсунг галакси s26	ru	TECH.PHONES	model	Galaxy S26	normalized_phrase	88	include	false	
galaxy s26+	ru	TECH.PHONES	model	Galaxy S26+	normalized_phrase	88	include	false	
галакси s26+	ru	TECH.PHONES	model	Galaxy S26+	normalized_phrase	88	include	false	
самсунг галакси s26+	ru	TECH.PHONES	model	Galaxy S26+	normalized_phrase	88	include	false	
galaxy s26 ultra	ru	TECH.PHONES	model	Galaxy S26 Ultra	normalized_phrase	88	include	false	
галакси s26 ultra	ru	TECH.PHONES	model	Galaxy S26 Ultra	normalized_phrase	88	include	false	
самсунг галакси s26 ultra	ru	TECH.PHONES	model	Galaxy S26 Ultra	normalized_phrase	88	include	false	
galaxy s25	ru	TECH.PHONES	model	Galaxy S25	normalized_phrase	88	include	false	
галакси s25	ru	TECH.PHONES	model	Galaxy S25	normalized_phrase	88	include	false	
самсунг галакси s25	ru	TECH.PHONES	model	Galaxy S25	normalized_phrase	88	include	false	
galaxy s25+	ru	TECH.PHONES	model	Galaxy S25+	normalized_phrase	88	include	false	
галакси s25+	ru	TECH.PHONES	model	Galaxy S25+	normalized_phrase	88	include	false	
самсунг галакси s25+	ru	TECH.PHONES	model	Galaxy S25+	normalized_phrase	88	include	false	
galaxy s25 ultra	ru	TECH.PHONES	model	Galaxy S25 Ultra	normalized_phrase	88	include	false	
галакси s25 ultra	ru	TECH.PHONES	model	Galaxy S25 Ultra	normalized_phrase	88	include	false	
самсунг галакси s25 ultra	ru	TECH.PHONES	model	Galaxy S25 Ultra	normalized_phrase	88	include	false	
galaxy s24	ru	TECH.PHONES	model	Galaxy S24	normalized_phrase	88	include	false	
галакси s24	ru	TECH.PHONES	model	Galaxy S24	normalized_phrase	88	include	false	
самсунг галакси s24	ru	TECH.PHONES	model	Galaxy S24	normalized_phrase	88	include	false	
galaxy s24+	ru	TECH.PHONES	model	Galaxy S24+	normalized_phrase	88	include	false	
галакси s24+	ru	TECH.PHONES	model	Galaxy S24+	normalized_phrase	88	include	false	
самсунг галакси s24+	ru	TECH.PHONES	model	Galaxy S24+	normalized_phrase	88	include	false	
galaxy s24 ultra	ru	TECH.PHONES	model	Galaxy S24 Ultra	normalized_phrase	88	include	false	
галакси s24 ultra	ru	TECH.PHONES	model	Galaxy S24 Ultra	normalized_phrase	88	include	false	
самсунг галакси s24 ultra	ru	TECH.PHONES	model	Galaxy S24 Ultra	normalized_phrase	88	include	false	
galaxy s24 fe	ru	TECH.PHONES	model	Galaxy S24 FE	normalized_phrase	88	include	false	
галакси s24 fe	ru	TECH.PHONES	model	Galaxy S24 FE	normalized_phrase	88	include	false	
самсунг галакси s24 fe	ru	TECH.PHONES	model	Galaxy S24 FE	normalized_phrase	88	include	false	
galaxy s23	ru	TECH.PHONES	model	Galaxy S23	normalized_phrase	88	include	false	
галакси s23	ru	TECH.PHONES	model	Galaxy S23	normalized_phrase	88	include	false	
самсунг галакси s23	ru	TECH.PHONES	model	Galaxy S23	normalized_phrase	88	include	false	
galaxy s23+	ru	TECH.PHONES	model	Galaxy S23+	normalized_phrase	88	include	false	
галакси s23+	ru	TECH.PHONES	model	Galaxy S23+	normalized_phrase	88	include	false	
самсунг галакси s23+	ru	TECH.PHONES	model	Galaxy S23+	normalized_phrase	88	include	false	
galaxy s23 ultra	ru	TECH.PHONES	model	Galaxy S23 Ultra	normalized_phrase	88	include	false	
галакси s23 ultra	ru	TECH.PHONES	model	Galaxy S23 Ultra	normalized_phrase	88	include	false	
самсунг галакси s23 ultra	ru	TECH.PHONES	model	Galaxy S23 Ultra	normalized_phrase	88	include	false	
galaxy s23 fe	ru	TECH.PHONES	model	Galaxy S23 FE	normalized_phrase	88	include	false	
галакси s23 fe	ru	TECH.PHONES	model	Galaxy S23 FE	normalized_phrase	88	include	false	
самсунг галакси s23 fe	ru	TECH.PHONES	model	Galaxy S23 FE	normalized_phrase	88	include	false	
galaxy z fold7	ru	TECH.PHONES	model	Galaxy Z Fold7	normalized_phrase	88	include	false	
галакси z fold7	ru	TECH.PHONES	model	Galaxy Z Fold7	normalized_phrase	88	include	false	
самсунг галакси z fold7	ru	TECH.PHONES	model	Galaxy Z Fold7	normalized_phrase	88	include	false	
galaxy z flip7	ru	TECH.PHONES	model	Galaxy Z Flip7	normalized_phrase	88	include	false	
галакси z flip7	ru	TECH.PHONES	model	Galaxy Z Flip7	normalized_phrase	88	include	false	
самсунг галакси z flip7	ru	TECH.PHONES	model	Galaxy Z Flip7	normalized_phrase	88	include	false	
galaxy z fold6	ru	TECH.PHONES	model	Galaxy Z Fold6	normalized_phrase	88	include	false	
галакси z fold6	ru	TECH.PHONES	model	Galaxy Z Fold6	normalized_phrase	88	include	false	
самсунг галакси z fold6	ru	TECH.PHONES	model	Galaxy Z Fold6	normalized_phrase	88	include	false	
galaxy z flip6	ru	TECH.PHONES	model	Galaxy Z Flip6	normalized_phrase	88	include	false	
галакси z flip6	ru	TECH.PHONES	model	Galaxy Z Flip6	normalized_phrase	88	include	false	
самсунг галакси z flip6	ru	TECH.PHONES	model	Galaxy Z Flip6	normalized_phrase	88	include	false	
galaxy z fold5	ru	TECH.PHONES	model	Galaxy Z Fold5	normalized_phrase	88	include	false	
галакси z fold5	ru	TECH.PHONES	model	Galaxy Z Fold5	normalized_phrase	88	include	false	
самсунг галакси z fold5	ru	TECH.PHONES	model	Galaxy Z Fold5	normalized_phrase	88	include	false	
galaxy z flip5	ru	TECH.PHONES	model	Galaxy Z Flip5	normalized_phrase	88	include	false	
галакси z flip5	ru	TECH.PHONES	model	Galaxy Z Flip5	normalized_phrase	88	include	false	
самсунг галакси z flip5	ru	TECH.PHONES	model	Galaxy Z Flip5	normalized_phrase	88	include	false	
galaxy a56	ru	TECH.PHONES	model	Galaxy A56	normalized_phrase	88	include	false	
галакси a56	ru	TECH.PHONES	model	Galaxy A56	normalized_phrase	88	include	false	
самсунг галакси a56	ru	TECH.PHONES	model	Galaxy A56	normalized_phrase	88	include	false	
galaxy a55	ru	TECH.PHONES	model	Galaxy A55	normalized_phrase	88	include	false	
галакси a55	ru	TECH.PHONES	model	Galaxy A55	normalized_phrase	88	include	false	
самсунг галакси a55	ru	TECH.PHONES	model	Galaxy A55	normalized_phrase	88	include	false	
galaxy a36	ru	TECH.PHONES	model	Galaxy A36	normalized_phrase	88	include	false	
галакси a36	ru	TECH.PHONES	model	Galaxy A36	normalized_phrase	88	include	false	
самсунг галакси a36	ru	TECH.PHONES	model	Galaxy A36	normalized_phrase	88	include	false	
galaxy a35	ru	TECH.PHONES	model	Galaxy A35	normalized_phrase	88	include	false	
галакси a35	ru	TECH.PHONES	model	Galaxy A35	normalized_phrase	88	include	false	
самсунг галакси a35	ru	TECH.PHONES	model	Galaxy A35	normalized_phrase	88	include	false	
galaxy a26	ru	TECH.PHONES	model	Galaxy A26	normalized_phrase	88	include	false	
галакси a26	ru	TECH.PHONES	model	Galaxy A26	normalized_phrase	88	include	false	
самсунг галакси a26	ru	TECH.PHONES	model	Galaxy A26	normalized_phrase	88	include	false	
galaxy a25	ru	TECH.PHONES	model	Galaxy A25	normalized_phrase	88	include	false	
галакси a25	ru	TECH.PHONES	model	Galaxy A25	normalized_phrase	88	include	false	
самсунг галакси a25	ru	TECH.PHONES	model	Galaxy A25	normalized_phrase	88	include	false	
galaxy a16	ru	TECH.PHONES	model	Galaxy A16	normalized_phrase	88	include	false	
галакси a16	ru	TECH.PHONES	model	Galaxy A16	normalized_phrase	88	include	false	
самсунг галакси a16	ru	TECH.PHONES	model	Galaxy A16	normalized_phrase	88	include	false	
galaxy xcover7	ru	TECH.PHONES	model	Galaxy XCover7	normalized_phrase	88	include	false	
галакси xcover7	ru	TECH.PHONES	model	Galaxy XCover7	normalized_phrase	88	include	false	
самсунг галакси xcover7	ru	TECH.PHONES	model	Galaxy XCover7	normalized_phrase	88	include	false	
pixel 10 pro xl	ru	TECH.PHONES	model	Pixel 10 Pro XL	normalized_phrase	88	include	false	
пиксель 10 pro xl	ru	TECH.PHONES	model	Pixel 10 Pro XL	normalized_phrase	86	include	false	
гугл пиксель 10 pro xl	ru	TECH.PHONES	model	Pixel 10 Pro XL	normalized_phrase	86	include	false	
pixel 10 pro	ru	TECH.PHONES	model	Pixel 10 Pro	normalized_phrase	88	include	false	
пиксель 10 pro	ru	TECH.PHONES	model	Pixel 10 Pro	normalized_phrase	86	include	false	
гугл пиксель 10 pro	ru	TECH.PHONES	model	Pixel 10 Pro	normalized_phrase	86	include	false	
pixel 10 pro fold	ru	TECH.PHONES	model	Pixel 10 Pro Fold	normalized_phrase	88	include	false	
пиксель 10 pro fold	ru	TECH.PHONES	model	Pixel 10 Pro Fold	normalized_phrase	86	include	false	
гугл пиксель 10 pro fold	ru	TECH.PHONES	model	Pixel 10 Pro Fold	normalized_phrase	86	include	false	
pixel 10	ru	TECH.PHONES	model	Pixel 10	normalized_phrase	88	include	false	
пиксель 10	ru	TECH.PHONES	model	Pixel 10	normalized_phrase	86	include	false	
гугл пиксель 10	ru	TECH.PHONES	model	Pixel 10	normalized_phrase	86	include	false	
pixel 10a	ru	TECH.PHONES	model	Pixel 10a	normalized_phrase	88	include	false	
пиксель 10a	ru	TECH.PHONES	model	Pixel 10a	normalized_phrase	86	include	false	
гугл пиксель 10a	ru	TECH.PHONES	model	Pixel 10a	normalized_phrase	86	include	false	
pixel 9 pro xl	ru	TECH.PHONES	model	Pixel 9 Pro XL	normalized_phrase	88	include	false	
пиксель 9 pro xl	ru	TECH.PHONES	model	Pixel 9 Pro XL	normalized_phrase	86	include	false	
гугл пиксель 9 pro xl	ru	TECH.PHONES	model	Pixel 9 Pro XL	normalized_phrase	86	include	false	
