alias	brand	model	family	priority	source_policy
iphone SE (3rd generation)	APPLE	iPhone SE (3rd generation)	IPHONE	90	official_apple_compare_2026_05
iphone se (3rd generation)	APPLE	iPhone SE (3rd generation)	IPHONE	90	official_apple_compare_2026_05
айфон se (3rd generation)	APPLE	iPhone SE (3rd generation)	IPHONE	90	official_apple_compare_2026_05
iphone 12 Pro	APPLE	iPhone 12 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 12 pro	APPLE	iPhone 12 Pro	IPHONE	90	official_apple_compare_2026_05
айфон 12 pro	APPLE	iPhone 12 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 12 Pro Max	APPLE	iPhone 12 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone 12 pro max	APPLE	iPhone 12 Pro Max	IPHONE	90	official_apple_compare_2026_05
айфон 12 pro max	APPLE	iPhone 12 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone 12 mini	APPLE	iPhone 12 mini	IPHONE	90	official_apple_compare_2026_05
айфон 12 mini	APPLE	iPhone 12 mini	IPHONE	90	official_apple_compare_2026_05
iphone 12	APPLE	iPhone 12	IPHONE	90	official_apple_compare_2026_05
айфон 12	APPLE	iPhone 12	IPHONE	90	official_apple_compare_2026_05
iphone 11 Pro	APPLE	iPhone 11 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 11 pro	APPLE	iPhone 11 Pro	IPHONE	90	official_apple_compare_2026_05
айфон 11 pro	APPLE	iPhone 11 Pro	IPHONE	90	official_apple_compare_2026_05
iphone 11 Pro Max	APPLE	iPhone 11 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone 11 pro max	APPLE	iPhone 11 Pro Max	IPHONE	90	official_apple_compare_2026_05
айфон 11 pro max	APPLE	iPhone 11 Pro Max	IPHONE	90	official_apple_compare_2026_05
iphone 11	APPLE	iPhone 11	IPHONE	90	official_apple_compare_2026_05
айфон 11	APPLE	iPhone 11	IPHONE	90	official_apple_compare_2026_05
iphone SE (2nd generation)	APPLE	iPhone SE (2nd generation)	IPHONE	90	official_apple_compare_2026_05
iphone se (2nd generation)	APPLE	iPhone SE (2nd generation)	IPHONE	90	official_apple_compare_2026_05
айфон se (2nd generation)	APPLE	iPhone SE (2nd generation)	IPHONE	90	official_apple_compare_2026_05
iphone XS	APPLE	iPhone XS	IPHONE	90	official_apple_compare_2026_05
iphone xs	APPLE	iPhone XS	IPHONE	90	official_apple_compare_2026_05
айфон xs	APPLE	iPhone XS	IPHONE	90	official_apple_compare_2026_05
iphone XS Max	APPLE	iPhone XS Max	IPHONE	90	official_apple_compare_2026_05
iphone xs max	APPLE	iPhone XS Max	IPHONE	90	official_apple_compare_2026_05
айфон xs max	APPLE	iPhone XS Max	IPHONE	90	official_apple_compare_2026_05
iphone XR	APPLE	iPhone XR	IPHONE	90	official_apple_compare_2026_05
iphone xr	APPLE	iPhone XR	IPHONE	90	official_apple_compare_2026_05
айфон xr	APPLE	iPhone XR	IPHONE	90	official_apple_compare_2026_05
iphone X	APPLE	iPhone X	IPHONE	90	official_apple_compare_2026_05
iphone x	APPLE	iPhone X	IPHONE	90	official_apple_compare_2026_05
айфон x	APPLE	iPhone X	IPHONE	90	official_apple_compare_2026_05
iphone 8 Plus	APPLE	iPhone 8 Plus	IPHONE	90	official_apple_compare_2026_05
iphone 8 plus	APPLE	iPhone 8 Plus	IPHONE	90	official_apple_compare_2026_05
айфон 8 plus	APPLE	iPhone 8 Plus	IPHONE	90	official_apple_compare_2026_05
iphone 8	APPLE	iPhone 8	IPHONE	90	official_apple_compare_2026_05
айфон 8	APPLE	iPhone 8	IPHONE	90	official_apple_compare_2026_05
iphone 7 Plus	APPLE	iPhone 7 Plus	IPHONE	90	official_apple_compare_2026_05
iphone 7 plus	APPLE	iPhone 7 Plus	IPHONE	90	official_apple_compare_2026_05
айфон 7 plus	APPLE	iPhone 7 Plus	IPHONE	90	official_apple_compare_2026_05
iphone 7	APPLE	iPhone 7	IPHONE	90	official_apple_compare_2026_05
айфон 7	APPLE	iPhone 7	IPHONE	90	official_apple_compare_2026_05
galaxy s26	SAMSUNG	Galaxy S26	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s26	SAMSUNG	Galaxy S26	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy s26+	SAMSUNG	Galaxy S26+	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s26+	SAMSUNG	Galaxy S26+	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy s26 ultra	SAMSUNG	Galaxy S26 Ultra	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s26 ultra	SAMSUNG	Galaxy S26 Ultra	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy s25	SAMSUNG	Galaxy S25	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s25	SAMSUNG	Galaxy S25	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy s25+	SAMSUNG	Galaxy S25+	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s25+	SAMSUNG	Galaxy S25+	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy s25 ultra	SAMSUNG	Galaxy S25 Ultra	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s25 ultra	SAMSUNG	Galaxy S25 Ultra	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy s24	SAMSUNG	Galaxy S24	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s24	SAMSUNG	Galaxy S24	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy s24+	SAMSUNG	Galaxy S24+	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s24+	SAMSUNG	Galaxy S24+	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy s24 ultra	SAMSUNG	Galaxy S24 Ultra	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s24 ultra	SAMSUNG	Galaxy S24 Ultra	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy s24 fe	SAMSUNG	Galaxy S24 FE	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s24 fe	SAMSUNG	Galaxy S24 FE	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy s23	SAMSUNG	Galaxy S23	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s23	SAMSUNG	Galaxy S23	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy s23+	SAMSUNG	Galaxy S23+	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s23+	SAMSUNG	Galaxy S23+	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy s23 ultra	SAMSUNG	Galaxy S23 Ultra	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s23 ultra	SAMSUNG	Galaxy S23 Ultra	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy s23 fe	SAMSUNG	Galaxy S23 FE	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси s23 fe	SAMSUNG	Galaxy S23 FE	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy z fold7	SAMSUNG	Galaxy Z Fold7	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси z fold7	SAMSUNG	Galaxy Z Fold7	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy z flip7	SAMSUNG	Galaxy Z Flip7	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси z flip7	SAMSUNG	Galaxy Z Flip7	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy z fold6	SAMSUNG	Galaxy Z Fold6	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси z fold6	SAMSUNG	Galaxy Z Fold6	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy z flip6	SAMSUNG	Galaxy Z Flip6	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси z flip6	SAMSUNG	Galaxy Z Flip6	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy z fold5	SAMSUNG	Galaxy Z Fold5	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси z fold5	SAMSUNG	Galaxy Z Fold5	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy z flip5	SAMSUNG	Galaxy Z Flip5	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси z flip5	SAMSUNG	Galaxy Z Flip5	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy a56	SAMSUNG	Galaxy A56	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси a56	SAMSUNG	Galaxy A56	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy a55	SAMSUNG	Galaxy A55	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси a55	SAMSUNG	Galaxy A55	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy a36	SAMSUNG	Galaxy A36	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси a36	SAMSUNG	Galaxy A36	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy a35	SAMSUNG	Galaxy A35	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси a35	SAMSUNG	Galaxy A35	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy a26	SAMSUNG	Galaxy A26	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси a26	SAMSUNG	Galaxy A26	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy a25	SAMSUNG	Galaxy A25	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси a25	SAMSUNG	Galaxy A25	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy a16	SAMSUNG	Galaxy A16	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси a16	SAMSUNG	Galaxy A16	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
galaxy xcover7	SAMSUNG	Galaxy XCover7	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
самсунг галакси xcover7	SAMSUNG	Galaxy XCover7	GALAXY	90	official_samsung_page_or_vendor_runtime_verification
pixel 10 pro xl	GOOGLE	Pixel 10 Pro XL	PIXEL	90	official_google_store_2026_05
гугл pixel 10 pro xl	GOOGLE	Pixel 10 Pro XL	PIXEL	90	official_google_store_2026_05
pixel 10 pro	GOOGLE	Pixel 10 Pro	PIXEL	90	official_google_store_2026_05
гугл pixel 10 pro	GOOGLE	Pixel 10 Pro	PIXEL	90	official_google_store_2026_05
pixel 10 pro fold	GOOGLE	Pixel 10 Pro Fold	PIXEL	90	official_google_store_2026_05
гугл pixel 10 pro fold	GOOGLE	Pixel 10 Pro Fold	PIXEL	90	official_google_store_2026_05
pixel 10	GOOGLE	Pixel 10	PIXEL	90	official_google_store_2026_05
гугл pixel 10	GOOGLE	Pixel 10	PIXEL	90	official_google_store_2026_05
pixel 10a	GOOGLE	Pixel 10a	PIXEL	90	official_google_store_2026_05
гугл pixel 10a	GOOGLE	Pixel 10a	PIXEL	90	official_google_store_2026_05
pixel 9 pro xl	GOOGLE	Pixel 9 Pro XL	PIXEL	90	official_google_store_2026_05
гугл pixel 9 pro xl	GOOGLE	Pixel 9 Pro XL	PIXEL	90	official_google_store_2026_05
pixel 9 pro	GOOGLE	Pixel 9 Pro	PIXEL	90	official_google_store_2026_05
гугл pixel 9 pro	GOOGLE	Pixel 9 Pro	PIXEL	90	official_google_store_2026_05
pixel 9 pro fold	GOOGLE	Pixel 9 Pro Fold	PIXEL	90	official_google_store_2026_05
гугл pixel 9 pro fold	GOOGLE	Pixel 9 Pro Fold	PIXEL	90	official_google_store_2026_05
pixel 9	GOOGLE	Pixel 9	PIXEL	90	official_google_store_2026_05
гугл pixel 9	GOOGLE	Pixel 9	PIXEL	90	official_google_store_2026_05
pixel 9a	GOOGLE	Pixel 9a	PIXEL	90	official_google_store_2026_05
гугл pixel 9a	GOOGLE	Pixel 9a	PIXEL	90	official_google_store_2026_05
pixel 8 pro	GOOGLE	Pixel 8 Pro	PIXEL	90	official_google_store_2026_05
гугл pixel 8 pro	GOOGLE	Pixel 8 Pro	PIXEL	90	official_google_store_2026_05
pixel 8	GOOGLE	Pixel 8	PIXEL	90	official_google_store_2026_05
гугл pixel 8	GOOGLE	Pixel 8	PIXEL	90	official_google_store_2026_05
pixel 8a	GOOGLE	Pixel 8a	PIXEL	90	official_google_store_2026_05
гугл pixel 8a	GOOGLE	Pixel 8a	PIXEL	90	official_google_store_2026_05
pixel 7 pro	GOOGLE	Pixel 7 Pro	PIXEL	90	official_google_store_2026_05
гугл pixel 7 pro	GOOGLE	Pixel 7 Pro	PIXEL	90	official_google_store_2026_05
pixel 7	GOOGLE	Pixel 7	PIXEL	90	official_google_store_2026_05
гугл pixel 7	GOOGLE	Pixel 7	PIXEL	90	official_google_store_2026_05
pixel 7a	GOOGLE	Pixel 7a	PIXEL	90	official_google_store_2026_05
гугл pixel 7a	GOOGLE	Pixel 7a	PIXEL	90	official_google_store_2026_05
xiaomi 15	XIAOMI	Xiaomi 15	XIAOMI	90	official_xiaomi_product_list_2026_05
xiaomi 15 ultra	XIAOMI	Xiaomi 15 Ultra	XIAOMI	90	official_xiaomi_product_list_2026_05
xiaomi 14	XIAOMI	Xiaomi 14	XIAOMI	90	official_xiaomi_product_list_2026_05
xiaomi 14 ultra	XIAOMI	Xiaomi 14 Ultra	XIAOMI	90	official_xiaomi_product_list_2026_05
redmi 15	REDMI	Redmi 15	REDMI	90	official_xiaomi_product_list_2026_05
redmi 15 5g	REDMI	Redmi 15 5G	REDMI	90	official_xiaomi_product_list_2026_05
redmi 15c	REDMI	Redmi 15C	REDMI	90	official_xiaomi_product_list_2026_05
redmi note 14 pro+ 5g	REDMI	Redmi Note 14 Pro+ 5G	REDMI_NOTE	90	official_xiaomi_product_list_2026_05
redmi note 14 pro 5g	REDMI	Redmi Note 14 Pro 5G	REDMI_NOTE	90	official_xiaomi_product_list_2026_05
redmi note 14s	REDMI	Redmi Note 14S	REDMI_NOTE	90	official_xiaomi_product_list_2026_05
redmi 13x	REDMI	Redmi 13x	REDMI	90	official_xiaomi_product_list_2026_05
redmi a5	REDMI	Redmi A5	REDMI_A	90	official_xiaomi_product_list_2026_05
poco f7 ultra	POCO	POCO F7 Ultra	POCO_F	90	official_xiaomi_product_list_2026_05
poco f7 pro	POCO	POCO F7 Pro	POCO_F	90	official_xiaomi_product_list_2026_05
poco f7	POCO	POCO F7	POCO_F	90	official_xiaomi_product_list_2026_05
poco m7 pro 5g	POCO	POCO M7 Pro 5G	POCO_M	90	official_xiaomi_product_list_2026_05
poco m7	POCO	POCO M7	POCO_M	90	official_xiaomi_product_list_2026_05
poco c71	POCO	POCO C71	POCO_C	90	official_xiaomi_product_list_2026_05
huawei pura 70 ultra	HUAWEI	Huawei Pura 70 Ultra	PURA	90	runtime_vendor_title_or_official_feed_required
huawei mate 60 pro	HUAWEI	Huawei Mate 60 Pro	MATE	90	runtime_vendor_title_or_official_feed_required
honor magic7 pro	HONOR	Honor Magic7 Pro	MAGIC	90	runtime_vendor_title_or_official_feed_required
honor x9c	HONOR	Honor X9c	X	90	runtime_vendor_title_or_official_feed_required
oneplus 13	ONEPLUS	OnePlus 13	ONEPLUS	90	runtime_vendor_title_or_official_feed_required
oneplus nord 4	ONEPLUS	OnePlus Nord 4	NORD	90	runtime_vendor_title_or_official_feed_required
oppo find x8 pro	OPPO	OPPO Find X8 Pro	FIND	90	runtime_vendor_title_or_official_feed_required
oppo reno13 pro	OPPO	OPPO Reno13 Pro	RENO	90	runtime_vendor_title_or_official_feed_required
vivo x200 pro	VIVO	vivo X200 Pro	X	90	runtime_vendor_title_or_official_feed_required
vivo v40	VIVO	vivo V40	V	90	runtime_vendor_title_or_official_feed_required
realme gt 7 pro	REALME	realme GT 7 Pro	GT	90	runtime_vendor_title_or_official_feed_required
realme 14 pro+	REALME	realme 14 Pro+	NUMBER	90	runtime_vendor_title_or_official_feed_required
nothing phone (3)	NOTHING	Nothing Phone (3)	PHONE	90	runtime_vendor_title_or_official_feed_required
nothing phone (2a)	NOTHING	Nothing Phone (2a)	PHONE	90	runtime_vendor_title_or_official_feed_required
motorola edge 50 pro	MOTOROLA	Motorola Edge 50 Pro	EDGE	90	runtime_vendor_title_or_official_feed_required
motorola razr 50 ultra	MOTOROLA	Motorola Razr 50 Ultra	RAZR	90	runtime_vendor_title_or_official_feed_required
nokia 3310 (2017)	NOKIA	Nokia 3310 (2017)	CLASSIC	90	runtime_vendor_title_or_official_feed_required
nokia 105	NOKIA	Nokia 105	FEATURE	90	runtime_vendor_title_or_official_feed_required
sony xperia 1 vi	SONY	Sony Xperia 1 VI	XPERIA	90	runtime_vendor_title_or_official_feed_required
asus rog phone 9 pro	ASUS	ASUS ROG Phone 9 Pro	ROG_PHONE	90	runtime_vendor_title_or_official_feed_required
tecno camon 30 pro	TECNO	Tecno Camon 30 Pro	CAMON	90	runtime_vendor_title_or_official_feed_required
infinix note 40 pro	INFINIX	Infinix Note 40 Pro	NOTE	90	runtime_vendor_title_or_official_feed_required
blackview bv9300 pro	BLACKVIEW	Blackview BV9300 Pro	BV	90	runtime_vendor_title_or_official_feed_required
cat s75	CAT	CAT S75	S	90	runtime_vendor_title_or_official_feed_required
