query	expected_category_code	expected_phone_type	expected_attributes_json	should_route	notes
iPhone 15 Plus	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 15 Plus""}"	true	
iPhone 15 Plus 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 15 Plus"",""storage_capacity_gb"":128}"	true	
iPhone 15	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 15""}"	true	
iPhone 15 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 15"",""storage_capacity_gb"":128}"	true	
iPhone 14 Pro	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 14 Pro""}"	true	
iPhone 14 Pro 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 14 Pro"",""storage_capacity_gb"":128}"	true	
iPhone 14 Pro Max	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 14 Pro Max""}"	true	
iPhone 14 Pro Max 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 14 Pro Max"",""storage_capacity_gb"":128}"	true	
iPhone 14 Plus	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 14 Plus""}"	true	
iPhone 14 Plus 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 14 Plus"",""storage_capacity_gb"":128}"	true	
iPhone 14	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 14""}"	true	
iPhone 14 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 14"",""storage_capacity_gb"":128}"	true	
iPhone 13 Pro	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 13 Pro""}"	true	
iPhone 13 Pro 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 13 Pro"",""storage_capacity_gb"":128}"	true	
iPhone 13 Pro Max	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 13 Pro Max""}"	true	
iPhone 13 Pro Max 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 13 Pro Max"",""storage_capacity_gb"":128}"	true	
iPhone 13 mini	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 13 mini""}"	true	
iPhone 13 mini 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 13 mini"",""storage_capacity_gb"":128}"	true	
iPhone 13	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 13""}"	true	
iPhone 13 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 13"",""storage_capacity_gb"":128}"	true	
iPhone SE (3rd generation)	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone SE (3rd generation)""}"	true	
iPhone SE (3rd generation) 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone SE (3rd generation)"",""storage_capacity_gb"":128}"	true	
iPhone 12 Pro	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 12 Pro""}"	true	
iPhone 12 Pro 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 12 Pro"",""storage_capacity_gb"":128}"	true	
iPhone 12 Pro Max	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 12 Pro Max""}"	true	
iPhone 12 Pro Max 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 12 Pro Max"",""storage_capacity_gb"":128}"	true	
iPhone 12 mini	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 12 mini""}"	true	
iPhone 12 mini 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 12 mini"",""storage_capacity_gb"":128}"	true	
iPhone 12	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 12""}"	true	
iPhone 12 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 12"",""storage_capacity_gb"":128}"	true	
iPhone 11 Pro	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 11 Pro""}"	true	
iPhone 11 Pro 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 11 Pro"",""storage_capacity_gb"":128}"	true	
iPhone 11 Pro Max	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 11 Pro Max""}"	true	
iPhone 11 Pro Max 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 11 Pro Max"",""storage_capacity_gb"":128}"	true	
iPhone 11	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 11""}"	true	
iPhone 11 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 11"",""storage_capacity_gb"":128}"	true	
iPhone SE (2nd generation)	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone SE (2nd generation)""}"	true	
iPhone SE (2nd generation) 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone SE (2nd generation)"",""storage_capacity_gb"":128}"	true	
iPhone XS	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone XS""}"	true	
iPhone XS 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone XS"",""storage_capacity_gb"":128}"	true	
iPhone XS Max	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone XS Max""}"	true	
iPhone XS Max 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone XS Max"",""storage_capacity_gb"":128}"	true	
iPhone XR	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone XR""}"	true	
iPhone XR 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone XR"",""storage_capacity_gb"":128}"	true	
iPhone X	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone X""}"	true	
iPhone X 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone X"",""storage_capacity_gb"":128}"	true	
iPhone 8 Plus	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 8 Plus""}"	true	
iPhone 8 Plus 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 8 Plus"",""storage_capacity_gb"":128}"	true	
iPhone 8	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 8""}"	true	
iPhone 8 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 8"",""storage_capacity_gb"":128}"	true	
iPhone 7 Plus	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 7 Plus""}"	true	
iPhone 7 Plus 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 7 Plus"",""storage_capacity_gb"":128}"	true	
iPhone 7	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 7""}"	true	
iPhone 7 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 7"",""storage_capacity_gb"":128}"	true	
Galaxy S26	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S26""}"	true	
Galaxy S26 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S26"",""storage_capacity_gb"":128}"	true	
Galaxy S26+	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S26+""}"	true	
Galaxy S26+ 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S26+"",""storage_capacity_gb"":128}"	true	
Galaxy S26 Ultra	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S26 Ultra""}"	true	
Galaxy S26 Ultra 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S26 Ultra"",""storage_capacity_gb"":128}"	true	
Galaxy S25	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S25""}"	true	
Galaxy S25 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S25"",""storage_capacity_gb"":128}"	true	
Galaxy S25+	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S25+""}"	true	
Galaxy S25+ 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S25+"",""storage_capacity_gb"":128}"	true	
Galaxy S25 Ultra	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S25 Ultra""}"	true	
Galaxy S25 Ultra 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S25 Ultra"",""storage_capacity_gb"":128}"	true	
Galaxy S24	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S24""}"	true	
Galaxy S24 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S24"",""storage_capacity_gb"":128}"	true	
Galaxy S24+	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S24+""}"	true	
Galaxy S24+ 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S24+"",""storage_capacity_gb"":128}"	true	
Galaxy S24 Ultra	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S24 Ultra""}"	true	
Galaxy S24 Ultra 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S24 Ultra"",""storage_capacity_gb"":128}"	true	
Galaxy S24 FE	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S24 FE""}"	true	
Galaxy S24 FE 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S24 FE"",""storage_capacity_gb"":128}"	true	
Galaxy S23	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S23""}"	true	
Galaxy S23 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S23"",""storage_capacity_gb"":128}"	true	
Galaxy S23+	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S23+""}"	true	
Galaxy S23+ 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S23+"",""storage_capacity_gb"":128}"	true	
Galaxy S23 Ultra	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S23 Ultra""}"	true	
Galaxy S23 Ultra 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S23 Ultra"",""storage_capacity_gb"":128}"	true	
Galaxy S23 FE	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S23 FE""}"	true	
Galaxy S23 FE 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy S23 FE"",""storage_capacity_gb"":128}"	true	
Galaxy Z Fold7	TECH.PHONES	FOLDABLE_PHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy Z Fold7""}"	true	
Galaxy Z Flip7	TECH.PHONES	FOLDABLE_PHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy Z Flip7""}"	true	
Galaxy Z Fold6	TECH.PHONES	FOLDABLE_PHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy Z Fold6""}"	true	
Galaxy Z Flip6	TECH.PHONES	FOLDABLE_PHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy Z Flip6""}"	true	
Galaxy Z Fold5	TECH.PHONES	FOLDABLE_PHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy Z Fold5""}"	true	
Galaxy Z Flip5	TECH.PHONES	FOLDABLE_PHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy Z Flip5""}"	true	
Galaxy A56	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A56""}"	true	
Galaxy A56 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A56"",""storage_capacity_gb"":128}"	true	
Galaxy A55	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A55""}"	true	
Galaxy A55 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A55"",""storage_capacity_gb"":128}"	true	
Galaxy A36	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A36""}"	true	
Galaxy A36 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A36"",""storage_capacity_gb"":128}"	true	
Galaxy A35	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A35""}"	true	
Galaxy A35 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A35"",""storage_capacity_gb"":128}"	true	
Galaxy A26	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A26""}"	true	
Galaxy A26 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A26"",""storage_capacity_gb"":128}"	true	
Galaxy A25	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A25""}"	true	
Galaxy A25 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A25"",""storage_capacity_gb"":128}"	true	
Galaxy A16	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A16""}"	true	
Galaxy A16 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy A16"",""storage_capacity_gb"":128}"	true	
Galaxy XCover7	TECH.PHONES	RUGGED_PHONE	"{""brand"":""SAMSUNG"",""model_name_text"":""Galaxy XCover7""}"	true	
Pixel 10 Pro XL	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 10 Pro XL""}"	true	
Pixel 10 Pro XL 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 10 Pro XL"",""storage_capacity_gb"":128}"	true	
Pixel 10 Pro	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 10 Pro""}"	true	
Pixel 10 Pro 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 10 Pro"",""storage_capacity_gb"":128}"	true	
Pixel 10 Pro Fold	TECH.PHONES	FOLDABLE_PHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 10 Pro Fold""}"	true	
Pixel 10	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 10""}"	true	
Pixel 10 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 10"",""storage_capacity_gb"":128}"	true	
Pixel 10a	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 10a""}"	true	
Pixel 10a 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 10a"",""storage_capacity_gb"":128}"	true	
Pixel 9 Pro XL	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 9 Pro XL""}"	true	
Pixel 9 Pro XL 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 9 Pro XL"",""storage_capacity_gb"":128}"	true	
Pixel 9 Pro	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 9 Pro""}"	true	
Pixel 9 Pro 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 9 Pro"",""storage_capacity_gb"":128}"	true	
Pixel 9 Pro Fold	TECH.PHONES	FOLDABLE_PHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 9 Pro Fold""}"	true	
Pixel 9	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 9""}"	true	
Pixel 9 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 9"",""storage_capacity_gb"":128}"	true	
Pixel 9a	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 9a""}"	true	
Pixel 9a 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 9a"",""storage_capacity_gb"":128}"	true	
Pixel 8 Pro	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 8 Pro""}"	true	
Pixel 8 Pro 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 8 Pro"",""storage_capacity_gb"":128}"	true	
Pixel 8	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 8""}"	true	
Pixel 8 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 8"",""storage_capacity_gb"":128}"	true	
Pixel 8a	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 8a""}"	true	
Pixel 8a 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 8a"",""storage_capacity_gb"":128}"	true	
Pixel 7 Pro	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 7 Pro""}"	true	
Pixel 7 Pro 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 7 Pro"",""storage_capacity_gb"":128}"	true	
Pixel 7	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 7""}"	true	
Pixel 7 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 7"",""storage_capacity_gb"":128}"	true	
Pixel 7a	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 7a""}"	true	
Pixel 7a 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""model_name_text"":""Pixel 7a"",""storage_capacity_gb"":128}"	true	
Xiaomi 15	TECH.PHONES	SMARTPHONE	"{""brand"":""XIAOMI"",""model_name_text"":""Xiaomi 15""}"	true	
Xiaomi 15 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""XIAOMI"",""model_name_text"":""Xiaomi 15"",""storage_capacity_gb"":128}"	true	
Xiaomi 15 Ultra	TECH.PHONES	SMARTPHONE	"{""brand"":""XIAOMI"",""model_name_text"":""Xiaomi 15 Ultra""}"	true	
Xiaomi 15 Ultra 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""XIAOMI"",""model_name_text"":""Xiaomi 15 Ultra"",""storage_capacity_gb"":128}"	true	
Xiaomi 14	TECH.PHONES	SMARTPHONE	"{""brand"":""XIAOMI"",""model_name_text"":""Xiaomi 14""}"	true	
Xiaomi 14 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""XIAOMI"",""model_name_text"":""Xiaomi 14"",""storage_capacity_gb"":128}"	true	
Xiaomi 14 Ultra	TECH.PHONES	SMARTPHONE	"{""brand"":""XIAOMI"",""model_name_text"":""Xiaomi 14 Ultra""}"	true	
Xiaomi 14 Ultra 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""XIAOMI"",""model_name_text"":""Xiaomi 14 Ultra"",""storage_capacity_gb"":128}"	true	
Redmi 15	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi 15""}"	true	
Redmi 15 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi 15"",""storage_capacity_gb"":128}"	true	
Redmi 15 5G	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi 15 5G""}"	true	
Redmi 15 5G 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi 15 5G"",""storage_capacity_gb"":128}"	true	
Redmi 15C	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi 15C""}"	true	
Redmi 15C 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi 15C"",""storage_capacity_gb"":128}"	true	
Redmi Note 14 Pro+ 5G	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi Note 14 Pro+ 5G""}"	true	
Redmi Note 14 Pro+ 5G 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi Note 14 Pro+ 5G"",""storage_capacity_gb"":128}"	true	
Redmi Note 14 Pro 5G	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi Note 14 Pro 5G""}"	true	
Redmi Note 14 Pro 5G 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi Note 14 Pro 5G"",""storage_capacity_gb"":128}"	true	
Redmi Note 14S	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi Note 14S""}"	true	
Redmi Note 14S 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi Note 14S"",""storage_capacity_gb"":128}"	true	
Redmi 13x	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi 13x""}"	true	
Redmi 13x 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi 13x"",""storage_capacity_gb"":128}"	true	
Redmi A5	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi A5""}"	true	
