phrase_ru	target_category	bag_type	attribute_code	attribute_value	confidence	action	notes_ru
тоут	FASH.BAGS	TOTE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
tote bag	FASH.BAGS	TOTE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка тоут	FASH.BAGS	TOTE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
шоппер	FASH.BAGS	SHOPPER_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка шоппер	FASH.BAGS	SHOPPER_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка-шоппер	FASH.BAGS	SHOPPER_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
клатч	FASH.BAGS	CLUTCH			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
вечерний клатч	FASH.BAGS	CLUTCH			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
мини клатч	FASH.BAGS	CLUTCH			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
бананка	FASH.BAGS	WAIST_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
поясная сумка	FASH.BAGS	WAIST_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка на пояс	FASH.BAGS	WAIST_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
belt bag	FASH.BAGS	WAIST_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка для ноутбука	FASH.BAGS	LAPTOP_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
ноутбучная сумка	FASH.BAGS	LAPTOP_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
laptop bag	FASH.BAGS	LAPTOP_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
чехол для ноутбука	FASH.BAGS	LAPTOP_SLEEVE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
laptop sleeve	FASH.BAGS	LAPTOP_SLEEVE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
папка для ноутбука	FASH.BAGS	LAPTOP_SLEEVE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
дорожная сумка	FASH.BAGS	TRAVEL_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка дорожная	FASH.BAGS	TRAVEL_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
travel bag	FASH.BAGS	TRAVEL_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
спортивная сумка	FASH.BAGS	DUFFEL_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
duffel	FASH.BAGS	DUFFEL_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
duffle bag	FASH.BAGS	DUFFEL_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
баул спортивный	FASH.BAGS	DUFFEL_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
чемодан	FASH.BAGS	SUITCASE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
чемодан на колесах	FASH.BAGS	SUITCASE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
ручная кладь чемодан	FASH.BAGS	SUITCASE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
suitcase	FASH.BAGS	SUITCASE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
портфель	FASH.BAGS	BRIEFCASE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
деловой портфель	FASH.BAGS	BRIEFCASE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
дипломат	FASH.BAGS	BRIEFCASE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
briefcase	FASH.BAGS	BRIEFCASE			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
папка для документов	FASH.BAGS	DOCUMENT_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка для документов	FASH.BAGS	DOCUMENT_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
папка а4	FASH.BAGS	DOCUMENT_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
кошелек	FASH.BAGS	WALLET			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
кошелёк	FASH.BAGS	WALLET			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
портмоне	FASH.BAGS	WALLET			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
бумажник	FASH.BAGS	WALLET			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
кардхолдер	FASH.BAGS	CARDHOLDER			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
визитница	FASH.BAGS	CARDHOLDER			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
держатель карт	FASH.BAGS	CARDHOLDER			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
косметичка	FASH.BAGS	COSMETIC_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
несессер	FASH.BAGS	COSMETIC_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
beauty case	FASH.BAGS	COSMETIC_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка для мамы	FASH.BAGS	DIAPER_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка для коляски	FASH.BAGS	DIAPER_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка для подгузников	FASH.BAGS	DIAPER_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
пляжная сумка	FASH.BAGS	BEACH_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
соломенная сумка	FASH.BAGS	BEACH_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
beach bag	FASH.BAGS	BEACH_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
мешок для обуви	FASH.BAGS	DRAWSTRING_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
мешок рюкзак	FASH.BAGS	DRAWSTRING_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
gym sack	FASH.BAGS	DRAWSTRING_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
мужская сумка	FASH.BAGS		target_gender	MEN	0.86	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
мужской рюкзак	FASH.BAGS		target_gender	MEN	0.88	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
женская сумка	FASH.BAGS		target_gender	WOMEN	0.88	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
детский рюкзак	FASH.BAGS		age_group	KIDS	0.86	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
унисекс рюкзак	FASH.BAGS		target_gender	UNISEX	0.85	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
для мальчика	FASH.BAGS		target_gender	BOYS	0.82	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
для девочки	FASH.BAGS		target_gender	GIRLS	0.82	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
черный рюкзак	FASH.BAGS		color_primary	BLACK	0.84	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
белая сумка	FASH.BAGS		color_primary	WHITE	0.84	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
бежевая сумка	FASH.BAGS		color_primary	BEIGE	0.84	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
красный кошелек	FASH.BAGS		color_primary	RED	0.84	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
золотой клатч	FASH.BAGS		color_primary	GOLD	0.84	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
серебристый клатч	FASH.BAGS		color_primary	SILVER	0.84	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
кожаная сумка	FASH.BAGS		material_outer	LEATHER	0.88	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
натуральная кожа	FASH.BAGS		material_outer	LEATHER	0.90	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
экокожа	FASH.BAGS		material_outer	FAUX_LEATHER	0.86	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
замшевый клатч	FASH.BAGS		material_outer	SUEDE	0.86	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
текстильный рюкзак	FASH.BAGS		material_outer	TEXTILE	0.84	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
нейлоновый рюкзак	FASH.BAGS		material_outer	NYLON	0.84	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
на молнии	FASH.BAGS		closure_type	ZIPPER	0.84	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
на магните	FASH.BAGS		closure_type	MAGNET	0.82	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
с клапаном	FASH.BAGS		closure_type	FLAP	0.82	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
регулируемый ремень	FASH.BAGS		is_adjustable_strap	true	0.82	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
съемный ремень	FASH.BAGS		is_detachable_strap	true	0.82	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
съёмный ремень	FASH.BAGS		is_detachable_strap	true	0.82	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
для ноутбука 13	FASH.BAGS		fits_laptop_inch	13	0.80	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
для ноутбука 14	FASH.BAGS		fits_laptop_inch	14	0.80	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
для ноутбука 15.6	FASH.BAGS		fits_laptop_inch	15.6	0.82	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
для ноутбука 17	FASH.BAGS		fits_laptop_inch	17	0.80	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
ручная кладь	FASH.BAGS		cabin_size_status	CABIN_APPROVED	0.82	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
55х40х20	FASH.BAGS		cabin_size_status	CHECK_AIRLINE	0.70	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
55x40x20	FASH.BAGS		cabin_size_status	CHECK_AIRLINE	0.70	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
ортопедическая спинка	FASH.BAGS		orthopedic_back	true	0.88	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
светоотражающие элементы	FASH.BAGS		reflective_elements	true	0.82	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
водонепроницаемый	FASH.BAGS		waterproof_level	WATERPROOF	0.84	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
водоотталкивающий	FASH.BAGS		waterproof_level	WATER_RESISTANT	0.84	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
дождевик в комплекте	FASH.BAGS		rain_cover_included	true	0.84	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
4 колеса	FASH.BAGS		wheels_count	4	0.82	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
2 колеса	FASH.BAGS		wheels_count	2	0.82	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
tsa замок	FASH.BAGS		lock_type	TSA_LOCK	0.86	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
кодовый замок	FASH.BAGS		lock_type	COMBINATION_LOCK	0.84	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
слоты для карт	FASH.BAGS		card_slots_count		0.70	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
монетница	FASH.BAGS		coin_pocket	true	0.80	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
отделение для монет	FASH.BAGS		coin_pocket	true	0.80	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
пыльник	FASH.BAGS		dust_bag_included	true	0.76	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
чек в комплекте	FASH.BAGS		receipt_included	true	0.78	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
сертификат подлинности	FASH.BAGS		authenticity_documents_included	true	0.80	ROUTE_AND_EXTRACT	Атрибутный alias; тип товара берётся из head noun или классификатора.
кроссовки nike	FASH.SHOES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Бренд Nike не должен перетягивать рюкзак; но head noun кроссовки = обувь.
женские сапоги	FASH.SHOES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Обувь.
детские ботинки	FASH.SHOES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Обувь.
сандалии женские	FASH.SHOES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Обувь.
мужская футболка	FASH.MEN				0.95	ROUTE_TO_OTHER_OR_REVIEW	Одежда.
женское платье	FASH.WOMEN				0.95	ROUTE_TO_OTHER_OR_REVIEW	Одежда.
детская куртка	FASH.KIDS				0.95	ROUTE_TO_OTHER_OR_REVIEW	Одежда.
ремень кожаный	FASH.ACCESSORIES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Аксессуар, не сумка.
шарф кашемировый	FASH.ACCESSORIES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Аксессуар, не сумка.
шапка зимняя	FASH.ACCESSORIES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Аксессуар, не сумка.
очки солнцезащитные	FASH.ACCESSORIES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Аксессуар, не сумка.
часы наручные механические	FASH.ACCESSORIES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Non-smart watch.
apple watch	TECH.WEARABLES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Smartwatch/TECH.
смарт часы	TECH.WEARABLES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Smartwatch/TECH.
фитнес браслет	TECH.WEARABLES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Wearable/TECH.
чехол для телефона	TECH.ACCESSORIES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Phone case не FASH.BAGS.
чехол iphone	TECH.ACCESSORIES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Phone case не FASH.BAGS.
сумка переноска для кошки	PET.ACCESSORIES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Pet carrier не fashion bags.
переноска для собаки	PET.ACCESSORIES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Pet carrier.
сумка холодильник	SPORT.OUTDOOR_OR_HOME				0.95	ROUTE_TO_OTHER_OR_REVIEW	Cooler bag/термосумка не FASH fashion.
термосумка	SPORT.OUTDOOR_OR_HOME				0.95	ROUTE_TO_OTHER_OR_REVIEW	Cooler bag.
сумка для инструментов	DIY.TOOLS				0.95	ROUTE_TO_OTHER_OR_REVIEW	Tool bag.
медицинская сумка	HEALTH.MEDICAL				0.95	ROUTE_TO_OTHER_OR_REVIEW	Medical bag.
сумка для камеры	TECH.PHOTO_ACCESSORIES				0.95	ROUTE_TO_OTHER_OR_REVIEW	Camera bag unless fashion head noun dominates.
мешки для мусора	HOME.HOUSEHOLD				0.95	ROUTE_TO_OTHER_OR_REVIEW	Household bags, not fashion.
пакеты фасовочные	HOME.HOUSEHOLD				0.95	ROUTE_TO_OTHER_OR_REVIEW	Disposable bags, not fashion.
копия louis vuitton сумка	POLICY_REVIEW				0.95	ROUTE_TO_OTHER_OR_REVIEW	Counterfeit/replica signal.
реплика gucci сумка	POLICY_REVIEW				0.95	ROUTE_TO_OTHER_OR_REVIEW	Counterfeit/replica signal.
