attribute_code	value_code	label_ru	aliases_ru	sort_order	status	notes_ru
color_secondary	YELLOW	Жёлтый	желтый|жёлтый|yellow	9	ACTIVE	
color_secondary	GREEN	Зелёный	зеленый|зелёный|green	10	ACTIVE	
color_secondary	BLUE	Синий	синий|blue	11	ACTIVE	
color_secondary	NAVY	Тёмно-синий	темно-синий|тёмно-синий|navy	12	ACTIVE	
color_secondary	PURPLE	Фиолетовый	фиолетовый|purple	13	ACTIVE	
color_secondary	GOLD	Золотой	золотой|gold	14	ACTIVE	
color_secondary	SILVER	Серебристый	серебристый|silver	15	ACTIVE	
color_secondary	BURGUNDY	Бордовый	бордовый|burgundy	16	ACTIVE	
color_secondary	MULTICOLOR	Многоцветный	мультиколор|разноцветный|multicolor	17	ACTIVE	
color_secondary	TRANSPARENT	Прозрачный	прозрачный|transparent	18	ACTIVE	
material_outer	LEATHER	Натуральная кожа	натуральная кожа|кожа|leather	1	ACTIVE	
material_outer	FAUX_LEATHER	Искусственная кожа	экокожа|искусственная кожа|кожзам|faux leather	2	ACTIVE	
material_outer	SUEDE	Замша	замша|suede	3	ACTIVE	
material_outer	TEXTILE	Текстиль	текстиль|fabric|textile	4	ACTIVE	
material_outer	NYLON	Нейлон	нейлон|nylon	5	ACTIVE	
material_outer	POLYESTER	Полиэстер	полиэстер|polyester	6	ACTIVE	
material_outer	CANVAS	Канвас / холст	канвас|холст|canvas	7	ACTIVE	
material_outer	DENIM	Деним	джинса|деним|denim	8	ACTIVE	
material_outer	COTTON	Хлопок	хлопок|cotton	9	ACTIVE	
material_outer	VELVET	Бархат	бархат|velvet	10	ACTIVE	
material_outer	SATIN	Сатин	сатин|satin	11	ACTIVE	
material_outer	MICROFIBER	Микрофибра	микрофибра|microfiber	12	ACTIVE	
material_outer	PLASTIC	Пластик	пластик|plastic	13	ACTIVE	
material_outer	SILICONE	Силикон	силикон|silicone	14	ACTIVE	
material_outer	METAL	Металл	металл|metal	15	ACTIVE	
material_outer	STRAW	Солома / рафия	солома|рафия|straw|raffia	16	ACTIVE	
material_outer	RUBBER	Резина	резина|rubber	17	ACTIVE	
material_outer	MIXED	Комбинированный материал	комбинированный|mixed	18	ACTIVE	
material_lining	LEATHER	Натуральная кожа	натуральная кожа|кожа|leather	1	ACTIVE	
material_lining	FAUX_LEATHER	Искусственная кожа	экокожа|искусственная кожа|кожзам|faux leather	2	ACTIVE	
material_lining	SUEDE	Замша	замша|suede	3	ACTIVE	
material_lining	TEXTILE	Текстиль	текстиль|fabric|textile	4	ACTIVE	
material_lining	NYLON	Нейлон	нейлон|nylon	5	ACTIVE	
material_lining	POLYESTER	Полиэстер	полиэстер|polyester	6	ACTIVE	
material_lining	CANVAS	Канвас / холст	канвас|холст|canvas	7	ACTIVE	
material_lining	DENIM	Деним	джинса|деним|denim	8	ACTIVE	
material_lining	COTTON	Хлопок	хлопок|cotton	9	ACTIVE	
material_lining	VELVET	Бархат	бархат|velvet	10	ACTIVE	
material_lining	SATIN	Сатин	сатин|satin	11	ACTIVE	
material_lining	MICROFIBER	Микрофибра	микрофибра|microfiber	12	ACTIVE	
material_lining	PLASTIC	Пластик	пластик|plastic	13	ACTIVE	
material_lining	SILICONE	Силикон	силикон|silicone	14	ACTIVE	
material_lining	METAL	Металл	металл|metal	15	ACTIVE	
material_lining	STRAW	Солома / рафия	солома|рафия|straw|raffia	16	ACTIVE	
material_lining	RUBBER	Резина	резина|rubber	17	ACTIVE	
material_lining	MIXED	Комбинированный материал	комбинированный|mixed	18	ACTIVE	
pattern	SOLID	Однотонный	однотонный|solid	1	ACTIVE	
pattern	LOGO	Логотип	логотип|logo	2	ACTIVE	
pattern	MONOGRAM	Монограмма	монограмма|monogram	3	ACTIVE	
pattern	PRINT	Принт	принт|print	4	ACTIVE	
pattern	FLORAL	Цветочный	цветочный|floral	5	ACTIVE	
pattern	ANIMAL_PRINT	Анималистичный	леопард|зебра|animal print	6	ACTIVE	
pattern	CHECKED	Клетка	клетка|checked|plaid	7	ACTIVE	
pattern	STRIPED	Полоска	полоска|striped	8	ACTIVE	
pattern	GEOMETRIC	Геометрия	геометрический|geometric	9	ACTIVE	
pattern	QUILTED	Стёганый	стеганый|стёганый|quilted	10	ACTIVE	
pattern	EMBOSSED	Тиснение	тиснение|embossed	11	ACTIVE	
pattern	COLOR_BLOCK	Колор-блок	color block|колор-блок	12	ACTIVE	
style	CASUAL	Повседневный	casual|повседневный	1	ACTIVE	
style	BUSINESS	Деловой	деловой|office|business	2	ACTIVE	
style	CLASSIC	Классический	классика|classic	3	ACTIVE	
style	SPORT	Спортивный	спорт|sport	4	ACTIVE	
style	EVENING	Вечерний	вечерний|evening	5	ACTIVE	
style	STREETWEAR	Streetwear	стритвир|streetwear	6	ACTIVE	
style	MINIMALIST	Минимализм	минимализм|minimal	7	ACTIVE	
style	VINTAGE	Винтаж	винтаж|vintage	8	ACTIVE	
style	LUXURY	Премиум / люкс	люкс|premium|luxury	9	ACTIVE	
style	TRAVEL	Для путешествий	travel|путешествия	10	ACTIVE	
style	SCHOOL	Школьный	школа|school	11	ACTIVE	
usage_context	DAILY	На каждый день	повседневно|каждый день|daily	1	ACTIVE	
usage_context	WORK	Для работы	для работы|офис|work	2	ACTIVE	
usage_context	SCHOOL	Для школы	для школы|school	3	ACTIVE	
usage_context	UNIVERSITY	Для учёбы	университет|учеба|учёба|college	4	ACTIVE	
usage_context	TRAVEL	Для поездок	поездка|путешествие|travel	5	ACTIVE	
usage_context	SPORT	Для спорта	спортзал|спорт|gym	6	ACTIVE	
usage_context	EVENING	Для выхода	вечер|выход|party	7	ACTIVE	
usage_context	BEACH	Для пляжа	пляж|beach	8	ACTIVE	
usage_context	LAPTOP	Для ноутбука	ноутбук|laptop	9	ACTIVE	
usage_context	BABY_CARE	Для мамы и ребёнка	подгузники|коляска|baby	10	ACTIVE	
usage_context	CITY	Город	городской|city	11	ACTIVE	
usage_context	OUTDOOR	Outdoor	поход|outdoor|hiking	12	ACTIVE	
size_class	MINI	Мини	мини|micro|mini	1	ACTIVE	
size_class	SMALL	Маленький	маленький|small	2	ACTIVE	
size_class	MEDIUM	Средний	средний|medium	3	ACTIVE	
size_class	LARGE	Большой	большой|large	4	ACTIVE	
size_class	XL	Очень большой	очень большой|xl	5	ACTIVE	
size_class	CABIN	Ручная кладь	ручная кладь|cabin	6	ACTIVE	
size_class	CHECKED_MEDIUM	Средний сдаваемый багаж	средний чемодан|checked medium	7	ACTIVE	
size_class	CHECKED_LARGE	Большой сдаваемый багаж	большой чемодан|checked large	8	ACTIVE	
size_class	FLAT	Плоский формат	плоский|flat|sleeve	9	ACTIVE	
closure_type	ZIPPER	Молния	молния|zipper|zip	1	ACTIVE	
closure_type	MAGNET	Магнит	магнит|magnetic	2	ACTIVE	
closure_type	BUTTON	Пуговица	пуговица|button	3	ACTIVE	
closure_type	SNAP	Кнопка	кнопка|snap	4	ACTIVE	
closure_type	BUCKLE	Пряжка	пряжка|buckle	5	ACTIVE	
closure_type	DRAWSTRING	Шнурок / кулиска	шнурок|кулиска|drawstring	6	ACTIVE	
closure_type	FLAP	Клапан	клапан|flap	7	ACTIVE	
closure_type	CLASP	Фермуар / защёлка	фермуар|защелка|clasp	8	ACTIVE	
closure_type	TWIST_LOCK	Поворотный замок	twist lock|поворотный замок	9	ACTIVE	
closure_type	VELCRO	Липучка	липучка|velcro	10	ACTIVE	
closure_type	OPEN_TOP	Без застёжки / открытый верх	без застежки|открытый верх|open top	11	ACTIVE	
closure_type	COMBINATION_LOCK	Кодовый замок	кодовый замок|combination lock	12	ACTIVE	
closure_type	TSA_LOCK	TSA-замок	tsa|tsa lock	13	ACTIVE	
closure_type	FRAME_LOCK	Рамочный замок	рамочный замок|frame lock	14	ACTIVE	
closure_type	NONE	Нет застёжки	нет застежки|none	15	ACTIVE	
strap_type	NONE	Без ремня	без ремня|нет ремня	1	ACTIVE	
strap_type	TOP_HANDLE	Верхняя ручка	верхняя ручка|top handle	2	ACTIVE	
strap_type	SHOULDER_STRAP	Плечевой ремень	плечевой ремень|shoulder strap	3	ACTIVE	
strap_type	CROSSBODY_STRAP	Длинный ремень через плечо	через плечо|crossbody strap	4	ACTIVE	
strap_type	BACKPACK_STRAPS	Две рюкзачные лямки	лямки|рюкзачные лямки	5	ACTIVE	
strap_type	WAIST_BELT	Поясной ремень	поясной ремень|waist belt	6	ACTIVE	
strap_type	CHAIN_STRAP	Цепочка	цепочка|chain strap	7	ACTIVE	
strap_type	WRIST_STRAP	Петля на запястье	петля|wrist strap	8	ACTIVE	
strap_type	TROLLEY_HANDLE	Телескопическая ручка	телескопическая ручка|trolley handle	9	ACTIVE	
strap_type	MIXED	Комбинированные ремни	несколько ремней|mixed	10	ACTIVE	
handle_type	NONE	Без ручки	без ручки|none	1	ACTIVE	
handle_type	TOP_HANDLE	Одна верхняя ручка	верхняя ручка|top handle	2	ACTIVE	
handle_type	DOUBLE_HANDLES	Две ручки	две ручки|double handles	3	ACTIVE	
handle_type	SIDE_HANDLE	Боковая ручка	боковая ручка|side handle	4	ACTIVE	
handle_type	TELESCOPIC_HANDLE	Телескопическая ручка	телескопическая ручка|выдвижная ручка	5	ACTIVE	
handle_type	WRIST_LOOP	Петля на запястье	петля на руку|wrist loop	6	ACTIVE	
laptop_protection_level	NONE	Без защиты	без защиты|none	1	ACTIVE	
laptop_protection_level	SOFT_PADDED	Мягкая защита	мягкая защита|padded	2	ACTIVE	
laptop_protection_level	HARD_SHELL	Жёсткий корпус	жесткий корпус|hard shell	3	ACTIVE	
laptop_protection_level	SUSPENDED_COMPARTMENT	Подвесной отсек	подвесной отсек|suspended	4	ACTIVE	
waterproof_level	NONE	Не заявлено	не указано|none	1	ACTIVE	
waterproof_level	WATER_RESISTANT	Водоотталкивающий	водоотталкивающий|water resistant	2	ACTIVE	
waterproof_level	WATERPROOF	Водонепроницаемый	водонепроницаемый|waterproof	3	ACTIVE	
waterproof_level	RAIN_COVER_INCLUDED	С дождевиком	дождевик|rain cover	4	ACTIVE	
hardware_color	GOLD	Золотистая фурнитура	золото|gold hardware	1	ACTIVE	
hardware_color	SILVER	Серебристая фурнитура	серебро|silver hardware	2	ACTIVE	
hardware_color	GUNMETAL	Графитовая фурнитура	gunmetal|графит	3	ACTIVE	
hardware_color	BLACK	Чёрная фурнитура	черная фурнитура|black hardware	4	ACTIVE	
hardware_color	ROSE_GOLD	Розовое золото	розовое золото|rose gold	5	ACTIVE	
hardware_color	BRONZE	Бронзовая фурнитура	бронза|bronze	6	ACTIVE	
hardware_color	MIXED	Смешанная фурнитура	смешанная|mixed	7	ACTIVE	
lock_type	NONE	Без замка	без замка|none	1	ACTIVE	
lock_type	ZIP_LOCK	Замок на молнии	замок на молнии|zip lock	2	ACTIVE	
lock_type	TSA_LOCK	TSA-замок	tsa|tsa lock	3	ACTIVE	
lock_type	COMBINATION_LOCK	Кодовый замок	кодовый|combination	4	ACTIVE	
lock_type	KEY_LOCK	Замок с ключом	ключ|key lock	5	ACTIVE	
lock_type	CLASP_LOCK	Защёлка / фермуар	защелка|фермуар|clasp	6	ACTIVE	
cabin_size_status	UNKNOWN	Неизвестно	не указано|unknown	1	ACTIVE	
cabin_size_status	CABIN_APPROVED	Заявлена ручная кладь	ручная кладь|cabin approved	2	ACTIVE	
cabin_size_status	CHECK_AIRLINE	Проверить правила авиакомпании	проверить авиакомпанию|check airline	3	ACTIVE	
cabin_size_status	NOT_CABIN	Не ручная кладь	не ручная кладь|not cabin	4	ACTIVE	
document_size	PHONE	Смартфон	телефон|phone	1	ACTIVE	
document_size	PASSPORT	Паспорт	паспорт|passport	2	ACTIVE	
document_size	A5	A5	a5	3	ACTIVE	
document_size	A4	A4	a4|документы а4	4	ACTIVE	
document_size	LAPTOP_13	"Ноутбук до 13"""	13|13.3|13 дюймов	5	ACTIVE	
document_size	LAPTOP_14	"Ноутбук до 14"""	14|14 дюймов	6	ACTIVE	
document_size	LAPTOP_15_16	"Ноутбук 15–16"""	15|15.6|16|15 дюймов	7	ACTIVE	
document_size	LAPTOP_17	"Ноутбук до 17"""	17|17.3	8	ACTIVE	
school_grade_group	PRESCHOOL	Дошкольники	дошкольник|садик	1	ACTIVE	
school_grade_group	PRIMARY	Начальная школа	1 класс|начальная школа	2	ACTIVE	
school_grade_group	MIDDLE_SCHOOL	Средняя школа	5 класс|средняя школа	3	ACTIVE	
school_grade_group	HIGH_SCHOOL	Старшая школа	старшая школа|подросток	4	ACTIVE	
school_grade_group	UNIVERSITY	Университет	университет|студент	5	ACTIVE	
luggage_shell_type	SOFT	Мягкий корпус	мягкий|soft	1	ACTIVE	
luggage_shell_type	HARD	Жёсткий корпус	жесткий|жёсткий|hard	2	ACTIVE	
luggage_shell_type	HYBRID	Комбинированный корпус	комбинированный|hybrid	3	ACTIVE	
wheel_type	NONE	Без колёс	без колес|без колёс|none	1	ACTIVE	
wheel_type	INLINE	Два встроенных колеса	2 колеса|inline	2	ACTIVE	
wheel_type	SPINNER	Четыре колеса spinner	4 колеса|spinner|360	3	ACTIVE	
wheel_type	DOUBLE_SPINNER	Сдвоенные колёса spinner	двойные колеса|double spinner	4	ACTIVE	
