alias	model_id	brand	platform	confidence	note
nintendo switch 2 camera	SWITCH_2_CAMERA	NINTENDO	NINTENDO	0.94	generated_from_head_seed
steam deck docking station	STEAM_DECK_DOCK	VALVE	STEAM_DECK	0.94	generated_from_head_seed
mario kart world	MARIO_KART_WORLD	NINTENDO	NINTENDO	0.94	generated_from_head_seed
the legend of zelda: tears of the kingdom	ZELDA_TOTK	NINTENDO	NINTENDO	0.94	generated_from_head_seed
marvel's spider-man 2	SPIDER_MAN_2_PS5	SONY	PLAYSTATION	0.94	generated_from_head_seed
elden ring	ELDEN_RING_PS5	BANDAI_NAMCO	PLAYSTATION	0.94	generated_from_head_seed
forza horizon 5	FORZA_HORIZON_5_XBOX	MICROSOFT	XBOX	0.94	generated_from_head_seed
arcade1up cabinet	ARCADE1UP_CABINET	ARCADE1UP	RETRO	0.94	generated_from_head_seed
pandora box 10th anniversary	PANDORA_BOX_10TH	PANDORA_BOX	RETRO	0.94	generated_from_head_seed
сонька 5	PS5_CONSOLE_1TB	SONY	PLAYSTATION	0.91	ru_common_alias
плойка 5	PS5_CONSOLE_1TB	SONY	PLAYSTATION	0.91	ru_common_alias
пс5 про	PS5_PRO_2TB	SONY	PLAYSTATION	0.91	ru_common_alias
икс бокс series x	XBOX_SERIES_X_1TB	MICROSOFT	XBOX	0.91	ru_common_alias
хбокс серия с	XBOX_SERIES_S_512	MICROSOFT	XBOX	0.91	ru_common_alias
свитч 2	NINTENDO_SWITCH_2	NINTENDO	NINTENDO	0.91	ru_common_alias
нинтендо свич 2	NINTENDO_SWITCH_2	NINTENDO	NINTENDO	0.91	ru_common_alias
стимдек oled	STEAM_DECK_OLED	VALVE	STEAM_DECK	0.91	ru_common_alias
квест 3с	META_QUEST_3S_128	META	META_QUEST	0.91	ru_common_alias
окулус квест 3с	META_QUEST_3S_128	META	META_QUEST	0.91	ru_common_alias
дуалсенс	DUALSENSE	SONY	PLAYSTATION	0.91	ru_common_alias
элит 2	XBOX_ELITE_SERIES_2	MICROSOFT	XBOX	0.91	ru_common_alias
джойконы	JOY_CON_PAIR	NINTENDO	NINTENDO	0.91	ru_common_alias
