model_id	gaming_type	brand	family	model	platform	release_year	storage_capacity_gb	priority	source_level	aliases	note
RAZER_HUNTSMAN_V3_PRO	GAMING_KEYBOARD	RAZER	HUNTSMAN	Razer Huntsman V3 Pro	PC	2023		HEAD	huntsman v3 pro	Head keyboard	
LOGITECH_G_PRO_X_TKL	GAMING_KEYBOARD	LOGITECH_G	PRO_X	Logitech G Pro X TKL	PC	2023		HEAD	g pro x tkl	Head keyboard	
STEELSERIES_APEX_PRO_TKL	GAMING_KEYBOARD	STEELSERIES	APEX	SteelSeries Apex Pro TKL	PC	2022		HEAD	apex pro tkl	Head keyboard	
CORSAIR_K70_RGB_PRO	GAMING_KEYBOARD	CORSAIR	K_SERIES	Corsair K70 RGB Pro	PC	2022		HEAD	k70 rgb pro	Head keyboard	
RAZER_DEATHADDER_V3_PRO	GAMING_MOUSE	RAZER	DEATHADDER	Razer DeathAdder V3 Pro	PC	2022		HEAD	deathadder v3 pro	Head mouse	
LOGITECH_G_PRO_X_SUPERLIGHT_2	GAMING_MOUSE	LOGITECH_G	PRO_X	Logitech G Pro X Superlight 2	PC	2023		HEAD	superlight 2	Head mouse	
STEELSERIES_AEROX_5	GAMING_MOUSE	STEELSERIES	AEROX	SteelSeries Aerox 5	PC	2022		HEAD	aerox 5	Head mouse	
RAZER_BLACKSHARK_V2_PRO	GAMING_HEADSET	RAZER	BLACKSHARK	Razer BlackShark V2 Pro	PC	2023		HEAD	blackshark v2 pro	Head headset	
STEELSERIES_ARCTIS_NOVA_PRO	GAMING_HEADSET	STEELSERIES	ARCTIS_NOVA	SteelSeries Arctis Nova Pro	MULTIPLATFORM	2022		HEAD	arctis nova pro	Head headset	
HYPERX_CLOUD_III	GAMING_HEADSET	HYPERX	CLOUD	HyperX Cloud III	MULTIPLATFORM	2023		HEAD	cloud 3; cloud iii	Head headset	
PS5_DUALSENSE_CHARGING_STATION	CONSOLE_ACCESSORY	SONY	PLAYSTATION	DualSense Charging Station	PLAYSTATION	2020		HEAD	ps5 charging station	Accessory head	
XBOX_EXPANSION_CARD_1TB	CONSOLE_ACCESSORY	MICROSOFT	XBOX	Xbox Storage Expansion Card 1TB	XBOX	2020	1000	HEAD	seagate expansion card xbox	Accessory head	
SWITCH_2_CAMERA	CONSOLE_ACCESSORY	NINTENDO	SWITCH	Nintendo Switch 2 Camera	NINTENDO	2025		HEAD	switch 2 camera	Accessory head	
STEAM_DECK_DOCK	CONSOLE_ACCESSORY	VALVE	STEAM_DECK	Steam Deck Docking Station	STEAM_DECK	2022		HEAD	steam deck dock	Accessory head	
MARIO_KART_WORLD	PHYSICAL_GAME	NINTENDO	MARIO	Mario Kart World	NINTENDO	2025		HEAD	mario kart world	Game head sample	
ZELDA_TOTK	PHYSICAL_GAME	NINTENDO	ZELDA	The Legend of Zelda: Tears of the Kingdom	NINTENDO	2023		HEAD	zelda tears of the kingdom	Game head sample	
SPIDER_MAN_2_PS5	PHYSICAL_GAME	SONY	MARVEL	Marvel's Spider-Man 2	PLAYSTATION	2023		HEAD	spider man 2 ps5	Game head sample	
ELDEN_RING_PS5	PHYSICAL_GAME	BANDAI_NAMCO	ELDEN_RING	Elden Ring	PLAYSTATION	2022		HEAD	elden ring ps5	Game head sample	
FORZA_HORIZON_5_XBOX	PHYSICAL_GAME	MICROSOFT	FORZA	Forza Horizon 5	XBOX	2021		HEAD	forza horizon 5	Game head sample	
ARCADE1UP_CABINET	ARCADE_EQUIPMENT	ARCADE1UP	ARCADE_CABINET	Arcade1Up Cabinet	RETRO	2020		HEAD	arcade1up cabinet	Arcade head	
PANDORA_BOX_10TH	ARCADE_EQUIPMENT	PANDORA_BOX	PANDORA	Pandora Box 10th Anniversary	RETRO	2022		HEAD	pandora box	Arcade head	
