attribute_code	value_code	label_ru	aliases_ru	priority	scope	note
game_platform	XBOX_SERIES	Xbox Series X|S		50		
game_platform	XBOX_ONE	Xbox One		50		
game_platform	NINTENDO_SWITCH_2	Nintendo Switch 2		50		
game_platform	NINTENDO_SWITCH	Nintendo Switch		50		
game_platform	PC	PC		50		
game_platform	META_QUEST	Meta Quest		50		
edition	STANDARD	стандартное		50		
edition	DELUXE	deluxe		50		
edition	ULTIMATE	ultimate		50		
edition	COLLECTOR	коллекционное		50		
edition	GOTY	Game of the Year		50		
edition	BUNDLE	bundle		50		
age_rating_system	ESRB	ESRB		50		
age_rating_system	PEGI	PEGI		50		
age_rating_system	CERO	CERO		50		
age_rating_system	USK	USK		50		
age_rating_system	UNKNOWN	не указан		50		
age_rating_value	EVERYONE	Everyone/3+		50		
age_rating_value	TEEN	Teen/12+		50		
age_rating_value	MATURE	Mature/16+/18+		50		
age_rating_value	ADULTS_ONLY	Adults Only		50		
age_rating_value	UNKNOWN	не указан		50		
modded_status	OFFICIAL	официальный		50		
modded_status	THIRD_PARTY	сторонний		50		
modded_status	MODDED	модифицированный		50		
modded_status	UNKNOWN	неизвестно		50		
disc_drive	YES	есть		50		
account_lock_status	YES	есть		50		
online_ban_status	YES	есть		50		
disc_drive	NO	нет		50		
account_lock_status	NO	нет		50		
online_ban_status	NO	нет		50		
disc_drive	UNKNOWN	неизвестно		50		
account_lock_status	UNKNOWN	неизвестно		50		
online_ban_status	UNKNOWN	неизвестно		50		
display_type	OLED	OLED		50		
display_type	LCD	LCD		50		
display_type	MINI_LED	Mini LED		50		
display_type	NONE	без экрана		50		
vr_tracking_type	INSIDE_OUT	inside-out		50		
vr_tracking_type	OUTSIDE_IN	outside-in		50		
vr_tracking_type	BASE_STATION	base station		50		
vr_tracking_type	THREE_DOF	3DoF		50		
vr_tracking_type	UNKNOWN	неизвестно		50		
connection_type	USB_C	USB-C		50		
connection_type	USB_A	USB-A		50		
connection_type	HDMI	HDMI		50		
connection_type	BLUETOOTH	Bluetooth		50		
connection_type	WIRELESS_2_4	2.4 GHz		50		
connection_type	WIRED	проводное		50		
connection_type	WIRELESS	беспроводное		50		
connection_type	MULTI	несколько		50		
battery_type	AA	AA		50		
battery_type	AAA	AAA		50		
battery_type	BUILT_IN_RECHARGEABLE	встроенный аккумулятор		50		
battery_type	USB_POWERED	питание USB		50		
battery_type	NONE	нет		50		
controller_subtype	GAMEPAD	геймпад		50		
controller_subtype	JOYSTICK	джойстик		50		
controller_subtype	RACING_WHEEL	руль		50		
controller_subtype	FLIGHT_STICK	авиаджойстик		50		
controller_subtype	FIGHT_STICK	fight stick		50		
controller_subtype	DRUMS	барабаны		50		
controller_subtype	GUITAR	гитара		50		
keyboard_switch_type	MECHANICAL	механические		50		
keyboard_switch_type	MEMBRANE	мембранные		50		
keyboard_switch_type	OPTICAL	оптические		50		
keyboard_switch_type	HALL_EFFECT	Hall effect		50		
keyboard_switch_type	SCISSOR	ножничные		50		
keyboard_layout	ANSI	ANSI		50		
keyboard_layout	ISO	ISO		50		
keyboard_layout	RU	RU		50		
keyboard_layout	US	US		50		
keyboard_layout	TKL	TKL		50		
keyboard_layout	FULL_SIZE	полноразмерная		50		
keyboard_layout	SIXTY_PERCENT	60%		50		
mouse_sensor_type	OPTICAL	оптический		50		
mouse_sensor_type	LASER	лазерный		50		
mouse_sensor_type	HERO	HERO		50		
mouse_sensor_type	FOCUS	Focus		50		
mouse_sensor_type	UNKNOWN	не указан		50		
headset_surround	STEREO	stereo		50		
headset_surround	VIRTUAL_7_1	virtual 7.1		50		
headset_surround	DOLBY_ATMOS	Dolby Atmos		50		
headset_surround	TEMPEST_3D	Tempest 3D		50		
headset_surround	UNKNOWN	не указан		50		
accessory_subtype	CHARGING_DOCK	зарядная станция		50		
accessory_subtype	STAND	подставка		50		
accessory_subtype	CARRYING_CASE	чехол/сумка		50		
accessory_subtype	GRIP	грип		50		
accessory_subtype	COOLING_STAND	охлаждающая подставка		50		
accessory_subtype	STORAGE_EXPANSION	расширение памяти		50		
accessory_subtype	FACEPLATE	панель/накладка		50		
accessory_subtype	CABLE_ADAPTER	кабель/адаптер		50		
compatible_platform	PS5	PS5		50		
compatible_platform	PS4	PS4		50		
compatible_platform	XBOX_SERIES	Xbox Series X|S		50		
compatible_platform	NINTENDO_SWITCH_2	Nintendo Switch 2		50		
compatible_platform	NINTENDO_SWITCH	Nintendo Switch		50		
compatible_platform	STEAM_DECK	Steam Deck		50		
compatible_platform	META_QUEST	Meta Quest		50		
compatible_platform	PC	PC		50		
compatible_platform	MULTI	мультиплатформа		50		
arcade_equipment_type	ARCADE_CABINET	аркадный автомат		50		
arcade_equipment_type	PINBALL	пинбол		50		
arcade_equipment_type	BARTOP	bartop arcade		50		
arcade_equipment_type	PANDORA_BOX	Pandora Box		50		
arcade_equipment_type	ARCADE_STICK	аркадный стик		50		
arcade_equipment_type	COIN_OP_PART	часть автомата		50		
cosmetic_grade	A	A		50		
functional_grade	A	A		50		
cosmetic_grade	B	B		50		
functional_grade	B	B		50		
cosmetic_grade	C	C		50		
functional_grade	C	C		50		
cosmetic_grade	D	D		50		
functional_grade	D	D		50		
cosmetic_grade	UNKNOWN	не указано		50		
functional_grade	UNKNOWN	не указано		50		
lot_type	SINGLE	один товар		50		
lot_type	BUNDLE	комплект		50		
lot_type	LOT	лот		50		
lot_type	PARTS_ONLY	на запчасти		50		
language_pack	EN	английский		50		
language_pack	RU	русский		50		
language_pack	MULTI	мультиязычный		50		
language_pack	JP	японский		50		
language_pack	EU	европейский		50		
lens_type	PANCake	pancake		50		
lens_type	FRESNEL	Fresnel		50		
lens_type	ASPHERIC	aspheric		50		
lens_type	UNKNOWN	не указан		50		
ipd_adjustment	MANUAL	ручная		50		
ipd_adjustment	SOFTWARE	программная		50		
ipd_adjustment	FIXED	фиксированная		50		
ipd_adjustment	UNKNOWN	не указано		50		
brand	SONY	SONY		70		
brand	MICROSOFT	MICROSOFT		70		
brand	NINTENDO	NINTENDO		70		
brand	VALVE	VALVE		70		
brand	META	META		70		
brand	ASUS_ROG	ASUS ROG		70		
brand	LENOVO	LENOVO		70		
brand	MSI	MSI		70		
brand	RAZER	RAZER		70		
brand	LOGITECH_G	LOGITECH G		70		
brand	STEELSERIES	STEELSERIES		70		
brand	HYPERX	HYPERX		70		
brand	CORSAIR	CORSAIR		70		
brand	TURTLE_BEACH	TURTLE BEACH		70		
brand	THRUSTMASTER	THRUSTMASTER		70		
brand	FANATEC	FANATEC		70		
brand	HORI	HORI		70		
brand	POWER_A	POWER A		70		
brand	PDP	PDP		70		
brand	8BITDO	8BITDO		70		
brand	BACKBONE	BACKBONE		70		
brand	GAMESIR	GAMESIR		70		
brand	SCUF	SCUF		70		
brand	ELGATO	ELGATO		70		
brand	ANALOGUE	ANALOGUE		70		
brand	ANBERNIC	ANBERNIC		70		
brand	RETROID	RETROID		70		
brand	AYANEO	AYANEO		70		
brand	GPD	GPD		70		
