gaming_type	attribute_code	coverage	required	ui	note
GAMING_KEYBOARD	connection_type	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAMING_KEYBOARD	compatible_platform	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAMING_MOUSE	brand	CORE	recommended	initial_or_expanded	
GAMING_MOUSE	model_name_text	CORE	recommended	initial_or_expanded	
GAMING_MOUSE	platform	CORE	recommended	initial_or_expanded	
GAMING_MOUSE	condition	CORE	yes	initial_or_expanded	
GAMING_MOUSE	price	CORE	yes	initial_or_expanded	
GAMING_MOUSE	availability	CORE	yes	initial_or_expanded	
GAMING_MOUSE	included_accessories	CORE	recommended	initial_or_expanded	
GAMING_MOUSE	connection_type	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAMING_MOUSE	wireless	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAMING_MOUSE	mouse_dpi_max	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAMING_MOUSE	compatible_platform	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAMING_HEADSET	brand	CORE	recommended	initial_or_expanded	
GAMING_HEADSET	model_name_text	CORE	recommended	initial_or_expanded	
GAMING_HEADSET	platform	CORE	recommended	initial_or_expanded	
GAMING_HEADSET	condition	CORE	yes	initial_or_expanded	
GAMING_HEADSET	price	CORE	yes	initial_or_expanded	
GAMING_HEADSET	availability	CORE	yes	initial_or_expanded	
GAMING_HEADSET	included_accessories	CORE	recommended	initial_or_expanded	
GAMING_HEADSET	headset_connection	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAMING_HEADSET	headset_surround	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAMING_HEADSET	microphone_included	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAMING_HEADSET	compatible_platform	TYPE_SPECIFIC	conditional_or_recommended	expanded	
CONSOLE_ACCESSORY	brand	CORE	recommended	initial_or_expanded	
CONSOLE_ACCESSORY	model_name_text	CORE	recommended	initial_or_expanded	
CONSOLE_ACCESSORY	platform	CORE	recommended	initial_or_expanded	
CONSOLE_ACCESSORY	condition	CORE	yes	initial_or_expanded	
CONSOLE_ACCESSORY	price	CORE	yes	initial_or_expanded	
CONSOLE_ACCESSORY	availability	CORE	yes	initial_or_expanded	
CONSOLE_ACCESSORY	included_accessories	CORE	recommended	initial_or_expanded	
CONSOLE_ACCESSORY	accessory_subtype	TYPE_SPECIFIC	conditional_or_recommended	expanded	
CONSOLE_ACCESSORY	compatible_platform	TYPE_SPECIFIC	conditional_or_recommended	expanded	
CONSOLE_ACCESSORY	compatible_model_text	TYPE_SPECIFIC	conditional_or_recommended	expanded	
PHYSICAL_GAME	brand	CORE	recommended	initial_or_expanded	
PHYSICAL_GAME	model_name_text	CORE	recommended	initial_or_expanded	
PHYSICAL_GAME	platform	CORE	recommended	initial_or_expanded	
PHYSICAL_GAME	condition	CORE	yes	initial_or_expanded	
PHYSICAL_GAME	price	CORE	yes	initial_or_expanded	
PHYSICAL_GAME	availability	CORE	yes	initial_or_expanded	
PHYSICAL_GAME	included_accessories	CORE	recommended	initial_or_expanded	
PHYSICAL_GAME	game_platform	TYPE_SPECIFIC	conditional_or_recommended	expanded	
PHYSICAL_GAME	media_format	TYPE_SPECIFIC	conditional_or_recommended	expanded	
PHYSICAL_GAME	edition	TYPE_SPECIFIC	conditional_or_recommended	expanded	
PHYSICAL_GAME	age_rating_system	TYPE_SPECIFIC	conditional_or_recommended	expanded	
PHYSICAL_GAME	language_pack	TYPE_SPECIFIC	conditional_or_recommended	expanded	
PHYSICAL_GAME	disc_region	TYPE_SPECIFIC	conditional_or_recommended	expanded	
ARCADE_EQUIPMENT	brand	CORE	recommended	initial_or_expanded	
ARCADE_EQUIPMENT	model_name_text	CORE	recommended	initial_or_expanded	
ARCADE_EQUIPMENT	platform	CORE	recommended	initial_or_expanded	
ARCADE_EQUIPMENT	condition	CORE	yes	initial_or_expanded	
ARCADE_EQUIPMENT	price	CORE	yes	initial_or_expanded	
ARCADE_EQUIPMENT	availability	CORE	yes	initial_or_expanded	
ARCADE_EQUIPMENT	included_accessories	CORE	recommended	initial_or_expanded	
ARCADE_EQUIPMENT	arcade_equipment_type	TYPE_SPECIFIC	conditional_or_recommended	expanded	
ARCADE_EQUIPMENT	coin_op	TYPE_SPECIFIC	conditional_or_recommended	expanded	
ARCADE_EQUIPMENT	control_panel_type	TYPE_SPECIFIC	conditional_or_recommended	expanded	
