id	query	expected_category	expected_pc_component_type	notes
gq_pccomp_0051	sound card	TECH.PC_COMPONENTS	SOUND_CARD	type alias
gq_pccomp_0052	аудиокарта	TECH.PC_COMPONENTS	SOUND_CARD	type alias
gq_pccomp_0053	звуковуха	TECH.PC_COMPONENTS	SOUND_CARD	type alias
gq_pccomp_0054	сетевая карта	TECH.PC_COMPONENTS	NETWORK_CARD	type alias
gq_pccomp_0055	network card	TECH.PC_COMPONENTS	NETWORK_CARD	type alias
gq_pccomp_0056	wifi card	TECH.PC_COMPONENTS	NETWORK_CARD	type alias
gq_pccomp_0057	wi-fi адаптер pci	TECH.PC_COMPONENTS	NETWORK_CARD	type alias
gq_pccomp_0058	10gbe карта	TECH.PC_COMPONENTS	NETWORK_CARD	type alias
gq_pccomp_0059	плата расширения	TECH.PC_COMPONENTS	EXPANSION_CARD	type alias
gq_pccomp_0060	expansion card	TECH.PC_COMPONENTS	EXPANSION_CARD	type alias
gq_pccomp_0061	pci карта	TECH.PC_COMPONENTS	EXPANSION_CARD	type alias
gq_pccomp_0062	usb pci-e	TECH.PC_COMPONENTS	EXPANSION_CARD	type alias
gq_pccomp_0063	m2 adapter	TECH.PC_COMPONENTS	EXPANSION_CARD	type alias
gq_pccomp_0064	AMD Ryzen 9 9950X3D	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0065	amd ryzen 9 9950x3d	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0066	AMD Ryzen 7 9800X3D	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0067	amd ryzen 7 9800x3d	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0068	AMD Ryzen 9 9900X	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0069	amd ryzen 9 9900x	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0070	AMD Ryzen 7 9700X	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0071	amd ryzen 7 9700x	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0072	AMD Ryzen 5 9600X	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0073	amd ryzen 5 9600x	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0074	AMD Ryzen 7 7800X3D	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0075	amd ryzen 7 7800x3d	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0076	AMD Ryzen 5 7600X	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0077	amd ryzen 5 7600x	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0078	AMD Ryzen 5 5600X	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0079	amd ryzen 5 5600x	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0080	Intel Core Ultra 9 285K	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0081	intel core ultra 9 285k	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0082	Intel Core Ultra 7 265K	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0083	intel core ultra 7 265k	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0084	Intel Core Ultra 5 245K	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0085	intel core ultra 5 245k	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0086	Intel Core i9-14900K	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0087	intel core i9-14900k	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0088	Intel Core i7-14700K	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0089	intel core i7-14700k	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0090	Intel Core i5-14600K	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0091	intel core i5-14600k	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0092	Intel Core i5-12400F	TECH.PC_COMPONENTS	CPU	head model
gq_pccomp_0093	intel core i5-12400f	TECH.PC_COMPONENTS	CPU	short head model
gq_pccomp_0094	NVIDIA GeForce RTX 5090	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0095	nvidia rtx 5090	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0096	NVIDIA GeForce RTX 5080	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0097	nvidia rtx 5080	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0098	NVIDIA GeForce RTX 5070 Ti	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0099	nvidia rtx 5070 ti	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0100	NVIDIA GeForce RTX 5070	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0101	nvidia rtx 5070	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0102	NVIDIA GeForce RTX 5060 Ti	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0103	nvidia rtx 5060 ti	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0104	NVIDIA GeForce RTX 5060	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0105	nvidia rtx 5060	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0106	NVIDIA GeForce RTX 5050	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0107	nvidia rtx 5050	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0108	NVIDIA GeForce RTX 4090	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0109	nvidia rtx 4090	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0110	NVIDIA GeForce RTX 4070 Super	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0111	nvidia rtx 4070 super	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0112	NVIDIA GeForce RTX 3060 Ti	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0113	nvidia rtx 3060 ti	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0114	AMD Radeon RX 9070 XT	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0115	amd rx 9070 xt	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0116	AMD Radeon RX 9070	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0117	amd rx 9070	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0118	AMD Radeon RX 9060 XT	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0119	amd rx 9060 xt	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0120	AMD Radeon RX 7900 XTX	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0121	amd rx 7900 xtx	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0122	AMD Radeon RX 7800 XT	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0123	amd rx 7800 xt	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0124	Intel Arc B580	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0125	intel arc b580	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0126	Intel Arc A750	TECH.PC_COMPONENTS	GPU	head model
gq_pccomp_0127	intel arc a750	TECH.PC_COMPONENTS	GPU	short head model
gq_pccomp_0128	ASUS ROG Strix B650E-F Gaming WiFi	TECH.PC_COMPONENTS	MOTHERBOARD	head model
gq_pccomp_0129	asus rog strix b650e-f gaming wifi	TECH.PC_COMPONENTS	MOTHERBOARD	short head model
gq_pccomp_0130	ASUS TUF Gaming B650-Plus WiFi	TECH.PC_COMPONENTS	MOTHERBOARD	head model
gq_pccomp_0131	asus tuf gaming b650-plus wifi	TECH.PC_COMPONENTS	MOTHERBOARD	short head model
gq_pccomp_0132	MSI MAG B650 Tomahawk WiFi	TECH.PC_COMPONENTS	MOTHERBOARD	head model
gq_pccomp_0133	msi mag b650 tomahawk wifi	TECH.PC_COMPONENTS	MOTHERBOARD	short head model
gq_pccomp_0134	Gigabyte B650 AORUS Elite AX	TECH.PC_COMPONENTS	MOTHERBOARD	head model
gq_pccomp_0135	gigabyte b650 aorus elite ax	TECH.PC_COMPONENTS	MOTHERBOARD	short head model
gq_pccomp_0136	ASRock B650M Pro RS WiFi	TECH.PC_COMPONENTS	MOTHERBOARD	head model
gq_pccomp_0137	asrock b650m pro rs wifi	TECH.PC_COMPONENTS	MOTHERBOARD	short head model
gq_pccomp_0138	ASUS ROG Maximus Z890 Hero	TECH.PC_COMPONENTS	MOTHERBOARD	head model
gq_pccomp_0139	asus rog maximus z890 hero	TECH.PC_COMPONENTS	MOTHERBOARD	short head model
gq_pccomp_0140	MSI MAG Z890 Tomahawk WiFi	TECH.PC_COMPONENTS	MOTHERBOARD	head model
gq_pccomp_0141	msi mag z890 tomahawk wifi	TECH.PC_COMPONENTS	MOTHERBOARD	short head model
gq_pccomp_0142	Gigabyte Z790 AORUS Elite AX	TECH.PC_COMPONENTS	MOTHERBOARD	head model
gq_pccomp_0143	gigabyte z790 aorus elite ax	TECH.PC_COMPONENTS	MOTHERBOARD	short head model
gq_pccomp_0144	ASUS Prime B760-Plus	TECH.PC_COMPONENTS	MOTHERBOARD	head model
gq_pccomp_0145	asus prime b760-plus	TECH.PC_COMPONENTS	MOTHERBOARD	short head model
gq_pccomp_0146	Kingston Fury Beast DDR5 32GB 6000 CL30	TECH.PC_COMPONENTS	RAM_MODULE	head model
gq_pccomp_0147	kingston fury beast ddr5 32gb 6000 cl30	TECH.PC_COMPONENTS	RAM_MODULE	short head model
gq_pccomp_0148	Corsair Vengeance DDR5 32GB 6000 CL30	TECH.PC_COMPONENTS	RAM_MODULE	head model
gq_pccomp_0149	corsair vengeance ddr5 32gb 6000 cl30	TECH.PC_COMPONENTS	RAM_MODULE	short head model
gq_pccomp_0150	G.Skill Trident Z5 Neo RGB 32GB DDR5-6000	TECH.PC_COMPONENTS	RAM_MODULE	head model
gq_pccomp_0151	g.skill trident z5 neo rgb 32gb ddr5-6000	TECH.PC_COMPONENTS	RAM_MODULE	short head model
gq_pccomp_0152	Crucial Pro DDR5 32GB 5600	TECH.PC_COMPONENTS	RAM_MODULE	head model
gq_pccomp_0153	crucial pro ddr5 32gb 5600	TECH.PC_COMPONENTS	RAM_MODULE	short head model
gq_pccomp_0154	Kingston Fury Beast DDR4 16GB 3200	TECH.PC_COMPONENTS	RAM_MODULE	head model
gq_pccomp_0155	kingston fury beast ddr4 16gb 3200	TECH.PC_COMPONENTS	RAM_MODULE	short head model
gq_pccomp_0156	Corsair Vengeance LPX 16GB DDR4-3200	TECH.PC_COMPONENTS	RAM_MODULE	head model
gq_pccomp_0157	corsair vengeance lpx 16gb ddr4-3200	TECH.PC_COMPONENTS	RAM_MODULE	short head model
gq_pccomp_0158	Corsair RM850x 850W 80+ Gold	TECH.PC_COMPONENTS	POWER_SUPPLY	head model
gq_pccomp_0159	Seasonic Focus GX-750 80+ Gold	TECH.PC_COMPONENTS	POWER_SUPPLY	head model
gq_pccomp_0160	be quiet! Pure Power 12 M 850W	TECH.PC_COMPONENTS	POWER_SUPPLY	head model
gq_pccomp_0161	MSI MAG A850GL PCIE5	TECH.PC_COMPONENTS	POWER_SUPPLY	head model
gq_pccomp_0162	DeepCool PX850G	TECH.PC_COMPONENTS	POWER_SUPPLY	head model
gq_pccomp_0163	Fractal Design North	TECH.PC_COMPONENTS	PC_CASE	head model
gq_pccomp_0164	NZXT H5 Flow	TECH.PC_COMPONENTS	PC_CASE	head model
gq_pccomp_0165	Corsair 4000D Airflow	TECH.PC_COMPONENTS	PC_CASE	head model
gq_pccomp_0166	Lian Li O11 Dynamic EVO	TECH.PC_COMPONENTS	PC_CASE	head model
gq_pccomp_0167	Cooler Master MasterBox NR200P	TECH.PC_COMPONENTS	PC_CASE	head model
gq_pccomp_0168	Noctua NH-D15	TECH.PC_COMPONENTS	CPU_COOLER	head model
gq_pccomp_0169	DeepCool AK620	TECH.PC_COMPONENTS	CPU_COOLER	head model
gq_pccomp_0170	ARCTIC Liquid Freezer III 360	TECH.PC_COMPONENTS	CPU_COOLER	head model
gq_pccomp_0171	Corsair iCUE H150i Elite	TECH.PC_COMPONENTS	CPU_COOLER	head model
gq_pccomp_0172	Noctua NF-A12x25 PWM	TECH.PC_COMPONENTS	CASE_FAN	head model
gq_pccomp_0173	ARCTIC P12 PWM PST	TECH.PC_COMPONENTS	CASE_FAN	head model
gq_pccomp_0174	Lian Li UNI FAN SL120 V2	TECH.PC_COMPONENTS	CASE_FAN	head model
gq_pccomp_0175	ARCTIC MX-6 4g	TECH.PC_COMPONENTS	THERMAL_PASTE	head model
gq_pccomp_0176	Thermal Grizzly Kryonaut 1g	TECH.PC_COMPONENTS	THERMAL_PASTE	head model
gq_pccomp_0177	Elgato Game Capture 4K60 Pro MK.2	TECH.PC_COMPONENTS	CAPTURE_CARD	head model
gq_pccomp_0178	AVerMedia Live Gamer 4K GC573	TECH.PC_COMPONENTS	CAPTURE_CARD	head model
gq_pccomp_0179	Creative Sound Blaster AE-5 Plus	TECH.PC_COMPONENTS	SOUND_CARD	head model
gq_pccomp_0180	ASUS Xonar SE	TECH.PC_COMPONENTS	SOUND_CARD	head model
gq_pccomp_0181	TP-Link Archer TX3000E	TECH.PC_COMPONENTS	NETWORK_CARD	head model
gq_pccomp_0182	ASUS PCE-AXE58BT	TECH.PC_COMPONENTS	NETWORK_CARD	head model
gq_pccomp_0183	Intel X540-T2	TECH.PC_COMPONENTS	NETWORK_CARD	head model
gq_pccomp_0184	ASUS Hyper M.2 x16 Gen 4 Card	TECH.PC_COMPONENTS	EXPANSION_CARD	head model
gq_pccomp_0185	StarTech 4-Port USB 3.0 PCIe Card	TECH.PC_COMPONENTS	EXPANSION_CARD	head model
gq_pccomp_0186	ssd samsung 980 pro 1tb	TECH.STORAGE_MEMORY		cross-route guard
gq_pccomp_0187	nvme m2 2tb	TECH.STORAGE_MEMORY		cross-route guard
gq_pccomp_0188	ноутбук lenovo legion 5	TECH.COMPUTERS		cross-route guard
gq_pccomp_0189	монитор 27 144hz	TECH.MONITORS_DISPLAYS		cross-route guard
gq_pccomp_0190	клавиатура logitech mx keys	TECH.COMPUTER_ACCESSORIES		cross-route guard
gq_pccomp_0191	мышь razer deathadder	TECH.COMPUTER_ACCESSORIES		cross-route guard
gq_pccomp_0192	usb hub type c	TECH.COMPUTER_ACCESSORIES		cross-route guard
gq_pccomp_0193	power bank 20000	TECH.POWER_CHARGING_CABLES		cross-route guard
gq_pccomp_0194	hdmi кабель 2 метра	TECH.POWER_CHARGING_CABLES		cross-route guard
gq_pccomp_0195	наушники hyperx cloud	TECH.AUDIO		cross-route guard
