attribute_code	label_ru	role	data_type	required_policy	allowed_values_source	unit	usage_scope	notes
case_size	Размер корпуса	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.case_size		PC_CASE	
motherboard_form_factor_support	Поддержка форм-факторов плат	T1_TYPE_SPECIFIC	enum_multi	required_for_type_or_recommended	values.motherboard_form_factor		PC_CASE	
max_gpu_length_mm	Макс. длина GPU	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	range:100-600		PC_CASE	
max_cpu_cooler_height_mm	Макс. высота кулера	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	range:20-250		PC_CASE	
radiator_support_mm	Поддержка радиатора	T1_TYPE_SPECIFIC	enum_multi	required_for_type_or_recommended	values.radiator_size_mm		PC_CASE|CPU_COOLER	
side_panel_material	Боковая панель	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.side_panel_material		PC_CASE	
case_color	Цвет корпуса	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.color_family		PC_CASE	
included_fans_count	Вентиляторы в комплекте	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	range:0-10		PC_CASE	
cooler_type	Тип охлаждения CPU	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.cooler_type		CPU_COOLER	
socket_support	Поддерживаемые сокеты	T1_TYPE_SPECIFIC	enum_multi	required_for_type_or_recommended	values.socket		CPU_COOLER	
radiator_size_mm	Размер радиатора	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.radiator_size_mm		CPU_COOLER	
fan_size_mm	Размер вентилятора	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.fan_size_mm		CPU_COOLER|CASE_FAN	
cooler_height_mm	Высота кулера	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	range:20-250		CPU_COOLER	
tdp_rating_w	Рейтинг отвода тепла	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	range:30-500		CPU_COOLER	
fan_thickness_mm	Толщина вентилятора	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	values.fan_thickness_mm		CASE_FAN	
fan_count	Количество вентиляторов	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	values.fan_count		CASE_FAN	
pwm_support	PWM	T1_TYPE_SPECIFIC	boolean	required_for_type_or_recommended	true_false_unknown		CASE_FAN	
argb_support	ARGB	T1_TYPE_SPECIFIC	boolean	required_for_type_or_recommended	true_false_unknown		CASE_FAN	
airflow_cfm	Воздушный поток	T1_TYPE_SPECIFIC	decimal	required_for_type_or_recommended	range:5-300		CASE_FAN	
noise_level_db	Шум	T1_TYPE_SPECIFIC	decimal	required_for_type_or_recommended	range:5-60		CASE_FAN	
thermal_conductivity_w_mk	Теплопроводность	T1_TYPE_SPECIFIC	decimal	required_for_type_or_recommended	range:0.1-20		THERMAL_PASTE	
thermal_paste_quantity_g	Количество термопасты	T1_TYPE_SPECIFIC	decimal	required_for_type_or_recommended	range:0.1-100		THERMAL_PASTE	
application_count	Количество нанесений	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	range:1-100		THERMAL_PASTE	
electrically_conductive	Электропроводная	T1_TYPE_SPECIFIC	boolean	required_for_type_or_recommended	true_false_unknown		THERMAL_PASTE	
capture_interface	Интерфейс карты захвата	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.card_interface		CAPTURE_CARD	
max_capture_resolution	Макс. разрешение захвата	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.video_resolution		CAPTURE_CARD	
max_capture_fps	Макс. FPS захвата	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	values.fps		CAPTURE_CARD	
passthrough_resolution	Passthrough-разрешение	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.video_resolution		CAPTURE_CARD	
input_port	Входы	T1_TYPE_SPECIFIC	enum_multi	required_for_type_or_recommended	values.av_port		CAPTURE_CARD|SOUND_CARD	
output_port	Выходы	T1_TYPE_SPECIFIC	enum_multi	required_for_type_or_recommended	values.av_port		CAPTURE_CARD|SOUND_CARD	
encoder_support	Аппаратный энкодер	T1_TYPE_SPECIFIC	boolean	required_for_type_or_recommended	true_false_unknown		CAPTURE_CARD	
card_interface	Интерфейс платы	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.card_interface		SOUND_CARD|NETWORK_CARD|EXPANSION_CARD	
audio_channels	Аудиоканалы	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.audio_channels		SOUND_CARD	
dac_resolution_bit	Разрядность DAC	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	values.dac_resolution_bit		SOUND_CARD	
sample_rate_khz	Частота дискретизации	T1_TYPE_SPECIFIC	integer	required_for_type_or_recommended	values.sample_rate_khz		SOUND_CARD	
network_speed_gbps	Скорость сети	T1_TYPE_SPECIFIC	decimal	required_for_type_or_recommended	values.network_speed_gbps		NETWORK_CARD	
wireless_standard	Беспроводной стандарт	T1_TYPE_SPECIFIC	enum_multi	required_for_type_or_recommended	values.wireless_standard		NETWORK_CARD	
bluetooth_version	Bluetooth	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.bluetooth_version		NETWORK_CARD	
antenna_included	Антенна в комплекте	T1_TYPE_SPECIFIC	boolean	required_for_type_or_recommended	true_false_unknown		NETWORK_CARD	
expansion_function	Назначение платы расширения	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.expansion_function		EXPANSION_CARD	
pcie_lanes	PCIe lanes	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.pcie_lanes		EXPANSION_CARD	
bracket_size	Планка	T1_TYPE_SPECIFIC	enum	required_for_type_or_recommended	values.bracket_size		EXPANSION_CARD	
driver_required	Нужен драйвер	T1_TYPE_SPECIFIC	boolean	required_for_type_or_recommended	true_false_unknown		EXPANSION_CARD	
manufacturer	Производитель	T2_OPTIONAL_ENRICHMENT	string	optional	runtime_head		all	
mpn	MPN / part number	T2_OPTIONAL_ENRICHMENT	string	optional	free_text_normalized		all	
gtin	GTIN/EAN/UPC	T2_OPTIONAL_ENRICHMENT	string	optional	barcode		all	
release_year	Год выпуска	T2_OPTIONAL_ENRICHMENT	integer	optional	range:1995-2030		all	
warranty_status	Гарантия	T2_OPTIONAL_ENRICHMENT	enum	optional	values.warranty_status		all	
original_box	Оригинальная коробка	T2_OPTIONAL_ENRICHMENT	boolean	optional	true_false_unknown		all	
included_accessories	Комплект	T2_OPTIONAL_ENRICHMENT	string	optional	free_text		all	
seller_bundle	Набор / бандл	T2_OPTIONAL_ENRICHMENT	boolean	optional	true_false_unknown		all	
repair_history	История ремонта	T2_OPTIONAL_ENRICHMENT	enum	optional	values.repair_history		all	
compatibility_notes	Заметки совместимости	T2_OPTIONAL_ENRICHMENT	string	optional	free_text		all	
listing_completeness_confidence	Полнота карточки	T2_OPTIONAL_ENRICHMENT	decimal	optional	range:0-1		system	
identity_confidence	Уверенность идентификации	T2_OPTIONAL_ENRICHMENT	decimal	optional	range:0-1		system	
spec_confidence	Уверенность спецификаций	T2_OPTIONAL_ENRICHMENT	decimal	optional	range:0-1		system	
dedup_key	dedup_key	T3_SYSTEM_HIDDEN	string	system_only	internal		system	
image_fingerprint	image_fingerprint	T3_SYSTEM_HIDDEN	string	system_only	internal		system	
source_offer_id	source_offer_id	T3_SYSTEM_HIDDEN	string	system_only	internal		system	
source_url	source_url	T3_SYSTEM_HIDDEN	string	system_only	internal		system	
ingestion_timestamp	ingestion_timestamp	T3_SYSTEM_HIDDEN	string	system_only	internal		system	
normalization_trace_id	normalization_trace_id	T3_SYSTEM_HIDDEN	string	system_only	internal		system	
risk_flags	risk_flags	T3_SYSTEM_HIDDEN	string	system_only	internal		system	
moderation_status	moderation_status	T3_SYSTEM_HIDDEN	string	system_only	internal		system	
