attribute_code	value_code	label_ru	aliases_ru	notes
gpu_series	AMD_RADEON_RX_7000	AMD RADEON RX 7000		
gpu_series	AMD_RADEON_RX_6000	AMD RADEON RX 6000		
gpu_series	INTEL_ARC_B	INTEL ARC B		
gpu_series	INTEL_ARC_A	INTEL ARC A		
gpu_series	UNKNOWN	UNKNOWN		
vram_gb	2	2 ГБ		
vram_gb	4	4 ГБ		
vram_gb	6	6 ГБ		
vram_gb	8	8 ГБ		
vram_gb	10	10 ГБ		
vram_gb	12	12 ГБ		
vram_gb	16	16 ГБ		
vram_gb	20	20 ГБ		
vram_gb	24	24 ГБ		
vram_gb	32	32 ГБ		
vram_gb	48	48 ГБ		
gpu_memory_type	GDDR7	GDDR7		
gpu_memory_type	GDDR6X	GDDR6X		
gpu_memory_type	GDDR6	GDDR6		
gpu_memory_type	HBM3	HBM3		
gpu_memory_type	HBM2	HBM2		
gpu_memory_type	DDR5	DDR5		
gpu_memory_type	DDR4	DDR4		
gpu_memory_type	UNKNOWN	UNKNOWN		
gpu_bus_width_bit	64	64 bit		
gpu_bus_width_bit	96	96 bit		
gpu_bus_width_bit	128	128 bit		
gpu_bus_width_bit	160	160 bit		
gpu_bus_width_bit	192	192 bit		
gpu_bus_width_bit	256	256 bit		
gpu_bus_width_bit	320	320 bit		
gpu_bus_width_bit	384	384 bit		
gpu_bus_width_bit	448	448 bit		
gpu_bus_width_bit	512	512 bit		
power_connector	6PIN	6PIN		
power_connector	8PIN	8PIN		
power_connector	DUAL_8PIN	DUAL 8PIN		
power_connector	TRIPLE_8PIN	TRIPLE 8PIN		
power_connector	12VHPWR	12VHPWR		
power_connector	12V_2X6	12V 2X6		
power_connector	PCI_SLOT_ONLY	PCI SLOT ONLY		
power_connector	SATA_POWER	SATA POWER		
power_connector	MOLEX	MOLEX		
power_connector	CPU_EPS_8PIN	CPU EPS 8PIN		
power_connector	UNKNOWN	UNKNOWN		
display_output	HDMI	HDMI		
display_output	DISPLAYPORT	DISPLAYPORT		
display_output	DVI	DVI		
display_output	VGA	VGA		
display_output	USB_C_DP_ALT	USB C DP ALT		
display_output	MINI_DISPLAYPORT	MINI DISPLAYPORT		
chipset	A620	A620		
chipset	B650	B650		
chipset	B650E	B650E		
chipset	X670	X670		
chipset	X670E	X670E		
chipset	X870	X870		
chipset	X870E	X870E		
chipset	A520	A520		
chipset	B550	B550		
chipset	X570	X570		
chipset	H610	H610		
chipset	B660	B660		
chipset	B760	B760		
chipset	Z690	Z690		
chipset	Z790	Z790		
chipset	B860	B860		
chipset	Z890	Z890		
chipset	W790	W790		
chipset	UNKNOWN	UNKNOWN		
motherboard_form_factor	ATX	ATX		
motherboard_form_factor	MICRO_ATX	MICRO ATX		
motherboard_form_factor	MINI_ITX	MINI ITX		
motherboard_form_factor	E_ATX	E ATX		
motherboard_form_factor	SSI_EEB	SSI EEB		
motherboard_form_factor	THIN_MINI_ITX	THIN MINI ITX		
motherboard_form_factor	UNKNOWN	UNKNOWN		
ram_type	DDR5	DDR5		
ram_type	DDR4	DDR4		
ram_type	DDR3	DDR3		
ram_type	LPDDR5X	LPDDR5X		
ram_type	UNKNOWN	UNKNOWN		
ram_capacity_gb	2	2 ГБ		
ram_capacity_gb	4	4 ГБ		
ram_capacity_gb	8	8 ГБ		
ram_capacity_gb	12	12 ГБ		
ram_capacity_gb	16	16 ГБ		
ram_capacity_gb	24	24 ГБ		
ram_capacity_gb	32	32 ГБ		
ram_capacity_gb	48	48 ГБ		
ram_capacity_gb	64	64 ГБ		
ram_capacity_gb	96	96 ГБ		
ram_capacity_gb	128	128 ГБ		
ram_capacity_gb	192	192 ГБ		
ram_capacity_gb	256	256 ГБ		
ram_kit_modules	1	1 мод.		
ram_kit_modules	2	2 мод.		
ram_kit_modules	4	4 мод.		
ram_kit_modules	8	8 мод.		
ram_speed_mhz	2133	2133 MHz		
ram_speed_mhz	2400	2400 MHz		
ram_speed_mhz	2666	2666 MHz		
ram_speed_mhz	3000	3000 MHz		
ram_speed_mhz	3200	3200 MHz		
ram_speed_mhz	3600	3600 MHz		
ram_speed_mhz	4000	4000 MHz		
ram_speed_mhz	4800	4800 MHz		
ram_speed_mhz	5200	5200 MHz		
ram_speed_mhz	5600	5600 MHz		
ram_speed_mhz	6000	6000 MHz		
ram_speed_mhz	6400	6400 MHz		
ram_speed_mhz	6800	6800 MHz		
ram_speed_mhz	7200	7200 MHz		
ram_speed_mhz	7600	7600 MHz		
ram_speed_mhz	8000	8000 MHz		
ram_speed_mhz	8400	8400 MHz		
ram_form_factor	UDIMM	UDIMM		
ram_form_factor	SODIMM	SODIMM		
ram_form_factor	RDIMM	RDIMM		
ram_form_factor	LRDIMM	LRDIMM		
memory_slots	2	2		
memory_slots	4	4		
memory_slots	8	8		
max_memory_gb	64	64 ГБ		
max_memory_gb	128	128 ГБ		
max_memory_gb	192	192 ГБ		
max_memory_gb	256	256 ГБ		
max_memory_gb	512	512 ГБ		
max_memory_gb	1024	1024 ГБ		
max_memory_gb	2048	2048 ГБ		
pcie_version	PCIe_3_0	PCIe 3.0		
pcie_version	PCIe_4_0	PCIe 4.0		
pcie_version	PCIe_5_0	PCIe 5.0		
pcie_version	PCIe_6_0	PCIe 6.0		
pcie_version	UNKNOWN	UNKNOWN		
psu_wattage_w	450	450 W		
psu_wattage_w	500	500 W		
psu_wattage_w	550	550 W		
psu_wattage_w	600	600 W		
psu_wattage_w	650	650 W		
psu_wattage_w	700	700 W		
psu_wattage_w	750	750 W		
psu_wattage_w	800	800 W		
psu_wattage_w	850	850 W		
psu_wattage_w	1000	1000 W		
psu_wattage_w	1200	1200 W		
psu_wattage_w	1300	1300 W		
psu_wattage_w	1500	1500 W		
psu_wattage_w	1600	1600 W		
efficiency_rating	80_PLUS_WHITE	80 PLUS WHITE		
efficiency_rating	80_PLUS_BRONZE	80 PLUS BRONZE		
efficiency_rating	80_PLUS_SILVER	80 PLUS SILVER		
efficiency_rating	80_PLUS_GOLD	80 PLUS GOLD		
efficiency_rating	80_PLUS_PLATINUM	80 PLUS PLATINUM		
efficiency_rating	80_PLUS_TITANIUM	80 PLUS TITANIUM		
efficiency_rating	CYBENETICS_GOLD	CYBENETICS GOLD		
efficiency_rating	UNKNOWN	UNKNOWN		
psu_modularity	NON_MODULAR	Немодульный		
psu_modularity	SEMI_MODULAR	Полумодульный		
psu_modularity	FULLY_MODULAR	Полностью модульный		
psu_modularity	UNKNOWN	Не указано		
psu_form_factor	ATX	ATX		
psu_form_factor	SFX	SFX		
psu_form_factor	SFX_L	SFX L		
psu_form_factor	TFX	TFX		
psu_form_factor	FLEX_ATX	FLEX ATX		
psu_form_factor	UNKNOWN	UNKNOWN		
atx_version	ATX_2_4	ATX 2 4		
atx_version	ATX_3_0	ATX 3 0		
atx_version	ATX_3_1	ATX 3 1		
atx_version	UNKNOWN	UNKNOWN		
case_size	FULL_TOWER	Full tower		
case_size	MID_TOWER	Mid tower		
case_size	MINI_TOWER	Mini tower		
case_size	SMALL_FORM_FACTOR	SFF		
case_size	OPEN_FRAME	Open frame		
case_size	UNKNOWN	Не указано		
side_panel_material	STEEL	Сталь		
side_panel_material	TEMPERED_GLASS	Закалённое стекло		
side_panel_material	ACRYLIC	Акрил		
side_panel_material	MESH	Сетка		
side_panel_material	ALUMINUM	Алюминий		
side_panel_material	UNKNOWN	Не указано		
color_family	BLACK	Чёрный		
color_family	WHITE	Белый		
color_family	SILVER	Серебристый		
color_family	GRAY	Серый		
color_family	RED	Красный		
color_family	BLUE	Синий		
color_family	RGB	RGB		
color_family	MULTICOLOR	Многоцветный		
color_family	UNKNOWN	Не указано		
cooler_type	AIR_TOWER	Башенный воздушный		
cooler_type	LOW_PROFILE_AIR	Низкопрофильный воздушный		
cooler_type	AIO_LIQUID	AIO жидкостный		
cooler_type	CUSTOM_LOOP	Кастомная СЖО		
cooler_type	PASSIVE	Пассивный		
cooler_type	UNKNOWN	Не указано		
radiator_size_mm	120	120 мм		
radiator_size_mm	140	140 мм		
radiator_size_mm	240	240 мм		
radiator_size_mm	280	280 мм		
radiator_size_mm	360	360 мм		
radiator_size_mm	420	420 мм		
fan_size_mm	80	80 мм		
fan_size_mm	92	92 мм		
fan_size_mm	120	120 мм		
fan_size_mm	140	140 мм		
fan_size_mm	200	200 мм		
fan_thickness_mm	15	15 мм		
fan_thickness_mm	25	25 мм		
fan_thickness_mm	27	27 мм		
fan_thickness_mm	30	30 мм		
fan_thickness_mm	38	38 мм		
fan_count	1	1 шт.		
fan_count	2	2 шт.		
fan_count	3	3 шт.		
fan_count	4	4 шт.		
fan_count	5	5 шт.		
fan_count	6	6 шт.		
card_interface	PCIe_x1	PCIe x1		
card_interface	PCIe_x4	PCIe x4		
card_interface	PCIe_x8	PCIe x8		
card_interface	PCIe_x16	PCIe x16		
card_interface	USB_3_0	USB 3 0		
card_interface	USB_C	USB C		
card_interface	Thunderbolt	Thunderbolt		
card_interface	M_2	M 2		
card_interface	SATA	SATA		
card_interface	UNKNOWN	UNKNOWN		
video_resolution	1080P	1080p		
video_resolution	1440P	1440p		
video_resolution	4K	4K		
video_resolution	8K	8K		
fps	30	30 fps		
fps	60	60 fps		
fps	120	120 fps		
fps	144	144 fps		
fps	240	240 fps		
av_port	HDMI	HDMI		
av_port	DisplayPort	DisplayPort		
av_port	USB_C	USB C		
av_port	USB_A	USB A		
av_port	3_5MM	3 5MM		
av_port	RCA	RCA		
av_port	OPTICAL	OPTICAL		
av_port	COAXIAL	COAXIAL		
av_port	XLR	XLR		
av_port	MIDI	MIDI		
audio_channels	2_0	2.0		
audio_channels	2_1	2.1		
audio_channels	5_1	5.1		
audio_channels	7_1	7.1		
dac_resolution_bit	16	16 bit		
dac_resolution_bit	24	24 bit		
dac_resolution_bit	32	32 bit		
sample_rate_khz	44	44 kHz		
sample_rate_khz	48	48 kHz		
sample_rate_khz	96	96 kHz		
sample_rate_khz	192	192 kHz		
sample_rate_khz	384	384 kHz		
network_speed_gbps	1	1 Gbps		
network_speed_gbps	2_5	2.5 Gbps		
network_speed_gbps	5	5 Gbps		
network_speed_gbps	10	10 Gbps		
network_speed_gbps	25	25 Gbps		
network_speed_gbps	40	40 Gbps		
network_speed_gbps	100	100 Gbps		
wireless_standard	WiFi_5	WiFi 5		
wireless_standard	WiFi_6	WiFi 6		
wireless_standard	WiFi_6E	WiFi 6E		
wireless_standard	WiFi_7	WiFi 7		
wireless_standard	Bluetooth	Bluetooth		
wireless_standard	Zigbee	Zigbee		
wireless_standard	Thread	Thread		
bluetooth_version	4_0	4.0		
bluetooth_version	4_2	4.2		
bluetooth_version	5_0	5.0		
bluetooth_version	5_1	5.1		
bluetooth_version	5_2	5.2		
bluetooth_version	5_3	5.3		
bluetooth_version	5_4	5.4		
bluetooth_version	UNKNOWN	UNKNOWN		
expansion_function	USB_CONTROLLER	USB-контроллер		
expansion_function	SATA_CONTROLLER	SATA-контроллер		
expansion_function	M2_ADAPTER	M.2 адаптер		
expansion_function	PCIE_RISER	PCIe райзер		
expansion_function	SERIAL_PARALLEL	COM/LPT плата		
expansion_function	FIREWIRE	FireWire		
expansion_function	OTHER	Другое		
pcie_lanes	X1	x1		
pcie_lanes	X4	x4		
pcie_lanes	X8	x8		
pcie_lanes	X16	x16		
bracket_size	FULL_HEIGHT	Full-height		
bracket_size	LOW_PROFILE	Low-profile		
bracket_size	BOTH	Full + low-profile		
bracket_size	UNKNOWN	Не указано		
warranty_status	VALID	Действует		
warranty_status	EXPIRED	Истекла		
warranty_status	SELLER_WARRANTY	Гарантия продавца		
warranty_status	NO_WARRANTY	Нет гарантии		
warranty_status	UNKNOWN	Не указано		
repair_history	NONE	Нет ремонта		
repair_history	UNKNOWN	Неизвестно		
repair_history	REPAIRED	Ремонтировалось		
repair_history	OPENED	Вскрывалось		
repair_history	DAMAGED	Повреждено		
