pc_component_type	attribute_code	coverage_level	ui_surface	validation_mode
CASE_FAN	fan_size_mm	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CASE_FAN	fan_thickness_mm	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CASE_FAN	fan_count	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CASE_FAN	pwm_support	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CASE_FAN	argb_support	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CASE_FAN	airflow_cfm	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CASE_FAN	noise_level_db	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
THERMAL_PASTE	thermal_conductivity_w_mk	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
THERMAL_PASTE	thermal_paste_quantity_g	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
THERMAL_PASTE	application_count	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
THERMAL_PASTE	electrically_conductive	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CAPTURE_CARD	capture_interface	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CAPTURE_CARD	max_capture_resolution	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CAPTURE_CARD	max_capture_fps	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CAPTURE_CARD	passthrough_resolution	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CAPTURE_CARD	input_port	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CAPTURE_CARD	output_port	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
CAPTURE_CARD	encoder_support	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
SOUND_CARD	card_interface	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
SOUND_CARD	audio_channels	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
SOUND_CARD	dac_resolution_bit	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
SOUND_CARD	sample_rate_khz	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
SOUND_CARD	input_port	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
SOUND_CARD	output_port	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
NETWORK_CARD	card_interface	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
NETWORK_CARD	network_speed_gbps	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
NETWORK_CARD	wireless_standard	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
NETWORK_CARD	bluetooth_version	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
NETWORK_CARD	antenna_included	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
EXPANSION_CARD	expansion_function	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
EXPANSION_CARD	card_interface	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
EXPANSION_CARD	pcie_lanes	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
EXPANSION_CARD	bracket_size	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
EXPANSION_CARD	driver_required	T1_REQUIRED_OR_RECOMMENDED	expanded	soft_required
