alias	lang	target_category	target_attribute	target_value	confidence	notes
кулер процессора	ru	TECH.PC_COMPONENTS	pc_component_type	CPU_COOLER	0.96	
охлаждение процессора	ru	TECH.PC_COMPONENTS	pc_component_type	CPU_COOLER	0.96	
aio	ru	TECH.PC_COMPONENTS	pc_component_type	CPU_COOLER	0.96	
сжо	ru	TECH.PC_COMPONENTS	pc_component_type	CPU_COOLER	0.96	
башня	ru	TECH.PC_COMPONENTS	pc_component_type	CPU_COOLER	0.96	
водянка	ru	TECH.PC_COMPONENTS	pc_component_type	CPU_COOLER	0.96	
вентилятор корпуса	ru	TECH.PC_COMPONENTS	pc_component_type	CASE_FAN	0.96	
корпусной вентилятор	ru	TECH.PC_COMPONENTS	pc_component_type	CASE_FAN	0.96	
fan 120	ru	TECH.PC_COMPONENTS	pc_component_type	CASE_FAN	0.96	
fan 140	ru	TECH.PC_COMPONENTS	pc_component_type	CASE_FAN	0.96	
аргб вентилятор	ru	TECH.PC_COMPONENTS	pc_component_type	CASE_FAN	0.96	
термопаста	ru	TECH.PC_COMPONENTS	pc_component_type	THERMAL_PASTE	0.96	
thermal paste	ru	TECH.PC_COMPONENTS	pc_component_type	THERMAL_PASTE	0.96	
термоинтерфейс	ru	TECH.PC_COMPONENTS	pc_component_type	THERMAL_PASTE	0.96	
паста для процессора	ru	TECH.PC_COMPONENTS	pc_component_type	THERMAL_PASTE	0.96	
карта захвата	ru	TECH.PC_COMPONENTS	pc_component_type	CAPTURE_CARD	0.96	
capture card	ru	TECH.PC_COMPONENTS	pc_component_type	CAPTURE_CARD	0.96	
elgato	ru	TECH.PC_COMPONENTS	pc_component_type	CAPTURE_CARD	0.96	
плата захвата	ru	TECH.PC_COMPONENTS	pc_component_type	CAPTURE_CARD	0.96	
захват hdmi	ru	TECH.PC_COMPONENTS	pc_component_type	CAPTURE_CARD	0.96	
звуковая карта	ru	TECH.PC_COMPONENTS	pc_component_type	SOUND_CARD	0.96	
sound card	ru	TECH.PC_COMPONENTS	pc_component_type	SOUND_CARD	0.96	
аудиокарта	ru	TECH.PC_COMPONENTS	pc_component_type	SOUND_CARD	0.96	
звуковуха	ru	TECH.PC_COMPONENTS	pc_component_type	SOUND_CARD	0.96	
сетевая карта	ru	TECH.PC_COMPONENTS	pc_component_type	NETWORK_CARD	0.96	
network card	ru	TECH.PC_COMPONENTS	pc_component_type	NETWORK_CARD	0.96	
wifi card	ru	TECH.PC_COMPONENTS	pc_component_type	NETWORK_CARD	0.96	
wi-fi адаптер pci	ru	TECH.PC_COMPONENTS	pc_component_type	NETWORK_CARD	0.96	
10gbe карта	ru	TECH.PC_COMPONENTS	pc_component_type	NETWORK_CARD	0.96	
плата расширения	ru	TECH.PC_COMPONENTS	pc_component_type	EXPANSION_CARD	0.96	
expansion card	ru	TECH.PC_COMPONENTS	pc_component_type	EXPANSION_CARD	0.96	
pci карта	ru	TECH.PC_COMPONENTS	pc_component_type	EXPANSION_CARD	0.96	
usb pci-e	ru	TECH.PC_COMPONENTS	pc_component_type	EXPANSION_CARD	0.96	
m2 adapter	ru	TECH.PC_COMPONENTS	pc_component_type	EXPANSION_CARD	0.96	
pcie riser	ru	TECH.PC_COMPONENTS	pc_component_type	EXPANSION_CARD	0.96	
amd ryzen 9 9950x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 9 9950X3D	0.84	
ryzen 9 9950x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 9 9950X3D	0.84	
ryzen99950x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 9 9950X3D	0.84	
процессор ryzen 9 9950x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 9 9950X3D	0.84	
райзен 9 9950x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 9 9950X3D	0.84	
amd ryzen 7 9800x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 9800X3D	0.84	
ryzen 7 9800x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 9800X3D	0.84	
ryzen79800x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 9800X3D	0.84	
процессор ryzen 7 9800x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 9800X3D	0.84	
райзен 7 9800x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 9800X3D	0.84	
amd ryzen 9 9900x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 9 9900X	0.84	
ryzen 9 9900x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 9 9900X	0.84	
ryzen99900x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 9 9900X	0.84	
процессор ryzen 9 9900x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 9 9900X	0.84	
райзен 9 9900x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 9 9900X	0.84	
amd ryzen 7 9700x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 9700X	0.84	
ryzen 7 9700x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 9700X	0.84	
ryzen79700x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 9700X	0.84	
процессор ryzen 7 9700x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 9700X	0.84	
райзен 7 9700x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 9700X	0.84	
amd ryzen 5 9600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 9600X	0.84	
ryzen 5 9600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 9600X	0.84	
ryzen59600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 9600X	0.84	
процессор ryzen 5 9600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 9600X	0.84	
райзен 5 9600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 9600X	0.84	
amd ryzen 7 7800x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 7800X3D	0.84	
ryzen 7 7800x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 7800X3D	0.84	
ryzen77800x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 7800X3D	0.84	
процессор ryzen 7 7800x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 7800X3D	0.84	
райзен 7 7800x3d	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 7 7800X3D	0.84	
amd ryzen 5 7600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 7600X	0.84	
ryzen 5 7600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 7600X	0.84	
ryzen57600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 7600X	0.84	
процессор ryzen 5 7600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 7600X	0.84	
райзен 5 7600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 7600X	0.84	
amd ryzen 5 5600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 5600X	0.84	
ryzen 5 5600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 5600X	0.84	
ryzen55600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 5600X	0.84	
процессор ryzen 5 5600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 5600X	0.84	
райзен 5 5600x	ru-en	TECH.PC_COMPONENTS	model_name_text	Ryzen 5 5600X	0.84	
core ultra 9 285k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 9 285K	0.84	
coreultra9285k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 9 285K	0.84	
intel core ultra 9 285k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 9 285K	0.84	
ultra 9 285k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 9 285K	0.84	
кор ultra 9 285k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 9 285K	0.84	
процессор core ultra 9 285k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 9 285K	0.84	
core ultra 7 265k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 7 265K	0.84	
coreultra7265k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 7 265K	0.84	
intel core ultra 7 265k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 7 265K	0.84	
ultra 7 265k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 7 265K	0.84	
кор ultra 7 265k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 7 265K	0.84	
процессор core ultra 7 265k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 7 265K	0.84	
core ultra 5 245k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 5 245K	0.84	
coreultra5245k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 5 245K	0.84	
intel core ultra 5 245k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 5 245K	0.84	
ultra 5 245k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 5 245K	0.84	
кор ultra 5 245k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 5 245K	0.84	
процессор core ultra 5 245k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core Ultra 5 245K	0.84	
core i9 14900k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i9-14900K	0.84	
core i9-14900k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i9-14900K	0.84	
corei9-14900k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i9-14900K	0.84	
i9-14900k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i9-14900K	0.84	
intel core i9-14900k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i9-14900K	0.84	
кор i9-14900k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i9-14900K	0.84	
процессор core i9-14900k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i9-14900K	0.84	
core i7 14700k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i7-14700K	0.84	
core i7-14700k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i7-14700K	0.84	
corei7-14700k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i7-14700K	0.84	
i7-14700k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i7-14700K	0.84	
intel core i7-14700k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i7-14700K	0.84	
кор i7-14700k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i7-14700K	0.84	
процессор core i7-14700k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i7-14700K	0.84	
core i5 14600k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-14600K	0.84	
core i5-14600k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-14600K	0.84	
corei5-14600k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-14600K	0.84	
i5-14600k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-14600K	0.84	
intel core i5-14600k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-14600K	0.84	
кор i5-14600k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-14600K	0.84	
процессор core i5-14600k	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-14600K	0.84	
core i5 12400f	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-12400F	0.84	
core i5-12400f	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-12400F	0.84	
corei5-12400f	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-12400F	0.84	
i5-12400f	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-12400F	0.84	
intel core i5-12400f	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-12400F	0.84	
кор i5-12400f	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-12400F	0.84	
процессор core i5-12400f	ru-en	TECH.PC_COMPONENTS	model_name_text	Core i5-12400F	0.84	
geforce rtx 5090	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5090	0.84	
geforcertx5090	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5090	0.84	
nvidia geforce rtx 5090	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5090	0.84	
rtx 5090	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5090	0.84	
видеокарта rtx 5090	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5090	0.84	
geforce rtx 5080	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5080	0.84	
geforcertx5080	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5080	0.84	
nvidia geforce rtx 5080	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5080	0.84	
rtx 5080	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5080	0.84	
видеокарта rtx 5080	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5080	0.84	
geforce rtx 5070 ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5070 Ti	0.84	
geforcertx5070ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5070 Ti	0.84	
nvidia geforce rtx 5070 ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5070 Ti	0.84	
rtx 5070 ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5070 Ti	0.84	
видеокарта rtx 5070 ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5070 Ti	0.84	
geforce rtx 5070	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5070	0.84	
geforcertx5070	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5070	0.84	
nvidia geforce rtx 5070	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5070	0.84	
rtx 5070	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5070	0.84	
видеокарта rtx 5070	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5070	0.84	
geforce rtx 5060 ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5060 Ti	0.84	
geforcertx5060ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5060 Ti	0.84	
nvidia geforce rtx 5060 ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5060 Ti	0.84	
rtx 5060 ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5060 Ti	0.84	
видеокарта rtx 5060 ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5060 Ti	0.84	
geforce rtx 5060	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5060	0.84	
geforcertx5060	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5060	0.84	
nvidia geforce rtx 5060	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5060	0.84	
rtx 5060	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5060	0.84	
видеокарта rtx 5060	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5060	0.84	
geforce rtx 5050	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5050	0.84	
geforcertx5050	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5050	0.84	
nvidia geforce rtx 5050	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5050	0.84	
rtx 5050	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5050	0.84	
видеокарта rtx 5050	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 5050	0.84	
geforce rtx 4090	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 4090	0.84	
geforcertx4090	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 4090	0.84	
nvidia geforce rtx 4090	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 4090	0.84	
rtx 4090	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 4090	0.84	
видеокарта rtx 4090	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 4090	0.84	
geforce rtx 4070 super	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 4070 Super	0.84	
geforcertx4070super	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 4070 Super	0.84	
nvidia geforce rtx 4070 super	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 4070 Super	0.84	
rtx 4070 super	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 4070 Super	0.84	
видеокарта rtx 4070 super	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 4070 Super	0.84	
geforce rtx 3060 ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 3060 Ti	0.84	
geforcertx3060ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 3060 Ti	0.84	
nvidia geforce rtx 3060 ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 3060 Ti	0.84	
rtx 3060 ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 3060 Ti	0.84	
видеокарта rtx 3060 ti	ru-en	TECH.PC_COMPONENTS	model_name_text	GeForce RTX 3060 Ti	0.84	
amd radeon rx 9070 xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9070 XT	0.84	
radeon rx 9070 xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9070 XT	0.84	
radeonrx9070xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9070 XT	0.84	
rx 9070 xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9070 XT	0.84	
видеокарта rx 9070 xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9070 XT	0.84	
amd radeon rx 9070	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9070	0.84	
radeon rx 9070	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9070	0.84	
radeonrx9070	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9070	0.84	
rx 9070	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9070	0.84	
видеокарта rx 9070	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9070	0.84	
amd radeon rx 9060 xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9060 XT	0.84	
radeon rx 9060 xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9060 XT	0.84	
radeonrx9060xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9060 XT	0.84	
rx 9060 xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9060 XT	0.84	
видеокарта rx 9060 xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 9060 XT	0.84	
amd radeon rx 7900 xtx	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 7900 XTX	0.84	
radeon rx 7900 xtx	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 7900 XTX	0.84	
radeonrx7900xtx	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 7900 XTX	0.84	
rx 7900 xtx	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 7900 XTX	0.84	
видеокарта rx 7900 xtx	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 7900 XTX	0.84	
amd radeon rx 7800 xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 7800 XT	0.84	
radeon rx 7800 xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 7800 XT	0.84	
radeonrx7800xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 7800 XT	0.84	
rx 7800 xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 7800 XT	0.84	
видеокарта rx 7800 xt	ru-en	TECH.PC_COMPONENTS	model_name_text	Radeon RX 7800 XT	0.84	
arc b580	ru-en	TECH.PC_COMPONENTS	model_name_text	Arc B580	0.84	
arcb580	ru-en	TECH.PC_COMPONENTS	model_name_text	Arc B580	0.84	
intel arc b580	ru-en	TECH.PC_COMPONENTS	model_name_text	Arc B580	0.84	
видеокарта arc b580	ru-en	TECH.PC_COMPONENTS	model_name_text	Arc B580	0.84	
arc a750	ru-en	TECH.PC_COMPONENTS	model_name_text	Arc A750	0.84	
arca750	ru-en	TECH.PC_COMPONENTS	model_name_text	Arc A750	0.84	
intel arc a750	ru-en	TECH.PC_COMPONENTS	model_name_text	Arc A750	0.84	
видеокарта arc a750	ru-en	TECH.PC_COMPONENTS	model_name_text	Arc A750	0.84	
asus rog strix b650e-f gaming wifi	ru-en	TECH.PC_COMPONENTS	model_name_text	ROG Strix B650E-F Gaming WiFi	0.84	
rog strix b650e f gaming wifi	ru-en	TECH.PC_COMPONENTS	model_name_text	ROG Strix B650E-F Gaming WiFi	0.84	
rog strix b650e-f gaming wifi	ru-en	TECH.PC_COMPONENTS	model_name_text	ROG Strix B650E-F Gaming WiFi	0.84	
rogstrixb650e-fgamingwifi	ru-en	TECH.PC_COMPONENTS	model_name_text	ROG Strix B650E-F Gaming WiFi	0.84	
asus tuf gaming b650-plus wifi	ru-en	TECH.PC_COMPONENTS	model_name_text	TUF Gaming B650-Plus WiFi	0.84	
tuf gaming b650 plus wifi	ru-en	TECH.PC_COMPONENTS	model_name_text	TUF Gaming B650-Plus WiFi	0.84	
tuf gaming b650-plus wifi	ru-en	TECH.PC_COMPONENTS	model_name_text	TUF Gaming B650-Plus WiFi	0.84	
tufgamingb650-pluswifi	ru-en	TECH.PC_COMPONENTS	model_name_text	TUF Gaming B650-Plus WiFi	0.84	
mag b650 tomahawk wifi	ru-en	TECH.PC_COMPONENTS	model_name_text	MAG B650 Tomahawk WiFi	0.84	
magb650tomahawkwifi	ru-en	TECH.PC_COMPONENTS	model_name_text	MAG B650 Tomahawk WiFi	0.84	
msi mag b650 tomahawk wifi	ru-en	TECH.PC_COMPONENTS	model_name_text	MAG B650 Tomahawk WiFi	0.84	
b650 aorus elite ax	ru-en	TECH.PC_COMPONENTS	model_name_text	B650 AORUS Elite AX	0.84	
b650aoruseliteax	ru-en	TECH.PC_COMPONENTS	model_name_text	B650 AORUS Elite AX	0.84	
gigabyte b650 aorus elite ax	ru-en	TECH.PC_COMPONENTS	model_name_text	B650 AORUS Elite AX	0.84	
asrock b650m pro rs wifi	ru-en	TECH.PC_COMPONENTS	model_name_text	B650M Pro RS WiFi	0.84	
b650m pro rs wifi	ru-en	TECH.PC_COMPONENTS	model_name_text	B650M Pro RS WiFi	0.84	
b650mprorswifi	ru-en	TECH.PC_COMPONENTS	model_name_text	B650M Pro RS WiFi	0.84	
asus rog maximus z890 hero	ru-en	TECH.PC_COMPONENTS	model_name_text	ROG Maximus Z890 Hero	0.84	
rog maximus z890 hero	ru-en	TECH.PC_COMPONENTS	model_name_text	ROG Maximus Z890 Hero	0.84	
rogmaximusz890hero	ru-en	TECH.PC_COMPONENTS	model_name_text	ROG Maximus Z890 Hero	0.84	
mag z890 tomahawk wifi	ru-en	TECH.PC_COMPONENTS	model_name_text	MAG Z890 Tomahawk WiFi	0.84	
magz890tomahawkwifi	ru-en	TECH.PC_COMPONENTS	model_name_text	MAG Z890 Tomahawk WiFi	0.84	
msi mag z890 tomahawk wifi	ru-en	TECH.PC_COMPONENTS	model_name_text	MAG Z890 Tomahawk WiFi	0.84	
gigabyte z790 aorus elite ax	ru-en	TECH.PC_COMPONENTS	model_name_text	Z790 AORUS Elite AX	0.84	
z790 aorus elite ax	ru-en	TECH.PC_COMPONENTS	model_name_text	Z790 AORUS Elite AX	0.84	
