seed_id	pc_component_type	brand	model_name_text	family_or_series	compatibility_hint	subtype	head_tier	source_policy	allow_runtime_candidates
pccomp_seed_0013	CPU	Intel	Core i7-14700K	INTEL_CORE_14TH_GEN	INTEL_LGA1700	desktop_cpu	resale_core	head_seed_not_full_registry	true
pccomp_seed_0014	CPU	Intel	Core i5-14600K	INTEL_CORE_14TH_GEN	INTEL_LGA1700	desktop_cpu	resale_core	head_seed_not_full_registry	true
pccomp_seed_0015	CPU	Intel	Core i5-12400F	INTEL_CORE_12TH_GEN	INTEL_LGA1700	desktop_cpu	budget_resale	head_seed_not_full_registry	true
pccomp_seed_0016	GPU	NVIDIA	GeForce RTX 5090	NVIDIA_RTX_50		graphics_card	head_enthusiast	head_seed_not_full_registry	true
pccomp_seed_0017	GPU	NVIDIA	GeForce RTX 5080	NVIDIA_RTX_50		graphics_card	head_highend	head_seed_not_full_registry	true
pccomp_seed_0018	GPU	NVIDIA	GeForce RTX 5070 Ti	NVIDIA_RTX_50		graphics_card	head	head_seed_not_full_registry	true
pccomp_seed_0019	GPU	NVIDIA	GeForce RTX 5070	NVIDIA_RTX_50		graphics_card	head	head_seed_not_full_registry	true
pccomp_seed_0020	GPU	NVIDIA	GeForce RTX 5060 Ti	NVIDIA_RTX_50		graphics_card	mainstream	head_seed_not_full_registry	true
pccomp_seed_0021	GPU	NVIDIA	GeForce RTX 5060	NVIDIA_RTX_50		graphics_card	mainstream	head_seed_not_full_registry	true
pccomp_seed_0022	GPU	NVIDIA	GeForce RTX 5050	NVIDIA_RTX_50		graphics_card	entry	head_seed_not_full_registry	true
pccomp_seed_0023	GPU	NVIDIA	GeForce RTX 4090	NVIDIA_RTX_40		graphics_card	resale_highend	head_seed_not_full_registry	true
pccomp_seed_0024	GPU	NVIDIA	GeForce RTX 4070 Super	NVIDIA_RTX_40		graphics_card	resale_core	head_seed_not_full_registry	true
pccomp_seed_0025	GPU	NVIDIA	GeForce RTX 3060 Ti	NVIDIA_RTX_30		graphics_card	resale_core	head_seed_not_full_registry	true
pccomp_seed_0026	GPU	AMD	Radeon RX 9070 XT	AMD_RADEON_RX_9000		graphics_card	head	head_seed_not_full_registry	true
pccomp_seed_0027	GPU	AMD	Radeon RX 9070	AMD_RADEON_RX_9000		graphics_card	head	head_seed_not_full_registry	true
pccomp_seed_0028	GPU	AMD	Radeon RX 9060 XT	AMD_RADEON_RX_9000		graphics_card	mainstream	head_seed_not_full_registry	true
pccomp_seed_0029	GPU	AMD	Radeon RX 7900 XTX	AMD_RADEON_RX_7000		graphics_card	resale_highend	head_seed_not_full_registry	true
pccomp_seed_0030	GPU	AMD	Radeon RX 7800 XT	AMD_RADEON_RX_7000		graphics_card	resale_core	head_seed_not_full_registry	true
pccomp_seed_0031	GPU	Intel	Arc B580	INTEL_ARC_B		graphics_card	mainstream	head_seed_not_full_registry	true
pccomp_seed_0032	GPU	Intel	Arc A750	INTEL_ARC_A		graphics_card	resale_core	head_seed_not_full_registry	true
pccomp_seed_0033	MOTHERBOARD	ASUS	ROG Strix B650E-F Gaming WiFi	B650E	AMD_AM5	motherboard	head_am5	head_seed_not_full_registry	true
pccomp_seed_0034	MOTHERBOARD	ASUS	TUF Gaming B650-Plus WiFi	B650	AMD_AM5	motherboard	head_am5	head_seed_not_full_registry	true
pccomp_seed_0035	MOTHERBOARD	MSI	MAG B650 Tomahawk WiFi	B650	AMD_AM5	motherboard	head_am5	head_seed_not_full_registry	true
pccomp_seed_0036	MOTHERBOARD	Gigabyte	B650 AORUS Elite AX	B650	AMD_AM5	motherboard	head_am5	head_seed_not_full_registry	true
pccomp_seed_0037	MOTHERBOARD	ASRock	B650M Pro RS WiFi	B650	AMD_AM5	motherboard	matx_am5	head_seed_not_full_registry	true
pccomp_seed_0038	MOTHERBOARD	ASUS	ROG Maximus Z890 Hero	Z890	INTEL_LGA1851	motherboard	head_lga1851	head_seed_not_full_registry	true
pccomp_seed_0039	MOTHERBOARD	MSI	MAG Z890 Tomahawk WiFi	Z890	INTEL_LGA1851	motherboard	head_lga1851	head_seed_not_full_registry	true
pccomp_seed_0040	MOTHERBOARD	Gigabyte	Z790 AORUS Elite AX	Z790	INTEL_LGA1700	motherboard	resale_lga1700	head_seed_not_full_registry	true
pccomp_seed_0041	MOTHERBOARD	ASUS	Prime B760-Plus	B760	INTEL_LGA1700	motherboard	budget_lga1700	head_seed_not_full_registry	true
pccomp_seed_0042	RAM_MODULE	Kingston	Fury Beast DDR5 32GB 6000 CL30	DDR5		ram_kit	head	head_seed_not_full_registry	true
pccomp_seed_0043	RAM_MODULE	Corsair	Vengeance DDR5 32GB 6000 CL30	DDR5		ram_kit	head	head_seed_not_full_registry	true
pccomp_seed_0044	RAM_MODULE	G.Skill	Trident Z5 Neo RGB 32GB DDR5-6000	DDR5		ram_kit	head	head_seed_not_full_registry	true
pccomp_seed_0045	RAM_MODULE	Crucial	Pro DDR5 32GB 5600	DDR5		ram_kit	mainstream	head_seed_not_full_registry	true
pccomp_seed_0046	RAM_MODULE	Kingston	Fury Beast DDR4 16GB 3200	DDR4		ram_kit	resale_core	head_seed_not_full_registry	true
pccomp_seed_0047	RAM_MODULE	Corsair	Vengeance LPX 16GB DDR4-3200	DDR4		ram_kit	resale_core	head_seed_not_full_registry	true
pccomp_seed_0048	POWER_SUPPLY	Corsair	RM850x 850W 80+ Gold	850W		psu	head	head_seed_not_full_registry	true
pccomp_seed_0049	POWER_SUPPLY	Seasonic	Focus GX-750 80+ Gold	750W		psu	head	head_seed_not_full_registry	true
pccomp_seed_0050	POWER_SUPPLY	be quiet!	Pure Power 12 M 850W	850W		psu	head_atx3	head_seed_not_full_registry	true
pccomp_seed_0051	POWER_SUPPLY	MSI	MAG A850GL PCIE5	850W		psu	head_atx3	head_seed_not_full_registry	true
pccomp_seed_0052	POWER_SUPPLY	DeepCool	PX850G	850W		psu	head_atx3	head_seed_not_full_registry	true
pccomp_seed_0053	PC_CASE	Fractal Design	North	MID_TOWER		pc_case	head	head_seed_not_full_registry	true
pccomp_seed_0054	PC_CASE	NZXT	H5 Flow	MID_TOWER		pc_case	head	head_seed_not_full_registry	true
pccomp_seed_0055	PC_CASE	Corsair	4000D Airflow	MID_TOWER		pc_case	resale_core	head_seed_not_full_registry	true
pccomp_seed_0056	PC_CASE	Lian Li	O11 Dynamic EVO	MID_TOWER		pc_case	enthusiast	head_seed_not_full_registry	true
pccomp_seed_0057	PC_CASE	Cooler Master	MasterBox NR200P	SMALL_FORM_FACTOR		pc_case	sff	head_seed_not_full_registry	true
pccomp_seed_0058	CPU_COOLER	Noctua	NH-D15	AIR_TOWER		cpu_cooler	head_air	head_seed_not_full_registry	true
pccomp_seed_0059	CPU_COOLER	DeepCool	AK620	AIR_TOWER		cpu_cooler	head_air	head_seed_not_full_registry	true
pccomp_seed_0060	CPU_COOLER	ARCTIC	Liquid Freezer III 360	AIO_LIQUID		cpu_cooler	head_aio	head_seed_not_full_registry	true
pccomp_seed_0061	CPU_COOLER	Corsair	iCUE H150i Elite	AIO_LIQUID		cpu_cooler	head_aio	head_seed_not_full_registry	true
pccomp_seed_0062	CASE_FAN	Noctua	NF-A12x25 PWM	120MM		case_fan	head	head_seed_not_full_registry	true
pccomp_seed_0063	CASE_FAN	ARCTIC	P12 PWM PST	120MM		case_fan	budget_head	head_seed_not_full_registry	true
pccomp_seed_0064	CASE_FAN	Lian Li	UNI FAN SL120 V2	120MM		case_fan	rgb_head	head_seed_not_full_registry	true
pccomp_seed_0065	THERMAL_PASTE	ARCTIC	MX-6 4g	THERMAL_PASTE		thermal_paste	head	head_seed_not_full_registry	true
pccomp_seed_0066	THERMAL_PASTE	Thermal Grizzly	Kryonaut 1g	THERMAL_PASTE		thermal_paste	enthusiast	head_seed_not_full_registry	true
pccomp_seed_0067	CAPTURE_CARD	Elgato	Game Capture 4K60 Pro MK.2	PCIe_x4		capture_card	head	head_seed_not_full_registry	true
pccomp_seed_0068	CAPTURE_CARD	AVerMedia	Live Gamer 4K GC573	PCIe_x4		capture_card	head	head_seed_not_full_registry	true
pccomp_seed_0069	SOUND_CARD	Creative	Sound Blaster AE-5 Plus	PCIe_x1		sound_card	head	head_seed_not_full_registry	true
pccomp_seed_0070	SOUND_CARD	ASUS	Xonar SE	PCIe_x1		sound_card	budget	head_seed_not_full_registry	true
pccomp_seed_0071	NETWORK_CARD	TP-Link	Archer TX3000E	PCIe_x1		network_card	wifi6	head_seed_not_full_registry	true
pccomp_seed_0072	NETWORK_CARD	ASUS	PCE-AXE58BT	PCIe_x1		network_card	wifi6e	head_seed_not_full_registry	true
pccomp_seed_0073	NETWORK_CARD	Intel	X540-T2	PCIe_x8		network_card	10gbe	head_seed_not_full_registry	true
pccomp_seed_0074	EXPANSION_CARD	ASUS	Hyper M.2 x16 Gen 4 Card	PCIe_x16		expansion_card	m2_adapter	head_seed_not_full_registry	true
pccomp_seed_0075	EXPANSION_CARD	StarTech	4-Port USB 3.0 PCIe Card	PCIe_x1		expansion_card	usb_controller	head_seed_not_full_registry	true
