query	expected_categoryCode	expected_computer_accessory_type	intent	note
surface pen	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	route	
перо для планшета	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	route	
цифровое перо	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	route	
адаптер	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	route	
переходник	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	route	
донгл	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	route	
adapter	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	route	
dongle	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	route	
type c hdmi	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	route	
охлаждающая подставка	TECH.COMPUTER_ACCESSORIES	COOLING_PAD	route	
подставка с охлаждением	TECH.COMPUTER_ACCESSORIES	COOLING_PAD	route	
cooling pad	TECH.COMPUTER_ACCESSORIES	COOLING_PAD	route	
кулер для ноутбука	TECH.COMPUTER_ACCESSORIES	COOLING_PAD	route	
чехол для macbook	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	route	
накладка на macbook	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	route	
защита клавиатуры	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	route	
hard shell macbook	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	route	
computer cover	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	route	
крышка для ноутбука	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	route	
privacy filter	TECH.COMPUTER_ACCESSORIES	SCREEN_FILTER	route	
фильтр приватности	TECH.COMPUTER_ACCESSORIES	SCREEN_FILTER	route	
защитная пленка для ноутбука	TECH.COMPUTER_ACCESSORIES	SCREEN_FILTER	route	
антишпион для экрана	TECH.COMPUTER_ACCESSORIES	SCREEN_FILTER	route	
screen filter	TECH.COMPUTER_ACCESSORIES	SCREEN_FILTER	route	
набор для чистки	TECH.COMPUTER_ACCESSORIES	CLEANING_KIT	route	
чистка клавиатуры	TECH.COMPUTER_ACCESSORIES	CLEANING_KIT	route	
салфетка для монитора	TECH.COMPUTER_ACCESSORIES	CLEANING_KIT	route	
спрей для экрана	TECH.COMPUTER_ACCESSORIES	CLEANING_KIT	route	
cleaning kit	TECH.COMPUTER_ACCESSORIES	CLEANING_KIT	route	
механическая клавиатура keychron k2	TECH.COMPUTER_ACCESSORIES	KEYBOARD	route	
клавиатура русская английская usb	TECH.COMPUTER_ACCESSORIES	KEYBOARD	route	
logitech mx master 3s	TECH.COMPUTER_ACCESSORIES	MOUSE	route	
игровая мышь razer deathadder v3	TECH.COMPUTER_ACCESSORIES	MOUSE	route	
комплект клавиатура мышь logitech mk270	TECH.COMPUTER_ACCESSORIES	KEYBOARD_MOUSE_SET	route	
веб камера logitech c920	TECH.COMPUTER_ACCESSORIES	WEBCAM	route	
webcam 4k brio	TECH.COMPUTER_ACCESSORIES	WEBCAM	route	
док станция thunderbolt 4 macbook	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	route	
dell wd19 dock	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	route	
usb c hub hdmi ethernet	TECH.COMPUTER_ACCESSORIES	USB_HUB	route	
ugreen type c hub	TECH.COMPUTER_ACCESSORIES	USB_HUB	route	
подставка для ноутбука алюминиевая	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	route	
moft laptop stand	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	route	
кронштейн для монитора vesa	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	route	
ergotron lx monitor arm	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	route	
коврик для мыши steelseries qck	TECH.COMPUTER_ACCESSORIES	MOUSE_PAD	route	
большой коврик на стол	TECH.COMPUTER_ACCESSORIES	MOUSE_PAD	route	
surface pen стилус	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	route	
wacom bamboo ink	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	route	
переходник usb c hdmi	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	route	
донгл type c vga	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	route	
охлаждающая подставка для ноутбука 17	TECH.COMPUTER_ACCESSORIES	COOLING_PAD	route	
cooling pad laptop	TECH.COMPUTER_ACCESSORIES	COOLING_PAD	route	
hard shell macbook air m2	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	route	
накладка на клавиатуру macbook	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	route	
privacy filter 14 laptop	TECH.COMPUTER_ACCESSORIES	SCREEN_FILTER	route	
антишпион на экран ноутбука	TECH.COMPUTER_ACCESSORIES	SCREEN_FILTER	route	
набор для чистки клавиатуры	TECH.COMPUTER_ACCESSORIES	CLEANING_KIT	route	
спрей для экрана и микрофибра	TECH.COMPUTER_ACCESSORIES	CLEANING_KIT	route	
ноутбук lenovo thinkpad	TECH.COMPUTERS		negative_route	primary computer
macbook air m2 13	TECH.COMPUTERS		negative_route	primary laptop
монитор samsung 27 144hz	TECH.MONITORS_DISPLAYS		negative_route	monitor not accessory
ssd samsung 1tb	TECH.STORAGE_MEMORY		negative_route	storage
оперативная память ddr4 16gb	TECH.PC_COMPONENTS		negative_route	pc component
видеокарта rtx 4070	TECH.PC_COMPONENTS		negative_route	pc component
наушники logitech g pro	TECH.AUDIO		negative_route	audio
геймпад ps5	TECH.GAMING		negative_route	gaming controller
зарядка usb c 65w	TECH.POWER_CHARGING_CABLES		negative_route	generic charger
сумка для ноутбука	FASH.BAGS		negative_route	fashion bag
чехол iphone 13	TECH.PHONE_ACCESSORIES		negative_route	phone accessory
ipad apple pencil	TECH.TABLETS_E_READERS		negative_route	tablet accessory context ambiguous
