alias	lang	categoryCode	computer_accessory_type	weight	note
Logitech MX Master 3S	mixed	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
logitech g pro x superlight	en	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
Logitech G Pro X Superlight	mixed	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
razer deathadder v3	en	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
Razer DeathAdder V3	mixed	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
razer viper	en	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
Razer Viper	mixed	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
steelseries rival	en	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
SteelSeries Rival	mixed	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
apple magic mouse	en	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
Apple Magic Mouse	mixed	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
logitech mx anywhere	en	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
Logitech Mx Anywhere	mixed	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
logitech c920	en	TECH.COMPUTER_ACCESSORIES	WEBCAM	0.9	head model alias
Logitech C920	mixed	TECH.COMPUTER_ACCESSORIES	WEBCAM	0.9	head model alias
logitech c922	en	TECH.COMPUTER_ACCESSORIES	WEBCAM	0.9	head model alias
Logitech C922	mixed	TECH.COMPUTER_ACCESSORIES	WEBCAM	0.9	head model alias
logitech brio	en	TECH.COMPUTER_ACCESSORIES	WEBCAM	0.9	head model alias
Logitech Brio	mixed	TECH.COMPUTER_ACCESSORIES	WEBCAM	0.9	head model alias
razer kiyo	en	TECH.COMPUTER_ACCESSORIES	WEBCAM	0.9	head model alias
Razer Kiyo	mixed	TECH.COMPUTER_ACCESSORIES	WEBCAM	0.9	head model alias
elgato facecam	en	TECH.COMPUTER_ACCESSORIES	WEBCAM	0.9	head model alias
Elgato Facecam	mixed	TECH.COMPUTER_ACCESSORIES	WEBCAM	0.9	head model alias
microsoft lifecam	en	TECH.COMPUTER_ACCESSORIES	WEBCAM	0.9	head model alias
Microsoft LifeCam	mixed	TECH.COMPUTER_ACCESSORIES	WEBCAM	0.9	head model alias
caldigit ts4	en	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	0.9	head model alias
CalDigit TS4	mixed	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	0.9	head model alias
dell wd19	en	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	0.9	head model alias
Dell WD19	mixed	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	0.9	head model alias
lenovo usb-c dock	en	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	0.9	head model alias
Lenovo USB-C Dock	mixed	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	0.9	head model alias
hp thunderbolt dock	en	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	0.9	head model alias
HP Thunderbolt Dock	mixed	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	0.9	head model alias
anker 777 dock	en	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	0.9	head model alias
Anker 777 Dock	mixed	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	0.9	head model alias
belkin thunderbolt dock	en	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	0.9	head model alias
Belkin Thunderbolt Dock	mixed	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	0.9	head model alias
ugreen usb c hub	en	TECH.COMPUTER_ACCESSORIES	USB_HUB	0.9	head model alias
UGREEN USB C Hub	mixed	TECH.COMPUTER_ACCESSORIES	USB_HUB	0.9	head model alias
baseus usb c hub	en	TECH.COMPUTER_ACCESSORIES	USB_HUB	0.9	head model alias
Baseus USB C Hub	mixed	TECH.COMPUTER_ACCESSORIES	USB_HUB	0.9	head model alias
anker usb hub	en	TECH.COMPUTER_ACCESSORIES	USB_HUB	0.9	head model alias
Anker USB Hub	mixed	TECH.COMPUTER_ACCESSORIES	USB_HUB	0.9	head model alias
satechi type c hub	en	TECH.COMPUTER_ACCESSORIES	USB_HUB	0.9	head model alias
Satechi Type C Hub	mixed	TECH.COMPUTER_ACCESSORIES	USB_HUB	0.9	head model alias
hyperdrive hub	en	TECH.COMPUTER_ACCESSORIES	USB_HUB	0.9	head model alias
HyperDrive Hub	mixed	TECH.COMPUTER_ACCESSORIES	USB_HUB	0.9	head model alias
twelve south curve	en	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	0.9	head model alias
Twelve South Curve	mixed	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	0.9	head model alias
rain design mstand	en	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	0.9	head model alias
Rain Design mStand	mixed	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	0.9	head model alias
moft laptop stand	en	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	0.9	head model alias
MOFT laptop stand	mixed	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	0.9	head model alias
baseus laptop stand	en	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	0.9	head model alias
Baseus laptop stand	mixed	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	0.9	head model alias
ergotron lx	en	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	0.9	head model alias
Ergotron LX	mixed	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	0.9	head model alias
nb f80	en	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	0.9	head model alias
NB F80	mixed	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	0.9	head model alias
north bayou f80	en	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	0.9	head model alias
North Bayou F80	mixed	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	0.9	head model alias
huanuo monitor arm	en	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	0.9	head model alias
HUANUO monitor arm	mixed	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	0.9	head model alias
microsoft surface pen	en	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	0.9	head model alias
Microsoft Surface Pen	mixed	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	0.9	head model alias
wacom bamboo ink	en	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	0.9	head model alias
Wacom Bamboo Ink	mixed	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	0.9	head model alias
lenovo precision pen	en	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	0.9	head model alias
Lenovo Precision Pen	mixed	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	0.9	head model alias
hp tilt pen	en	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	0.9	head model alias
HP Tilt Pen	mixed	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	0.9	head model alias
ноутбук lenovo	ru	TECH.COMPUTERS		0.1	negative route
macbook air	ru	TECH.COMPUTERS		0.1	negative route
монитор 27 дюймов	ru	TECH.MONITORS_DISPLAYS		0.1	negative route
ssd 1tb	ru	TECH.STORAGE_MEMORY		0.1	negative route
видеокарта rtx 4070	ru	TECH.PC_COMPONENTS		0.1	negative route
наушники logitech	ru	TECH.AUDIO		0.1	negative route
геймпад ps5	ru	TECH.GAMING		0.1	negative route
зарядка для ноутбука	ru	TECH.POWER_CHARGING_CABLES		0.1	negative route
сумка для ноутбука	ru	FASH.BAGS		0.1	negative route
рюкзак для ноутбука	ru	FASH.BAGS		0.1	negative route
