computer_accessory_type	brand	model_name_text	alias	lang	priority
WEBCAM	LOGITECH	Logitech C920	лоджитек c920	ru	65
WEBCAM	LOGITECH	Logitech C922	logitech c922	en	80
WEBCAM	LOGITECH	Logitech C922	logitech c922	en	70
WEBCAM	LOGITECH	Logitech C922	c922	mixed	75
WEBCAM	LOGITECH	Logitech C922	лоджитек c922	ru	65
WEBCAM	LOGITECH	Logitech Brio	logitech brio	en	80
WEBCAM	LOGITECH	Logitech Brio	logitech brio	en	70
WEBCAM	LOGITECH	Logitech Brio	brio	mixed	75
WEBCAM	LOGITECH	Logitech Brio	лоджитек brio	ru	65
WEBCAM	RAZER	Razer Kiyo	razer kiyo	en	80
WEBCAM	RAZER	Razer Kiyo	razer kiyo	en	70
WEBCAM	RAZER	Razer Kiyo	рейзер kiyo	ru	65
WEBCAM	ELGATO	Elgato Facecam	elgato facecam	en	80
WEBCAM	ELGATO	Elgato Facecam	elgato facecam	en	70
WEBCAM	MICROSOFT	Microsoft LifeCam	microsoft lifecam	en	80
WEBCAM	MICROSOFT	Microsoft LifeCam	microsoft lifecam	en	70
DOCKING_STATION	CALDIGIT	CalDigit TS4	caldigit ts4	en	80
DOCKING_STATION	CALDIGIT	CalDigit TS4	caldigit ts4	en	70
DOCKING_STATION	DELL	Dell WD19	dell wd19	en	80
DOCKING_STATION	DELL	Dell WD19	dell wd19	en	70
DOCKING_STATION	LENOVO	Lenovo USB-C Dock	lenovo usb-c dock	en	80
DOCKING_STATION	LENOVO	Lenovo USB-C Dock	lenovo usb c dock	en	70
DOCKING_STATION	HP	HP Thunderbolt Dock	hp thunderbolt dock	en	80
DOCKING_STATION	HP	HP Thunderbolt Dock	hp thunderbolt dock	en	70
DOCKING_STATION	ANKER	Anker 777 Dock	anker 777 dock	en	80
DOCKING_STATION	ANKER	Anker 777 Dock	anker 777 dock	en	70
DOCKING_STATION	ANKER	Anker 777 Dock	anker docking_station	mixed	60
DOCKING_STATION	BELKIN	Belkin Thunderbolt Dock	belkin thunderbolt dock	en	80
DOCKING_STATION	BELKIN	Belkin Thunderbolt Dock	belkin thunderbolt dock	en	70
USB_HUB	UGREEN	UGREEN USB C Hub	ugreen usb c hub	en	80
USB_HUB	UGREEN	UGREEN USB C Hub	ugreen usb c hub	en	70
USB_HUB	UGREEN	UGREEN USB C Hub	ugreen usb_hub	mixed	60
USB_HUB	BASEUS	Baseus USB C Hub	baseus usb c hub	en	80
USB_HUB	BASEUS	Baseus USB C Hub	baseus usb c hub	en	70
USB_HUB	BASEUS	Baseus USB C Hub	baseus usb_hub	mixed	60
USB_HUB	ANKER	Anker USB Hub	anker usb hub	en	80
USB_HUB	ANKER	Anker USB Hub	anker usb hub	en	70
USB_HUB	ANKER	Anker USB Hub	anker usb_hub	mixed	60
USB_HUB	SATECHI	Satechi Type C Hub	satechi type c hub	en	80
USB_HUB	SATECHI	Satechi Type C Hub	satechi type c hub	en	70
USB_HUB	HYPERDRIVE	HyperDrive Hub	hyperdrive hub	en	80
USB_HUB	HYPERDRIVE	HyperDrive Hub	hyperdrive hub	en	70
LAPTOP_STAND	TWELVE	Twelve South Curve	twelve south curve	en	80
LAPTOP_STAND	TWELVE	Twelve South Curve	twelve south curve	en	70
LAPTOP_STAND	RAIN	Rain Design mStand	rain design mstand	en	80
LAPTOP_STAND	RAIN	Rain Design mStand	rain design mstand	en	70
LAPTOP_STAND	MOFT	MOFT laptop stand	moft laptop stand	en	80
LAPTOP_STAND	MOFT	MOFT laptop stand	moft laptop stand	en	70
LAPTOP_STAND	BASEUS	Baseus laptop stand	baseus laptop stand	en	80
LAPTOP_STAND	BASEUS	Baseus laptop stand	baseus laptop stand	en	70
LAPTOP_STAND	BASEUS	Baseus laptop stand	baseus laptop_stand	mixed	60
MONITOR_ARM	ERGOTRON	Ergotron LX	ergotron lx	en	80
MONITOR_ARM	ERGOTRON	Ergotron LX	ergotron lx	en	70
MONITOR_ARM	NB	NB F80	nb f80	en	80
MONITOR_ARM	NB	NB F80	nb f80	en	70
MONITOR_ARM	NORTH	North Bayou F80	north bayou f80	en	80
MONITOR_ARM	NORTH	North Bayou F80	north bayou f80	en	70
MONITOR_ARM	HUANUO	HUANUO monitor arm	huanuo monitor arm	en	80
MONITOR_ARM	HUANUO	HUANUO monitor arm	huanuo monitor arm	en	70
STYLUS_PEN	MICROSOFT	Microsoft Surface Pen	microsoft surface pen	en	80
STYLUS_PEN	MICROSOFT	Microsoft Surface Pen	microsoft surface pen	en	70
STYLUS_PEN	WACOM	Wacom Bamboo Ink	wacom bamboo ink	en	80
STYLUS_PEN	WACOM	Wacom Bamboo Ink	wacom bamboo ink	en	70
STYLUS_PEN	LENOVO	Lenovo Precision Pen	lenovo precision pen	en	80
STYLUS_PEN	LENOVO	Lenovo Precision Pen	lenovo precision pen	en	70
STYLUS_PEN	HP	HP Tilt Pen	hp tilt pen	en	80
STYLUS_PEN	HP	HP Tilt Pen	hp tilt pen	en	70
MOUSE_PAD	STEELSERIES	QcK	qck	en	80
MOUSE_PAD	STEELSERIES	QcK	qck	en	70
MOUSE_PAD	RAZER	Gigantus V2	gigantus v2	en	80
MOUSE_PAD	RAZER	Gigantus V2	gigantus v2	en	70
MOUSE_PAD	RAZER	Gigantus V2	рейзер gigantus v2	ru	65
MOUSE_PAD	LOGITECH	G Powerplay	g powerplay	en	80
MOUSE_PAD	LOGITECH	G Powerplay	g powerplay	en	70
MOUSE_PAD	LOGITECH	G Powerplay	g powerplay	mixed	75
MOUSE_PAD	LOGITECH	G Powerplay	лоджитек g powerplay	ru	65
MONITOR_ARM	ERGOTRON	LX Desk Monitor Arm	lx desk monitor arm	en	80
MONITOR_ARM	ERGOTRON	LX Desk Monitor Arm	lx desk monitor arm	en	70
MONITOR_ARM	NORTH BAYOU	F80	f80	en	80
MONITOR_ARM	NORTH BAYOU	F80	f80	en	70
MONITOR_ARM	HUANUO	Single Monitor Arm	single monitor arm	en	80
MONITOR_ARM	HUANUO	Single Monitor Arm	single monitor arm	en	70
ADAPTER_DONGLE	APPLE	USB-C Digital AV Multiport Adapter	usb-c digital av multiport adapter	en	80
ADAPTER_DONGLE	APPLE	USB-C Digital AV Multiport Adapter	usb c digital av multiport adapter	en	70
ADAPTER_DONGLE	APPLE	USB-C Digital AV Multiport Adapter	usb-c digital av multiport adapter	mixed	75
ADAPTER_DONGLE	APPLE	USB-C Digital AV Multiport Adapter	эпл usb-c digital av multiport adapter	ru	65
ADAPTER_DONGLE	UGREEN	USB-C to HDMI Adapter	usb-c to hdmi adapter	en	80
ADAPTER_DONGLE	UGREEN	USB-C to HDMI Adapter	usb c to hdmi adapter	en	70
ADAPTER_DONGLE	UGREEN	USB-C to HDMI Adapter	ugreen adapter_dongle	mixed	60
ADAPTER_DONGLE	ANKER	USB-C to HDMI Adapter	usb-c to hdmi adapter	en	80
ADAPTER_DONGLE	ANKER	USB-C to HDMI Adapter	usb c to hdmi adapter	en	70
ADAPTER_DONGLE	ANKER	USB-C to HDMI Adapter	anker adapter_dongle	mixed	60
COOLING_PAD	DEEPCOOL	N9	n9	en	80
COOLING_PAD	DEEPCOOL	N9	n9	en	70
COOLING_PAD	HAVIT	HV-F2056	hv-f2056	en	80
COOLING_PAD	HAVIT	HV-F2056	hv f2056	en	70
SCREEN_FILTER	3M	Privacy Filter	privacy filter	en	80
SCREEN_FILTER	3M	Privacy Filter	privacy filter	en	70
COMPUTER_COVER	MOSISO	MacBook Hard Shell	macbook hard shell	en	80
COMPUTER_COVER	MOSISO	MacBook Hard Shell	macbook hard shell	en	70
CLEANING_KIT	WHOOSH	Screen Cleaner	screen cleaner	en	80
CLEANING_KIT	WHOOSH	Screen Cleaner	screen cleaner	en	70
KEYBOARD_MOUSE_SET	LOGITECH	MK270	mk270	en	80
KEYBOARD_MOUSE_SET	LOGITECH	MK270	mk270	en	70
KEYBOARD_MOUSE_SET	LOGITECH	MK270	mk270	mixed	75
KEYBOARD_MOUSE_SET	LOGITECH	MK270	лоджитек mk270	ru	65
KEYBOARD_MOUSE_SET	LOGITECH	MK850	mk850	en	80
KEYBOARD_MOUSE_SET	LOGITECH	MK850	mk850	en	70
KEYBOARD_MOUSE_SET	LOGITECH	MK850	mk850	mixed	75
KEYBOARD_MOUSE_SET	LOGITECH	MK850	лоджитек mk850	ru	65
KEYBOARD_MOUSE_SET	MICROSOFT	Wireless Desktop 900	wireless desktop 900	en	80
KEYBOARD_MOUSE_SET	MICROSOFT	Wireless Desktop 900	wireless desktop 900	en	70
