attributeCode	label_ru	role	data_type	required	multi_value	allowed_values_source	usage_scope	description_ru
privacy_filter_type	Тип privacy-фильтра	T1_TYPE_SPECIFIC	enum	conditional	false	values.tech_computer_accessories.v1_0.tsv#privacy_filter_type	offer,product	
cover_form_factor	Форм-фактор защиты/чехла	T1_TYPE_SPECIFIC	enum	conditional	false	values.tech_computer_accessories.v1_0.tsv#cover_form_factor	offer,product	
cleaning_item_type	Тип предмета для чистки	T1_TYPE_SPECIFIC	enum	conditional	false	values.tech_computer_accessories.v1_0.tsv#cleaning_item_type	offer,product	
manufacturer	Производитель	T2_OPTIONAL_ENRICHMENT	string	false	false		offer,product	
model_number	Номер модели	T2_OPTIONAL_ENRICHMENT	string	false	false		offer,product	
mpn	MPN	T2_OPTIONAL_ENRICHMENT	string	false	false		offer,product	
gtin	GTIN/EAN/UPC	T2_OPTIONAL_ENRICHMENT	string	false	false		offer,product	
release_year	Год выпуска	T2_OPTIONAL_ENRICHMENT	integer	false	false		offer,product	
region_variant	Региональная версия	T2_OPTIONAL_ENRICHMENT	enum	false	false	shared:region_variant	offer,product	
warranty	Гарантия	T2_OPTIONAL_ENRICHMENT	enum	false	false	shared:warranty	offer,product	
included_accessories	Комплект	T2_OPTIONAL_ENRICHMENT	string	false	true		offer,product	
seller_bundle	Комплект продавца	T2_OPTIONAL_ENRICHMENT	boolean	false	false		offer,product	
original_box	Оригинальная коробка	T2_OPTIONAL_ENRICHMENT	boolean	false	false		offer,product	
refurbished_status	Статус восстановления	T2_OPTIONAL_ENRICHMENT	enum	false	false	shared:refurbished_status	offer,product	
compatible_brand	Совместимый бренд	T2_OPTIONAL_ENRICHMENT	string	false	false	head+runtime_candidates	offer,product	
compatible_family	Совместимое семейство	T2_OPTIONAL_ENRICHMENT	string	false	false	head+runtime_candidates	offer,product	
compatible_model_text	Совместимая модель текстом	T2_OPTIONAL_ENRICHMENT	string	false	false		offer,product	
compatibility_mode	Режим совместимости	T2_OPTIONAL_ENRICHMENT	enum	false	false	shared:compatibility_mode	offer,product	
compatibility_confidence	Уверенность совместимости	T2_OPTIONAL_ENRICHMENT	number	false	false		offer,product	
wireless_standard	Беспроводной стандарт	T2_OPTIONAL_ENRICHMENT	enum	false	true	shared:wireless_standard	offer,product	
battery_type	Тип батареи	T2_OPTIONAL_ENRICHMENT	enum	false	false	values.tech_computer_accessories.v1_0.tsv#battery_type	offer,product	
battery_life_hours	Время работы, часы	T2_OPTIONAL_ENRICHMENT	number	false	false		offer,product	
rechargeable	Перезаряжаемый	T2_OPTIONAL_ENRICHMENT	boolean	false	false		offer,product	
material	Материал	T2_OPTIONAL_ENRICHMENT	enum	false	true	values.tech_computer_accessories.v1_0.tsv#material	offer,product	
dimensions_mm	Габариты, мм	T2_OPTIONAL_ENRICHMENT	string	false	false		offer,product	
weight_g	Вес, г	T2_OPTIONAL_ENRICHMENT	number	false	false		offer,product	
dedup_fingerprint	Системный fingerprint дедупликации	T3_SYSTEM_HIDDEN	string	false	false		system	
image_fingerprint	Image fingerprint	T3_SYSTEM_HIDDEN	string	false	false		system	
source_confidence	Уверенность источника	T3_SYSTEM_HIDDEN	string	false	false		system	
normalization_confidence	Уверенность нормализации	T3_SYSTEM_HIDDEN	string	false	false		system	
route_confidence	Уверенность маршрутизации	T3_SYSTEM_HIDDEN	string	false	false		system	
evidence_tokens	Evidence tokens	T3_SYSTEM_HIDDEN	string	false	false		system	
blocked_route_reason	Причина блокировки маршрута	T3_SYSTEM_HIDDEN	string	false	false		system	
