alias_text	locale	normalized_alias	route_kind	target_code	priority	match_kind	is_blocked	source	comment
адаптер для телефона	ru-RU	адаптер для телефона	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
phone case	en-US	phone case	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	85	EXACT	false	SEED	
screen protector	en-US	screen protector	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
charger type c	en-US	charger type c	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
ноутбук	ru-RU	ноутбук	CATEGORY_LEAF	TECH.COMPUTERS	90	EXACT	false	SEED	
ноутбуки	ru-RU	ноутбуки	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
laptop	en-US	laptop	CATEGORY_LEAF	TECH.COMPUTERS	90	EXACT	false	SEED	
ноут для учебы	ru-RU	ноут для учебы	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
ноутбук для работы	ru-RU	ноутбук для работы	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
игровой ноутбук	ru-RU	игровой ноутбук	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
ультрабук	ru-RU	ультрабук	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
ultrabook	en-US	ultrabook	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
macbook	en-US	macbook	CATEGORY_LEAF	TECH.COMPUTERS	90	EXACT	false	SEED	
macbook air	en-US	macbook air	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
macbook pro	en-US	macbook pro	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
lenovo thinkpad	en-US	lenovo thinkpad	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
asus vivobook	en-US	asus vivobook	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
dell xps	en-US	dell xps	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
chromebook	en-US	chromebook	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
ноутбук бу	ru-RU	ноутбук бу	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
ноутбук б/у	ru-RU	ноутбук б у	CATEGORY_LEAF	TECH.COMPUTERS	70	EXACT	false	SEED	
пк комплектующие	ru-RU	пк комплектующие	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
комплектующие для пк	ru-RU	комплектующие для пк	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
мышь	ru-RU	мышь	CATEGORY_LEAF	TECH.COMPUTER_ACCESSORIES	88	EXACT	false	SEED	pc peripheral backfill
компьютерная мышь	ru-RU	компьютерная мышь	CATEGORY_LEAF	TECH.COMPUTER_ACCESSORIES	92	EXACT	false	SEED	pc peripheral backfill
беспроводная мышь	ru-RU	беспроводная мышь	CATEGORY_LEAF	TECH.COMPUTER_ACCESSORIES	90	EXACT	false	SEED	pc peripheral backfill
проводная мышь	ru-RU	проводная мышь	CATEGORY_LEAF	TECH.COMPUTER_ACCESSORIES	90	EXACT	false	SEED	pc peripheral backfill
игровая мышь	ru-RU	игровая мышь	CATEGORY_LEAF	TECH.COMPUTER_ACCESSORIES	82	EXACT	false	SEED	pc peripheral backfill
mouse	en-US	mouse	CATEGORY_LEAF	TECH.COMPUTER_ACCESSORIES	88	EXACT	false	SEED	pc peripheral backfill
computer mouse	en-US	computer mouse	CATEGORY_LEAF	TECH.COMPUTER_ACCESSORIES	92	EXACT	false	SEED	pc peripheral backfill
wireless mouse	en-US	wireless mouse	CATEGORY_LEAF	TECH.COMPUTER_ACCESSORIES	90	EXACT	false	SEED	pc peripheral backfill
gaming mouse	en-US	gaming mouse	CATEGORY_LEAF	TECH.COMPUTER_ACCESSORIES	82	EXACT	false	SEED	pc peripheral backfill
видеокарта	ru-RU	видеокарта	CATEGORY_LEAF	TECH.PC_COMPONENTS	90	EXACT	false	SEED	
gpu	en-US	gpu	CATEGORY_LEAF	TECH.PC_COMPONENTS	90	EXACT	false	SEED	
rtx 4060	en-US	rtx 4060	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
rtx 4070	en-US	rtx 4070	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
rtx 4090	en-US	rtx 4090	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
amd rx 7800	en-US	amd rx 7800	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
процессор	ru-RU	процессор	CATEGORY_LEAF	TECH.PC_COMPONENTS	90	EXACT	false	SEED	
cpu	en-US	cpu	CATEGORY_LEAF	TECH.PC_COMPONENTS	90	EXACT	false	SEED	
ryzen 7	en-US	ryzen 7	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
intel i7	en-US	intel i7	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
материнская плата	ru-RU	материнская плата	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
motherboard	en-US	motherboard	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
оперативная память	ru-RU	оперативная память	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
ram ddr5	en-US	ram ddr5	CATEGORY_LEAF	TECH.PC_COMPONENTS	94	EXACT	false	MANUAL	TECH_STORAGE_MEMORY_public_category_pack_v1_0_RU; ram boundary
ddr4	en-US	ddr4	CATEGORY_LEAF	TECH.PC_COMPONENTS	94	EXACT	false	MANUAL	TECH_STORAGE_MEMORY_public_category_pack_v1_0_RU; ram boundary
ssd	en-US	ssd	CATEGORY_LEAF	TECH.STORAGE_MEMORY	90	EXACT	false	SEED	
ssd m2	en-US	ssd m2	CATEGORY_LEAF	TECH.STORAGE_MEMORY	70	EXACT	false	SEED	
hdd	en-US	hdd	CATEGORY_LEAF	TECH.STORAGE_MEMORY	70	EXACT	false	SEED	
блок питания	ru-RU	блок питания	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
psu	en-US	psu	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
корпус пк	ru-RU	корпус пк	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
кулер	ru-RU	кулер	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
водянка	ru-RU	водянка	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
thermal paste	en-US	thermal paste	CATEGORY_LEAF	TECH.PC_COMPONENTS	70	EXACT	false	SEED	
nvme	en-US	nvme	CATEGORY_LEAF	TECH.STORAGE_MEMORY	70	EXACT	false	SEED	
телевизор	ru-RU	телевизор	CATEGORY_LEAF	TECH.TV_HOME_THEATER	90	EXACT	false	SEED	
tv	en-US	tv	CATEGORY_LEAF	TECH.TV_HOME_THEATER	90	EXACT	false	SEED	
smart tv	en-US	smart tv	CATEGORY_LEAF	TECH.TV_HOME_THEATER	90	EXACT	false	SEED	
oled tv	en-US	oled tv	CATEGORY_LEAF	TECH.TV_HOME_THEATER	65	EXACT	false	SEED	
qled	en-US	qled	CATEGORY_LEAF	TECH.TV_HOME_THEATER	65	EXACT	false	SEED	
android tv	en-US	android tv	CATEGORY_LEAF	TECH.TV_HOME_THEATER	65	EXACT	false	SEED	
tv box	en-US	tv box	CATEGORY_LEAF	TECH.TV_HOME_THEATER	65	EXACT	false	SEED	
медиаплеер	ru-RU	медиаплеер	CATEGORY_LEAF	TECH.TV_HOME_THEATER	65	EXACT	false	SEED	
apple tv	en-US	apple tv	CATEGORY_LEAF	TECH.TV_HOME_THEATER	65	EXACT	false	SEED	
google tv	en-US	google tv	CATEGORY_LEAF	TECH.TV_HOME_THEATER	65	EXACT	false	SEED	
проектор	ru-RU	проектор	CATEGORY_LEAF	TECH.TV_HOME_THEATER	90	EXACT	false	SEED	
проекторы	ru-RU	проекторы	CATEGORY_LEAF	TECH.TV_HOME_THEATER	65	EXACT	false	SEED	
домашний кинотеатр	ru-RU	домашний кинотеатр	CATEGORY_LEAF	TECH.TV_HOME_THEATER	65	EXACT	false	SEED	
ресивер	ru-RU	ресивер	CATEGORY_LEAF	TECH.TV_HOME_THEATER	65	EXACT	false	SEED	
стриминг приставка	ru-RU	стриминг приставка	CATEGORY_LEAF	TECH.TV_HOME_THEATER	65	EXACT	false	SEED	
тюнер	ru-RU	тюнер	CATEGORY_LEAF	TECH.TV_HOME_THEATER	65	EXACT	false	SEED	
кронштейн для тв	ru-RU	кронштейн для тв	CATEGORY_LEAF	TECH.TV_HOME_THEATER	65	EXACT	false	SEED	
наушники	ru-RU	наушники	CATEGORY_LEAF	TECH.AUDIO	90	EXACT	false	SEED	
headphones	en-US	headphones	CATEGORY_LEAF	TECH.AUDIO	90	EXACT	false	SEED	
earbuds	en-US	earbuds	CATEGORY_LEAF	TECH.AUDIO	70	EXACT	false	SEED	
bluetooth наушники	ru-RU	bluetooth наушники	CATEGORY_LEAF	TECH.AUDIO	70	EXACT	false	SEED	
беспроводные наушники	ru-RU	беспроводные наушники	CATEGORY_LEAF	TECH.AUDIO	70	EXACT	false	SEED	
airpods	en-US	airpods	CATEGORY_LEAF	TECH.AUDIO	90	EXACT	false	SEED	
galaxy buds	en-US	galaxy buds	CATEGORY_LEAF	TECH.AUDIO	70	EXACT	false	SEED	
sony wh-1000xm	en-US	sony wh 1000xm	CATEGORY_LEAF	TECH.AUDIO	70	EXACT	false	SEED	
колонка	ru-RU	колонка	CATEGORY_LEAF	TECH.AUDIO	90	EXACT	false	SEED	
bluetooth колонка	ru-RU	bluetooth колонка	CATEGORY_LEAF	TECH.AUDIO	92	EXACT	false	MANUAL	TECH_SMART_HOME_SECURITY_public_category_pack_v1_0_RU; type_alias:NEGATIVE_ROUTE
speaker	en-US	speaker	CATEGORY_LEAF	TECH.AUDIO	70	EXACT	false	SEED	
саундбар	ru-RU	саундбар	CATEGORY_LEAF	TECH.AUDIO	70	EXACT	false	SEED	
soundbar	en-US	soundbar	CATEGORY_LEAF	TECH.AUDIO	90	EXACT	false	SEED	
микрофон	ru-RU	микрофон	CATEGORY_LEAF	TECH.AUDIO	70	EXACT	false	SEED	
микрофон usb	ru-RU	микрофон usb	CATEGORY_LEAF	TECH.AUDIO	70	EXACT	false	SEED	
усилитель	ru-RU	усилитель	CATEGORY_LEAF	TECH.AUDIO	70	EXACT	false	SEED	
акустика	ru-RU	акустика	CATEGORY_LEAF	TECH.AUDIO	70	EXACT	false	SEED	
hi-fi	en-US	hi fi	CATEGORY_LEAF	TECH.AUDIO	70	EXACT	false	SEED	
наушники проводные	ru-RU	наушники проводные	CATEGORY_LEAF	TECH.AUDIO	70	EXACT	false	SEED	
фотоаппарат	ru-RU	фотоаппарат	CATEGORY_LEAF	TECH.CAMERAS_DRONES	90	EXACT	false	SEED	
камера	ru-RU	камера	CATEGORY_LEAF	TECH.CAMERAS_DRONES	90	EXACT	false	SEED	
cameras	en-US	cameras	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
camera	en-US	camera	CATEGORY_LEAF	TECH.CAMERAS_DRONES	90	EXACT	false	SEED	
зеркалка	ru-RU	зеркалка	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
dslr	en-US	dslr	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
беззеркалка	ru-RU	беззеркалка	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
mirrorless	en-US	mirrorless	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
sony alpha	en-US	sony alpha	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
canon eos	en-US	canon eos	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
nikon	en-US	nikon	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
gopro	en-US	gopro	CATEGORY_LEAF	TECH.CAMERAS_DRONES	90	EXACT	false	SEED	
экшн камера	ru-RU	экшн камера	CATEGORY_LEAF	TECH.CAMERAS_DRONES	92	EXACT	false	MANUAL	TECH_SMART_HOME_SECURITY_public_category_pack_v1_0_RU; type_alias:NEGATIVE_ROUTE
action camera	en-US	action camera	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
объектив	ru-RU	объектив	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
lens	en-US	lens	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
штатив	ru-RU	штатив	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
stabilizer	en-US	stabilizer	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
видеокамера	ru-RU	видеокамера	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
камера 4k	ru-RU	камера 4k	CATEGORY_LEAF	TECH.CAMERAS_DRONES	65	EXACT	false	SEED	
ps5	en-US	ps5	CATEGORY_LEAF	TECH.GAMING	90	EXACT	false	SEED	
playstation 5	en-US	playstation 5	CATEGORY_LEAF	TECH.GAMING	70	EXACT	false	SEED	
ps4	en-US	ps4	CATEGORY_LEAF	TECH.GAMING	70	EXACT	false	SEED	
xbox	en-US	xbox	CATEGORY_LEAF	TECH.GAMING	90	EXACT	false	SEED	
xbox series x	en-US	xbox series x	CATEGORY_LEAF	TECH.GAMING	70	EXACT	false	SEED	
xbox series s	en-US	xbox series s	CATEGORY_LEAF	TECH.GAMING	70	EXACT	false	SEED	
nintendo switch	en-US	nintendo switch	CATEGORY_LEAF	TECH.GAMING	90	EXACT	false	SEED	
switch oled	en-US	switch oled	CATEGORY_LEAF	TECH.GAMING	70	EXACT	false	SEED	
игровая приставка	ru-RU	игровая приставка	CATEGORY_LEAF	TECH.GAMING	90	EXACT	false	SEED	
консоль	ru-RU	консоль	CATEGORY_LEAF	TECH.GAMING	70	EXACT	false	SEED	
игры для ps5	ru-RU	игры для ps5	CATEGORY_LEAF	TECH.GAMING	70	EXACT	false	SEED	
игры для xbox	ru-RU	игры для xbox	CATEGORY_LEAF	TECH.GAMING	70	EXACT	false	SEED	
джойстик dualsense	ru-RU	джойстик dualsense	CATEGORY_LEAF	TECH.GAMING	70	EXACT	false	SEED	
геймпад	ru-RU	геймпад	CATEGORY_LEAF	TECH.GAMING	70	EXACT	false	SEED	
game console	en-US	game console	CATEGORY_LEAF	TECH.GAMING	90	EXACT	false	SEED	
video games	en-US	video games	CATEGORY_LEAF	TECH.GAMING	70	EXACT	false	SEED	
планшет	ru-RU	планшет	CATEGORY_LEAF	TECH.TABLETS_E_READERS	90	EXACT	false	SEED	
tablet	en-US	tablet	CATEGORY_LEAF	TECH.TABLETS_E_READERS	90	EXACT	false	SEED	
ipad	en-US	ipad	CATEGORY_LEAF	TECH.TABLETS_E_READERS	90	EXACT	false	SEED	
ipad pro	en-US	ipad pro	CATEGORY_LEAF	TECH.TABLETS_E_READERS	70	EXACT	false	SEED	
ipad air	en-US	ipad air	CATEGORY_LEAF	TECH.TABLETS_E_READERS	70	EXACT	false	SEED	
android планшет	ru-RU	android планшет	CATEGORY_LEAF	TECH.TABLETS_E_READERS	70	EXACT	false	SEED	
планшет samsung	ru-RU	планшет samsung	CATEGORY_LEAF	TECH.TABLETS_E_READERS	70	EXACT	false	SEED	
электронная книга	ru-RU	электронная книга	CATEGORY_LEAF	TECH.TABLETS_E_READERS	90	EXACT	false	SEED	
e-book	en-US	e book	CATEGORY_LEAF	TECH.TABLETS_E_READERS	70	EXACT	false	SEED	
ebook reader	en-US	ebook reader	CATEGORY_LEAF	TECH.TABLETS_E_READERS	70	EXACT	false	SEED	
ридер	ru-RU	ридер	CATEGORY_LEAF	TECH.TABLETS_E_READERS	70	EXACT	false	SEED	
kindle	en-US	kindle	CATEGORY_LEAF	TECH.TABLETS_E_READERS	90	EXACT	false	SEED	
kobo	en-US	kobo	CATEGORY_LEAF	TECH.TABLETS_E_READERS	70	EXACT	false	SEED	
onyx boox	en-US	onyx boox	CATEGORY_LEAF	TECH.TABLETS_E_READERS	70	EXACT	false	SEED	
планшет бу	ru-RU	планшет бу	CATEGORY_LEAF	TECH.TABLETS_E_READERS	70	EXACT	false	SEED	
планшет б/у	ru-RU	планшет б у	CATEGORY_LEAF	TECH.TABLETS_E_READERS	70	EXACT	false	SEED	
учебный планшет	ru-RU	учебный планшет	CATEGORY_LEAF	TECH.TABLETS_E_READERS	70	EXACT	false	SEED	
умный дом	ru-RU	умный дом	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	90	EXACT	false	SEED	
smart home	en-US	smart home	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	90	EXACT	false	SEED	
умная лампочка	ru-RU	умная лампочка	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	90	EXACT	false	SEED	
smart bulb	en-US	smart bulb	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
умная розетка	ru-RU	умная розетка	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	90	EXACT	false	SEED	
smart plug	en-US	smart plug	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
датчик движения	ru-RU	датчик движения	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
motion sensor	en-US	motion sensor	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
zigbee	en-US	zigbee	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	90	EXACT	false	SEED	
homekit	en-US	homekit	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
alexa	en-US	alexa	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
google home	en-US	google home	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
умная колонка	ru-RU	умная колонка	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
smart speaker	en-US	smart speaker	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
камера видеонаблюдения wifi	ru-RU	камера видеонаблюдения wifi	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	96	EXACT	false	SEED
камера безопасности wifi	ru-RU	камера безопасности wifi	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	96	EXACT	false	MANUAL	security-camera boundary backfill
камера безопасности	ru-RU	камера безопасности	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	94	EXACT	false	MANUAL	security-camera boundary backfill
умная камера	ru-RU	умная камера	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
робот пылесос	ru-RU	робот пылесос	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
smart vacuum	en-US	smart vacuum	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
умный термостат	ru-RU	умный термостат	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
smart thermostat	en-US	smart thermostat	CATEGORY_LEAF	TECH.SMART_HOME_SECURITY	65	EXACT	false	SEED	
купить	ru-RU	купить	BROWSE_NODE	B.TECH	0	EXACT	true	SEED	шумовой запрос
цена	ru-RU	цена	BROWSE_NODE	B.TECH	0	EXACT	true	SEED	шумовой запрос
дешево	ru-RU	дешево	BROWSE_NODE	B.TECH	0	EXACT	true	SEED	шумовой запрос
скидка	ru-RU	скидка	BROWSE_NODE	B.TECH	0	EXACT	true	SEED	шумовой запрос
акция	ru-RU	акция	BROWSE_NODE	B.TECH	0	EXACT	true	SEED	шумовой запрос
лучший	ru-RU	лучший	BROWSE_NODE	B.TECH	0	EXACT	true	SEED	шумовой запрос
топ	ru-RU	топ	BROWSE_NODE	B.TECH	0	EXACT	true	SEED	шумовой запрос
игровой laptop	en-US	игровой laptop	CATEGORY_LEAF	TECH.COMPUTERS	65	TOKEN	false	SEED	mixed locale query
lenovo legion ноутбук	ru-RU	lenovo legion ноутбук	CATEGORY_LEAF	TECH.COMPUTERS	70	TOKEN	false	SEED	model line
купить смартфон	ru-RU	купить смартфон	CATEGORY_LEAF	TECH.PHONES	72	EXACT	false	SEED	golden backfill
смартфон бу	ru-RU	смартфон бу	CATEGORY_LEAF	TECH.PHONES	72	EXACT	false	SEED	golden backfill
айфон 14	ru-RU	айфон 14	CATEGORY_LEAF	TECH.PHONES	72	EXACT	false	SEED	golden backfill
iphone 15 pro	en-US	iphone 15 pro	CATEGORY_LEAF	TECH.PHONES	72	EXACT	false	SEED	golden backfill
телефон samsung galaxy	ru-RU	телефон samsung galaxy	CATEGORY_LEAF	TECH.PHONES	72	EXACT	false	SEED	golden backfill
xiaomi redmi смартфон	ru-RU	xiaomi redmi смартфон	CATEGORY_LEAF	TECH.PHONES	72	EXACT	false	SEED	golden backfill
huawei p60	en-US	huawei p60	CATEGORY_LEAF	TECH.PHONES	72	EXACT	false	SEED	golden backfill
oneplus 12	en-US	oneplus 12	CATEGORY_LEAF	TECH.PHONES	72	EXACT	false	SEED	golden backfill
смартфон 256 гб	ru-RU	смартфон 256 гб	CATEGORY_LEAF	TECH.PHONES	72	EXACT	false	SEED	golden backfill
телефон с хорошей камерой	ru-RU	телефон с хорошей камерой	CATEGORY_LEAF	TECH.PHONES	72	EXACT	false	SEED	golden backfill
samsung s24	en-US	samsung s24	CATEGORY_LEAF	TECH.PHONES	72	EXACT	false	SEED	golden backfill
xiaomi 13t	en-US	xiaomi 13t	CATEGORY_LEAF	TECH.PHONES	72	EXACT	false	SEED	golden backfill
iphone б/у	ru-RU	iphone б у	CATEGORY_LEAF	TECH.PHONES	72	EXACT	false	SEED	golden backfill
