brand	family	model	model_code	camera_type	sensor_format	lens_mount	kind	evidence_policy	notes
NIKON	Z	Z8	NIKON_Z8	MIRRORLESS_CAMERA	FULL_FRAME	NIKON_Z	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
NIKON	Z	Z6 III	NIKON_Z6_III	MIRRORLESS_CAMERA	FULL_FRAME	NIKON_Z	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
NIKON	Z	Z50 II	NIKON_Z50_II	MIRRORLESS_CAMERA	APS_C	NIKON_Z	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
NIKON	D	D850	NIKON_D850	DSLR_CAMERA	FULL_FRAME	NIKON_F	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
FUJIFILM	X	X-T5	FUJIFILM_X_T5	MIRRORLESS_CAMERA	APS_C	FUJIFILM_X	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
FUJIFILM	X	X100VI	FUJIFILM_X100VI	DIGITAL_CAMERA	APS_C	FIXED_LENS	fixed_lens	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
FUJIFILM	GFX	GFX 100S II	FUJIFILM_GFX_100S_II	MIRRORLESS_CAMERA	MEDIUM_FORMAT	FUJIFILM_G	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
PANASONIC_LUMIX	S	Lumix S5II	PANASONIC_LUMIX_S5II	MIRRORLESS_CAMERA	FULL_FRAME	LEICA_L	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
PANASONIC_LUMIX	GH	Lumix GH7	PANASONIC_LUMIX_GH7	MIRRORLESS_CAMERA	MICRO_FOUR_THIRDS	MICRO_FOUR_THIRDS	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
OM_SYSTEM	OM	OM-1 Mark II	OM_SYSTEM_OM1_MARK_II	MIRRORLESS_CAMERA	MICRO_FOUR_THIRDS	MICRO_FOUR_THIRDS	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
LEICA	Q	Q3	LEICA_Q3	DIGITAL_CAMERA	FULL_FRAME	FIXED_LENS	fixed_lens	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
RICOH	GR	GR III	RICOH_GR_III	DIGITAL_CAMERA	APS_C	FIXED_LENS	fixed_lens	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
BLACKMAGIC_DESIGN	Pocket Cinema	Pocket Cinema Camera 6K Pro	BLACKMAGIC_POCKET_6K_PRO	CAMCORDER	SUPER_35	CANON_EF	cinema	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
GOPRO	HERO	HERO13 Black	GOPRO_HERO13_BLACK	ACTION_CAMERA	UNKNOWN	FIXED_LENS	action	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
GOPRO	HERO	HERO12 Black	GOPRO_HERO12_BLACK	ACTION_CAMERA	UNKNOWN	FIXED_LENS	action	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
INSTA360	X	X4	INSTA360_X4	ACTION_CAMERA	UNKNOWN	FIXED_LENS	360	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
INSTA360	Ace	Ace Pro 2	INSTA360_ACE_PRO_2	ACTION_CAMERA	UNKNOWN	FIXED_LENS	action	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
DJI	Osmo Action	Osmo Action 5 Pro	DJI_OSMO_ACTION_5_PRO	ACTION_CAMERA	UNKNOWN	FIXED_LENS	action	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
DJI	Osmo Pocket	Osmo Pocket 3	DJI_OSMO_POCKET_3	ACTION_CAMERA	ONE_INCH	FIXED_LENS	gimbal_camera	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
DJI	Mavic	Mavic 4 Pro	DJI_MAVIC_4_PRO	DRONE	UNKNOWN	FIXED_LENS	drone	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
DJI	Mavic	Mavic 3 Pro	DJI_MAVIC_3_PRO	DRONE	UNKNOWN	FIXED_LENS	drone	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
DJI	Air	Air 3S	DJI_AIR_3S	DRONE	UNKNOWN	FIXED_LENS	drone	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
DJI	Mini	Mini 4 Pro	DJI_MINI_4_PRO	DRONE	UNKNOWN	FIXED_LENS	drone	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
DJI	Avata	Avata 2	DJI_AVATA_2	DRONE	UNKNOWN	FIXED_LENS	fpv_drone	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
DJI	Neo	Neo	DJI_NEO	DRONE	UNKNOWN	FIXED_LENS	drone	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
POLAROID	Now	Now+ Gen 2	POLAROID_NOW_PLUS_GEN_2	INSTANT_CAMERA	UNKNOWN	FIXED_LENS	instant	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
FUJIFILM	Instax	Instax Mini 12	FUJIFILM_INSTAX_MINI_12	INSTANT_CAMERA	UNKNOWN	FIXED_LENS	instant	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
FUJIFILM	Instax	Instax Wide 400	FUJIFILM_INSTAX_WIDE_400	INSTANT_CAMERA	UNKNOWN	FIXED_LENS	instant	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
CANON	RF Lens	RF 24-70mm f/2.8L IS USM	CANON_RF_24_70_F28L	LENS	FULL_FRAME	CANON_RF	zoom	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
CANON	RF Lens	RF 50mm f/1.8 STM	CANON_RF_50_F18	LENS	FULL_FRAME	CANON_RF	prime	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
SONY	FE Lens	FE 24-70mm f/2.8 GM II	SONY_FE_24_70_GM_II	LENS	FULL_FRAME	SONY_E	zoom	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
SONY	FE Lens	FE 50mm f/1.8	SONY_FE_50_F18	LENS	FULL_FRAME	SONY_E	prime	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
NIKON	NIKKOR Z	NIKKOR Z 24-70mm f/2.8 S	NIKON_Z_24_70_F28_S	LENS	FULL_FRAME	NIKON_Z	zoom	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
SIGMA	Art	24-70mm f/2.8 DG DN Art	SIGMA_24_70_F28_DG_DN_ART	LENS	FULL_FRAME	SONY_E|LEICA_L	zoom	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
TAMRON	Di III	28-75mm f/2.8 Di III VXD G2	TAMRON_28_75_F28_G2	LENS	FULL_FRAME	SONY_E	zoom	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
FUJIFILM	XF Lens	XF 35mm f/1.4 R	FUJIFILM_XF_35_F14	LENS	APS_C	FUJIFILM_X	prime	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
VILTROX	AF Lens	AF 75mm f/1.2 XF	VILTROX_75_F12_XF	LENS	APS_C	FUJIFILM_X	prime	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
DJI	Ronin	RS 4	DJI_RS_4	GIMBAL	UNKNOWN	UNKNOWN	gimbal	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
DJI	Ronin	RS 4 Pro	DJI_RS_4_PRO	GIMBAL	UNKNOWN	UNKNOWN	gimbal	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
ZHIYUN	Crane	Crane 4	ZHIYUN_CRANE_4	GIMBAL	UNKNOWN	UNKNOWN	gimbal	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
MANFROTTO	Befree	Befree Advanced	MANFROTTO_BEFREE_ADVANCED	TRIPOD	UNKNOWN	UNKNOWN	tripod	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
JOBY	GorillaPod	GorillaPod 3K	JOBY_GORILLAPOD_3K	TRIPOD	UNKNOWN	UNKNOWN	tripod	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
GODOX	V	V1 Flash	GODOX_V1	PHOTO_LIGHTING	UNKNOWN	UNKNOWN	flash	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
GODOX	AD	AD200Pro	GODOX_AD200PRO	PHOTO_LIGHTING	UNKNOWN	UNKNOWN	flash	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
APUTURE	Light Storm	LS 300x	APUTURE_LS_300X	PHOTO_LIGHTING	UNKNOWN	UNKNOWN	cob_light	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
NANLITE	Forza	Forza 60B II	NANLITE_FORZA_60B_II	PHOTO_LIGHTING	UNKNOWN	UNKNOWN	cob_light	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
HASSELBLAD	X	X2D 100C	HASSELBLAD_X2D_100C	MIRRORLESS_CAMERA	MEDIUM_FORMAT	HASSELBLAD_X	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
PENTAX	K	K-1 Mark II	PENTAX_K1_MARK_II	DSLR_CAMERA	FULL_FRAME	PENTAX_K	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
KODAK	Pixpro	Pixpro FZ55	KODAK_PIXPRO_FZ55	DIGITAL_CAMERA	UNKNOWN	FIXED_LENS	compact	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
NIKON	Aculon	Aculon A211 10x50	NIKON_ACULON_A211_10X50	BINOCULARS_TELESCOPE	UNKNOWN	UNKNOWN	binoculars	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
CELESTRON	NexStar	NexStar 8SE	CELESTRON_NEXSTAR_8SE	BINOCULARS_TELESCOPE	UNKNOWN	UNKNOWN	telescope	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
