alias	target_model_code	confidence	locale	notes
ls300x	APUTURE_LS_300X	0.9	mixed	generated head model alias
ls 300x	APUTURE_LS_300X	0.9	mixed	generated head model alias
forza 60b ii	NANLITE_FORZA_60B_II	0.9	mixed	generated head model alias
forza60bii	NANLITE_FORZA_60B_II	0.9	mixed	generated head model alias
x2d100c	HASSELBLAD_X2D_100C	0.9	mixed	generated head model alias
x2d 100c	HASSELBLAD_X2D_100C	0.9	mixed	generated head model alias
k-1markii	PENTAX_K1_MARK_II	0.9	mixed	generated head model alias
k-1 mark ii	PENTAX_K1_MARK_II	0.9	mixed	generated head model alias
k 1 mark ii	PENTAX_K1_MARK_II	0.9	mixed	generated head model alias
k-1 mk ii	PENTAX_K1_MARK_II	0.9	mixed	generated head model alias
pixpro fz55	KODAK_PIXPRO_FZ55	0.9	mixed	generated head model alias
pixprofz55	KODAK_PIXPRO_FZ55	0.9	mixed	generated head model alias
aculona21110x50	NIKON_ACULON_A211_10X50	0.9	mixed	generated head model alias
aculon a211 10x50	NIKON_ACULON_A211_10X50	0.9	mixed	generated head model alias
nexstar8se	CELESTRON_NEXSTAR_8SE	0.9	mixed	generated head model alias
nexstar 8se	CELESTRON_NEXSTAR_8SE	0.9	mixed	generated head model alias
эр пять марк 2	CANON_EOS_R5_MARK_II	0.94	ru	curated ru/common alias
r5 mark 2	CANON_EOS_R5_MARK_II	0.94	ru	curated ru/common alias
r6 mark 2	CANON_EOS_R6_MARK_II	0.94	ru	curated ru/common alias
sony a7 4	SONY_A7_IV	0.94	ru	curated ru/common alias
a7r5	SONY_A7R_V	0.94	ru	curated ru/common alias
никон z6 3	NIKON_Z6_III	0.94	ru	curated ru/common alias
fuji xt5	FUJIFILM_X_T5	0.94	ru	curated ru/common alias
fuji x100vi	FUJIFILM_X100VI	0.94	ru	curated ru/common alias
го про 13	GOPRO_HERO13_BLACK	0.94	ru	curated ru/common alias
gopro 13 black	GOPRO_HERO13_BLACK	0.94	ru	curated ru/common alias
insta x4	INSTA360_X4	0.94	ru	curated ru/common alias
осмо покет 3	DJI_OSMO_POCKET_3	0.94	ru	curated ru/common alias
mavic 4	DJI_MAVIC_4_PRO	0.94	ru	curated ru/common alias
мини 4 про	DJI_MINI_4_PRO	0.94	ru	curated ru/common alias
авата 2	DJI_AVATA_2	0.94	ru	curated ru/common alias
canon rf 50 1.8	CANON_RF_50_F18	0.94	ru	curated ru/common alias
sony 24-70 gm2	SONY_FE_24_70_GM_II	0.94	ru	curated ru/common alias
nikkor z 24-70 2.8	NIKON_Z_24_70_F28_S	0.94	ru	curated ru/common alias
ronin rs4	DJI_RS_4	0.94	ru	curated ru/common alias
godox ad200 pro	GODOX_AD200PRO	0.94	ru	curated ru/common alias
aputure 300x	APUTURE_LS_300X	0.94	ru	curated ru/common alias
