attribute_code	value_code	label_ru	aliases_ru	priority	scope	notes
gimbal_axis_count	1_AXIS	1 ось		60	head	
gimbal_axis_count	2_AXIS	2 оси		60	head	
gimbal_axis_count	3_AXIS	3 оси		60	head	
gimbal_axis_count	4_AXIS	4 оси		60	head	
gimbal_axis_count	UNKNOWN	Не указано		60	head	
light_type	LED_PANEL	LED-панель		50	head	
light_type	COB_LIGHT	COB-свет		50	head	
light_type	RING_LIGHT	Кольцевой свет		50	head	
light_type	FLASH	Вспышка		50	head	
light_type	SOFTBOX	Софтбокс		50	head	
light_type	LIGHT_STAND	Стойка света		50	head	
camera_accessory_type	FILTER	Фильтр		50	head	
camera_accessory_type	BATTERY	Батарея		50	head	
camera_accessory_type	CHARGER	Зарядка		50	head	
camera_accessory_type	BAG_CASE	Сумка/кейс		50	head	
camera_accessory_type	STRAP	Ремень		50	head	
camera_accessory_type	MEMORY_CARD	Карта памяти		50	head	
camera_accessory_type	CABLE	Кабель		50	head	
camera_accessory_type	MICROPHONE	Микрофон		50	head	
camera_accessory_type	CAGE_RIG	Клетка/риг		50	head	
camera_accessory_type	REMOTE	Пульт		50	head	
camera_accessory_type	BODY_CAP	Крышка корпуса		50	head	
camera_accessory_type	LENS_CAP	Крышка объектива		50	head	
tripod_head_type	BALL_HEAD	Шаровая голова		50	head	
tripod_head_type	PAN_TILT	Панорамная/3D		50	head	
tripod_head_type	FLUID_HEAD	Жидкостная		50	head	
tripod_head_type	VIDEO_HEAD	Видео-голова		50	head	
tripod_head_type	GIMBAL_HEAD	Гимбальная		50	head	
tripod_head_type	NONE	Без головы		50	head	
connectivity	WIFI	Wi-Fi		40	head	
connectivity	BLUETOOTH	Bluetooth		40	head	
connectivity	USB_C	USB-C		40	head	
connectivity	HDMI	HDMI		40	head	
connectivity	MICRO_HDMI	micro HDMI		40	head	
connectivity	HOT_SHOE	Hot shoe		40	head	
connectivity	MIC_3_5	3.5mm mic		40	head	
connectivity	XLR	XLR		40	head	
recording_format	JPEG	JPEG		40	head	
recording_format	RAW	RAW		40	head	
recording_format	HEIF	HEIF		40	head	
recording_format	MP4	MP4		40	head	
recording_format	MOV	MOV		40	head	
recording_format	PRORES	ProRes		40	head	
recording_format	BRAW	BRAW		40	head	
recording_format	LOG	Log profile		40	head	
waterproof_rating	NONE	Нет		40	head	
waterproof_rating	SPLASH_RESISTANT	Защита от брызг		40	head	
waterproof_rating	IPX7	IPX7		40	head	
waterproof_rating	IPX8	IPX8		40	head	
waterproof_rating	10M	до 10 м		40	head	
waterproof_rating	30M	до 30 м		40	head	
waterproof_rating	60M	до 60 м		40	head	
evidence_level	TITLE_ONLY	только title		30	head	
evidence_level	TITLE_IMAGE	title + image		30	head	
evidence_level	TITLE_IMAGE_OCR	title + image + OCR		30	head	
evidence_level	MODEL_NUMBER	model number / MPN		30	head	
evidence_level	BARCODE_GTIN	barcode / GTIN		30	head	
evidence_level	SOURCE_URL_VENDOR	vendor/source URL		30	head	
