query	expected_categoryCode	expected_camera_type	locale	notes
polaroid now plus gen 2	TECH.CAMERAS_DRONES	INSTANT_CAMERA	ru	
моментальная камера fujifilm	TECH.CAMERAS_DRONES	INSTANT_CAMERA	ru	
полароид фотоаппарат	TECH.CAMERAS_DRONES	INSTANT_CAMERA	ru	
видеокамера 4k sony	TECH.CAMERAS_DRONES	CAMCORDER	ru	
blackmagic pocket cinema 6k pro	TECH.CAMERAS_DRONES	CAMCORDER	ru	
камкордер panasonic	TECH.CAMERAS_DRONES	CAMCORDER	ru	
видеокамера для съемки	TECH.CAMERAS_DRONES	CAMCORDER	ru	
бинокль nikon 10x50	TECH.CAMERAS_DRONES	BINOCULARS_TELESCOPE	ru	
celestron nexstar 8se	TECH.CAMERAS_DRONES	BINOCULARS_TELESCOPE	ru	
телескоп для наблюдений	TECH.CAMERAS_DRONES	BINOCULARS_TELESCOPE	ru	
подзорная труба	TECH.CAMERAS_DRONES	BINOCULARS_TELESCOPE	ru	
фильтр hoya 67mm	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru	
ремень peak design	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru	
крышка объектива canon	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru	
аккумулятор lp-e6nh	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru	
клетка smallrig sony a7iv	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru	
iphone 15 камера хорошая	TECH.PHONES		ru	phone query, not camera product
веб камера logitech c920	TECH.COMPUTER_ACCESSORIES		ru	webcam route
камера видеонаблюдения xiaomi	TECH.SMART_HOME_SECURITY		ru	security camera
видеорегистратор 70mai	TECH.CAR_ELECTRONICS_GPS		ru	dashcam
ps5 camera	TECH.GAMING		ru	gaming accessory
держатель телефона для штатива	TECH.PHONE_ACCESSORIES		ru	phone accessory
canon камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
sony камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
nikon камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
fujifilm камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
panasonic lumix камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
om system / olympus камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
leica камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
sigma камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
tamron камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
dji камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
gopro камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
insta360 камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
blackmagic design камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
red камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
hasselblad камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
pentax камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
ricoh камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
polaroid камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
kodak камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
manfrotto камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
smallrig камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
zhiyun камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
moza камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
godox камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
aputure камера	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	brand generic query
canon r50 kit 18-45	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	extra head query
sony zv-e10 ii vlog kit	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	extra head query
nikon z50ii kit	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	extra head query
fuji gfx 100s ii	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	extra head query
leica q3 камера	TECH.CAMERAS_DRONES	DIGITAL_CAMERA	ru	extra head query
dji osmo pocket 3 creator combo	TECH.CAMERAS_DRONES	ACTION_CAMERA	ru	extra head query
dji mavic 3 pro cine	TECH.CAMERAS_DRONES	DRONE	ru	extra head query
dji avata 2 fly more	TECH.CAMERAS_DRONES	DRONE	ru	extra head query
canon rf 24-70 2.8 l	TECH.CAMERAS_DRONES	LENS	ru	extra head query
viltrox 75mm 1.2 fuji	TECH.CAMERAS_DRONES	LENS	ru	extra head query
godox v1 вспышка canon	TECH.CAMERAS_DRONES	PHOTO_LIGHTING	ru	extra head query
manfrotto штатив с видео головой	TECH.CAMERAS_DRONES	TRIPOD	ru	extra head query
zhiyun crane 4 camera gimbal	TECH.CAMERAS_DRONES	GIMBAL	ru	extra head query
бинокль 10x42 nikon	TECH.CAMERAS_DRONES	BINOCULARS_TELESCOPE	ru	extra head query
фоторюкзак lowepro для камеры	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru	extra head query
карта памяти для камеры	TECH.STORAGE_MEMORY		ru	memory cards route
микрофон rode videomic go	TECH.AUDIO		ru	camera mic route
экшн камера для мотоцикла	TECH.CAMERAS_DRONES	ACTION_CAMERA	ru	generic action camera
телескоп celestron 8se	TECH.CAMERAS_DRONES	BINOCULARS_TELESCOPE	ru	generic optics
кольцевой свет для блогера	TECH.CAMERAS_DRONES	PHOTO_LIGHTING	ru	lighting
