alias	brand	family	model_code	audio_type	priority	locale	notes
jbl flip 7	JBL	FLIP	FLIP_7	SPEAKER	70	ru/en	generated_head_alias
jblflip7	JBL	FLIP	FLIP_7	SPEAKER	70	ru/en	generated_head_alias
жбл flip 7	JBL	FLIP	FLIP_7	SPEAKER	70	ru/en	generated_head_alias
JBL Charge 6	JBL	CHARGE	CHARGE_6	SPEAKER	70	ru/en	generated_head_alias
charge 6	JBL	CHARGE	CHARGE_6	SPEAKER	70	ru/en	generated_head_alias
jbl charge 6	JBL	CHARGE	CHARGE_6	SPEAKER	70	ru/en	generated_head_alias
jblcharge6	JBL	CHARGE	CHARGE_6	SPEAKER	70	ru/en	generated_head_alias
жбл charge 6	JBL	CHARGE	CHARGE_6	SPEAKER	70	ru/en	generated_head_alias
JBL Go 4	JBL	GO	GO_4	SPEAKER	70	ru/en	generated_head_alias
go 4	JBL	GO	GO_4	SPEAKER	70	ru/en	generated_head_alias
jbl go 4	JBL	GO	GO_4	SPEAKER	70	ru/en	generated_head_alias
jblgo4	JBL	GO	GO_4	SPEAKER	70	ru/en	generated_head_alias
жбл go 4	JBL	GO	GO_4	SPEAKER	70	ru/en	generated_head_alias
JBL PartyBox 320	JBL	PARTYBOX	PARTYBOX_320	SPEAKER	70	ru/en	generated_head_alias
jbl partybox 320	JBL	PARTYBOX	PARTYBOX_320	SPEAKER	70	ru/en	generated_head_alias
jblpartybox320	JBL	PARTYBOX	PARTYBOX_320	SPEAKER	70	ru/en	generated_head_alias
partybox 320	JBL	PARTYBOX	PARTYBOX_320	SPEAKER	70	ru/en	generated_head_alias
жбл partybox 320	JBL	PARTYBOX	PARTYBOX_320	SPEAKER	70	ru/en	generated_head_alias
JBL Tune 770NC	JBL	TUNE	TUNE_770NC	HEADPHONES	70	ru/en	generated_head_alias
jbl tune 770nc	JBL	TUNE	TUNE_770NC	HEADPHONES	70	ru/en	generated_head_alias
jbltune770nc	JBL	TUNE	TUNE_770NC	HEADPHONES	70	ru/en	generated_head_alias
tune 770nc	JBL	TUNE	TUNE_770NC	HEADPHONES	70	ru/en	generated_head_alias
жбл tune 770nc	JBL	TUNE	TUNE_770NC	HEADPHONES	70	ru/en	generated_head_alias
JBL Live Beam 3	JBL	LIVE	LIVE_BEAM_3	EARBUDS	70	ru/en	generated_head_alias
jbl live beam 3	JBL	LIVE	LIVE_BEAM_3	EARBUDS	70	ru/en	generated_head_alias
jbllivebeam3	JBL	LIVE	LIVE_BEAM_3	EARBUDS	70	ru/en	generated_head_alias
live beam 3	JBL	LIVE	LIVE_BEAM_3	EARBUDS	70	ru/en	generated_head_alias
жбл live beam 3	JBL	LIVE	LIVE_BEAM_3	EARBUDS	70	ru/en	generated_head_alias
Galaxy Buds3 Pro	SAMSUNG	GALAXY_BUDS	GALAXY_BUDS3_PRO	EARBUDS	70	ru/en	generated_head_alias
galaxy buds3 pro	SAMSUNG	GALAXY_BUDS	GALAXY_BUDS3_PRO	EARBUDS	70	ru/en	generated_head_alias
galaxybuds3pro	SAMSUNG	GALAXY_BUDS	GALAXY_BUDS3_PRO	EARBUDS	70	ru/en	generated_head_alias
галакси buds3 pro	SAMSUNG	GALAXY_BUDS	GALAXY_BUDS3_PRO	EARBUDS	70	ru/en	generated_head_alias
самсунг galaxy buds3 pro	SAMSUNG	GALAXY_BUDS	GALAXY_BUDS3_PRO	EARBUDS	70	ru/en	generated_head_alias
Galaxy Buds3	SAMSUNG	GALAXY_BUDS	GALAXY_BUDS3	EARBUDS	70	ru/en	generated_head_alias
galaxy buds3	SAMSUNG	GALAXY_BUDS	GALAXY_BUDS3	EARBUDS	70	ru/en	generated_head_alias
galaxybuds3	SAMSUNG	GALAXY_BUDS	GALAXY_BUDS3	EARBUDS	70	ru/en	generated_head_alias
галакси buds3	SAMSUNG	GALAXY_BUDS	GALAXY_BUDS3	EARBUDS	70	ru/en	generated_head_alias
самсунг galaxy buds3	SAMSUNG	GALAXY_BUDS	GALAXY_BUDS3	EARBUDS	70	ru/en	generated_head_alias
Samsung HW-Q990D	SAMSUNG	SOUNDBAR_Q	HW_Q990D	SOUNDBAR	70	ru/en	generated_head_alias
Samsung HWQ990D	SAMSUNG	SOUNDBAR_Q	HW_Q990D	SOUNDBAR	70	ru/en	generated_head_alias
samsung hw q990d	SAMSUNG	SOUNDBAR_Q	HW_Q990D	SOUNDBAR	70	ru/en	generated_head_alias
samsung hw-q990d	SAMSUNG	SOUNDBAR_Q	HW_Q990D	SOUNDBAR	70	ru/en	generated_head_alias
samsunghw-q990d	SAMSUNG	SOUNDBAR_Q	HW_Q990D	SOUNDBAR	70	ru/en	generated_head_alias
самсунг samsung hw q990d	SAMSUNG	SOUNDBAR_Q	HW_Q990D	SOUNDBAR	70	ru/en	generated_head_alias
Momentum 4 Wireless	SENNHEISER	MOMENTUM	MOMENTUM_4_WIRELESS	HEADPHONES	70	ru/en	generated_head_alias
momentum 4 wireless	SENNHEISER	MOMENTUM	MOMENTUM_4_WIRELESS	HEADPHONES	70	ru/en	generated_head_alias
momentum4wireless	SENNHEISER	MOMENTUM	MOMENTUM_4_WIRELESS	HEADPHONES	70	ru/en	generated_head_alias
Momentum True Wireless 4	SENNHEISER	MOMENTUM_TW	MOMENTUM_TRUE_WIRELESS_4	EARBUDS	70	ru/en	generated_head_alias
momentum true wireless 4	SENNHEISER	MOMENTUM_TW	MOMENTUM_TRUE_WIRELESS_4	EARBUDS	70	ru/en	generated_head_alias
momentumtruewireless4	SENNHEISER	MOMENTUM_TW	MOMENTUM_TRUE_WIRELESS_4	EARBUDS	70	ru/en	generated_head_alias
HD 600	SENNHEISER	HD	HD_600	HEADPHONES	70	ru/en	generated_head_alias
hd 600	SENNHEISER	HD	HD_600	HEADPHONES	70	ru/en	generated_head_alias
hd600	SENNHEISER	HD	HD_600	HEADPHONES	70	ru/en	generated_head_alias
HD 650	SENNHEISER	HD	HD_650	HEADPHONES	70	ru/en	generated_head_alias
hd 650	SENNHEISER	HD	HD_650	HEADPHONES	70	ru/en	generated_head_alias
hd650	SENNHEISER	HD	HD_650	HEADPHONES	70	ru/en	generated_head_alias
HD 660S2	SENNHEISER	HD	HD_660S2	HEADPHONES	70	ru/en	generated_head_alias
hd 660s2	SENNHEISER	HD	HD_660S2	HEADPHONES	70	ru/en	generated_head_alias
hd660s2	SENNHEISER	HD	HD_660S2	HEADPHONES	70	ru/en	generated_head_alias
HD 560S	SENNHEISER	HD	HD_560S	HEADPHONES	70	ru/en	generated_head_alias
hd 560s	SENNHEISER	HD	HD_560S	HEADPHONES	70	ru/en	generated_head_alias
hd560s	SENNHEISER	HD	HD_560S	HEADPHONES	70	ru/en	generated_head_alias
ATH-M50x	AUDIO_TECHNICA	ATH_M	ATH_M50X	HEADPHONES	70	ru/en	generated_head_alias
ATHM50x	AUDIO_TECHNICA	ATH_M	ATH_M50X	HEADPHONES	70	ru/en	generated_head_alias
ath m50x	AUDIO_TECHNICA	ATH_M	ATH_M50X	HEADPHONES	70	ru/en	generated_head_alias
ath-m50x	AUDIO_TECHNICA	ATH_M	ATH_M50X	HEADPHONES	70	ru/en	generated_head_alias
ATH-M50xBT2	AUDIO_TECHNICA	ATH_M	ATH_M50XBT2	HEADPHONES	70	ru/en	generated_head_alias
ATHM50xBT2	AUDIO_TECHNICA	ATH_M	ATH_M50XBT2	HEADPHONES	70	ru/en	generated_head_alias
ath m50xbt2	AUDIO_TECHNICA	ATH_M	ATH_M50XBT2	HEADPHONES	70	ru/en	generated_head_alias
ath-m50xbt2	AUDIO_TECHNICA	ATH_M	ATH_M50XBT2	HEADPHONES	70	ru/en	generated_head_alias
AT2020	AUDIO_TECHNICA	AT	AT2020	MICROPHONE	70	ru/en	generated_head_alias
at2020	AUDIO_TECHNICA	AT	AT2020	MICROPHONE	70	ru/en	generated_head_alias
AT-LP60X	AUDIO_TECHNICA	AT_LP	AT_LP60X	TURNTABLE	70	ru/en	generated_head_alias
ATLP60X	AUDIO_TECHNICA	AT_LP	AT_LP60X	TURNTABLE	70	ru/en	generated_head_alias
at lp60x	AUDIO_TECHNICA	AT_LP	AT_LP60X	TURNTABLE	70	ru/en	generated_head_alias
at-lp60x	AUDIO_TECHNICA	AT_LP	AT_LP60X	TURNTABLE	70	ru/en	generated_head_alias
AT-LP120XUSB	AUDIO_TECHNICA	AT_LP	AT_LP120XUSB	TURNTABLE	70	ru/en	generated_head_alias
ATLP120XUSB	AUDIO_TECHNICA	AT_LP	AT_LP120XUSB	TURNTABLE	70	ru/en	generated_head_alias
at lp120xusb	AUDIO_TECHNICA	AT_LP	AT_LP120XUSB	TURNTABLE	70	ru/en	generated_head_alias
at-lp120xusb	AUDIO_TECHNICA	AT_LP	AT_LP120XUSB	TURNTABLE	70	ru/en	generated_head_alias
SM7B	SHURE	SM	SM7B	MICROPHONE	70	ru/en	generated_head_alias
sm7b	SHURE	SM	SM7B	MICROPHONE	70	ru/en	generated_head_alias
шур sm7b	SHURE	SM	SM7B	MICROPHONE	70	ru/en	generated_head_alias
эсэм7b	SHURE	SM	SM7B	MICROPHONE	70	ru/en	generated_head_alias
SM58	SHURE	SM	SM58	MICROPHONE	70	ru/en	generated_head_alias
sm58	SHURE	SM	SM58	MICROPHONE	70	ru/en	generated_head_alias
шур sm58	SHURE	SM	SM58	MICROPHONE	70	ru/en	generated_head_alias
эсэм58	SHURE	SM	SM58	MICROPHONE	70	ru/en	generated_head_alias
MV7	SHURE	MV	MV7	MICROPHONE	70	ru/en	generated_head_alias
mv7	SHURE	MV	MV7	MICROPHONE	70	ru/en	generated_head_alias
шур mv7	SHURE	MV	MV7	MICROPHONE	70	ru/en	generated_head_alias
SE215	SHURE	SE	SE215	EARBUDS	70	ru/en	generated_head_alias
se215	SHURE	SE	SE215	EARBUDS	70	ru/en	generated_head_alias
шур se215	SHURE	SE	SE215	EARBUDS	70	ru/en	generated_head_alias
NT-USB+	RODE	NT_USB	NT_USB_PLUS	MICROPHONE	70	ru/en	generated_head_alias
NTUSB+	RODE	NT_USB	NT_USB_PLUS	MICROPHONE	70	ru/en	generated_head_alias
nt usb plus	RODE	NT_USB	NT_USB_PLUS	MICROPHONE	70	ru/en	generated_head_alias
nt-usb+	RODE	NT_USB	NT_USB_PLUS	MICROPHONE	70	ru/en	generated_head_alias
PodMic	RODE	PODMIC	PODMIC	MICROPHONE	70	ru/en	generated_head_alias
podmic	RODE	PODMIC	PODMIC	MICROPHONE	70	ru/en	generated_head_alias
Wireless GO II	RODE	WIRELESS_GO	WIRELESS_GO_II	MICROPHONE	70	ru/en	generated_head_alias
wireless go ii	RODE	WIRELESS_GO	WIRELESS_GO_II	MICROPHONE	70	ru/en	generated_head_alias
wirelessgoii	RODE	WIRELESS_GO	WIRELESS_GO_II	MICROPHONE	70	ru/en	generated_head_alias
Scarlett 2i2 4th Gen	FOCUSRITE	SCARLETT	SCARLETT_2I2_4TH_GEN	AUDIO_INTERFACE	70	ru/en	generated_head_alias
scarlett 2i2 4th gen	FOCUSRITE	SCARLETT	SCARLETT_2I2_4TH_GEN	AUDIO_INTERFACE	70	ru/en	generated_head_alias
scarlett2i24thgen	FOCUSRITE	SCARLETT	SCARLETT_2I2_4TH_GEN	AUDIO_INTERFACE	70	ru/en	generated_head_alias
скарлетт 2i2 4th gen	FOCUSRITE	SCARLETT	SCARLETT_2I2_4TH_GEN	AUDIO_INTERFACE	70	ru/en	generated_head_alias
фокусрайт scarlett 2i2 4th gen	FOCUSRITE	SCARLETT	SCARLETT_2I2_4TH_GEN	AUDIO_INTERFACE	70	ru/en	generated_head_alias
Scarlett Solo 4th Gen	FOCUSRITE	SCARLETT	SCARLETT_SOLO_4TH_GEN	AUDIO_INTERFACE	70	ru/en	generated_head_alias
scarlett solo 4th gen	FOCUSRITE	SCARLETT	SCARLETT_SOLO_4TH_GEN	AUDIO_INTERFACE	70	ru/en	generated_head_alias
scarlettsolo4thgen	FOCUSRITE	SCARLETT	SCARLETT_SOLO_4TH_GEN	AUDIO_INTERFACE	70	ru/en	generated_head_alias
скарлетт solo 4th gen	FOCUSRITE	SCARLETT	SCARLETT_SOLO_4TH_GEN	AUDIO_INTERFACE	70	ru/en	generated_head_alias
фокусрайт scarlett solo 4th gen	FOCUSRITE	SCARLETT	SCARLETT_SOLO_4TH_GEN	AUDIO_INTERFACE	70	ru/en	generated_head_alias
Volt 2	UNIVERSAL_AUDIO	VOLT	VOLT_2	AUDIO_INTERFACE	70	ru/en	generated_head_alias
volt 2	UNIVERSAL_AUDIO	VOLT	VOLT_2	AUDIO_INTERFACE	70	ru/en	generated_head_alias
volt2	UNIVERSAL_AUDIO	VOLT	VOLT_2	AUDIO_INTERFACE	70	ru/en	generated_head_alias
iD4 MKII	AUDIENT	ID	ID4_MKII	AUDIO_INTERFACE	70	ru/en	generated_head_alias
id4 mkii	AUDIENT	ID	ID4_MKII	AUDIO_INTERFACE	70	ru/en	generated_head_alias
id4mkii	AUDIENT	ID	ID4_MKII	AUDIO_INTERFACE	70	ru/en	generated_head_alias
UMC202HD	BEHRINGER	UMC	UMC202HD	AUDIO_INTERFACE	70	ru/en	generated_head_alias
umc202hd	BEHRINGER	UMC	UMC202HD	AUDIO_INTERFACE	70	ru/en	generated_head_alias
HS5	YAMAHA	HS	HS5	STUDIO_MONITOR	70	ru/en	generated_head_alias
hs5	YAMAHA	HS	HS5	STUDIO_MONITOR	70	ru/en	generated_head_alias
HS8	YAMAHA	HS	HS8	STUDIO_MONITOR	70	ru/en	generated_head_alias
hs8	YAMAHA	HS	HS8	STUDIO_MONITOR	70	ru/en	generated_head_alias
RX-V6A	YAMAHA	AVENTAGE	RX_V6A	RECEIVER_AMPLIFIER	70	ru/en	generated_head_alias
RXV6A	YAMAHA	AVENTAGE	RX_V6A	RECEIVER_AMPLIFIER	70	ru/en	generated_head_alias
rx v6a	YAMAHA	AVENTAGE	RX_V6A	RECEIVER_AMPLIFIER	70	ru/en	generated_head_alias
rx-v6a	YAMAHA	AVENTAGE	RX_V6A	RECEIVER_AMPLIFIER	70	ru/en	generated_head_alias
AVR-X2800H	DENON	AVR	AVR_X2800H	RECEIVER_AMPLIFIER	70	ru/en	generated_head_alias
AVRX2800H	DENON	AVR	AVR_X2800H	RECEIVER_AMPLIFIER	70	ru/en	generated_head_alias
avr x2800h	DENON	AVR	AVR_X2800H	RECEIVER_AMPLIFIER	70	ru/en	generated_head_alias
avr-x2800h	DENON	AVR	AVR_X2800H	RECEIVER_AMPLIFIER	70	ru/en	generated_head_alias
PM6007	MARANTZ	PM	PM6007	RECEIVER_AMPLIFIER	70	ru/en	generated_head_alias
pm6007	MARANTZ	PM	PM6007	RECEIVER_AMPLIFIER	70	ru/en	generated_head_alias
K11	FIIO	K	K11	DAC_AMP	70	ru/en	generated_head_alias
k11	FIIO	K	K11	DAC_AMP	70	ru/en	generated_head_alias
BTR7	FIIO	BTR	BTR7	DAC_AMP	70	ru/en	generated_head_alias
btr7	FIIO	BTR	BTR7	DAC_AMP	70	ru/en	generated_head_alias
ZEN DAC V2	IFI	ZEN	ZEN_DAC_V2	DAC_AMP	70	ru/en	generated_head_alias
zen dac v2	IFI	ZEN	ZEN_DAC_V2	DAC_AMP	70	ru/en	generated_head_alias
zendacv2	IFI	ZEN	ZEN_DAC_V2	DAC_AMP	70	ru/en	generated_head_alias
Soundcore Liberty 4 NC	ANKER_SOUNDCORE	LIBERTY	LIBERTY_4_NC	EARBUDS	70	ru/en	generated_head_alias
soundcore liberty 4 nc	ANKER_SOUNDCORE	LIBERTY	LIBERTY_4_NC	EARBUDS	70	ru/en	generated_head_alias
soundcoreliberty4nc	ANKER_SOUNDCORE	LIBERTY	LIBERTY_4_NC	EARBUDS	70	ru/en	generated_head_alias
Soundcore Space One	ANKER_SOUNDCORE	SPACE	SPACE_ONE	HEADPHONES	70	ru/en	generated_head_alias
soundcore space one	ANKER_SOUNDCORE	SPACE	SPACE_ONE	HEADPHONES	70	ru/en	generated_head_alias
soundcorespaceone	ANKER_SOUNDCORE	SPACE	SPACE_ONE	HEADPHONES	70	ru/en	generated_head_alias
Major IV	MARSHALL	MAJOR	MAJOR_IV	HEADPHONES	70	ru/en	generated_head_alias
major iv	MARSHALL	MAJOR	MAJOR_IV	HEADPHONES	70	ru/en	generated_head_alias
majoriv	MARSHALL	MAJOR	MAJOR_IV	HEADPHONES	70	ru/en	generated_head_alias
Emberton II	MARSHALL	EMBERton	EMBERton_II	SPEAKER	70	ru/en	generated_head_alias
emberton ii	MARSHALL	EMBERton	EMBERton_II	SPEAKER	70	ru/en	generated_head_alias
embertonii	MARSHALL	EMBERton	EMBERton_II	SPEAKER	70	ru/en	generated_head_alias
Stanmore III	MARSHALL	STANMORE	STANMORE_III	SPEAKER	70	ru/en	generated_head_alias
stanmore iii	MARSHALL	STANMORE	STANMORE_III	SPEAKER	70	ru/en	generated_head_alias
stanmoreiii	MARSHALL	STANMORE	STANMORE_III	SPEAKER	70	ru/en	generated_head_alias
SL-1200MK7	TECHNICS	SL	SL_1200MK7	TURNTABLE	70	ru/en	generated_head_alias
SL1200MK7	TECHNICS	SL	SL_1200MK7	TURNTABLE	70	ru/en	generated_head_alias
sl 1200mk7	TECHNICS	SL	SL_1200MK7	TURNTABLE	70	ru/en	generated_head_alias
sl-1200mk7	TECHNICS	SL	SL_1200MK7	TURNTABLE	70	ru/en	generated_head_alias
DDJ-FLX4	PIONEER_DJ	DDJ	DDJ_FLX4	AUDIO_INTERFACE	70	ru/en	generated_head_alias
DDJFLX4	PIONEER_DJ	DDJ	DDJ_FLX4	AUDIO_INTERFACE	70	ru/en	generated_head_alias
ddj flx4	PIONEER_DJ	DDJ	DDJ_FLX4	AUDIO_INTERFACE	70	ru/en	generated_head_alias
ddj-flx4	PIONEER_DJ	DDJ	DDJ_FLX4	AUDIO_INTERFACE	70	ru/en	generated_head_alias
