alias	target_categoryCode	target_attribute	target_value	priority	locale	status	notes
эйрподс	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	68	ru	candidate	brand_model_search_alias
airpods pro	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	67	ru	candidate	brand_model_search_alias
airpods max	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	66	ru	candidate	brand_model_search_alias
sony wh	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	65	ru	candidate	brand_model_search_alias
sony wf	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	64	ru	candidate	brand_model_search_alias
bose quietcomfort	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	63	ru	candidate	brand_model_search_alias
jbl flip	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	62	ru	candidate	brand_model_search_alias
jbl charge	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	61	ru	candidate	brand_model_search_alias
sennheiser momentum	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	60	ru	candidate	brand_model_search_alias
shure sm7b	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	59	ru	candidate	brand_model_search_alias
focusrite scarlett	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	58	ru	candidate	brand_model_search_alias
rode nt usb	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	57	ru	candidate	brand_model_search_alias
audio technica m50x	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	56	ru	candidate	brand_model_search_alias
marshall major	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	55	ru	candidate	brand_model_search_alias
yamaha hs5	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	54	ru	candidate	brand_model_search_alias
denon avr	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	53	ru	candidate	brand_model_search_alias
fiio k11	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	52	ru	candidate	brand_model_search_alias
soundcore liberty	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	51	ru	candidate	brand_model_search_alias
samsung buds	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	50	ru	candidate	brand_model_search_alias
galaxy buds	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	49	ru	candidate	brand_model_search_alias
