alias	brand_code	locale	match_type	casefold	diacritics_fold	priority	notes
jabra headset	JABRA	ru	brand_alias	true	true	97	audio brand delta alias
skullcandy	SKULLCANDY	ru	brand_alias	true	true	100	audio brand delta alias
скалкенди	SKULLCANDY	ru	brand_alias	true	true	99	audio brand delta alias
скал кэнди	SKULLCANDY	ru	brand_alias	true	true	98	audio brand delta alias
skull candy	SKULLCANDY	ru	brand_alias	true	true	97	audio brand delta alias
bowers wilkins	BOWERS_WILKINS	ru	brand_alias	true	true	100	audio brand delta alias
bowers & wilkins	BOWERS_WILKINS	ru	brand_alias	true	true	99	audio brand delta alias
b&w	BOWERS_WILKINS	ru	brand_alias	true	true	98	audio brand delta alias
b and w	BOWERS_WILKINS	ru	brand_alias	true	true	97	audio brand delta alias
бауэрс вилкинс	BOWERS_WILKINS	ru	brand_alias	true	true	96	audio brand delta alias
боверс вилкинс	BOWERS_WILKINS	ru	brand_alias	true	true	95	audio brand delta alias
bang olufsen	BANG_OLUFSEN	ru	brand_alias	true	true	100	audio brand delta alias
bang & olufsen	BANG_OLUFSEN	ru	brand_alias	true	true	99	audio brand delta alias
b&o	BANG_OLUFSEN	ru	brand_alias	true	true	98	audio brand delta alias
b and o	BANG_OLUFSEN	ru	brand_alias	true	true	97	audio brand delta alias
банг олуфсен	BANG_OLUFSEN	ru	brand_alias	true	true	96	audio brand delta alias
бео	BANG_OLUFSEN	ru	brand_alias	true	true	95	audio brand delta alias
devialet	DEVIALET	ru	brand_alias	true	true	100	audio brand delta alias
девиале	DEVIALET	ru	brand_alias	true	true	99	audio brand delta alias
девиалет	DEVIALET	ru	brand_alias	true	true	98	audio brand delta alias
devialet speaker	DEVIALET	ru	brand_alias	true	true	97	audio brand delta alias
edifier	EDIFIER	ru	brand_alias	true	true	100	audio brand delta alias
эдифайер	EDIFIER	ru	brand_alias	true	true	99	audio brand delta alias
едифаер	EDIFIER	ru	brand_alias	true	true	98	audio brand delta alias
edifier speaker	EDIFIER	ru	brand_alias	true	true	97	audio brand delta alias
presonus	PRESONUS	ru	brand_alias	true	true	100	audio brand delta alias
pre sonus	PRESONUS	ru	brand_alias	true	true	99	audio brand delta alias
пресонус	PRESONUS	ru	brand_alias	true	true	98	audio brand delta alias
presonus interface	PRESONUS	ru	brand_alias	true	true	97	audio brand delta alias
mackie	MACKIE	ru	brand_alias	true	true	100	audio brand delta alias
макки	MACKIE	ru	brand_alias	true	true	99	audio brand delta alias
маки	MACKIE	ru	brand_alias	true	true	98	audio brand delta alias
mackie mixer	MACKIE	ru	brand_alias	true	true	97	audio brand delta alias
neumann	NEUMANN	ru	brand_alias	true	true	100	audio brand delta alias
нойман	NEUMANN	ru	brand_alias	true	true	99	audio brand delta alias
неуман	NEUMANN	ru	brand_alias	true	true	98	audio brand delta alias
neumann mic	NEUMANN	ru	brand_alias	true	true	97	audio brand delta alias
moondrop	MOONDROP	ru	brand_alias	true	true	100	audio brand delta alias
мундроп	MOONDROP	ru	brand_alias	true	true	99	audio brand delta alias
moon drop	MOONDROP	ru	brand_alias	true	true	98	audio brand delta alias
moondrop aria	MOONDROP	ru	brand_alias	true	true	97	audio brand delta alias
koss	KOSS	ru	brand_alias	true	true	100	audio brand delta alias
косс	KOSS	ru	brand_alias	true	true	99	audio brand delta alias
koss porta pro	KOSS	ru	brand_alias	true	true	98	audio brand delta alias
porta pro	KOSS	ru	brand_alias	true	true	97	audio brand delta alias
audeze	AUDEZE	ru	brand_alias	true	true	100	audio brand delta alias
одизи	AUDEZE	ru	brand_alias	true	true	99	audio brand delta alias
аудези	AUDEZE	ru	brand_alias	true	true	98	audio brand delta alias
audeze maxwell	AUDEZE	ru	brand_alias	true	true	97	audio brand delta alias
klipsch	KLIPSCH	ru	brand_alias	true	true	100	audio brand delta alias
клипш	KLIPSCH	ru	brand_alias	true	true	99	audio brand delta alias
klipsch speaker	KLIPSCH	ru	brand_alias	true	true	98	audio brand delta alias
klipsch soundbar	KLIPSCH	ru	brand_alias	true	true	97	audio brand delta alias
polk audio	POLK_AUDIO	ru	brand_alias	true	true	100	audio brand delta alias
polk	POLK_AUDIO	ru	brand_alias	true	true	99	audio brand delta alias
полк аудио	POLK_AUDIO	ru	brand_alias	true	true	98	audio brand delta alias
polk soundbar	POLK_AUDIO	ru	brand_alias	true	true	97	audio brand delta alias
cambridge audio	CAMBRIDGE_AUDIO	ru	brand_alias	true	true	100	audio brand delta alias
кембридж аудио	CAMBRIDGE_AUDIO	ru	brand_alias	true	true	99	audio brand delta alias
cambridge dac	CAMBRIDGE_AUDIO	ru	brand_alias	true	true	98	audio brand delta alias
cambridge amp	CAMBRIDGE_AUDIO	ru	brand_alias	true	true	97	audio brand delta alias
qcy	QCY	ru	brand_alias	true	true	100	audio brand delta alias
кьюсивай	QCY	ru	brand_alias	true	true	99	audio brand delta alias
кусивай	QCY	ru	brand_alias	true	true	98	audio brand delta alias
qcy earbuds	QCY	ru	brand_alias	true	true	97	audio brand delta alias
soundpeats	SOUNDPEATS	ru	brand_alias	true	true	100	audio brand delta alias
саундпитс	SOUNDPEATS	ru	brand_alias	true	true	99	audio brand delta alias
sound peats	SOUNDPEATS	ru	brand_alias	true	true	98	audio brand delta alias
soundpeats earbuds	SOUNDPEATS	ru	brand_alias	true	true	97	audio brand delta alias
creative	CREATIVE	ru	brand_alias	true	true	100	audio brand delta alias
креатив	CREATIVE	ru	brand_alias	true	true	99	audio brand delta alias
creative labs	CREATIVE	ru	brand_alias	true	true	98	audio brand delta alias
sound blaster	CREATIVE	ru	brand_alias	true	true	97	audio brand delta alias
creative sound blaster	CREATIVE	ru	brand_alias	true	true	96	audio brand delta alias
