value_set	value_code	ru_label	ru_aliases	sort_order	description_ru
ACCESSORY_TYPE	SHAWL	Платок / шаль	платок;шаль;шейный платок	13	
ACCESSORY_TYPE	SNOOD	Снуд / бафф	снуд;бафф;труба	14	
ACCESSORY_TYPE	STOLE	Палантин	палантин	15	
ACCESSORY_TYPE	TIE	Галстук	галстук	16	
ACCESSORY_TYPE	BOW_TIE	Галстук-бабочка	бабочка;bow tie	17	
ACCESSORY_TYPE	POCKET_SQUARE	Нагрудный платок	паше;нагрудный платок	18	
ACCESSORY_TYPE	GLOVES	Перчатки	перчатки	19	
ACCESSORY_TYPE	MITTENS	Варежки	варежки;рукавицы	20	
ACCESSORY_TYPE	FINGERLESS_GLOVES	Митенки	митенки;перчатки без пальцев	21	
ACCESSORY_TYPE	SUNGLASSES	Солнцезащитные очки	солнцезащитные очки;очки от солнца	22	
ACCESSORY_TYPE	GLASSES_FRAME	Оправа очков	оправа;очки без линз	23	
ACCESSORY_TYPE	EYEGLASS_CASE	Футляр для очков	футляр для очков;чехол для очков	24	
ACCESSORY_TYPE	RING	Кольцо	кольцо;перстень	25	
ACCESSORY_TYPE	EARRINGS	Серьги	серьги;пусеты;гвоздики;клипсы	26	
ACCESSORY_TYPE	NECKLACE	Колье / ожерелье	колье;ожерелье	27	
ACCESSORY_TYPE	BRACELET	Браслет	браслет	28	
ACCESSORY_TYPE	BROOCH	Брошь	брошь;значок брошка	29	
ACCESSORY_TYPE	PENDANT	Кулон / подвеска	кулон;подвеска	30	
ACCESSORY_TYPE	CHAIN	Цепочка	цепочка;цепь	31	
ACCESSORY_TYPE	ANKLET	Браслет на ногу	анклет;браслет на ногу	32	
ACCESSORY_TYPE	CUFFLINKS	Запонки	запонки	33	
ACCESSORY_TYPE	CHARM	Шарм	шарм;подвеска на браслет	34	
ACCESSORY_TYPE	JEWELRY_SET	Комплект украшений	набор украшений;комплект украшений	35	
ACCESSORY_TYPE	WATCHES_NON_SMART	Обычные наручные часы	часы;наручные часы;механические часы;кварцевые часы	36	
ACCESSORY_TYPE	WATCH_STRAP	Ремешок для обычных часов	ремешок для часов;браслет для часов	37	
ACCESSORY_TYPE	HAIR_CLIP	Заколка	заколка;крабик;зажим для волос	38	
ACCESSORY_TYPE	HAIR_BAND	Резинка для волос	резинка для волос	39	
ACCESSORY_TYPE	SCRUNCHIE	Скранчи	скранч;скранчи;объемная резинка	40	
ACCESSORY_TYPE	HAIR_PIN	Шпилька / невидимка	шпилька;невидимка	41	
ACCESSORY_TYPE	HAIR_COMB	Гребень для волос	гребень;расческа декоративная	42	
ACCESSORY_TYPE	UMBRELLA	Зонт	зонт;зонтик	43	
ACCESSORY_TYPE	KEYCHAIN	Брелок	брелок;брелок fashion	44	
ACCESSORY_TYPE	OTHER_ACCESSORY	Другой аксессуар	прочий аксессуар	45	
TARGET_GENDER	MEN	Мужчины	мужской;для мужчин;муж.	1	
TARGET_GENDER	WOMEN	Женщины	женский;для женщин;жен.	2	
TARGET_GENDER	BOYS	Мальчики	для мальчика;мальчик	3	
TARGET_GENDER	GIRLS	Девочки	для девочки;девочка	4	
TARGET_GENDER	KIDS	Дети	детский;для детей	5	
TARGET_GENDER	UNISEX	Унисекс	унисекс;unisex	6	
AGE_GROUP	ADULT	Взрослые	взрослый;adult	1	
AGE_GROUP	TEEN	Подростки	подростковый;teen	2	
AGE_GROUP	KIDS	Дети	детский;kids	3	
AGE_GROUP	TODDLER	Малыши	малыш;toddler	4	
AGE_GROUP	BABY	Младенцы	baby;для младенца	5	
CONDITION	NEW_WITH_TAGS	Новое с бирками	новое с биркой;новый с этикеткой	1	
CONDITION	NEW_WITHOUT_TAGS	Новое без бирок	новое без бирки	2	
CONDITION	LIKE_NEW	Как новое	отличное;как новое	3	
CONDITION	GOOD	Хорошее	хорошее состояние;б/у хорошее	4	
CONDITION	ACCEPTABLE	Приемлемое	есть следы носки;удовлетворительное	5	
CONDITION	FOR_PARTS	На запчасти / ремонт	на ремонт;требует ремонта	6	
COLOR	BLACK	Черный	черный;чёрный;black	1	
COLOR	WHITE	Белый	белый;white	2	
COLOR	GRAY	Серый	серый;gray;grey	3	
COLOR	SILVER	Серебристый	серебристый;silver	4	
COLOR	GOLD	Золотистый	золотистый;gold	5	
COLOR	BEIGE	Бежевый	бежевый;beige	6	
COLOR	BROWN	Коричневый	коричневый;brown	7	
COLOR	RED	Красный	красный;red	8	
COLOR	ORANGE	Оранжевый	оранжевый;orange	9	
COLOR	YELLOW	Желтый	желтый;жёлтый;yellow	10	
COLOR	GREEN	Зеленый	зеленый;зелёный;green	11	
COLOR	BLUE	Синий	синий;blue	12	
COLOR	NAVY	Темно-синий	темно-синий;navy	13	
COLOR	PURPLE	Фиолетовый	фиолетовый;purple	14	
COLOR	PINK	Розовый	розовый;pink	15	
COLOR	MULTICOLOR	Мультиколор	разноцветный;мультиколор	16	
COLOR	TRANSPARENT	Прозрачный	прозрачный;transparent	17	
MATERIAL	LEATHER	Кожа	кожа;натуральная кожа	1	
MATERIAL	FAUX_LEATHER	Искусственная кожа	экокожа;искусственная кожа;кожзам	2	
MATERIAL	SUEDE	Замша	замша	3	
MATERIAL	TEXTILE	Текстиль	текстиль;ткань	4	
MATERIAL	COTTON	Хлопок	хлопок;cotton	5	
MATERIAL	WOOL	Шерсть	шерсть;wool	6	
MATERIAL	CASHMERE	Кашемир	кашемир;cashmere	7	
MATERIAL	SILK	Шелк	шелк;шёлк;silk	8	
MATERIAL	POLYESTER	Полиэстер	полиэстер;polyester	9	
MATERIAL	NYLON	Нейлон	нейлон;nylon	10	
MATERIAL	ACRYLIC	Акрил	акрил;acrylic	11	
MATERIAL	FLEECE	Флис	флис;fleece	12	
MATERIAL	FUR_FAUX	Искусственный мех	искусственный мех;экомех	13	
MATERIAL	FUR_NATURAL	Натуральный мех	натуральный мех;мех	14	
MATERIAL	RUBBER	Резина	резина;rubber	15	
MATERIAL	SILICONE	Силикон	силикон;silicone	16	
MATERIAL	PLASTIC	Пластик	пластик;plastic	17	
MATERIAL	ACETATE	Ацетат	ацетат;acetate	18	
MATERIAL	METAL	Металл	металл;metal	19	
MATERIAL	STEEL	Сталь	сталь;steel	20	
MATERIAL	SILVER	Серебро	серебро;silver	21	
MATERIAL	GOLD	Золото	золото;gold	22	
MATERIAL	ROSE_GOLD	Розовое золото	розовое золото	23	
MATERIAL	TITANIUM	Титан	титан;titanium	24	
MATERIAL	BRASS	Латунь	латунь;brass	25	
MATERIAL	WOOD	Дерево	дерево;wood	26	
MATERIAL	CERAMIC	Керамика	керамика;ceramic	27	
MATERIAL	GLASS	Стекло	стекло;glass	28	
MATERIAL	PEARL	Жемчуг	жемчуг;pearl	29	
MATERIAL	STONE	Камень	камень;stone	30	
MATERIAL	STRAW	Солома	солома;straw	31	
MATERIAL	DENIM	Деним	джинса;denim	32	
MATERIAL	VELVET	Бархат	бархат;velvet	33	
MATERIAL	LACE	Кружево	кружево;lace	34	
PATTERN	SOLID	Однотонный	однотонный	1	
PATTERN	LOGO	Логотип / монограмма	логотип;монограмма	2	
PATTERN	STRIPED	Полоска	полосатый;полоска	3	
PATTERN	CHECKED	Клетка	клетка;клетчатый	4	
PATTERN	FLORAL	Цветочный	цветы;цветочный	5	
PATTERN	ANIMAL_PRINT	Анималистичный	леопард;зебра;animal print	6	
PATTERN	GEOMETRIC	Геометрический	геометрия	7	
PATTERN	ABSTRACT	Абстрактный	абстракция	8	
PATTERN	POLKA_DOT	Горошек	горох;polka dot	9	
PATTERN	CAMOUFLAGE	Камуфляж	камуфляж	10	
SEASON	ALL_SEASON	Всесезон	всесезонный	1	
SEASON	SUMMER	Лето	летний	2	
SEASON	WINTER	Зима	зимний	3	
SEASON	DEMI_SEASON	Демисезон	осень;весна;демисезон	4	
INSULATION	NONE	Без утепления	без утепления	1	
INSULATION	LIGHT	Легкое	легкое утепление	2	
INSULATION	WARM	Теплое	теплые;утепленные	3	
INSULATION	THERMAL	Термозащита	термо	4	
INSULATION	FLEECE_LINED	Флисовая подкладка	на флисе	5	
INSULATION	FUR_LINED	Меховая подкладка	на меху	6	
WATERPROOF_LEVEL	NONE	Нет влагозащиты	без защиты	1	
WATERPROOF_LEVEL	WATER_REPELLENT	Водоотталкивающий	водоотталкивающий	2	
WATERPROOF_LEVEL	WATERPROOF	Водонепроницаемый	водонепроницаемый;waterproof	3	
WATERPROOF_LEVEL	MEMBRANE	Мембрана	мембрана;gore-tex;goretex	4	
BUCKLE_TYPE	CLASSIC	Классическая пряжка	классическая	1	
BUCKLE_TYPE	AUTOMATIC	Автоматическая пряжка	автоматическая	2	
BUCKLE_TYPE	DOUBLE_RING	Двойное кольцо	двойное кольцо;d-ring	3	
BUCKLE_TYPE	REVERSIBLE	Двусторонний	двусторонний	4	
BUCKLE_TYPE	DECORATIVE	Декоративная	декоративная	5	
BUCKLE_TYPE	NONE	Без пряжки	без пряжки	6	
HAT_SIZE_LABEL	XS	XS	xs	1	
HAT_SIZE_LABEL	S	S	s	2	
HAT_SIZE_LABEL	M	M	m	3	
HAT_SIZE_LABEL	L	L	l	4	
HAT_SIZE_LABEL	XL	XL	xl	5	
HAT_SIZE_LABEL	ONE_SIZE	One size	one size;единый размер	6	
HAT_SIZE_LABEL	ADJUSTABLE	Регулируемый	регулируемый;adjustable	7	
BRIM_TYPE	NONE	Без полей/козырька	без полей	1	
BRIM_TYPE	SHORT_BRIM	Короткий козырек/поля	короткий козырек	2	
BRIM_TYPE	CLASSIC_BRIM	Классический козырек/поля	классический	3	
BRIM_TYPE	WIDE_BRIM	Широкие поля	широкополая	4	
BRIM_TYPE	CURVED_VISOR	Изогнутый козырек	изогнутый козырек	5	
BRIM_TYPE	FLAT_VISOR	Прямой козырек	прямой козырек	6	
CLOSURE_TYPE	NONE	Без застежки	без застежки	1	
CLOSURE_TYPE	BUCKLE	Пряжка	пряжка	2	
CLOSURE_TYPE	SNAPBACK	Snapback	snapback	3	
CLOSURE_TYPE	VELCRO	Липучка	липучка;velcro	4	
CLOSURE_TYPE	ZIPPER	Молния	молния	5	
CLOSURE_TYPE	BUTTON	Кнопка / пуговица	кнопка;пуговица	6	
CLOSURE_TYPE	CLASP	Замок / застежка	замок;застежка	7	
CLOSURE_TYPE	HOOK	Крючок	крючок	8	
CLOSURE_TYPE	ELASTIC	Резинка	резинка	9	
CLOSURE_TYPE	TIE	Завязки	завязки	10	
CLOSURE_TYPE	MAGNETIC	Магнитная	магнитная	11	
SCARF_SHAPE	RECTANGULAR	Прямоугольный	прямоугольный	1	
SCARF_SHAPE	SQUARE	Квадратный	квадратный	2	
SCARF_SHAPE	TRIANGLE	Треугольный	треугольный	3	
SCARF_SHAPE	LOOP	Петля	петля	4	
SCARF_SHAPE	TUBE	Труба	труба;снуд	5	
TIE_WIDTH_TYPE	SKINNY	Узкий	узкий;skinny	1	
TIE_WIDTH_TYPE	CLASSIC	Классический	классический	2	
TIE_WIDTH_TYPE	WIDE	Широкий	широкий	3	
GLOVE_SIZE	XS	XS	xs	1	
GLOVE_SIZE	S	S	s	2	
GLOVE_SIZE	M	M	m	3	
GLOVE_SIZE	L	L	l	4	
GLOVE_SIZE	XL	XL	xl	5	
GLOVE_SIZE	XXL	XXL	xxl	6	
GLOVE_SIZE	NUM_6	6	6	7	
GLOVE_SIZE	NUM_6_5	6.5	6.5;6,5	8	
GLOVE_SIZE	NUM_7	7	7	9	
GLOVE_SIZE	NUM_7_5	7.5	7.5;7,5	10	
GLOVE_SIZE	NUM_8	8	8	11	
GLOVE_SIZE	NUM_8_5	8.5	8.5;8,5	12	
GLOVE_SIZE	NUM_9	9	9	13	
GLOVE_SIZE	NUM_9_5	9.5	9.5;9,5	14	
GLOVE_SIZE	NUM_10	10	10	15	
GLOVE_SIZE	ONE_SIZE	One size	one size;единый размер	16	
FRAME_SHAPE	AVIATOR	Авиатор	aviator;авиаторы	1	
FRAME_SHAPE	WAYFARER	Wayfarer	wayfarer;вайфарер	2	
FRAME_SHAPE	ROUND	Круглая	круглые	3	
FRAME_SHAPE	OVAL	Овальная	овальные	4	
FRAME_SHAPE	RECTANGLE	Прямоугольная	прямоугольные	5	
FRAME_SHAPE	SQUARE	Квадратная	квадратные	6	
FRAME_SHAPE	CAT_EYE	Кошачий глаз	cat eye;кошачий глаз	7	
FRAME_SHAPE	SPORT	Спортивная	спорт	8	
FRAME_SHAPE	OVERSIZED	Oversized	оверсайз;oversized	9	
LENS_CATEGORY	CAT0	Категория 0	cat0;category 0	1	
LENS_CATEGORY	CAT1	Категория 1	cat1;category 1	2	
LENS_CATEGORY	CAT2	Категория 2	cat2;category 2	3	
LENS_CATEGORY	CAT3	Категория 3	cat3;category 3	4	
LENS_CATEGORY	CAT4	Категория 4	cat4;category 4	5	
LENS_CATEGORY	UNKNOWN	Неизвестно	unknown	6	
UV_PROTECTION	NONE	Не указана / нет	нет	1	
UV_PROTECTION	UV400	UV400	uv400	2	
UV_PROTECTION	UVA_UVB	UVA/UVB	uva uvb;защита от ультрафиолета	3	
UV_PROTECTION	UNKNOWN	Неизвестно	unknown	4	
METAL_TYPE	GOLD	Золото	золото	1	
METAL_TYPE	SILVER	Серебро	серебро	2	
METAL_TYPE	STEEL	Сталь	сталь;ювелирная сталь	3	
METAL_TYPE	TITANIUM	Титан	титан	4	
METAL_TYPE	BRASS	Латунь	латунь	5	
METAL_TYPE	COPPER	Медь	медь	6	
METAL_TYPE	PLATINUM	Платина	платина	7	
METAL_TYPE	MIXED_METAL	Смешанный металл	смешанный металл	8	
METAL_TYPE	NOT_METAL	Не металл	не металл	9	
STONE_TYPE	DIAMOND	Бриллиант	бриллиант;diamond	1	
STONE_TYPE	CUBIC_ZIRCONIA	Фианит	фианит;cubic zirconia	2	
STONE_TYPE	PEARL	Жемчуг	жемчуг;pearl	3	
STONE_TYPE	AMBER	Янтарь	янтарь	4	
STONE_TYPE	CRYSTAL	Кристалл / страз	кристалл;стразы	5	
STONE_TYPE	GEMSTONE	Драгоценный/полудрагоценный камень	камень;gemstone	6	
STONE_TYPE	EMERALD	Изумруд	изумруд	7	
STONE_TYPE	RUBY	Рубин	рубин	8	
STONE_TYPE	SAPPHIRE	Сапфир	сапфир	9	
STONE_TYPE	TOPAZ	Топаз	топаз	10	
STONE_TYPE	ONYX	Оникс	оникс	11	
STONE_TYPE	TURQUOISE	Бирюза	бирюза	12	
STONE_TYPE	NO_STONE	Без камней	без камней	13	
STONE_TYPE	UNKNOWN	Неизвестно	неизвестно	14	
PLATING	NONE	Без покрытия	без покрытия	1	
PLATING	GOLD_PLATED	Позолота	позолота;gold plated	2	
PLATING	SILVER_PLATED	Серебрение	серебрение	3	
PLATING	RHODIUM_PLATED	Родирование	родий;родирование	4	
PLATING	ROSE_GOLD_PLATED	Покрытие розовым золотом	розовая позолота	5	
PLATING	UNKNOWN	Неизвестно	unknown	6	
CLASP_TYPE	LOBSTER	Карабин	карабин;lobster	1	
CLASP_TYPE	SPRING_RING	Пружинное кольцо	spring ring	2	
CLASP_TYPE	MAGNETIC	Магнитная	магнитная	3	
CLASP_TYPE	TOGGLE	Тогл	toggle	4	
CLASP_TYPE	HOOK	Крючок	крючок	5	
CLASP_TYPE	SCREW_BACK	Винтовая	винтовая	6	
CLASP_TYPE	PUSH_BACK	Пусет / гвоздик	пусет;гвоздик	7	
CLASP_TYPE	CLIP_ON	Клипса	клипса	8	
CLASP_TYPE	OTHER	Другая	другая	9	
MOVEMENT_TYPE	QUARTZ	Кварцевый	кварц;quartz	1	
MOVEMENT_TYPE	MECHANICAL	Механический	механика	2	
MOVEMENT_TYPE	AUTOMATIC	Автоматический	автомат	3	
MOVEMENT_TYPE	SOLAR	Солнечный	solar	4	
MOVEMENT_TYPE	KINETIC	Kinetic	kinetic	5	
MOVEMENT_TYPE	UNKNOWN	Неизвестно	unknown	6	
ANALOG_DIGITAL	ANALOG	Аналоговые	стрелочные;analog	1	
ANALOG_DIGITAL	DIGITAL	Цифровые	digital;электронные	2	
ANALOG_DIGITAL	ANALOG_DIGITAL	Аналогово-цифровые	ana-digi	3	
WATER_RESISTANCE_ATM	NONE	Нет / не указано	нет	1	
WATER_RESISTANCE_ATM	ATM_3	3 ATM / 30 м	3 atm;30m	2	
WATER_RESISTANCE_ATM	ATM_5	5 ATM / 50 м	5 atm;50m	3	
WATER_RESISTANCE_ATM	ATM_10	10 ATM / 100 м	10 atm;100m	4	
WATER_RESISTANCE_ATM	ATM_20	20 ATM / 200 м	20 atm;200m	5	
WATER_RESISTANCE_ATM	DIVER_200M	Diver 200 м	diver 200m	6	
WATER_RESISTANCE_ATM	UNKNOWN	Неизвестно	unknown	7	
BATTERY_STATUS	WORKING	Работает	работает;на ходу	1	
BATTERY_STATUS	NEEDS_REPLACEMENT	Нужна замена батарейки	села батарейка;требуется батарейка	2	
BATTERY_STATUS	UNKNOWN	Неизвестно	неизвестно	3	
BATTERY_STATUS	NOT_APPLICABLE	Не применимо	механика;автомат	4	
WATCH_STYLE	DRESS	Dress	dress;под костюм	1	
WATCH_STYLE	CASUAL	Casual	повседневные	2	
WATCH_STYLE	SPORT	Sport non-smart	спортивные обычные	3	
WATCH_STYLE	CLASSIC	Классические	классика	4	
WATCH_STYLE	FASHION	Fashion	модные	5	
WATCH_STYLE	LUXURY	Luxury	люкс;премиум	6	
UMBRELLA_TYPE	FOLDING	Складной	складной	1	
UMBRELLA_TYPE	CANE	Зонт-трость	трость	2	
UMBRELLA_TYPE	GOLF	Гольф-зонт	гольф	3	
UMBRELLA_TYPE	CHILDREN	Детский	детский	4	
UMBRELLA_TYPE	AUTOMATIC	Автомат	автомат	5	
UMBRELLA_TYPE	MANUAL	Механический	механический	6	
DECOR_TYPE	NONE	Без декора	без декора	1	
DECOR_TYPE	RHINESTONES	Стразы	стразы	2	
DECOR_TYPE	PEARLS	Жемчуг	жемчуг	3	
DECOR_TYPE	EMBROIDERY	Вышивка	вышивка	4	
DECOR_TYPE	LOGO	Логотип	лого;логотип	5	
DECOR_TYPE	BOW	Бант	бант	6	
DECOR_TYPE	CHAIN	Цепочка	цепочка	7	
DECOR_TYPE	CHARMS	Подвески/шармы	подвески;шармы	8	
