attribute_code	ru_name	data_type	cardinality	requirement_level	applies_to	values_ref	unit	indexed	searchable	facetable	source_priority	notes
belt_length_cm	Длина ремня	integer	single	OPTIONAL	BELT		cm	yes	yes	yes	seller_text>vision_approx	Полная длина; не заменяет belt_size_cm.
belt_width_cm	Ширина ремня	decimal	single	OPTIONAL	BELT		cm	yes	yes	yes	seller_text>vision_approx	Важный фильтр для джинсов/брюк/платьев.
buckle_material	Материал пряжки	enum	single	OPTIONAL	BELT	MATERIAL		yes	yes	yes	seller_text>vision	Если видна или указана.
buckle_type	Тип пряжки	enum	single	OPTIONAL	BELT	BUCKLE_TYPE		yes	yes	yes	seller_text>vision	Классическая, автоматическая, двойное кольцо и т.д.
adjustable	Регулируемый размер	boolean	single	OPTIONAL	BELT,SUSPENDERS,CAP,VISOR,HEADBAND_FASHION			yes	yes	yes	seller_text>vision	Да/нет.
head_size_cm	Обхват головы	decimal	single	CONDITIONAL	HAT,CAP,BEANIE,BERET,BALACLAVA,PANAMA_HAT,VISOR,HEADBAND_FASHION		cm	yes	yes	yes	seller_text	Ключевой размер для головных уборов.
hat_size_label	Размер головного убора	enum	single	OPTIONAL	HAT,CAP,BEANIE,BERET,BALACLAVA,PANAMA_HAT,VISOR,HEADBAND_FASHION	HAT_SIZE_LABEL		yes	yes	yes	seller_text	XS/S/M/L/one size/adjustable.
brim_type	Тип козырька / полей	enum	single	OPTIONAL	HAT,CAP,PANAMA_HAT,VISOR	BRIM_TYPE		yes	yes	yes	seller_text>vision	Для кепок, шляп, панам.
closure_type	Тип застежки / фиксации	enum	single	OPTIONAL	CAP,VISOR,BELT,JEWELRY,WATCH_STRAP,HAIR_ACCESSORIES	CLOSURE_TYPE		yes	yes	yes	seller_text>vision	Snapback, buckle, clasp, elastic и т.д.
accessory_length_cm	Длина изделия	decimal	single	OPTIONAL	SCARF,SHAWL,SNOOD,STOLE,TIE,BOW_TIE,BELT,NECKLACE,CHAIN,BRACELET,WATCH_STRAP		cm	yes	yes	yes	seller_text>vision_approx	Общая длина; для разных типов интерпретируется отдельно.
accessory_width_cm	Ширина изделия	decimal	single	OPTIONAL	SCARF,SHAWL,STOLE,TIE,BOW_TIE,BELT,HEADBAND_FASHION		cm	yes	yes	yes	seller_text>vision_approx	Ширина платка/галстука/ремня.
scarf_shape	Форма шарфа/платка	enum	single	OPTIONAL	SCARF,SHAWL,SNOOD,STOLE	SCARF_SHAPE		yes	yes	yes	seller_text>vision	Прямоугольный, квадратный, труба и т.д.
tie_width_type	Ширина галстука	enum	single	OPTIONAL	TIE	TIE_WIDTH_TYPE		yes	yes	yes	seller_text>vision	Skinny/classic/wide.
pre_tied	Завязанный заранее	boolean	single	OPTIONAL	BOW_TIE,TIE			yes	yes	yes	seller_text>vision	Для бабочки/детского галстука.
glove_size	Размер перчаток	enum	single	CONDITIONAL	GLOVES,MITTENS,FINGERLESS_GLOVES	GLOVE_SIZE		yes	yes	yes	seller_text	Буквенный или цифровой.
lining_material	Материал подкладки	enum	single	OPTIONAL	GLOVES,MITTENS,BEANIE,HAT,CAP	MATERIAL		yes	yes	yes	seller_text	Флис, шерсть, мех и т.д.
insulation	Утепление	enum	single	OPTIONAL	GLOVES,MITTENS,BEANIE,BALACLAVA,SCARF,SHAWL	INSULATION		yes	yes	yes	seller_text>material	Степень утепления.
waterproof_level	Влагозащита	enum	single	OPTIONAL	GLOVES,MITTENS,UMBRELLA,HAT,CAP	WATERPROOF_LEVEL		yes	yes	yes	seller_text	Waterproof/water repellent.
touchscreen_compatible	Совместимость с тачскрином	boolean	single	OPTIONAL	GLOVES,FINGERLESS_GLOVES			yes	yes	yes	seller_text>vision	Для сенсорных перчаток.
frame_shape	Форма оправы	enum	single	OPTIONAL	SUNGLASSES,GLASSES_FRAME	FRAME_SHAPE		yes	yes	yes	seller_text>vision	Aviator, wayfarer, cat-eye и т.д.
frame_material	Материал оправы	enum	single	OPTIONAL	SUNGLASSES,GLASSES_FRAME	MATERIAL		yes	yes	yes	seller_text>vision	Пластик/металл/ацетат и т.п.
lens_color	Цвет линз	enum	single	OPTIONAL	SUNGLASSES	COLOR		yes	yes	yes	seller_text>vision	Не путать с цветом оправы.
lens_category	Категория затемнения линз	enum	single	OPTIONAL	SUNGLASSES	LENS_CATEGORY		yes	yes	yes	seller_text	CAT0-CAT4.
uv_protection	UV-защита	enum	single	OPTIONAL	SUNGLASSES	UV_PROTECTION		yes	yes	yes	seller_text	UV400/UVA+UVB/unknown.
polarized	Поляризация	boolean	single	OPTIONAL	SUNGLASSES			yes	yes	yes	seller_text	Только если явно указано.
prescription_compatible	Под диоптрические линзы	boolean	single	OPTIONAL	GLASSES_FRAME,SUNGLASSES			yes	yes	no	seller_text	Если оправа подходит под установку линз.
metal_type	Тип металла	enum	single	OPTIONAL	JEWELRY	METAL_TYPE		yes	yes	yes	seller_text>catalog	Не выводить золото/серебро только по цвету.
metal_purity	Проба / чистота металла	text	single	OPTIONAL	JEWELRY			yes	yes	yes	seller_text>hallmark	585, 925, 14K, 18K и т.д.
stone_type	Камень / вставка	enum	multi	OPTIONAL	JEWELRY	STONE_TYPE		yes	yes	yes	seller_text	Не утверждать бриллиант без текста/сертификата.
ring_size_ru	Размер кольца RU	decimal	single	CONDITIONAL	RING		RU	yes	yes	yes	seller_text	Например 16.5, 17, 18.
chain_length_cm	Длина цепочки / колье	decimal	single	OPTIONAL	CHAIN,NECKLACE,PENDANT		cm	yes	yes	yes	seller_text	Ключевой фильтр для цепочек и колье.
bracelet_length_cm	Длина браслета	decimal	single	OPTIONAL	BRACELET,ANKLET		cm	yes	yes	yes	seller_text	Ключевой фильтр для браслетов/анклетов.
clasp_type	Тип застежки	enum	single	OPTIONAL	JEWELRY,WATCH_STRAP	CLASP_TYPE		yes	yes	yes	seller_text>vision	Лобстер, магнитная, винтовая и т.п.
plating	Покрытие	enum	single	OPTIONAL	JEWELRY	PLATING		yes	yes	yes	seller_text	Позолота, родирование и т.д.
hypoallergenic	Гипоаллергенность	boolean	single	OPTIONAL	JEWELRY,EARRINGS,GLASSES_FRAME			yes	yes	yes	seller_text	Только при явном указании.
movement_type	Тип механизма	enum	single	OPTIONAL	WATCHES_NON_SMART	MOVEMENT_TYPE		yes	yes	yes	seller_text>catalog	Кварц/механика/автомат/solar.
analog_digital	Отображение времени	enum	single	OPTIONAL	WATCHES_NON_SMART	ANALOG_DIGITAL		yes	yes	yes	seller_text>vision	Analog/digital/combined.
case_diameter_mm	Диаметр корпуса	decimal	single	OPTIONAL	WATCHES_NON_SMART		mm	yes	yes	yes	seller_text	Один из главных watch-фасетов.
strap_material	Материал ремешка	enum	single	OPTIONAL	WATCHES_NON_SMART,WATCH_STRAP	MATERIAL		yes	yes	yes	seller_text>vision	Кожа, сталь, силикон и т.д.
water_resistance_atm	Водозащита часов	enum	single	OPTIONAL	WATCHES_NON_SMART	WATER_RESISTANCE_ATM		yes	yes	yes	seller_text	3/5/10/20 ATM и т.п.
battery_status	Состояние батарейки	enum	single	OPTIONAL	WATCHES_NON_SMART	BATTERY_STATUS		yes	yes	no	seller_text	Особенно для resale.
watch_style	Стиль часов	enum	single	OPTIONAL	WATCHES_NON_SMART	WATCH_STYLE		yes	yes	yes	seller_text>vision	Classic/casual/sport/fashion.
watch_strap_lug_width_mm	Ширина крепления ремешка	decimal	single	CONDITIONAL	WATCH_STRAP		mm	yes	yes	yes	seller_text	20mm, 22mm и т.п.; для Apple Watch route out.
hair_accessory_size	Размер аксессуара для волос	text	single	OPTIONAL	HAIR_CLIP,HAIR_BAND,SCRUNCHIE,HAIR_PIN,HAIR_COMB			yes	yes	yes	seller_text>vision	Small/medium/large или см.
decor_type	Декор	enum	multi	OPTIONAL	HAIR_ACCESSORIES,JEWELRY,HEADWEAR,BELT	DECOR_TYPE		yes	yes	yes	seller_text>vision	Стразы, жемчуг, вышивка и т.д.
umbrella_type	Тип зонта	enum	single	CONDITIONAL	UMBRELLA	UMBRELLA_TYPE		yes	yes	yes	seller_text>vision	Складной/трость/гольф/детский.
foldable	Складной	boolean	single	OPTIONAL	UMBRELLA			yes	yes	yes	seller_text>vision	Да/нет.
windproof	Антиветер	boolean	single	OPTIONAL	UMBRELLA			yes	yes	yes	seller_text	Только если указано.
canopy_size_cm	Диаметр купола	decimal	single	OPTIONAL	UMBRELLA		cm	yes	yes	yes	seller_text	При наличии.
route_confidence	Уверенность маршрута	decimal	single	SYSTEM	ALL		0..1	yes	no	no	router	Системное поле; используется для gray-zone review.
