alias_ru	normalized_attribute	normalized_value	route_action	target_route	confidence	priority	notes
галстук бабочка	accessory_type	BOW_TIE	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
бабочка	accessory_type	BOW_TIE	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
нагрудный платок	accessory_type	POCKET_SQUARE	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
паше	accessory_type	POCKET_SQUARE	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
перчатки	accessory_type	GLOVES	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
кожаные перчатки	accessory_type	GLOVES	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
сенсорные перчатки	accessory_type	GLOVES	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
варежки	accessory_type	MITTENS	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
рукавицы	accessory_type	MITTENS	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
митенки	accessory_type	FINGERLESS_GLOVES	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
перчатки без пальцев	accessory_type	FINGERLESS_GLOVES	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
солнцезащитные очки	accessory_type	SUNGLASSES	ROUTE_IN	FASH.ACCESSORIES	0.90	80	
очки от солнца	accessory_type	SUNGLASSES	ROUTE_IN	FASH.ACCESSORIES	0.90	80	
солнечные очки	accessory_type	SUNGLASSES	ROUTE_IN	FASH.ACCESSORIES	0.90	80	
ray ban очки	accessory_type	SUNGLASSES	ROUTE_IN	FASH.ACCESSORIES	0.90	80	
оправа	accessory_type	GLASSES_FRAME	ROUTE_IN	FASH.ACCESSORIES	0.90	80	
оправа очков	accessory_type	GLASSES_FRAME	ROUTE_IN	FASH.ACCESSORIES	0.90	80	
футляр для очков	accessory_type	EYEGLASS_CASE	ROUTE_IN	FASH.ACCESSORIES	0.90	80	
чехол для очков	accessory_type	EYEGLASS_CASE	ROUTE_IN	FASH.ACCESSORIES	0.90	80	
кольцо	accessory_type	RING	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
перстень	accessory_type	RING	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
серьги	accessory_type	EARRINGS	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
пусеты	accessory_type	EARRINGS	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
гвоздики серьги	accessory_type	EARRINGS	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
клипсы	accessory_type	EARRINGS	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
колье	accessory_type	NECKLACE	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
ожерелье	accessory_type	NECKLACE	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
браслет	accessory_type	BRACELET	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
брошь	accessory_type	BROOCH	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
кулон	accessory_type	PENDANT	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
подвеска	accessory_type	PENDANT	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
цепочка	accessory_type	CHAIN	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
цепь на шею	accessory_type	CHAIN	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
анклет	accessory_type	ANKLET	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
браслет на ногу	accessory_type	ANKLET	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
запонки	accessory_type	CUFFLINKS	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
шарм	accessory_type	CHARM	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
набор украшений	accessory_type	JEWELRY_SET	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
комплект украшений	accessory_type	JEWELRY_SET	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
наручные часы	accessory_type	WATCHES_NON_SMART	ROUTE_IN	FASH.ACCESSORIES	0.82	75	Для часов применяется smart-watch negative guard.
механические часы	accessory_type	WATCHES_NON_SMART	ROUTE_IN	FASH.ACCESSORIES	0.96	75	Для часов применяется smart-watch negative guard.
кварцевые часы	accessory_type	WATCHES_NON_SMART	ROUTE_IN	FASH.ACCESSORIES	0.96	75	Для часов применяется smart-watch negative guard.
часы casio	accessory_type	WATCHES_NON_SMART	ROUTE_IN	FASH.ACCESSORIES	0.85	75	Для часов применяется smart-watch negative guard.
часы swatch	accessory_type	WATCHES_NON_SMART	ROUTE_IN	FASH.ACCESSORIES	0.90	75	Для часов применяется smart-watch negative guard.
ремешок для часов	accessory_type	WATCH_STRAP	ROUTE_IN	FASH.ACCESSORIES	0.88	75	Для часов применяется smart-watch negative guard.
браслет для часов	accessory_type	WATCH_STRAP	ROUTE_IN	FASH.ACCESSORIES	0.86	75	Для часов применяется smart-watch negative guard.
заколка	accessory_type	HAIR_CLIP	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
крабик для волос	accessory_type	HAIR_CLIP	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
зажим для волос	accessory_type	HAIR_CLIP	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
резинка для волос	accessory_type	HAIR_BAND	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
скранчи	accessory_type	SCRUNCHIE	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
скранч	accessory_type	SCRUNCHIE	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
шпильки	accessory_type	HAIR_PIN	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
невидимки	accessory_type	HAIR_PIN	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
гребень для волос	accessory_type	HAIR_COMB	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
зонт	accessory_type	UMBRELLA	ROUTE_IN	FASH.ACCESSORIES	0.92	80	
зонтик	accessory_type	UMBRELLA	ROUTE_IN	FASH.ACCESSORIES	0.92	80	
складной зонт	accessory_type	UMBRELLA	ROUTE_IN	FASH.ACCESSORIES	0.92	80	
зонт автомат	accessory_type	UMBRELLA	ROUTE_IN	FASH.ACCESSORIES	0.92	80	
брелок	accessory_type	KEYCHAIN	ROUTE_IN	FASH.ACCESSORIES	0.92	80	
брелок на ключи	accessory_type	KEYCHAIN	ROUTE_IN	FASH.ACCESSORIES	0.92	80	
мужской	target_gender	MEN	ROUTE_IN	FASH.ACCESSORIES	0.80	30	Используется только при наличии accessory positive term.
для мужчин	target_gender	MEN	ROUTE_IN	FASH.ACCESSORIES	0.80	30	Используется только при наличии accessory positive term.
женский	target_gender	WOMEN	ROUTE_IN	FASH.ACCESSORIES	0.80	30	Используется только при наличии accessory positive term.
для женщин	target_gender	WOMEN	ROUTE_IN	FASH.ACCESSORIES	0.80	30	Используется только при наличии accessory positive term.
детский	target_gender	KIDS	ROUTE_IN	FASH.ACCESSORIES	0.80	30	Используется только при наличии accessory positive term.
для детей	target_gender	KIDS	ROUTE_IN	FASH.ACCESSORIES	0.80	30	Используется только при наличии accessory positive term.
унисекс	target_gender	UNISEX	ROUTE_IN	FASH.ACCESSORIES	0.80	30	Используется только при наличии accessory positive term.
зимний	season	WINTER	ROUTE_IN	FASH.ACCESSORIES	0.75	30	Сезонный модификатор.
летний	season	SUMMER	ROUTE_IN	FASH.ACCESSORIES	0.75	30	Сезонный модификатор.
демисезонный	season	DEMI_SEASON	ROUTE_IN	FASH.ACCESSORIES	0.75	30	Сезонный модификатор.
всесезонный	season	ALL_SEASON	ROUTE_IN	FASH.ACCESSORIES	0.75	30	Сезонный модификатор.
кожа	material_primary	LEATHER	ROUTE_IN	FASH.ACCESSORIES	0.78	25	Материал из текста продавца.
натуральная кожа	material_primary	LEATHER	ROUTE_IN	FASH.ACCESSORIES	0.78	25	Материал из текста продавца.
экокожа	material_primary	FAUX_LEATHER	ROUTE_IN	FASH.ACCESSORIES	0.78	25	Материал из текста продавца.
серебро 925	material_primary	SILVER	ROUTE_IN	FASH.ACCESSORIES	0.78	25	Материал из текста продавца.
золото 585	material_primary	GOLD	ROUTE_IN	FASH.ACCESSORIES	0.78	25	Материал из текста продавца.
кашемир	material_primary	CASHMERE	ROUTE_IN	FASH.ACCESSORIES	0.78	25	Материал из текста продавца.
шелк	material_primary	SILK	ROUTE_IN	FASH.ACCESSORIES	0.78	25	Материал из текста продавца.
рюкзак	accessory_type	BACKPACK	ROUTE_OUT	FASH.BAGS	0.99	100	Bag explicit guard
сумка	accessory_type	BAG	ROUTE_OUT	FASH.BAGS	0.99	100	Bag explicit guard
женская сумка	accessory_type	HANDBAG	ROUTE_OUT	FASH.BAGS	0.99	100	Bag explicit guard
кроссбоди	accessory_type	CROSSBODY_BAG	ROUTE_OUT	FASH.BAGS	0.99	100	Bag explicit guard
кошелек	accessory_type	WALLET	ROUTE_OUT	FASH.BAGS	0.99	100	Wallet kept in FASH.BAGS by project convention
кошелёк	accessory_type	WALLET	ROUTE_OUT	FASH.BAGS	0.99	100	Wallet kept in FASH.BAGS by project convention
кардхолдер	accessory_type	CARDHOLDER	ROUTE_OUT	FASH.BAGS	0.99	100	Cardholder kept in FASH.BAGS by project convention
визитница	accessory_type	CARDHOLDER	ROUTE_OUT	FASH.BAGS	0.96	100	Bag small leather goods
чемодан	accessory_type	SUITCASE	ROUTE_OUT	FASH.BAGS	0.99	100	Luggage guard
ремень для сумки	accessory_type	BAG_STRAP	ROUTE_OUT	FASH.BAGS	0.94	100	Bag part/accessory
кроссовки	shoe_type	SNEAKERS	ROUTE_OUT	FASH.SHOES	0.99	100	Footwear guard
сапоги	shoe_type	BOOTS	ROUTE_OUT	FASH.SHOES	0.99	100	Footwear guard
ботинки	shoe_type	BOOTS	ROUTE_OUT	FASH.SHOES	0.99	100	Footwear guard
туфли	shoe_type	SHOES	ROUTE_OUT	FASH.SHOES	0.99	100	Footwear guard
сандалии	shoe_type	SANDALS	ROUTE_OUT	FASH.SHOES	0.99	100	Footwear guard
тапочки	shoe_type	SLIPPERS	ROUTE_OUT	FASH.SHOES	0.99	100	Footwear guard
футболка	garment_type	T_SHIRT	ROUTE_OUT	FASH.APPAREL	0.99	100	Apparel guard
платье	garment_type	DRESS	ROUTE_OUT	FASH.APPAREL	0.99	100	Apparel guard
куртка	garment_type	JACKET	ROUTE_OUT	FASH.APPAREL	0.99	100	Apparel guard
джинсы	garment_type	JEANS	ROUTE_OUT	FASH.APPAREL	0.99	100	Apparel guard
apple watch	device_type	SMARTWATCH	ROUTE_OUT	TECH.WEARABLES	0.99	100	Smartwatch guard
эппл вотч	device_type	SMARTWATCH	ROUTE_OUT	TECH.WEARABLES	0.99	100	Smartwatch guard
смарт часы	device_type	SMARTWATCH	ROUTE_OUT	TECH.WEARABLES	0.99	100	Smartwatch guard
смарт-часы	device_type	SMARTWATCH	ROUTE_OUT	TECH.WEARABLES	0.99	100	Smartwatch guard
galaxy watch	device_type	SMARTWATCH	ROUTE_OUT	TECH.WEARABLES	0.99	100	Smartwatch guard
фитнес браслет	device_type	FITNESS_TRACKER	ROUTE_OUT	TECH.WEARABLES	0.99	100	Fitness tracker guard
mi band	device_type	FITNESS_TRACKER	ROUTE_OUT	TECH.WEARABLES	0.99	100	Fitness tracker guard
ремешок для apple watch	accessory_type	SMARTWATCH_STRAP	ROUTE_OUT	TECH.ACCESSORIES	0.98	100	Smartwatch accessory guard
ремешок для смарт часов	accessory_type	SMARTWATCH_STRAP	ROUTE_OUT	TECH.ACCESSORIES	0.98	100	Smartwatch accessory guard
чехол для телефона	accessory_type	PHONE_CASE	ROUTE_OUT	TECH.ACCESSORIES	0.99	100	Phone accessory guard
защитные очки	gear_type	PROTECTIVE_GLASSES	ROUTE_OUT	TOOLS.SAFETY	0.96	100	PPE guard
очки для плавания	gear_type	SWIMMING_GOGGLES	ROUTE_OUT	SPORT	0.96	100	Sport gear guard
диоптрические очки	medical_item	PRESCRIPTION_GLASSES	ROUTE_OUT	HEALTH	0.90	100	Could be optics/health unless platform treats frames as fashion
медицинская маска	medical_item	MEDICAL_MASK	ROUTE_OUT	HEALTH	0.99	100	Health guard
косметичка	bag_type	COSMETIC_BAG	ROUTE_OUT	FASH.BAGS	0.98	100	Cosmetic bag kept in BAGS
ремень грм	auto_part	TIMING_BELT	ROUTE_OUT	AUTO.PARTS	0.99	100	Non-fashion homonym
ремень безопасности	auto_part	SEAT_BELT	ROUTE_OUT	AUTO.PARTS	0.99	100	Non-fashion homonym
ремень для йоги	sport_item	YOGA_STRAP	ROUTE_OUT	SPORT.FITNESS	0.96	100	Sport gear homonym
