alias	lang	target_category	target_attribute	target_value	priority	note
тонер hp 85a ce285a	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	HP_85A	92	cartridge/consumable code head delta
canon pg 445	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_PG_445	92	cartridge/consumable code head delta
canon pg-445	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_PG_445	92	cartridge/consumable code head delta
canonpg-445	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_PG_445	92	cartridge/consumable code head delta
картридж canon pg-445	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_PG_445	92	cartridge/consumable code head delta
тонер canon pg-445	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_PG_445	92	cartridge/consumable code head delta
canon cl 446	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_CL_446	92	cartridge/consumable code head delta
canon cl-446	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_CL_446	92	cartridge/consumable code head delta
canoncl-446	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_CL_446	92	cartridge/consumable code head delta
картридж canon cl-446	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_CL_446	92	cartridge/consumable code head delta
тонер canon cl-446	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_CL_446	92	cartridge/consumable code head delta
canon pg 545	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_PG_545	92	cartridge/consumable code head delta
canon pg-545	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_PG_545	92	cartridge/consumable code head delta
canonpg-545	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_PG_545	92	cartridge/consumable code head delta
картридж canon pg-545	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_PG_545	92	cartridge/consumable code head delta
тонер canon pg-545	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_PG_545	92	cartridge/consumable code head delta
canon cl 546	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_CL_546	92	cartridge/consumable code head delta
canon cl-546	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_CL_546	92	cartridge/consumable code head delta
canoncl-546	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_CL_546	92	cartridge/consumable code head delta
картридж canon cl-546	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_CL_546	92	cartridge/consumable code head delta
тонер canon cl-546	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_CL_546	92	cartridge/consumable code head delta
canon 725	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_725	92	cartridge/consumable code head delta
canon725	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_725	92	cartridge/consumable code head delta
картридж canon 725	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_725	92	cartridge/consumable code head delta
тонер canon 725	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_725	92	cartridge/consumable code head delta
canon 737	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_737	92	cartridge/consumable code head delta
canon737	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_737	92	cartridge/consumable code head delta
картридж canon 737	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_737	92	cartridge/consumable code head delta
тонер canon 737	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_737	92	cartridge/consumable code head delta
canon 057	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_057	92	cartridge/consumable code head delta
canon057	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_057	92	cartridge/consumable code head delta
картридж canon 057	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_057	92	cartridge/consumable code head delta
тонер canon 057	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	CANON_057	92	cartridge/consumable code head delta
epson 103	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_103	92	cartridge/consumable code head delta
epson103	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_103	92	cartridge/consumable code head delta
бутылка epson 103	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_103	92	cartridge/consumable code head delta
чернила epson 103	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_103	92	cartridge/consumable code head delta
epson 104	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_104	92	cartridge/consumable code head delta
epson104	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_104	92	cartridge/consumable code head delta
бутылка epson 104	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_104	92	cartridge/consumable code head delta
чернила epson 104	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_104	92	cartridge/consumable code head delta
epson 664	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_664	92	cartridge/consumable code head delta
epson664	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_664	92	cartridge/consumable code head delta
бутылка epson 664	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_664	92	cartridge/consumable code head delta
чернила epson 664	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_664	92	cartridge/consumable code head delta
epson 673	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_673	92	cartridge/consumable code head delta
epson673	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_673	92	cartridge/consumable code head delta
бутылка epson 673	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_673	92	cartridge/consumable code head delta
чернила epson 673	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_673	92	cartridge/consumable code head delta
epson t00v	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_T00V	92	cartridge/consumable code head delta
epsont00v	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_T00V	92	cartridge/consumable code head delta
бутылка epson t00v	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_T00V	92	cartridge/consumable code head delta
чернила epson t00v	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	EPSON_T00V	92	cartridge/consumable code head delta
brother tn 1075	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TN_1075	92	cartridge/consumable code head delta
brother tn-1075	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TN_1075	92	cartridge/consumable code head delta
brothertn-1075	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TN_1075	92	cartridge/consumable code head delta
картридж brother tn-1075	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TN_1075	92	cartridge/consumable code head delta
лента brother tn-1075	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TN_1075	92	cartridge/consumable code head delta
brother tn 2421	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TN_2421	92	cartridge/consumable code head delta
brother tn-2421	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TN_2421	92	cartridge/consumable code head delta
brothertn-2421	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TN_2421	92	cartridge/consumable code head delta
картридж brother tn-2421	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TN_2421	92	cartridge/consumable code head delta
лента brother tn-2421	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TN_2421	92	cartridge/consumable code head delta
brother lc 3219	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_LC_3219	92	cartridge/consumable code head delta
brother lc-3219	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_LC_3219	92	cartridge/consumable code head delta
brotherlc-3219	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_LC_3219	92	cartridge/consumable code head delta
картридж brother lc-3219	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_LC_3219	92	cartridge/consumable code head delta
лента brother lc-3219	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_LC_3219	92	cartridge/consumable code head delta
brother tze tape	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TZE_TAPE	92	cartridge/consumable code head delta
brothertzetape	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TZE_TAPE	92	cartridge/consumable code head delta
картридж brother tze tape	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TZE_TAPE	92	cartridge/consumable code head delta
лента brother tze tape	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	BROTHER_TZE_TAPE	92	cartridge/consumable code head delta
samsung mlt d111s	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	SAMSUNG_MLT_D111S	92	cartridge/consumable code head delta
samsung mlt-d111s	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	SAMSUNG_MLT_D111S	92	cartridge/consumable code head delta
samsungmlt-d111s	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	SAMSUNG_MLT_D111S	92	cartridge/consumable code head delta
samsung mlt d101s	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	SAMSUNG_MLT_D101S	92	cartridge/consumable code head delta
samsung mlt-d101s	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	SAMSUNG_MLT_D101S	92	cartridge/consumable code head delta
samsungmlt-d101s	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	SAMSUNG_MLT_D101S	92	cartridge/consumable code head delta
xerox 106r series	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	XEROX_106R	92	cartridge/consumable code head delta
xerox106rseries	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	XEROX_106R	92	cartridge/consumable code head delta
pantum pc 211	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	PANTUM_PC_211	92	cartridge/consumable code head delta
pantum pc-211	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	PANTUM_PC_211	92	cartridge/consumable code head delta
pantumpc-211	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	PANTUM_PC_211	92	cartridge/consumable code head delta
pantum pb 211	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	PANTUM_PB_211	92	cartridge/consumable code head delta
pantum pb-211	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	PANTUM_PB_211	92	cartridge/consumable code head delta
pantumpb-211	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	PANTUM_PB_211	92	cartridge/consumable code head delta
dymo d1 tape	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	DYMO_D1_TAPE	92	cartridge/consumable code head delta
dymod1tape	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	DYMO_D1_TAPE	92	cartridge/consumable code head delta
zebra label roll	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	ZEBRA_LABEL_ROLL	92	cartridge/consumable code head delta
zebralabelroll	ru	TECH.PRINTERS_SCANNERS	compatible_cartridge_code	ZEBRA_LABEL_ROLL	92	cartridge/consumable code head delta
чернила для принтера	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	88	generic consumable alias
чернильный картридж	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	88	generic consumable alias
картридж струйный	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	88	generic consumable alias
набор чернил для принтера	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	88	generic consumable alias
бутылка чернил epson	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	88	generic consumable alias
тонер картридж	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	TONER_CARTRIDGE	88	generic consumable alias
лазерный картридж	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	TONER_CARTRIDGE	88	generic consumable alias
картридж для лазерного принтера	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	TONER_CARTRIDGE	88	generic consumable alias
барабан принтера	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	TONER_CARTRIDGE	88	generic consumable alias
drum unit brother	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	TONER_CARTRIDGE	88	generic consumable alias
maintenance box epson	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	88	generic consumable alias
абсорбер epson	ru	TECH.PRINTERS_SCANNERS	printer_scanner_type	INK_CARTRIDGE	88	generic consumable alias
obd2 scanner	ru	TECH.CAR_ELECTRONICS_GPS	car_electronics_type	OBD_SCANNER	98	negative route guard: not document scanner
obd scanner	ru	TECH.CAR_ELECTRONICS_GPS	car_electronics_type	OBD_SCANNER	98	negative route guard: not document scanner
автосканер obd2	ru	TECH.CAR_ELECTRONICS_GPS	car_electronics_type	OBD_SCANNER	98	negative route guard: not document scanner
диагностический сканер авто	ru	TECH.CAR_ELECTRONICS_GPS	car_electronics_type	OBD_SCANNER	98	negative route guard: not document scanner
3d printer	ru	TECH.OTHER_ELECTRONICS	fallback_reason	THREE_D_PRINTING_RESERVED_V1	96	out of v1 printer/scanner scope
3д принтер	ru	TECH.OTHER_ELECTRONICS	fallback_reason	THREE_D_PRINTING_RESERVED_V1	96	out of v1 printer/scanner scope
принтер 3d	ru	TECH.OTHER_ELECTRONICS	fallback_reason	THREE_D_PRINTING_RESERVED_V1	96	out of v1 printer/scanner scope
филамент для 3д принтера	ru	TECH.OTHER_ELECTRONICS	fallback_reason	THREE_D_PRINTING_RESERVED_V1	96	out of v1 printer/scanner scope
