attribute_code	role	value_type	cardinality	required_policy	usage_scope	value_source	ui_visibility	facet_usage	allowed_values_ref	validation_rule	notes_ru
functional_condition	T1_TYPE_RELEVANT	enum	single	soft_required_for_used	used/refurbished/parts flows	head_values	expanded	primary	values.tech_electronics_common.v1_0.tsv#functional_condition	enum_or_UNKNOWN	Работоспособность.
color_vendor_text	T2_OPTIONAL_ENRICHMENT	string	single	optional	all_tech_public_categories	raw_text	hidden_by_default	none		max_len:80	Цвет как написан продавцом/брендом.
warranty_months_remaining	T2_OPTIONAL_ENRICHMENT	integer	single	optional	warranty flows	extracted	expanded	secondary		range:0..120	Оставшиеся месяцы гарантии.
warranty_provider	T2_OPTIONAL_ENRICHMENT	enum	single	optional	warranty flows	head_values	expanded	secondary	values.tech_electronics_common.v1_0.tsv#warranty_provider	enum_or_UNKNOWN	Кто предоставляет гарантию.
receipt_available	T2_OPTIONAL_ENRICHMENT	enum	single	optional	used flows	head_values	expanded	secondary	values.tech_electronics_common.v1_0.tsv#receipt_available	enum_or_UNKNOWN	Есть ли чек/документ покупки.
purchase_channel	T2_OPTIONAL_ENRICHMENT	enum	single	optional	used flows	head_values	hidden_by_default	none	values.tech_electronics_common.v1_0.tsv#purchase_channel	enum_or_UNKNOWN	Канал покупки, если продавец указал.
return_policy_status	T2_OPTIONAL_ENRICHMENT	enum	single	optional	merchant/import flows	head_values	hidden_by_default	none	values.tech_electronics_common.v1_0.tsv#return_policy_status	enum_or_UNKNOWN	Наличие возможности возврата.
refurbishment_grade	T2_OPTIONAL_ENRICHMENT	enum	single	optional	refurbished flows	head_values	expanded	secondary	values.tech_electronics_common.v1_0.tsv#refurbishment_grade	enum_or_UNKNOWN	Грейд восстановленного товара.
refurbishment_provider	T2_OPTIONAL_ENRICHMENT	enum	single	optional	refurbished flows	head_values	hidden_by_default	none	values.tech_electronics_common.v1_0.tsv#refurbishment_provider	enum_or_UNKNOWN	Кем восстановлен товар.
service_history_text	T2_OPTIONAL_ENRICHMENT	string	single	optional	used/refurbished flows	raw_text	hidden_by_default	none		max_len:500; pii_filter	Свободный текст о сервисной истории.
defect_notes	T2_OPTIONAL_ENRICHMENT	string	multi	optional	defect/parts flows	raw_text	expanded	secondary		max_len:500; pii_filter	Описание дефектов без попытки вывести specs.
accessory_completeness_grade	T2_OPTIONAL_ENRICHMENT	enum	single	optional	all_tech_public_categories	head_values	expanded	secondary	values.tech_electronics_common.v1_0.tsv#accessory_completeness_grade	enum_or_UNKNOWN	Полнота комплектации.
packaging_condition	T2_OPTIONAL_ENRICHMENT	enum	single	optional	all_tech_public_categories	head_values	expanded	secondary	values.tech_electronics_common.v1_0.tsv#packaging_condition	enum_or_UNKNOWN	Состояние упаковки.
seller_notes_quality	T2_OPTIONAL_ENRICHMENT	enum	single	optional	all_tech_public_categories	computed	hidden_by_default	none	values.tech_electronics_common.v1_0.tsv#seller_notes_quality	computed_enum	Оценка качества описания продавца.
model_name_text_raw	T3_SYSTEM_HIDDEN	string	single	optional	identity_deferred	raw_text	never_ui	none		store_raw_only; do_not_normalize_to_model_here	Сырой текст модели; нормализация модели только в TECH.DEVICE_IDENTITY_COMMON.
listing_completeness_confidence	T3_SYSTEM_HIDDEN	decimal	single	computed	all_tech_public_categories	computed	never_ui	none		range:0..1	Уверенность полноты объявления.
evidence_level	T3_SYSTEM_HIDDEN	enum	single	computed	all_tech_public_categories	computed	never_ui	none	values.tech_electronics_common.v1_0.tsv#evidence_level	enum	Уровень доказательности извлечения.
normalization_source	T3_SYSTEM_HIDDEN	enum	multi	computed	all_tech_public_categories	computed	never_ui	none	values.tech_electronics_common.v1_0.tsv#normalization_source	multi_enum	Источники нормализации.
source_locale	T3_SYSTEM_HIDDEN	string	single	computed	all_tech_public_categories	source_meta	never_ui	none		bcp47_or_unknown	Локаль источника.
source_market	T3_SYSTEM_HIDDEN	string	single	computed	all_tech_public_categories	source_meta	never_ui	none		iso3166_or_unknown	Рынок источника.
extraction_warnings	T3_SYSTEM_HIDDEN	string	multi	computed	all_tech_public_categories	computed	never_ui	none		controlled_codes	Предупреждения extraction pipeline.
route_guardrail_trace	T3_SYSTEM_HIDDEN	string	multi	computed	router	computed	never_ui	none		controlled_codes	След применения route guardrails.
vision_confidence	T3_SYSTEM_HIDDEN	decimal	single	computed	vision	computed	never_ui	none		range:0..1	Общая уверенность vision extractor.
data_quality_score	T3_SYSTEM_HIDDEN	decimal	single	computed	all_tech_public_categories	computed	never_ui	none		range:0..1	Итоговый quality score.
