alias	locale	target_kind	target_code	confidence	priority	negative_context	notes_ru
гоу про	ru	value	brand:GOPRO	0.89	70		Alias for brand=GOPRO
гоупро	ru	value	brand:GOPRO	0.89	70		Alias for brand=GOPRO
тп линк	ru	value	brand:TP_LINK	0.89	70		Alias for brand=TP_LINK
tp link	ru	value	brand:TP_LINK	0.89	70		Alias for brand=TP_LINK
tplink	ru	value	brand:TP_LINK	0.89	70		Alias for brand=TP_LINK
другой	ru	value	brand:OTHER	0.89	70		Alias for brand=OTHER
noname	ru	value	brand:OTHER	0.89	70		Alias for brand=OTHER
no name	ru	value	brand:OTHER	0.89	70		Alias for brand=OTHER
без бренда	ru	value	brand:UNKNOWN	0.89	70		Alias for brand=UNKNOWN
не указан	ru	value	brand:UNKNOWN	0.89	70		Alias for brand=UNKNOWN
новый	ru	value	condition:NEW	0.89	70		Alias for condition=NEW
новая	ru	value	condition:NEW	0.89	70		Alias for condition=NEW
запечатан	ru	value	condition:NEW	0.89	70		Alias for condition=NEW
sealed	ru	value	condition:NEW	0.89	70		Alias for condition=NEW
в пленке	ru	value	condition:NEW	0.89	70		Alias for condition=NEW
не вскрывался	ru	value	condition:NEW	0.89	70		Alias for condition=NEW
open box	ru	value	condition:OPEN_BOX	0.89	70		Alias for condition=OPEN_BOX
открытая коробка	ru	value	condition:OPEN_BOX	0.89	70		Alias for condition=OPEN_BOX
коробка вскрыта	ru	value	condition:OPEN_BOX	0.89	70		Alias for condition=OPEN_BOX
витринный	ru	value	condition:OPEN_BOX	0.89	70		Alias for condition=OPEN_BOX
как новый	ru	value	condition:USED_LIKE_NEW	0.89	70		Alias for condition=USED_LIKE_NEW
как новая	ru	value	condition:USED_LIKE_NEW	0.89	70		Alias for condition=USED_LIKE_NEW
идеальное состояние	ru	value	condition:USED_LIKE_NEW	0.89	70		Alias for condition=USED_LIKE_NEW
без следов	ru	value	condition:USED_LIKE_NEW	0.89	70		Alias for condition=USED_LIKE_NEW
хорошее состояние	ru	value	condition:USED_GOOD	0.89	70		Alias for condition=USED_GOOD
есть следы	ru	value	condition:USED_GOOD	0.89	70		Alias for condition=USED_GOOD
нормальное состояние	ru	value	condition:USED_GOOD	0.89	70		Alias for condition=USED_GOOD
потертости	ru	value	condition:USED_FAIR	0.89	70		Alias for condition=USED_FAIR
царапины	ru	value	condition:USED_FAIR	0.89	70		Alias for condition=USED_FAIR
сильно б/у	ru	value	condition:USED_FAIR	0.89	70		Alias for condition=USED_FAIR
на запчасти	ru	value	condition:USED_FOR_PARTS	0.89	70		Alias for condition=USED_FOR_PARTS
не включается	ru	value	condition:USED_FOR_PARTS	0.89	70		Alias for condition=USED_FOR_PARTS
донор	ru	value	condition:USED_FOR_PARTS	0.89	70		Alias for condition=USED_FOR_PARTS
разбор	ru	value	condition:USED_FOR_PARTS	0.89	70		Alias for condition=USED_FOR_PARTS
официально восстановлен	ru	value	condition:REFURBISHED_MANUFACTURER	0.89	70		Alias for condition=REFURBISHED_MANUFACTURER
manufacturer refurbished	ru	value	condition:REFURBISHED_MANUFACTURER	0.89	70		Alias for condition=REFURBISHED_MANUFACTURER
refurbished	ru	value	condition:REFURBISHED_SELLER	0.89	70		Alias for condition=REFURBISHED_SELLER
восстановленный	ru	value	condition:REFURBISHED_SELLER	0.89	70		Alias for condition=REFURBISHED_SELLER
реф	ru	value	condition:REFURBISHED_SELLER	0.89	70		Alias for condition=REFURBISHED_SELLER
рефаб	ru	value	condition:REFURBISHED_SELLER	0.89	70		Alias for condition=REFURBISHED_SELLER
состояние не указано	ru	value	condition:UNKNOWN	0.89	70		Alias for condition=UNKNOWN
черный	ru	value	color_family:BLACK	0.89	70		Alias for color_family=BLACK
чёрная	ru	value	color_family:BLACK	0.89	70		Alias for color_family=BLACK
black	ru	value	color_family:BLACK	0.89	70		Alias for color_family=BLACK
space black	ru	value	color_family:BLACK	0.89	70		Alias for color_family=BLACK
графит если продавец указал	ru	value	color_family:BLACK	0.89	70		Alias for color_family=BLACK
white	ru	value	color_family:WHITE	0.89	70		Alias for color_family=WHITE
белая	ru	value	color_family:WHITE	0.89	70		Alias for color_family=WHITE
snow	ru	value	color_family:WHITE	0.89	70		Alias for color_family=WHITE
silver	ru	value	color_family:SILVER	0.89	70		Alias for color_family=SILVER
серебро	ru	value	color_family:SILVER	0.89	70		Alias for color_family=SILVER
grey	ru	value	color_family:GRAY	0.89	70		Alias for color_family=GRAY
gray	ru	value	color_family:GRAY	0.89	70		Alias for color_family=GRAY
графит	ru	value	color_family:GRAY	0.89	70		Alias for color_family=GRAY
space gray	ru	value	color_family:GRAY	0.89	70		Alias for color_family=GRAY
серый	ru	value	color_family:GRAY	0.89	70		Alias for color_family=GRAY
gold	ru	value	color_family:GOLD	0.89	70		Alias for color_family=GOLD
золото	ru	value	color_family:GOLD	0.89	70		Alias for color_family=GOLD
champagne	ru	value	color_family:GOLD	0.89	70		Alias for color_family=GOLD
rose gold	ru	value	color_family:ROSE_GOLD	0.89	70		Alias for color_family=ROSE_GOLD
розовый голд	ru	value	color_family:ROSE_GOLD	0.89	70		Alias for color_family=ROSE_GOLD
blue	ru	value	color_family:BLUE	0.89	70		Alias for color_family=BLUE
голубой	ru	value	color_family:BLUE	0.89	70		Alias for color_family=BLUE
navy	ru	value	color_family:BLUE	0.89	70		Alias for color_family=BLUE
red	ru	value	color_family:RED	0.89	70		Alias for color_family=RED
бордовый	ru	value	color_family:RED	0.89	70		Alias for color_family=RED
green	ru	value	color_family:GREEN	0.89	70		Alias for color_family=GREEN
mint	ru	value	color_family:GREEN	0.89	70		Alias for color_family=GREEN
olive	ru	value	color_family:GREEN	0.89	70		Alias for color_family=GREEN
purple	ru	value	color_family:PURPLE	0.89	70		Alias for color_family=PURPLE
lavender	ru	value	color_family:PURPLE	0.89	70		Alias for color_family=PURPLE
фиолетовый	ru	value	color_family:PURPLE	0.89	70		Alias for color_family=PURPLE
pink	ru	value	color_family:PINK	0.89	70		Alias for color_family=PINK
rose	ru	value	color_family:PINK	0.89	70		Alias for color_family=PINK
yellow	ru	value	color_family:YELLOW	0.89	70		Alias for color_family=YELLOW
orange	ru	value	color_family:ORANGE	0.89	70		Alias for color_family=ORANGE
brown	ru	value	color_family:BROWN	0.89	70		Alias for color_family=BROWN
coffee	ru	value	color_family:BROWN	0.89	70		Alias for color_family=BROWN
beige	ru	value	color_family:BEIGE	0.89	70		Alias for color_family=BEIGE
cream	ru	value	color_family:BEIGE	0.89	70		Alias for color_family=BEIGE
transparent	ru	value	color_family:TRANSPARENT	0.89	70		Alias for color_family=TRANSPARENT
clear	ru	value	color_family:TRANSPARENT	0.89	70		Alias for color_family=TRANSPARENT
прозрачный	ru	value	color_family:TRANSPARENT	0.89	70		Alias for color_family=TRANSPARENT
multicolor	ru	value	color_family:MULTICOLOR	0.89	70		Alias for color_family=MULTICOLOR
rainbow	ru	value	color_family:MULTICOLOR	0.89	70		Alias for color_family=MULTICOLOR
цветной	ru	value	color_family:MULTICOLOR	0.89	70		Alias for color_family=MULTICOLOR
другой цвет	ru	value	color_family:OTHER	0.89	70		Alias for color_family=OTHER
цвет не указан	ru	value	color_family:UNKNOWN	0.89	70		Alias for color_family=UNKNOWN
на гарантии	ru	value	warranty_status:MANUFACTURER_WARRANTY_ACTIVE	0.89	70		Alias for warranty_status=MANUFACTURER_WARRANTY_ACTIVE
официальная гарантия	ru	value	warranty_status:MANUFACTURER_WARRANTY_ACTIVE	0.89	70		Alias for warranty_status=MANUFACTURER_WARRANTY_ACTIVE
гарантия производителя	ru	value	warranty_status:MANUFACTURER_WARRANTY_ACTIVE	0.89	70		Alias for warranty_status=MANUFACTURER_WARRANTY_ACTIVE
гарантия магазина	ru	value	warranty_status:SELLER_WARRANTY	0.89	70		Alias for warranty_status=SELLER_WARRANTY
гарантия продавца	ru	value	warranty_status:SELLER_WARRANTY	0.89	70		Alias for warranty_status=SELLER_WARRANTY
гарантия импортера	ru	value	warranty_status:IMPORTER_WARRANTY	0.89	70		Alias for warranty_status=IMPORTER_WARRANTY
гарантия поставщика	ru	value	warranty_status:IMPORTER_WARRANTY	0.89	70		Alias for warranty_status=IMPORTER_WARRANTY
гарантия закончилась	ru	value	warranty_status:EXPIRED	0.89	70		Alias for warranty_status=EXPIRED
без гарантии потому что истекла	ru	value	warranty_status:EXPIRED	0.89	70		Alias for warranty_status=EXPIRED
нет гарантии	ru	value	warranty_status:NO_WARRANTY	0.89	70		Alias for warranty_status=NO_WARRANTY
без гарантии	ru	value	warranty_status:NO_WARRANTY	0.89	70		Alias for warranty_status=NO_WARRANTY
не знаю гарантию	ru	value	warranty_status:UNKNOWN	0.89	70		Alias for warranty_status=UNKNOWN
не указано	ru	value	warranty_status:UNKNOWN	0.89	70		Alias for warranty_status=UNKNOWN
global	ru	value	region:GLOBAL	0.89	70		Alias for region=GLOBAL
global version	ru	value	region:GLOBAL	0.89	70		Alias for region=GLOBAL
международная версия	ru	value	region:GLOBAL	0.89	70		Alias for region=GLOBAL
eu	ru	value	region:EU	0.89	70		Alias for region=EU
europe	ru	value	region:EU	0.89	70		Alias for region=EU
евро версия	ru	value	region:EU	0.89	70		Alias for region=EU
европейская версия	ru	value	region:EU	0.89	70		Alias for region=EU
usa	ru	value	region:US	0.89	70		Alias for region=US
us	ru	value	region:US	0.89	70		Alias for region=US
американская версия	ru	value	region:US	0.89	70		Alias for region=US
uk	ru	value	region:UK	0.89	70		Alias for region=UK
британская версия	ru	value	region:UK	0.89	70		Alias for region=UK
china	ru	value	region:CN	0.89	70		Alias for region=CN
cn	ru	value	region:CN	0.89	70		Alias for region=CN
китайская версия	ru	value	region:CN	0.89	70		Alias for region=CN
japan	ru	value	region:JP	0.89	70		Alias for region=JP
jp	ru	value	region:JP	0.89	70		Alias for region=JP
японская версия	ru	value	region:JP	0.89	70		Alias for region=JP
korea	ru	value	region:KR	0.89	70		Alias for region=KR
kr	ru	value	region:KR	0.89	70		Alias for region=KR
корейская версия	ru	value	region:KR	0.89	70		Alias for region=KR
российская версия	ru	value	region:RU	0.89	70		Alias for region=RU
ростест	ru	value	region:RU	0.89	70		Alias for region=RU
eac	ru	value	region:RU	0.89	70		Alias for region=RU
india	ru	value	region:IN	0.89	70		Alias for region=IN
индийская версия	ru	value	region:IN	0.89	70		Alias for region=IN
другой регион	ru	value	region:OTHER	0.89	70		Alias for region=OTHER
регион не указан	ru	value	region:UNKNOWN	0.89	70		Alias for region=UNKNOWN
global version	ru	value	country_version:GLOBAL_VERSION	0.89	70		Alias for country_version=GLOBAL_VERSION
глобалка	ru	value	country_version:GLOBAL_VERSION	0.89	70		Alias for country_version=GLOBAL_VERSION
eu version	ru	value	country_version:EU_VERSION	0.89	70		Alias for country_version=EU_VERSION
евроверсия	ru	value	country_version:EU_VERSION	0.89	70		Alias for country_version=EU_VERSION
us version	ru	value	country_version:US_VERSION	0.89	70		Alias for country_version=US_VERSION
американец	ru	value	country_version:US_VERSION	0.89	70		Alias for country_version=US_VERSION
china version	ru	value	country_version:CN_VERSION	0.89	70		Alias for country_version=CN_VERSION
китаец	ru	value	country_version:CN_VERSION	0.89	70		Alias for country_version=CN_VERSION
japan version	ru	value	country_version:JP_VERSION	0.89	70		Alias for country_version=JP_VERSION
японец	ru	value	country_version:JP_VERSION	0.89	70		Alias for country_version=JP_VERSION
korea version	ru	value	country_version:KR_VERSION	0.89	70		Alias for country_version=KR_VERSION
кореец	ru	value	country_version:KR_VERSION	0.89	70		Alias for country_version=KR_VERSION
ростест	ru	value	country_version:RU_VERSION	0.89	70		Alias for country_version=RU_VERSION
eac	ru	value	country_version:RU_VERSION	0.89	70		Alias for country_version=RU_VERSION
русская версия	ru	value	country_version:RU_VERSION	0.89	70		Alias for country_version=RU_VERSION
британская версия	ru	value	country_version:UK_VERSION	0.89	70		Alias for country_version=UK_VERSION
индийская версия	ru	value	country_version:IN_VERSION	0.89	70		Alias for country_version=IN_VERSION
неизвестно	ru	value	country_version:UNKNOWN	0.89	70		Alias for country_version=UNKNOWN
коробка	ru	value	included_accessories:ORIGINAL_BOX	0.89	70		Alias for included_accessories=ORIGINAL_BOX
родная коробка	ru	value	included_accessories:ORIGINAL_BOX	0.89	70		Alias for included_accessories=ORIGINAL_BOX
ориг коробка	ru	value	included_accessories:ORIGINAL_BOX	0.89	70		Alias for included_accessories=ORIGINAL_BOX
зарядка	ru	value	included_accessories:CHARGER	0.89	70		Alias for included_accessories=CHARGER
блок питания	ru	value	included_accessories:CHARGER	0.89	70		Alias for included_accessories=CHARGER
адаптер питания	ru	value	included_accessories:CHARGER	0.89	70		Alias for included_accessories=CHARGER
провод	ru	value	included_accessories:CABLE	0.89	70		Alias for included_accessories=CABLE
шнур	ru	value	included_accessories:CABLE	0.89	70		Alias for included_accessories=CABLE
usb кабель	ru	value	included_accessories:CABLE	0.89	70		Alias for included_accessories=CABLE
мануал	ru	value	included_accessories:MANUAL	0.89	70		Alias for included_accessories=MANUAL
документы	ru	value	included_accessories:MANUAL	0.89	70		Alias for included_accessories=MANUAL
чек	ru	value	included_accessories:RECEIPT	0.89	70		Alias for included_accessories=RECEIPT
накладная	ru	value	included_accessories:RECEIPT	0.89	70		Alias for included_accessories=RECEIPT
гарантийка	ru	value	included_accessories:WARRANTY_CARD	0.89	70		Alias for included_accessories=WARRANTY_CARD
талон	ru	value	included_accessories:WARRANTY_CARD	0.89	70		Alias for included_accessories=WARRANTY_CARD
пульт ду	ru	value	included_accessories:REMOTE_CONTROL	0.89	70		Alias for included_accessories=REMOTE_CONTROL
remote	ru	value	included_accessories:REMOTE_CONTROL	0.89	70		Alias for included_accessories=REMOTE_CONTROL
стойка	ru	value	included_accessories:STAND	0.89	70		Alias for included_accessories=STAND
ножка	ru	value	included_accessories:STAND	0.89	70		Alias for included_accessories=STAND
чехол	ru	value	included_accessories:CASE	0.89	70		Alias for included_accessories=CASE
кейс	ru	value	included_accessories:CASE	0.89	70		Alias for included_accessories=CASE
адаптер	ru	value	included_accessories:ADAPTER	0.89	70		Alias for included_accessories=ADAPTER
переходник	ru	value	included_accessories:ADAPTER	0.89	70		Alias for included_accessories=ADAPTER
акб	ru	value	included_accessories:BATTERY	0.89	70		Alias for included_accessories=BATTERY
батарея	ru	value	included_accessories:BATTERY	0.89	70		Alias for included_accessories=BATTERY
ремешок	ru	value	included_accessories:STRAP	0.89	70		Alias for included_accessories=STRAP
strap	ru	value	included_accessories:STRAP	0.89	70		Alias for included_accessories=STRAP
кронштейн	ru	value	included_accessories:MOUNT	0.89	70		Alias for included_accessories=MOUNT
держатель	ru	value	included_accessories:MOUNT	0.89	70		Alias for included_accessories=MOUNT
док	ru	value	included_accessories:DOCK	0.89	70		Alias for included_accessories=DOCK
dock	ru	value	included_accessories:DOCK	0.89	70		Alias for included_accessories=DOCK
sd карта	ru	value	included_accessories:MEMORY_CARD	0.89	70		Alias for included_accessories=MEMORY_CARD
карта памяти	ru	value	included_accessories:MEMORY_CARD	0.89	70		Alias for included_accessories=MEMORY_CARD
сумка	ru	value	included_accessories:BAG	0.89	70		Alias for included_accessories=BAG
чехол сумка	ru	value	included_accessories:BAG	0.89	70		Alias for included_accessories=BAG
без комплекта	ru	value	included_accessories:NONE	0.89	70		Alias for included_accessories=NONE
только устройство	ru	value	included_accessories:NONE	0.89	70		Alias for included_accessories=NONE
без ничего	ru	value	included_accessories:NONE	0.89	70		Alias for included_accessories=NONE
комплект не указан	ru	value	included_accessories:UNKNOWN	0.89	70		Alias for included_accessories=UNKNOWN
есть коробка	ru	value	original_box:YES_ORIGINAL	0.89	70		Alias for original_box=YES_ORIGINAL
с коробкой	ru	value	original_box:YES_ORIGINAL	0.89	70		Alias for original_box=YES_ORIGINAL
родная коробка	ru	value	original_box:YES_ORIGINAL	0.89	70		Alias for original_box=YES_ORIGINAL
не родная коробка	ru	value	original_box:YES_NOT_ORIGINAL	0.89	70		Alias for original_box=YES_NOT_ORIGINAL
упаковка есть	ru	value	original_box:YES_NOT_ORIGINAL	0.89	70		Alias for original_box=YES_NOT_ORIGINAL
нет коробки	ru	value	original_box:NO	0.89	70		Alias for original_box=NO
без коробки	ru	value	original_box:NO	0.89	70		Alias for original_box=NO
мятая коробка	ru	value	original_box:DAMAGED	0.89	70		Alias for original_box=DAMAGED
повреждена упаковка	ru	value	original_box:DAMAGED	0.89	70		Alias for original_box=DAMAGED
не указано	ru	value	original_box:UNKNOWN	0.89	70		Alias for original_box=UNKNOWN
не реф	ru	value	refurbished_status:NOT_REFURBISHED	0.89	70		Alias for refurbished_status=NOT_REFURBISHED
не восстановленный	ru	value	refurbished_status:NOT_REFURBISHED	0.89	70		Alias for refurbished_status=NOT_REFURBISHED
официально восстановлен	ru	value	refurbished_status:MANUFACTURER_REFURBISHED	0.89	70		Alias for refurbished_status=MANUFACTURER_REFURBISHED
factory refurbished	ru	value	refurbished_status:MANUFACTURER_REFURBISHED	0.89	70		Alias for refurbished_status=MANUFACTURER_REFURBISHED
продавец восстановил	ru	value	refurbished_status:SELLER_REFURBISHED	0.89	70		Alias for refurbished_status=SELLER_REFURBISHED
seller refurbished	ru	value	refurbished_status:SELLER_REFURBISHED	0.89	70		Alias for refurbished_status=SELLER_REFURBISHED
в сервисе восстановлен	ru	value	refurbished_status:THIRD_PARTY_REFURBISHED	0.89	70		Alias for refurbished_status=THIRD_PARTY_REFURBISHED
third party refurbished	ru	value	refurbished_status:THIRD_PARTY_REFURBISHED	0.89	70		Alias for refurbished_status=THIRD_PARTY_REFURBISHED
реф не указан	ru	value	refurbished_status:UNKNOWN	0.89	70		Alias for refurbished_status=UNKNOWN
без ремонта	ru	value	repair_history:NO_REPAIR_DECLARED	0.89	70		Alias for repair_history=NO_REPAIR_DECLARED
не ремонтировался	ru	value	repair_history:NO_REPAIR_DECLARED	0.89	70		Alias for repair_history=NO_REPAIR_DECLARED
замена экрана	ru	value	repair_history:SCREEN_REPLACED	0.89	70		Alias for repair_history=SCREEN_REPLACED
экран менялся	ru	value	repair_history:SCREEN_REPLACED	0.89	70		Alias for repair_history=SCREEN_REPLACED
замена батареи	ru	value	repair_history:BATTERY_REPLACED	0.89	70		Alias for repair_history=BATTERY_REPLACED
акб менялся	ru	value	repair_history:BATTERY_REPLACED	0.89	70		Alias for repair_history=BATTERY_REPLACED
ремонт платы	ru	value	repair_history:BOARD_REPAIR	0.89	70		Alias for repair_history=BOARD_REPAIR
пайка платы	ru	value	repair_history:BOARD_REPAIR	0.89	70		Alias for repair_history=BOARD_REPAIR
ремонт порта	ru	value	repair_history:PORT_REPAIR	0.89	70		Alias for repair_history=PORT_REPAIR
меняли разъем	ru	value	repair_history:PORT_REPAIR	0.89	70		Alias for repair_history=PORT_REPAIR
залитие	ru	value	repair_history:WATER_DAMAGE_REPAIR	0.89	70		Alias for repair_history=WATER_DAMAGE_REPAIR
после воды	ru	value	repair_history:WATER_DAMAGE_REPAIR	0.89	70		Alias for repair_history=WATER_DAMAGE_REPAIR
корпус менялся	ru	value	repair_history:BODY_REPAIR	0.89	70		Alias for repair_history=BODY_REPAIR
не знаю ремонт	ru	value	repair_history:UNKNOWN	0.89	70		Alias for repair_history=UNKNOWN
a+	ru	value	cosmetic_condition_grade:A_PLUS	0.89	70		Alias for cosmetic_condition_grade=A_PLUS
идеал	ru	value	cosmetic_condition_grade:A_PLUS	0.89	70		Alias for cosmetic_condition_grade=A_PLUS
a grade	ru	value	cosmetic_condition_grade:A	0.89	70		Alias for cosmetic_condition_grade=A
отличное	ru	value	cosmetic_condition_grade:A	0.89	70		Alias for cosmetic_condition_grade=A
b grade	ru	value	cosmetic_condition_grade:B	0.89	70		Alias for cosmetic_condition_grade=B
хорошее	ru	value	cosmetic_condition_grade:B	0.89	70		Alias for cosmetic_condition_grade=B
c grade	ru	value	cosmetic_condition_grade:C	0.89	70		Alias for cosmetic_condition_grade=C
потертости	ru	value	cosmetic_condition_grade:C	0.89	70		Alias for cosmetic_condition_grade=C
d grade	ru	value	cosmetic_condition_grade:D	0.89	70		Alias for cosmetic_condition_grade=D
битый корпус	ru	value	cosmetic_condition_grade:D	0.89	70		Alias for cosmetic_condition_grade=D
не указано	ru	value	cosmetic_condition_grade:UNKNOWN	0.89	70		Alias for cosmetic_condition_grade=UNKNOWN
полностью рабочий	ru	value	functional_condition:FULLY_WORKING	0.89	70		Alias for functional_condition=FULLY_WORKING
все работает	ru	value	functional_condition:FULLY_WORKING	0.89	70		Alias for functional_condition=FULLY_WORKING
частично работает	ru	value	functional_condition:PARTIALLY_WORKING	0.89	70		Alias for functional_condition=PARTIALLY_WORKING
есть проблема	ru	value	functional_condition:PARTIALLY_WORKING	0.89	70		Alias for functional_condition=PARTIALLY_WORKING
не работает	ru	value	functional_condition:NOT_WORKING	0.89	70		Alias for functional_condition=NOT_WORKING
не включается	ru	value	functional_condition:NOT_WORKING	0.89	70		Alias for functional_condition=NOT_WORKING
донор	ru	value	functional_condition:FOR_PARTS	0.89	70		Alias for functional_condition=FOR_PARTS
на разбор	ru	value	functional_condition:FOR_PARTS	0.89	70		Alias for functional_condition=FOR_PARTS
не тестировалось	ru	value	functional_condition:UNTESTED	0.89	70		Alias for functional_condition=UNTESTED
нет возможности проверить	ru	value	functional_condition:UNTESTED	0.89	70		Alias for functional_condition=UNTESTED
не указано	ru	value	functional_condition:UNKNOWN	0.89	70		Alias for functional_condition=UNKNOWN
производитель	ru	value	warranty_provider:MANUFACTURER	0.89	70		Alias for warranty_provider=MANUFACTURER
официальная гарантия	ru	value	warranty_provider:MANUFACTURER	0.89	70		Alias for warranty_provider=MANUFACTURER
магазин	ru	value	warranty_provider:SELLER	0.89	70		Alias for warranty_provider=SELLER
продавец	ru	value	warranty_provider:SELLER	0.89	70		Alias for warranty_provider=SELLER
импортер	ru	value	warranty_provider:IMPORTER	0.89	70		Alias for warranty_provider=IMPORTER
поставщик	ru	value	warranty_provider:IMPORTER	0.89	70		Alias for warranty_provider=IMPORTER
сервис	ru	value	warranty_provider:SERVICE_CENTER	0.89	70		Alias for warranty_provider=SERVICE_CENTER
нет гарантии	ru	value	warranty_provider:NONE	0.89	70		Alias for warranty_provider=NONE
не указано	ru	value	warranty_provider:UNKNOWN	0.89	70		Alias for warranty_provider=UNKNOWN
чек есть	ru	value	receipt_available:YES	0.89	70		Alias for receipt_available=YES
с чеком	ru	value	receipt_available:YES	0.89	70		Alias for receipt_available=YES
электронный чек	ru	value	receipt_available:DIGITAL_ONLY	0.89	70		Alias for receipt_available=DIGITAL_ONLY
email чек	ru	value	receipt_available:DIGITAL_ONLY	0.89	70		Alias for receipt_available=DIGITAL_ONLY
без чека	ru	value	receipt_available:NO	0.89	70		Alias for receipt_available=NO
чека нет	ru	value	receipt_available:NO	0.89	70		Alias for receipt_available=NO
не указано	ru	value	receipt_available:UNKNOWN	0.89	70		Alias for receipt_available=UNKNOWN
официальный магазин	ru	value	purchase_channel:OFFICIAL_RETAIL	0.89	70		Alias for purchase_channel=OFFICIAL_RETAIL
retail	ru	value	purchase_channel:OFFICIAL_RETAIL	0.89	70		Alias for purchase_channel=OFFICIAL_RETAIL
ozon	ru	value	purchase_channel:MARKETPLACE	0.89	70		Alias for purchase_channel=MARKETPLACE
wildberries	ru	value	purchase_channel:MARKETPLACE	0.89	70		Alias for purchase_channel=MARKETPLACE
яндекс маркет	ru	value	purchase_channel:MARKETPLACE	0.89	70		Alias for purchase_channel=MARKETPLACE
привозной	ru	value	purchase_channel:PRIVATE_IMPORT	0.89	70		Alias for purchase_channel=PRIVATE_IMPORT
серый импорт	ru	value	purchase_channel:PRIVATE_IMPORT	0.89	70		Alias for purchase_channel=PRIVATE_IMPORT
с рук	ru	value	purchase_channel:SECOND_HAND	0.89	70		Alias for purchase_channel=SECOND_HAND
авито	ru	value	purchase_channel:SECOND_HAND	0.89	70		Alias for purchase_channel=SECOND_HAND
не указано	ru	value	purchase_channel:UNKNOWN	0.89	70		Alias for purchase_channel=UNKNOWN
можно вернуть	ru	value	return_policy_status:RETURN_AVAILABLE	0.89	70		Alias for return_policy_status=RETURN_AVAILABLE
