attribute_code	value_code	label_ru	aliases_ru	status	sort_order	usage_scope	notes_ru
cosmetic_condition_grade	D	D / сильный износ	d grade|битый корпус	HEAD	5	TECH.ELECTRONICS_COMMON	
cosmetic_condition_grade	UNKNOWN	Неизвестно	не указано	HEAD	6	TECH.ELECTRONICS_COMMON	
functional_condition	FULLY_WORKING	Полностью работает	полностью рабочий|все работает	HEAD	1	TECH.ELECTRONICS_COMMON	
functional_condition	PARTIALLY_WORKING	Работает частично	частично работает|есть проблема	HEAD	2	TECH.ELECTRONICS_COMMON	
functional_condition	NOT_WORKING	Не работает	не работает|не включается	HEAD	3	TECH.ELECTRONICS_COMMON	
functional_condition	FOR_PARTS	На запчасти	донор|на разбор	HEAD	4	TECH.ELECTRONICS_COMMON	
functional_condition	UNTESTED	Не проверялось	не тестировалось|нет возможности проверить	HEAD	5	TECH.ELECTRONICS_COMMON	
functional_condition	UNKNOWN	Неизвестно	не указано	HEAD	6	TECH.ELECTRONICS_COMMON	
warranty_provider	MANUFACTURER	Производитель	производитель|официальная гарантия	HEAD	1	TECH.ELECTRONICS_COMMON	
warranty_provider	SELLER	Продавец	магазин|продавец	HEAD	2	TECH.ELECTRONICS_COMMON	
warranty_provider	IMPORTER	Импортёр	импортер|поставщик	HEAD	3	TECH.ELECTRONICS_COMMON	
warranty_provider	SERVICE_CENTER	Сервисный центр	сервис	HEAD	4	TECH.ELECTRONICS_COMMON	
warranty_provider	NONE	Нет	нет гарантии	HEAD	5	TECH.ELECTRONICS_COMMON	
warranty_provider	UNKNOWN	Неизвестно	не указано	HEAD	6	TECH.ELECTRONICS_COMMON	
receipt_available	YES	Есть чек	чек есть|с чеком	HEAD	1	TECH.ELECTRONICS_COMMON	
receipt_available	DIGITAL_ONLY	Электронный чек	электронный чек|email чек	HEAD	2	TECH.ELECTRONICS_COMMON	
receipt_available	NO	Нет чека	без чека|чека нет	HEAD	3	TECH.ELECTRONICS_COMMON	
receipt_available	UNKNOWN	Неизвестно	не указано	HEAD	4	TECH.ELECTRONICS_COMMON	
purchase_channel	OFFICIAL_RETAIL	Официальная розница	официальный магазин|retail	HEAD	1	TECH.ELECTRONICS_COMMON	
purchase_channel	MARKETPLACE	Маркетплейс	ozon|wildberries|яндекс маркет	HEAD	2	TECH.ELECTRONICS_COMMON	
purchase_channel	PRIVATE_IMPORT	Частный импорт	привозной|серый импорт	HEAD	3	TECH.ELECTRONICS_COMMON	
purchase_channel	SECOND_HAND	Вторичный рынок	с рук|авито	HEAD	4	TECH.ELECTRONICS_COMMON	
purchase_channel	UNKNOWN	Неизвестно	не указано	HEAD	5	TECH.ELECTRONICS_COMMON	
return_policy_status	RETURN_AVAILABLE	Возврат доступен	можно вернуть|возврат есть	HEAD	1	TECH.ELECTRONICS_COMMON	
return_policy_status	NO_RETURN	Без возврата	возврата нет|обмена нет	HEAD	2	TECH.ELECTRONICS_COMMON	
return_policy_status	EXCHANGE_ONLY	Только обмен	только обмен	HEAD	3	TECH.ELECTRONICS_COMMON	
return_policy_status	UNKNOWN	Неизвестно	не указано	HEAD	4	TECH.ELECTRONICS_COMMON	
refurbishment_grade	PREMIUM	Premium	premium refurb|идеальный реф	HEAD	1	TECH.ELECTRONICS_COMMON	
refurbishment_grade	A	A	grade a|реф а	HEAD	2	TECH.ELECTRONICS_COMMON	
refurbishment_grade	B	B	grade b|реф b	HEAD	3	TECH.ELECTRONICS_COMMON	
refurbishment_grade	C	C	grade c|реф c	HEAD	4	TECH.ELECTRONICS_COMMON	
refurbishment_grade	UNKNOWN	Неизвестно	не указано	HEAD	5	TECH.ELECTRONICS_COMMON	
refurbishment_provider	MANUFACTURER	Производитель	factory|manufacturer	HEAD	1	TECH.ELECTRONICS_COMMON	
refurbishment_provider	AUTHORIZED_SERVICE	Авторизованный сервис	авторизованный сервис	HEAD	2	TECH.ELECTRONICS_COMMON	
refurbishment_provider	SELLER	Продавец	seller	HEAD	3	TECH.ELECTRONICS_COMMON	
refurbishment_provider	THIRD_PARTY	Сторонний сервис	third party	HEAD	4	TECH.ELECTRONICS_COMMON	
refurbishment_provider	UNKNOWN	Неизвестно	не указано	HEAD	5	TECH.ELECTRONICS_COMMON	
accessory_completeness_grade	FULL_ORIGINAL	Полный оригинальный комплект	полный комплект|все родное	HEAD	1	TECH.ELECTRONICS_COMMON	
accessory_completeness_grade	PARTIAL_ORIGINAL	Частичный оригинальный комплект	частичный комплект	HEAD	2	TECH.ELECTRONICS_COMMON	
accessory_completeness_grade	MIXED	Смешанный комплект	не все родное|часть неоригинал	HEAD	3	TECH.ELECTRONICS_COMMON	
accessory_completeness_grade	DEVICE_ONLY	Только устройство	только девайс|только устройство	HEAD	4	TECH.ELECTRONICS_COMMON	
accessory_completeness_grade	UNKNOWN	Неизвестно	не указано	HEAD	5	TECH.ELECTRONICS_COMMON	
packaging_condition	SEALED	Запечатана	sealed|в пленке	HEAD	1	TECH.ELECTRONICS_COMMON	
packaging_condition	OPENED_GOOD	Открыта, хорошая	открыта|коробка норм	HEAD	2	TECH.ELECTRONICS_COMMON	
packaging_condition	DAMAGED	Повреждена	мятая|порвана	HEAD	3	TECH.ELECTRONICS_COMMON	
packaging_condition	NO_PACKAGING	Нет упаковки	без упаковки	HEAD	4	TECH.ELECTRONICS_COMMON	
packaging_condition	UNKNOWN	Неизвестно	не указано	HEAD	5	TECH.ELECTRONICS_COMMON	
seller_notes_quality	HIGH	Высокое качество описания	подробно	HEAD	1	TECH.ELECTRONICS_COMMON	
seller_notes_quality	MEDIUM	Среднее качество описания	средне	HEAD	2	TECH.ELECTRONICS_COMMON	
seller_notes_quality	LOW	Низкое качество описания	мало информации	HEAD	3	TECH.ELECTRONICS_COMMON	
seller_notes_quality	INSUFFICIENT	Недостаточно данных	нет данных	HEAD	4	TECH.ELECTRONICS_COMMON	
evidence_level	EXPLICIT_TEXT	Явно указано в тексте	text	HEAD	1	TECH.ELECTRONICS_COMMON	
evidence_level	OCR_TEXT	Из OCR	ocr	HEAD	2	TECH.ELECTRONICS_COMMON	
evidence_level	IMAGE_CONFIRMED	Подтверждено изображением	image	HEAD	3	TECH.ELECTRONICS_COMMON	
evidence_level	INFERRED_LOW_CONFIDENCE	Слабое предположение	inferred	HEAD	4	TECH.ELECTRONICS_COMMON	
evidence_level	UNKNOWN	Нет evidence	unknown	HEAD	5	TECH.ELECTRONICS_COMMON	
normalization_source	TITLE	Заголовок	title	HEAD	1	TECH.ELECTRONICS_COMMON	
normalization_source	DESCRIPTION	Описание	description	HEAD	2	TECH.ELECTRONICS_COMMON	
normalization_source	SELLER_FIELDS	Поля продавца	fields	HEAD	3	TECH.ELECTRONICS_COMMON	
normalization_source	OCR	OCR	ocr	HEAD	4	TECH.ELECTRONICS_COMMON	
normalization_source	IMAGE	Изображение	image	HEAD	5	TECH.ELECTRONICS_COMMON	
normalization_source	RUNTIME_CANDIDATE	Runtime candidate	runtime	HEAD	6	TECH.ELECTRONICS_COMMON	
