attribute_code	label_ru	type	role	required_policy	usage_scope	applies_to_types	value_source	unit	ui_hint	validation_notes
ip_rating	ip rating	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	values#ip_rating		type_specific	optional enrichment
energy_monitoring	energy monitoring	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	free_text_or_boolean		type_specific	optional enrichment
switch_type	switch type	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	values#switch_type		type_specific	optional enrichment
neutral_wire_required	neutral wire required	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	free_text_or_boolean		type_specific	optional enrichment
keypad	keypad	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	free_text_or_boolean		type_specific	optional enrichment
fingerprint	fingerprint	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	free_text_or_boolean		type_specific	optional enrichment
auto_lock	auto lock	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	free_text_or_boolean		type_specific	optional enrichment
hvac_compatibility	hvac compatibility	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	values#hvac_compatibility		type_specific	optional enrichment
hub_protocols	hub protocols	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	free_text_or_boolean		type_specific	optional enrichment
max_connected_devices	max connected devices	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	free_text_or_boolean		type_specific	optional enrichment
alarm_volume_db	alarm volume db	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	free_text_or_boolean		type_specific	optional enrichment
siren_type	siren type	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	values#siren_type		type_specific	optional enrichment
automation_use_case	automation use case	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	values#automation_use_case		type_specific	optional enrichment
kit_contains	kit contains	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	free_text_or_boolean		type_specific	optional enrichment
included_accessories	included accessories	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	free_text_or_boolean		type_specific	optional enrichment
original_box	original box	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	free_text_or_boolean		type_specific	optional enrichment
repair_history	repair history	string	T2_OPTIONAL_ENRICHMENT	optional	facet|spec|search	TYPE_SPECIFIC	free_text_or_boolean		type_specific	optional enrichment
normalization_confidence	normalization_confidence	system	T3_SYSTEM_HIDDEN	system	system	ALL	system		hidden	must not appear in UI
identity_evidence	identity_evidence	system	T3_SYSTEM_HIDDEN	system	system	ALL	system		hidden	must not appear in UI
route_confidence	route_confidence	system	T3_SYSTEM_HIDDEN	system	system	ALL	system		hidden	must not appear in UI
source_quality_score	source_quality_score	system	T3_SYSTEM_HIDDEN	system	system	ALL	system		hidden	must not appear in UI
dedup_fingerprint	dedup_fingerprint	system	T3_SYSTEM_HIDDEN	system	system	ALL	system		hidden	must not appear in UI
privacy_risk_flag	privacy_risk_flag	system	T3_SYSTEM_HIDDEN	system	system	ALL	system		hidden	must not appear in UI
