brand	model_name	alias	locale	confidence	notes
YALE	Yale Linus Smart Lock	yale linus smart lock	ru	0.86	SMART_LOCK
AUGUST	August Wi-Fi Smart Lock	August Wi Fi Smart Lock	ru	0.86	SMART_LOCK
AUGUST	August Wi-Fi Smart Lock	August Wi-Fi Smart Lock	ru	0.86	SMART_LOCK
AUGUST	August Wi-Fi Smart Lock	august wi-fi smart lock	ru	0.86	SMART_LOCK
NUKI	Nuki Smart Lock 4.0	Nuki Smart Lock 4 0	ru	0.86	SMART_LOCK
NUKI	Nuki Smart Lock 4.0	Nuki Smart Lock 4.0	ru	0.86	SMART_LOCK
NUKI	Nuki Smart Lock 4.0	nuki smart lock 4.0	ru	0.86	SMART_LOCK
SWITCHBOT	SwitchBot Lock Pro	SwitchBot Lock Pro	ru	0.86	SMART_LOCK
SWITCHBOT	SwitchBot Lock Pro	switchbot lock pro	ru	0.86	SMART_LOCK
SWITCHBOT	SwitchBot Hub 2	SwitchBot Hub 2	ru	0.86	HOME_HUB
SWITCHBOT	SwitchBot Hub 2	switchbot hub 2	ru	0.86	HOME_HUB
GOVEE	Govee RGBIC LED Strip	Govee RGBIC LED Strip	ru	0.86	SMART_LIGHT
GOVEE	Govee RGBIC LED Strip	govee rgbic led strip	ru	0.86	SMART_LIGHT
YEELIGHT	Yeelight Smart LED Bulb W3	Yeelight Smart LED Bulb W3	ru	0.86	SMART_LIGHT
YEELIGHT	Yeelight Smart LED Bulb W3	yeelight smart led bulb w3	ru	0.86	SMART_LIGHT
YANDEX	Яндекс Станция Мини	Яндекс Станция Мини	ru	0.86	SMART_SPEAKER
YANDEX	Яндекс Станция Мини	яндекс станция мини	ru	0.86	SMART_SPEAKER
YANDEX	Яндекс Станция Миди	Яндекс Станция Миди	ru	0.86	SMART_SPEAKER
YANDEX	Яндекс Станция Миди	яндекс станция миди	ru	0.86	SMART_SPEAKER
SBER	SberBoom Mini	SberBoom Mini	ru	0.86	SMART_SPEAKER
SBER	SberBoom Mini	sberboom mini	ru	0.86	SMART_SPEAKER
VK_CAPSULE	VK Капсула Мини	VK Капсула Мини	ru	0.86	SMART_SPEAKER
VK_CAPSULE	VK Капсула Мини	vk капсула мини	ru	0.86	SMART_SPEAKER
TUYA_SMART_LIFE	Tuya Zigbee Temperature Humidity Sensor	Tuya Zigbee Temperature Humidity Sensor	ru	0.86	SMART_SENSOR
TUYA_SMART_LIFE	Tuya Zigbee Temperature Humidity Sensor	tuya zigbee temperature humidity sensor	ru	0.86	SMART_SENSOR
TUYA_SMART_LIFE	Tuya WiFi Smart Siren	Tuya WiFi Smart Siren	ru	0.86	ALARM_SIREN
TUYA_SMART_LIFE	Tuya WiFi Smart Siren	tuya wifi smart siren	ru	0.86	ALARM_SIREN
TUYA_SMART_LIFE	Tuya Smart Home Starter Kit	Tuya Smart Home Starter Kit	ru	0.86	AUTOMATION_KIT
TUYA_SMART_LIFE	Tuya Smart Home Starter Kit	tuya smart home starter kit	ru	0.86	AUTOMATION_KIT
