query	expected_categoryCode	expected_smart_home_type	expected_route	must_extract	negative_reason
tapo p110	TECH.SMART_HOME_SECURITY	SMART_PLUG	TECH.SMART_HOME_SECURITY	SMART_PLUG	
розетка с мониторингом энергии	TECH.SMART_HOME_SECURITY	SMART_PLUG	TECH.SMART_HOME_SECURITY	SMART_PLUG	
умная розетка алиса	TECH.SMART_HOME_SECURITY	SMART_PLUG	TECH.SMART_HOME_SECURITY	SMART_PLUG	
smart plug tuya	TECH.SMART_HOME_SECURITY	SMART_PLUG	TECH.SMART_HOME_SECURITY	SMART_PLUG	
умный выключатель zigbee	TECH.SMART_HOME_SECURITY	SMART_SWITCH	TECH.SMART_HOME_SECURITY	SMART_SWITCH	
sonoff zbmini	TECH.SMART_HOME_SECURITY	SMART_SWITCH	TECH.SMART_HOME_SECURITY	SMART_SWITCH	
shelly plus 1	TECH.SMART_HOME_SECURITY	SMART_SWITCH	TECH.SMART_HOME_SECURITY	SMART_SWITCH	
реле умного дома	TECH.SMART_HOME_SECURITY	SMART_SWITCH	TECH.SMART_HOME_SECURITY	SMART_SWITCH	
выключатель без нуля	TECH.SMART_HOME_SECURITY	SMART_SWITCH	TECH.SMART_HOME_SECURITY	SMART_SWITCH	
датчик открытия aqara	TECH.SMART_HOME_SECURITY	SMART_SENSOR	TECH.SMART_HOME_SECURITY	SMART_SENSOR	
датчик движения zigbee	TECH.SMART_HOME_SECURITY	SMART_SENSOR	TECH.SMART_HOME_SECURITY	SMART_SENSOR	
датчик протечки tuya	TECH.SMART_HOME_SECURITY	SMART_SENSOR	TECH.SMART_HOME_SECURITY	SMART_SENSOR	
датчик температуры влажности	TECH.SMART_HOME_SECURITY	SMART_SENSOR	TECH.SMART_HOME_SECURITY	SMART_SENSOR	
датчик присутствия fp2	TECH.SMART_HOME_SECURITY	SMART_SENSOR	TECH.SMART_HOME_SECURITY	SMART_SENSOR	
ip камера для дома	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	
камера видеонаблюдения wifi	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	
tapo c200	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	
reolink poe camera	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	
наружная камера с ночным видением	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	
умный дверной звонок	TECH.SMART_HOME_SECURITY	VIDEO_DOORBELL	TECH.SMART_HOME_SECURITY	VIDEO_DOORBELL	
ring video doorbell	TECH.SMART_HOME_SECURITY	VIDEO_DOORBELL	TECH.SMART_HOME_SECURITY	VIDEO_DOORBELL	
видеозвонок wifi	TECH.SMART_HOME_SECURITY	VIDEO_DOORBELL	TECH.SMART_HOME_SECURITY	VIDEO_DOORBELL	
дверной звонок с камерой	TECH.SMART_HOME_SECURITY	VIDEO_DOORBELL	TECH.SMART_HOME_SECURITY	VIDEO_DOORBELL	
eufy video doorbell 2k	TECH.SMART_HOME_SECURITY	VIDEO_DOORBELL	TECH.SMART_HOME_SECURITY	VIDEO_DOORBELL	
умный замок nuki	TECH.SMART_HOME_SECURITY	SMART_LOCK	TECH.SMART_HOME_SECURITY	SMART_LOCK	
yale linus smart lock	TECH.SMART_HOME_SECURITY	SMART_LOCK	TECH.SMART_HOME_SECURITY	SMART_LOCK	
замок с отпечатком пальца	TECH.SMART_HOME_SECURITY	SMART_LOCK	TECH.SMART_HOME_SECURITY	SMART_LOCK	
умный замок на дверь	TECH.SMART_HOME_SECURITY	SMART_LOCK	TECH.SMART_HOME_SECURITY	SMART_LOCK	
switchbot lock pro	TECH.SMART_HOME_SECURITY	SMART_LOCK	TECH.SMART_HOME_SECURITY	SMART_LOCK	
умный термостат tado	TECH.SMART_HOME_SECURITY	SMART_THERMOSTAT	TECH.SMART_HOME_SECURITY	SMART_THERMOSTAT	
термоголовка radiator smart	TECH.SMART_HOME_SECURITY	SMART_THERMOSTAT	TECH.SMART_HOME_SECURITY	SMART_THERMOSTAT	
nest thermostat	TECH.SMART_HOME_SECURITY	SMART_THERMOSTAT	TECH.SMART_HOME_SECURITY	SMART_THERMOSTAT	
netatmo smart thermostat	TECH.SMART_HOME_SECURITY	SMART_THERMOSTAT	TECH.SMART_HOME_SECURITY	SMART_THERMOSTAT	
контроллер тёплого пола smart	TECH.SMART_HOME_SECURITY	SMART_THERMOSTAT	TECH.SMART_HOME_SECURITY	SMART_THERMOSTAT	
aqara hub m3	TECH.SMART_HOME_SECURITY	HOME_HUB	TECH.SMART_HOME_SECURITY	HOME_HUB	
zigbee хаб	TECH.SMART_HOME_SECURITY	HOME_HUB	TECH.SMART_HOME_SECURITY	HOME_HUB	
хаб умного дома matter	TECH.SMART_HOME_SECURITY	HOME_HUB	TECH.SMART_HOME_SECURITY	HOME_HUB	
smartthings station	TECH.SMART_HOME_SECURITY	HOME_HUB	TECH.SMART_HOME_SECURITY	HOME_HUB	
philips hue bridge	TECH.SMART_HOME_SECURITY	HOME_HUB	TECH.SMART_HOME_SECURITY	HOME_HUB	
умная сирена tuya	TECH.SMART_HOME_SECURITY	ALARM_SIREN	TECH.SMART_HOME_SECURITY	ALARM_SIREN	
сирена сигнализации zigbee	TECH.SMART_HOME_SECURITY	ALARM_SIREN	TECH.SMART_HOME_SECURITY	ALARM_SIREN	
aqara alarm siren	TECH.SMART_HOME_SECURITY	ALARM_SIREN	TECH.SMART_HOME_SECURITY	ALARM_SIREN	
wifi сирена для дома	TECH.SMART_HOME_SECURITY	ALARM_SIREN	TECH.SMART_HOME_SECURITY	ALARM_SIREN	
комплект умного дома aqara	TECH.SMART_HOME_SECURITY	AUTOMATION_KIT	TECH.SMART_HOME_SECURITY	AUTOMATION_KIT	
tuya starter kit	TECH.SMART_HOME_SECURITY	AUTOMATION_KIT	TECH.SMART_HOME_SECURITY	AUTOMATION_KIT	
набор датчиков умный дом	TECH.SMART_HOME_SECURITY	AUTOMATION_KIT	TECH.SMART_HOME_SECURITY	AUTOMATION_KIT	
smart home automation kit	TECH.SMART_HOME_SECURITY	AUTOMATION_KIT	TECH.SMART_HOME_SECURITY	AUTOMATION_KIT	
bluetooth колонка jbl flip	TECH.AUDIO		TECH.AUDIO		cross-route guard
web камера logitech c920	TECH.COMPUTER_ACCESSORIES		TECH.COMPUTER_ACCESSORIES		cross-route guard
видеорегистратор xiaomi 70mai	TECH.CAR_ELECTRONICS_GPS		TECH.CAR_ELECTRONICS_GPS		cross-route guard
роутер tp link archer	TECH.NETWORKING		TECH.NETWORKING		cross-route guard
экшн камера gopro	TECH.CAMERAS_DRONES		TECH.CAMERAS_DRONES		cross-route guard
iphone 15 pro	TECH.PHONES		TECH.PHONES		cross-route guard
apple watch series 9	TECH.WEARABLES		TECH.WEARABLES		cross-route guard
hdmi кабель	TECH.POWER_CHARGING_CABLES		TECH.POWER_CHARGING_CABLES		cross-route guard
nest hub 2nd gen	TECH.SMART_HOME_SECURITY	SMART_DISPLAY	TECH.SMART_HOME_SECURITY	brand=GOOGLE_NEST;model=Nest Hub 2nd Gen	
nest audio	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	TECH.SMART_HOME_SECURITY	brand=GOOGLE_NEST;model=Nest Audio	
nest cam indoor	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	brand=GOOGLE_NEST;model=Nest Cam Indoor	
nest doorbell	TECH.SMART_HOME_SECURITY	VIDEO_DOORBELL	TECH.SMART_HOME_SECURITY	brand=GOOGLE_NEST;model=Nest Doorbell	
echo dot	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	TECH.SMART_HOME_SECURITY	brand=AMAZON_ECHO_RING;model=Echo Dot	
echo show 8	TECH.SMART_HOME_SECURITY	SMART_DISPLAY	TECH.SMART_HOME_SECURITY	brand=AMAZON_ECHO_RING;model=Echo Show 8	
ring video doorbell	TECH.SMART_HOME_SECURITY	VIDEO_DOORBELL	TECH.SMART_HOME_SECURITY	brand=AMAZON_ECHO_RING;model=Ring Video Doorbell	
homepod mini	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	TECH.SMART_HOME_SECURITY	brand=APPLE_HOMEPOD;model=HomePod mini	
xiaomi smart camera c300	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	brand=XIAOMI_MI;model=Xiaomi Smart Camera C300	
xiaomi smart plug 2	TECH.SMART_HOME_SECURITY	SMART_PLUG	TECH.SMART_HOME_SECURITY	brand=XIAOMI_MI;model=Xiaomi Smart Plug 2	
aqara hub m3	TECH.SMART_HOME_SECURITY	HOME_HUB	TECH.SMART_HOME_SECURITY	brand=AQARA;model=Aqara Hub M3	
aqara door and window sensor p2	TECH.SMART_HOME_SECURITY	SMART_SENSOR	TECH.SMART_HOME_SECURITY	brand=AQARA;model=Aqara Door and Window Sensor P2	
aqara presence sensor fp2	TECH.SMART_HOME_SECURITY	SMART_SENSOR	TECH.SMART_HOME_SECURITY	brand=AQARA;model=Aqara Presence Sensor FP2	
aqara smart lock u200	TECH.SMART_HOME_SECURITY	SMART_LOCK	TECH.SMART_HOME_SECURITY	brand=AQARA;model=Aqara Smart Lock U200	
hue bridge	TECH.SMART_HOME_SECURITY	HOME_HUB	TECH.SMART_HOME_SECURITY	brand=PHILIPS_HUE;model=Hue Bridge	
hue white and color ambiance e27	TECH.SMART_HOME_SECURITY	SMART_LIGHT	TECH.SMART_HOME_SECURITY	brand=PHILIPS_HUE;model=Hue White and Color Ambiance E27	
tapo c200	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	brand=TP_LINK_TAPO_KASA;model=Tapo C200	
tapo c210	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	brand=TP_LINK_TAPO_KASA;model=Tapo C210	
tapo p110	TECH.SMART_HOME_SECURITY	SMART_PLUG	TECH.SMART_HOME_SECURITY	brand=TP_LINK_TAPO_KASA;model=Tapo P110	
smartthings station	TECH.SMART_HOME_SECURITY	HOME_HUB	TECH.SMART_HOME_SECURITY	brand=SAMSUNG_SMARTTHINGS;model=SmartThings Station	
ikea dirigera hub	TECH.SMART_HOME_SECURITY	HOME_HUB	TECH.SMART_HOME_SECURITY	brand=IKEA_DIRIGERA;model=IKEA Dirigera Hub	
sonoff basic r2	TECH.SMART_HOME_SECURITY	SMART_SWITCH	TECH.SMART_HOME_SECURITY	brand=SONOFF;model=Sonoff Basic R2	
sonoff zbmini	TECH.SMART_HOME_SECURITY	SMART_SWITCH	TECH.SMART_HOME_SECURITY	brand=SONOFF;model=Sonoff ZBMINI	
shelly plus 1	TECH.SMART_HOME_SECURITY	SMART_SWITCH	TECH.SMART_HOME_SECURITY	brand=SHELLY;model=Shelly Plus 1	
meross smart wi-fi plug	TECH.SMART_HOME_SECURITY	SMART_PLUG	TECH.SMART_HOME_SECURITY	brand=MEROSS;model=Meross Smart Wi-Fi Plug	
eufycam 2c	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	brand=EUFY;model=EufyCam 2C	
eufy video doorbell 2k	TECH.SMART_HOME_SECURITY	VIDEO_DOORBELL	TECH.SMART_HOME_SECURITY	brand=EUFY;model=Eufy Video Doorbell 2K	
arlo pro 4	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	brand=ARLO;model=Arlo Pro 4	
reolink argus 3 pro	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	brand=REOLINK;model=Reolink Argus 3 Pro	
reolink rlc-810a	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	brand=REOLINK;model=Reolink RLC-810A	
ezviz c6n	TECH.SMART_HOME_SECURITY	SECURITY_CAMERA	TECH.SMART_HOME_SECURITY	brand=EZVIZ;model=EZVIZ C6N	
netatmo smart thermostat	TECH.SMART_HOME_SECURITY	SMART_THERMOSTAT	TECH.SMART_HOME_SECURITY	brand=NETATMO;model=Netatmo Smart Thermostat	
tado smart thermostat v3+	TECH.SMART_HOME_SECURITY	SMART_THERMOSTAT	TECH.SMART_HOME_SECURITY	brand=TADO;model=Tado Smart Thermostat V3+	
tado smart radiator thermostat	TECH.SMART_HOME_SECURITY	SMART_THERMOSTAT	TECH.SMART_HOME_SECURITY	brand=TADO;model=Tado Smart Radiator Thermostat	
yale linus smart lock	TECH.SMART_HOME_SECURITY	SMART_LOCK	TECH.SMART_HOME_SECURITY	brand=YALE;model=Yale Linus Smart Lock	
august wi-fi smart lock	TECH.SMART_HOME_SECURITY	SMART_LOCK	TECH.SMART_HOME_SECURITY	brand=AUGUST;model=August Wi-Fi Smart Lock	
nuki smart lock 4.0	TECH.SMART_HOME_SECURITY	SMART_LOCK	TECH.SMART_HOME_SECURITY	brand=NUKI;model=Nuki Smart Lock 4.0	
switchbot lock pro	TECH.SMART_HOME_SECURITY	SMART_LOCK	TECH.SMART_HOME_SECURITY	brand=SWITCHBOT;model=SwitchBot Lock Pro	
switchbot hub 2	TECH.SMART_HOME_SECURITY	HOME_HUB	TECH.SMART_HOME_SECURITY	brand=SWITCHBOT;model=SwitchBot Hub 2	
govee rgbic led strip	TECH.SMART_HOME_SECURITY	SMART_LIGHT	TECH.SMART_HOME_SECURITY	brand=GOVEE;model=Govee RGBIC LED Strip	
yeelight smart led bulb w3	TECH.SMART_HOME_SECURITY	SMART_LIGHT	TECH.SMART_HOME_SECURITY	brand=YEELIGHT;model=Yeelight Smart LED Bulb W3	
яндекс станция мини	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	TECH.SMART_HOME_SECURITY	brand=YANDEX;model=Яндекс Станция Мини	
яндекс станция миди	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	TECH.SMART_HOME_SECURITY	brand=YANDEX;model=Яндекс Станция Миди	
sberboom mini	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	TECH.SMART_HOME_SECURITY	brand=SBER;model=SberBoom Mini	
vk капсула мини	TECH.SMART_HOME_SECURITY	SMART_SPEAKER	TECH.SMART_HOME_SECURITY	brand=VK_CAPSULE;model=VK Капсула Мини	
tuya zigbee temperature humidity sensor	TECH.SMART_HOME_SECURITY	SMART_SENSOR	TECH.SMART_HOME_SECURITY	brand=TUYA_SMART_LIFE;model=Tuya Zigbee Temperature Humidity Sensor	
tuya wifi smart siren	TECH.SMART_HOME_SECURITY	ALARM_SIREN	TECH.SMART_HOME_SECURITY	brand=TUYA_SMART_LIFE;model=Tuya WiFi Smart Siren	
tuya smart home starter kit	TECH.SMART_HOME_SECURITY	AUTOMATION_KIT	TECH.SMART_HOME_SECURITY	brand=TUYA_SMART_LIFE;model=Tuya Smart Home Starter Kit	
