dictionary_code	value_code	override_type	priority	visibility	reason
apparel_type	THERMAL_UNDERWEAR	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	ACTIVE_TOP	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	ACTIVE_BOTTOM	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	ROMPER	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	TURTLENECK	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	RAINCOAT	ALLOW	LOW	T2_ADVANCED	Less frequent women apparel type
apparel_type	ROBE	ALLOW	LOW	T2_ADVANCED	Less frequent women apparel type
apparel_type	PAJAMAS	ALLOW	LOW	T2_ADVANCED	Less frequent women apparel type
apparel_type	SWIMWEAR	ALLOW	LOW	T2_ADVANCED	Less frequent women apparel type
apparel_type	UNIFORM	ALLOW	LOW	T2_ADVANCED	Less frequent women apparel type
apparel_type	BOXERS_MALE_ONLY	BLOCK	BLOCKED	HIDDEN	Not part of FASH.APPAREL_COMMON or should route elsewhere
apparel_type	BOYS_UNIFORM_ONLY	BLOCK	BLOCKED	HIDDEN	Not part of FASH.APPAREL_COMMON or should route elsewhere
apparel_type	JOCKSTRAP	BLOCK	BLOCKED	HIDDEN	Not part of FASH.APPAREL_COMMON or should route elsewhere
target_gender	WOMEN	ALLOW	DEFAULT	HIDDEN_DEFAULT	FASH.WOMEN gender policy
target_gender	UNISEX	ALLOW	ALLOWED	SECONDARY_OR_BLOCKED	FASH.WOMEN gender policy
target_gender	MEN	BLOCK	BLOCKED	SECONDARY_OR_BLOCKED	FASH.WOMEN gender policy
target_gender	BOYS	BLOCK	BLOCKED	SECONDARY_OR_BLOCKED	FASH.WOMEN gender policy
target_gender	GIRLS	BLOCK	BLOCKED	SECONDARY_OR_BLOCKED	FASH.WOMEN gender policy
age_group	ADULT	ALLOW	DEFAULT	HIDDEN_DEFAULT	FASH.WOMEN age policy
age_group	TEEN	ALLOW	ALLOWED	BLOCKED_OR_AMBIGUOUS	FASH.WOMEN age policy
age_group	KIDS	BLOCK	BLOCKED	BLOCKED_OR_AMBIGUOUS	FASH.WOMEN age policy
age_group	TODDLER	BLOCK	BLOCKED	BLOCKED_OR_AMBIGUOUS	FASH.WOMEN age policy
age_group	BABY	BLOCK	BLOCKED	BLOCKED_OR_AMBIGUOUS	FASH.WOMEN age policy
size_label	XXS	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	XS	PRIORITIZE	HIGH	T1_VISIBLE	Women size priority
size_label	S	PRIORITIZE	HIGH	T1_VISIBLE	Women size priority
size_label	M	PRIORITIZE	HIGH	T1_VISIBLE	Women size priority
size_label	L	PRIORITIZE	HIGH	T1_VISIBLE	Women size priority
size_label	XL	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	XXL	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	3XL	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	RU_40	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	RU_42	PRIORITIZE	HIGH	T1_VISIBLE	Women size priority
size_label	RU_44	PRIORITIZE	HIGH	T1_VISIBLE	Women size priority
size_label	RU_46	PRIORITIZE	HIGH	T1_VISIBLE	Women size priority
size_label	RU_48	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	RU_50	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	RU_52	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	EU_34	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	EU_36	PRIORITIZE	HIGH	T1_VISIBLE	Women size priority
size_label	EU_38	PRIORITIZE	HIGH	T1_VISIBLE	Women size priority
size_label	EU_40	PRIORITIZE	HIGH	T1_VISIBLE	Women size priority
size_label	EU_42	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	EU_44	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	W24	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	W25	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	W26	PRIORITIZE	HIGH	T1_VISIBLE	Women size priority
size_label	W27	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	W28	PRIORITIZE	HIGH	T1_VISIBLE	Women size priority
size_label	W29	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	W30	PRIORITIZE	HIGH	T1_VISIBLE	Women size priority
size_label	W32	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
size_label	ONE_SIZE	PRIORITIZE	MEDIUM	T1_VISIBLE	Women size priority
bra_cup	AA	ALLOW	MEDIUM	T1_VISIBLE	Bra cup allowed for FASH.WOMEN/BRA
bra_cup	A	ALLOW	HIGH	T1_VISIBLE	Bra cup allowed for FASH.WOMEN/BRA
bra_cup	B	ALLOW	HIGH	T1_VISIBLE	Bra cup allowed for FASH.WOMEN/BRA
bra_cup	C	ALLOW	HIGH	T1_VISIBLE	Bra cup allowed for FASH.WOMEN/BRA
bra_cup	D	ALLOW	HIGH	T1_VISIBLE	Bra cup allowed for FASH.WOMEN/BRA
bra_cup	E	ALLOW	MEDIUM	T1_VISIBLE	Bra cup allowed for FASH.WOMEN/BRA
bra_cup	F	ALLOW	MEDIUM	T1_VISIBLE	Bra cup allowed for FASH.WOMEN/BRA
bra_cup	G	ALLOW	MEDIUM	T1_VISIBLE	Bra cup allowed for FASH.WOMEN/BRA
