query	expected_category_code	expected_target_category_code	expected_compatibility_mode	expected_fields	negative_assertions	priority	notes_ru
чехол для iphone 12	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 12	not target_device_category_when_accessory	70	generated
чехол для iphone 13 pro	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 13 pro	not target_device_category_when_accessory	70	generated
чехол для iphone 14 pro max	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 14 pro max	not target_device_category_when_accessory	70	generated
чехол для iphone 15 pro max	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 15 pro max	not target_device_category_when_accessory	70	generated
чехол для samsung galaxy s23	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=samsung galaxy s23	not target_device_category_when_accessory	70	generated
чехол для samsung galaxy s24 ultra	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=samsung galaxy s24 ultra	not target_device_category_when_accessory	70	generated
чехол для pixel 8	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=pixel 8	not target_device_category_when_accessory	70	generated
чехол для pixel 9	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=pixel 9	not target_device_category_when_accessory	70	generated
чехол для ipad air	TECH.TABLETS_E_READERS	TECH.TABLETS_E_READERS	EXACT_MODEL	compatible_model_text=ipad air	not target_device_category_when_accessory	70	generated
чехол для ipad pro	TECH.TABLETS_E_READERS	TECH.TABLETS_E_READERS	EXACT_MODEL	compatible_model_text=ipad pro	not target_device_category_when_accessory	70	generated
чехол для macbook air m2	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=macbook air m2	not target_device_category_when_accessory	70	generated
чехол для macbook pro 14	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=macbook pro 14	not target_device_category_when_accessory	70	generated
чехол для apple watch 41 мм	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=apple watch 41 мм	not target_device_category_when_accessory	70	generated
чехол для apple watch ultra	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=apple watch ultra	not target_device_category_when_accessory	70	generated
чехол для hp laserjet pro	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=hp laserjet pro	not target_device_category_when_accessory	70	generated
чехол для samsung tv	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=samsung tv	not target_device_category_when_accessory	70	generated
чехол для ps5 slim	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=ps5 slim	not target_device_category_when_accessory	70	generated
чехол для nintendo switch oled	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=nintendo switch oled	not target_device_category_when_accessory	70	generated
защитное стекло для iphone 11	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 11	not target_device_category_when_accessory	70	generated
защитное стекло для iphone 12	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 12	not target_device_category_when_accessory	70	generated
защитное стекло для iphone 13 pro	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 13 pro	not target_device_category_when_accessory	70	generated
защитное стекло для iphone 14 pro max	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 14 pro max	not target_device_category_when_accessory	70	generated
защитное стекло для iphone 15 pro max	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 15 pro max	not target_device_category_when_accessory	70	generated
защитное стекло для samsung galaxy s23	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=samsung galaxy s23	not target_device_category_when_accessory	70	generated
защитное стекло для samsung galaxy s24 ultra	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=samsung galaxy s24 ultra	not target_device_category_when_accessory	70	generated
защитное стекло для pixel 8	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=pixel 8	not target_device_category_when_accessory	70	generated
защитное стекло для pixel 9	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=pixel 9	not target_device_category_when_accessory	70	generated
защитное стекло для ipad air	TECH.TABLETS_E_READERS	TECH.TABLETS_E_READERS	EXACT_MODEL	compatible_model_text=ipad air	not target_device_category_when_accessory	70	generated
защитное стекло для ipad pro	TECH.TABLETS_E_READERS	TECH.TABLETS_E_READERS	EXACT_MODEL	compatible_model_text=ipad pro	not target_device_category_when_accessory	70	generated
защитное стекло для macbook air m2	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=macbook air m2	not target_device_category_when_accessory	70	generated
защитное стекло для macbook pro 14	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=macbook pro 14	not target_device_category_when_accessory	70	generated
защитное стекло для apple watch 41 мм	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=apple watch 41 мм	not target_device_category_when_accessory	70	generated
защитное стекло для apple watch ultra	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=apple watch ultra	not target_device_category_when_accessory	70	generated
защитное стекло для hp laserjet pro	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=hp laserjet pro	not target_device_category_when_accessory	70	generated
защитное стекло для samsung tv	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=samsung tv	not target_device_category_when_accessory	70	generated
защитное стекло для ps5 slim	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=ps5 slim	not target_device_category_when_accessory	70	generated
защитное стекло для nintendo switch oled	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=nintendo switch oled	not target_device_category_when_accessory	70	generated
пленка для iphone 11	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 11	not target_device_category_when_accessory	70	generated
пленка для iphone 12	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 12	not target_device_category_when_accessory	70	generated
пленка для iphone 13 pro	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 13 pro	not target_device_category_when_accessory	70	generated
пленка для iphone 14 pro max	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 14 pro max	not target_device_category_when_accessory	70	generated
пленка для iphone 15 pro max	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 15 pro max	not target_device_category_when_accessory	70	generated
пленка для samsung galaxy s23	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=samsung galaxy s23	not target_device_category_when_accessory	70	generated
пленка для samsung galaxy s24 ultra	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=samsung galaxy s24 ultra	not target_device_category_when_accessory	70	generated
пленка для pixel 8	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=pixel 8	not target_device_category_when_accessory	70	generated
пленка для pixel 9	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=pixel 9	not target_device_category_when_accessory	70	generated
пленка для ipad air	TECH.TABLETS_E_READERS	TECH.TABLETS_E_READERS	EXACT_MODEL	compatible_model_text=ipad air	not target_device_category_when_accessory	70	generated
пленка для ipad pro	TECH.TABLETS_E_READERS	TECH.TABLETS_E_READERS	EXACT_MODEL	compatible_model_text=ipad pro	not target_device_category_when_accessory	70	generated
пленка для macbook air m2	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=macbook air m2	not target_device_category_when_accessory	70	generated
пленка для macbook pro 14	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=macbook pro 14	not target_device_category_when_accessory	70	generated
пленка для apple watch 41 мм	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=apple watch 41 мм	not target_device_category_when_accessory	70	generated
пленка для apple watch ultra	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=apple watch ultra	not target_device_category_when_accessory	70	generated
пленка для hp laserjet pro	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=hp laserjet pro	not target_device_category_when_accessory	70	generated
пленка для samsung tv	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=samsung tv	not target_device_category_when_accessory	70	generated
пленка для ps5 slim	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=ps5 slim	not target_device_category_when_accessory	70	generated
пленка для nintendo switch oled	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=nintendo switch oled	not target_device_category_when_accessory	70	generated
кабель для iphone 11	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=iphone 11	not target_device_category_when_accessory	70	generated
кабель для iphone 12	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=iphone 12	not target_device_category_when_accessory	70	generated
кабель для iphone 13 pro	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=iphone 13 pro	not target_device_category_when_accessory	70	generated
кабель для iphone 14 pro max	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=iphone 14 pro max	not target_device_category_when_accessory	70	generated
кабель для iphone 15 pro max	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=iphone 15 pro max	not target_device_category_when_accessory	70	generated
кабель для samsung galaxy s23	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=samsung galaxy s23	not target_device_category_when_accessory	70	generated
кабель для samsung galaxy s24 ultra	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=samsung galaxy s24 ultra	not target_device_category_when_accessory	70	generated
кабель для pixel 8	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=pixel 8	not target_device_category_when_accessory	70	generated
кабель для pixel 9	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=pixel 9	not target_device_category_when_accessory	70	generated
кабель для ipad air	TECH.TABLETS_E_READERS	TECH.TABLETS_E_READERS	CONNECTOR	compatible_model_text=ipad air	not target_device_category_when_accessory	70	generated
кабель для ipad pro	TECH.TABLETS_E_READERS	TECH.TABLETS_E_READERS	CONNECTOR	compatible_model_text=ipad pro	not target_device_category_when_accessory	70	generated
кабель для macbook air m2	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=macbook air m2	not target_device_category_when_accessory	70	generated
кабель для macbook pro 14	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=macbook pro 14	not target_device_category_when_accessory	70	generated
кабель для apple watch 41 мм	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=apple watch 41 мм	not target_device_category_when_accessory	70	generated
кабель для apple watch ultra	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=apple watch ultra	not target_device_category_when_accessory	70	generated
кабель для hp laserjet pro	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=hp laserjet pro	not target_device_category_when_accessory	70	generated
кабель для samsung tv	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=samsung tv	not target_device_category_when_accessory	70	generated
кабель для ps5 slim	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=ps5 slim	not target_device_category_when_accessory	70	generated
кабель для nintendo switch oled	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_model_text=nintendo switch oled	not target_device_category_when_accessory	70	generated
ремешок для apple watch 41 мм	TECH.WEARABLES	TECH.WEARABLES	SIZE_FORM_FACTOR	compatible_model_text=apple watch 41 мм	not target_device_category_when_accessory	70	generated
ремешок для apple watch ultra	TECH.WEARABLES	TECH.WEARABLES	SIZE_FORM_FACTOR	compatible_model_text=apple watch ultra	not target_device_category_when_accessory	70	generated
док станция для iphone 11	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=iphone 11	not target_device_category_when_accessory	70	generated
док станция для iphone 12	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=iphone 12	not target_device_category_when_accessory	70	generated
док станция для iphone 13 pro	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=iphone 13 pro	not target_device_category_when_accessory	70	generated
док станция для iphone 14 pro max	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=iphone 14 pro max	not target_device_category_when_accessory	70	generated
док станция для iphone 15 pro max	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=iphone 15 pro max	not target_device_category_when_accessory	70	generated
док станция для samsung galaxy s23	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=samsung galaxy s23	not target_device_category_when_accessory	70	generated
док станция для samsung galaxy s24 ultra	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=samsung galaxy s24 ultra	not target_device_category_when_accessory	70	generated
док станция для pixel 8	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=pixel 8	not target_device_category_when_accessory	70	generated
док станция для pixel 9	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=pixel 9	not target_device_category_when_accessory	70	generated
док станция для ipad air	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=ipad air	not target_device_category_when_accessory	70	generated
док станция для ipad pro	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=ipad pro	not target_device_category_when_accessory	70	generated
док станция для macbook air m2	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=macbook air m2	not target_device_category_when_accessory	70	generated
док станция для macbook pro 14	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=macbook pro 14	not target_device_category_when_accessory	70	generated
док станция для apple watch 41 мм	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=apple watch 41 мм	not target_device_category_when_accessory	70	generated
док станция для apple watch ultra	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=apple watch ultra	not target_device_category_when_accessory	70	generated
док станция для hp laserjet pro	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=hp laserjet pro	not target_device_category_when_accessory	70	generated
док станция для samsung tv	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=samsung tv	not target_device_category_when_accessory	70	generated
док станция для ps5 slim	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=ps5 slim	not target_device_category_when_accessory	70	generated
док станция для nintendo switch oled	TECH.COMPUTER_ACCESSORIES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=nintendo switch oled	not target_device_category_when_accessory	70	generated
адаптер для iphone 11	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=iphone 11	not target_device_category_when_accessory	70	generated
адаптер для iphone 12	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=iphone 12	not target_device_category_when_accessory	70	generated
адаптер для iphone 13 pro	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=iphone 13 pro	not target_device_category_when_accessory	70	generated
адаптер для iphone 14 pro max	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=iphone 14 pro max	not target_device_category_when_accessory	70	generated
адаптер для iphone 15 pro max	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=iphone 15 pro max	not target_device_category_when_accessory	70	generated
адаптер для samsung galaxy s23	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=samsung galaxy s23	not target_device_category_when_accessory	70	generated
адаптер для samsung galaxy s24 ultra	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=samsung galaxy s24 ultra	not target_device_category_when_accessory	70	generated
адаптер для pixel 8	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=pixel 8	not target_device_category_when_accessory	70	generated
адаптер для pixel 9	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=pixel 9	not target_device_category_when_accessory	70	generated
адаптер для ipad air	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=ipad air	not target_device_category_when_accessory	70	generated
адаптер для ipad pro	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=ipad pro	not target_device_category_when_accessory	70	generated
адаптер для macbook air m2	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=macbook air m2	not target_device_category_when_accessory	70	generated
адаптер для macbook pro 14	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=macbook pro 14	not target_device_category_when_accessory	70	generated
адаптер для apple watch 41 мм	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=apple watch 41 мм	not target_device_category_when_accessory	70	generated
адаптер для apple watch ultra	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=apple watch ultra	not target_device_category_when_accessory	70	generated
адаптер для hp laserjet pro	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=hp laserjet pro	not target_device_category_when_accessory	70	generated
адаптер для samsung tv	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=samsung tv	not target_device_category_when_accessory	70	generated
адаптер для ps5 slim	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=ps5 slim	not target_device_category_when_accessory	70	generated
адаптер для nintendo switch oled	TECH.POWER_CHARGING_CABLES	TECH.COMPUTERS	CONNECTOR	compatible_model_text=nintendo switch oled	not target_device_category_when_accessory	70	generated
картридж для hp laserjet pro	TECH.PRINTERS_SCANNERS	TECH.PRINTERS_SCANNERS	CONSUMABLE_FIT	compatible_model_text=hp laserjet pro	not target_device_category_when_accessory	70	generated
пульт для samsung tv	TECH.TV_HOME_THEATER	TECH.TV_HOME_THEATER	EXACT_MODEL	compatible_model_text=samsung tv	not target_device_category_when_accessory	70	generated
