query	expected_categoryCode	expected_tablet_type	locale	notes_ru
huion inspiroy рядом	TECH.TABLETS_E_READERS	GRAPHICS_TABLET	ru	
iphone 13	TECH.PHONES		ru	negative route fixture
айфон 15 pro	TECH.PHONES		ru	negative route fixture
ноутбук lenovo	TECH.COMPUTERS		ru	negative route fixture
macbook air m2	TECH.COMPUTERS		ru	negative route fixture
монитор 27 дюймов	TECH.MONITORS_DISPLAYS		ru	negative route fixture
клавиатура ipad bluetooth	TECH.COMPUTER_ACCESSORIES		ru	negative route fixture
мышь для планшета	TECH.COMPUTER_ACCESSORIES		ru	negative route fixture
чехол iphone 13	TECH.PHONE_ACCESSORIES		ru	negative route fixture
игрушечный планшет детский	KIDS.TOYS_OR_OTHER		ru	negative route fixture
бумажная книга kindle edition	BOOKS_OR_MEDIA		ru	negative route fixture
