value_set	value_code	label_ru	aliases_ru	sort_order	usage_scope	status	notes_ru
brand_head	HUION	Huion		13	all	active	head brand value; long-tail via runtime candidates
brand_head	XP_PEN	Xp Pen		14	all	active	head brand value; long-tail via runtime candidates
brand_head	GAOMON	Gaomon		15	all	active	head brand value; long-tail via runtime candidates
brand_head	MICROSOFT	Microsoft		16	all	active	head brand value; long-tail via runtime candidates
brand_head	ASUS	Asus		17	all	active	head brand value; long-tail via runtime candidates
brand_head	ACER	Acer		18	all	active	head brand value; long-tail via runtime candidates
brand_head	TCL	Tcl		19	all	active	head brand value; long-tail via runtime candidates
brand_head	NOKIA	Nokia		20	all	active	head brand value; long-tail via runtime candidates
brand_head	ALCATEL	Alcatel		21	all	active	head brand value; long-tail via runtime candidates
brand_head	BLACKVIEW	Blackview		22	all	active	head brand value; long-tail via runtime candidates
brand_head	DOOGEE	Doogee		23	all	active	head brand value; long-tail via runtime candidates
brand_head	TECLAST	Teclast		24	all	active	head brand value; long-tail via runtime candidates
brand_head	CHUWI	Chuwi		25	all	active	head brand value; long-tail via runtime candidates
brand_head	REALME	Realme		26	all	active	head brand value; long-tail via runtime candidates
brand_head	OPPO	Oppo		27	all	active	head brand value; long-tail via runtime candidates
brand_head	VIVO	Vivo		28	all	active	head brand value; long-tail via runtime candidates
brand_head	OTHER_BRAND	Other Brand		29	all	active	head brand value; long-tail via runtime candidates
connectivity	WIFI_ONLY	Wi‑Fi	wifi;вай фай	1	all	active	
connectivity	WIFI_CELLULAR	Wi‑Fi + Cellular	lte;5g;cellular;sim	2	all	active	
connectivity	CELLULAR_ONLY	Только Cellular	lte only	3	all	active	
connectivity	USB_TETHERED	USB-подключение	wired;кабель	4	all	active	
connectivity	BLUETOOTH	Bluetooth	bt	5	all	active	
connectivity	NO_CONNECTIVITY	Без связи	standalone	6	all	active	
os	IPADOS	iPadOS	ipad os	1	all	active	
os	ANDROID	Android	андроид	2	all	active	
os	FIRE_OS	Fire OS	amazon fire	3	all	active	
os	WINDOWS	Windows	виндовс	4	all	active	
os	CHROMEOS	ChromeOS	хром ос	5	all	active	
os	E_READER_OS	ОС ридера	kindle os;kobo	6	all	active	
os	NO_OS	Без ОС	no os	7	all	active	
os	OTHER_OS	Другая ОС	other	8	all	active	
screen_size_bucket	7	7″		1	all	active	
screen_size_bucket	8	8″		2	all	active	
screen_size_bucket	9	9″		3	all	active	
screen_size_bucket	10_1	10.1″		4	all	active	
screen_size_bucket	10_2	10.2″		5	all	active	
screen_size_bucket	10_5	10.5″		6	all	active	
screen_size_bucket	10_9	10.9″		7	all	active	
screen_size_bucket	11	11″		8	all	active	
screen_size_bucket	12	12″		9	all	active	
screen_size_bucket	12_4	12.4″		10	all	active	
screen_size_bucket	12_9	12.9″		11	all	active	
screen_size_bucket	13	13″		12	all	active	
screen_size_bucket	13_3	13.3″		13	all	active	
screen_size_bucket	14	14″		14	all	active	
screen_size_bucket	15	15″		15	all	active	
screen_size_bucket	16	16″		16	all	active	
storage_capacity_gb	8	8 ГБ		1	all	active	
storage_capacity_gb	16	16 ГБ		2	all	active	
storage_capacity_gb	32	32 ГБ		3	all	active	
storage_capacity_gb	64	64 ГБ		4	all	active	
storage_capacity_gb	128	128 ГБ		5	all	active	
storage_capacity_gb	256	256 ГБ		6	all	active	
storage_capacity_gb	512	512 ГБ		7	all	active	
storage_capacity_gb	1024	1024 ГБ		8	all	active	
storage_capacity_gb	2048	2048 ГБ		9	all	active	
ram_gb	2	2 ГБ		1	all	active	
ram_gb	3	3 ГБ		2	all	active	
ram_gb	4	4 ГБ		3	all	active	
ram_gb	6	6 ГБ		4	all	active	
ram_gb	8	8 ГБ		5	all	active	
ram_gb	12	12 ГБ		6	all	active	
ram_gb	16	16 ГБ		7	all	active	
ram_gb	24	24 ГБ		8	all	active	
ram_gb	32	32 ГБ		9	all	active	
display_technology	LCD	LCD	ips;tft	1	all	active	
display_technology	OLED	OLED	amoled	2	all	active	
display_technology	MINI_LED	mini‑LED	mini led	3	all	active	
display_technology	E_INK_BW	E Ink ч/б	электронные чернила	4	all	active	
display_technology	E_INK_COLOR	Цветной E Ink	color eink	5	all	active	
display_technology	PEN_TABLET_NO_DISPLAY	Без дисплея	screenless	6	all	active	
display_technology	PEN_DISPLAY	Перьевой дисплей	pen display	7	all	active	
screen_resolution	HD	HD	720p	1	all	active	
screen_resolution	FHD	Full HD	1080p	2	all	active	
screen_resolution	QHD	QHD	2k	3	all	active	
screen_resolution	RETINA	Retina	liquid retina	4	all	active	
screen_resolution	EINK_300PPI	E Ink 300 ppi	300 ppi	5	all	active	
screen_resolution	OTHER_RESOLUTION	Другое	other	6	all	active	
refresh_rate_hz	60	60 Гц		1	all	active	
refresh_rate_hz	90	90 Гц		2	all	active	
refresh_rate_hz	120	120 Гц		3	all	active	
refresh_rate_hz	144	144 Гц		4	all	active	
cellular_generation	4G_LTE	4G LTE	lte	1	all	active	
cellular_generation	5G	5G	пятое поколение	2	all	active	
cellular_generation	NO_CELLULAR	Нет cellular	wifi only	3	all	active	
sim_support	NANO_SIM	Nano-SIM	nano sim	1	all	active	
sim_support	ESIM	eSIM	есим	2	all	active	
sim_support	NANO_SIM_ESIM	Nano‑SIM + eSIM	sim+esim	3	all	active	
sim_support	DUAL_SIM	Dual SIM	две сим	4	all	active	
sim_support	NO_SIM	Нет SIM	wifi only	5	all	active	
stylus_support	NO_STYLUS	Нет	no pen	1	all	active	
stylus_support	APPLE_PENCIL	Apple Pencil	pencil	2	all	active	
stylus_support	S_PEN	S Pen	s pen	3	all	active	
stylus_support	USI_STYLUS	USI stylus	usi	4	all	active	
stylus_support	MPP_STYLUS	Microsoft Pen Protocol	surface pen	5	all	active	
stylus_support	GENERIC_ACTIVE_STYLUS	Активный стилус	active pen	6	all	active	
keyboard_support	NO_KEYBOARD	Нет		1	all	active	
keyboard_support	POGO_KEYBOARD	Pogo keyboard	магнитная клавиатура	2	all	active	
keyboard_support	BLUETOOTH_KEYBOARD	Bluetooth keyboard	bt keyboard	3	all	active	
keyboard_support	SMART_CONNECTOR	Smart Connector	apple smart keyboard	4	all	active	
biometric_unlock	FACE_ID	Face ID		1	all	active	
biometric_unlock	TOUCH_ID	Touch ID		2	all	active	
biometric_unlock	FINGERPRINT	Сканер отпечатка	fingerprint	3	all	active	
biometric_unlock	FACE_UNLOCK	Face unlock		4	all	active	
biometric_unlock	NONE	Нет		5	all	active	
age_recommendation	AGE_3_5	3–5 лет	дошкольный	1	all	active	
age_recommendation	AGE_6_8	6–8 лет	младшая школа	2	all	active	
age_recommendation	AGE_9_12	9–12 лет	школьный	3	all	active	
age_recommendation	TEEN	Подростки	teen	4	all	active	
age_recommendation	NOT_SPECIFIED	Не указано		5	all	active	
connector_type	USB_C	USB‑C	type c;тайп си	1	all	active	
connector_type	LIGHTNING	Lightning	лайтнинг	2	all	active	
connector_type	MAGNETIC_POGO	Magnetic/Pogo	pogo pins	3	all	active	
connector_type	MICRO_USB	Micro‑USB	микро usb	4	all	active	
connector_type	BLUETOOTH	Bluetooth	bt	5	all	active	
connector_type	HDMI	HDMI		6	all	active	
connector_type	OTHER_CONNECTOR	Другой		7	all	active	
connection_type	USB_C	USB‑C	type c	1	all	active	
connection_type	BLUETOOTH	Bluetooth	bt	2	all	active	
connection_type	WIFI	Wi‑Fi	wireless	3	all	active	
connection_type	HDMI	HDMI		4	all	active	
connection_type	USB_A	USB‑A		5	all	active	
connection_type	OTHER_CONNECTION	Другое		6	all	active	
display_present	NONE	Нет дисплея	screenless	1	all	active	
display_present	BUILT_IN_DISPLAY	Встроенный дисплей	pen display	2	all	active	
display_present	EXTERNAL_DISPLAY_ONLY	Внешний дисплей		3	all	active	
pressure_levels	2048	2048 уровней		1	all	active	
pressure_levels	4096	4096 уровней		2	all	active	
pressure_levels	8192	8192 уровней		3	all	active	
pressure_levels	16384	16384 уровней		4	all	active	
pressure_levels	UNKNOWN	Не указано		5	all	active	
pen_technology	EMR	EMR	battery-free	1	all	active	
pen_technology	AES	AES	active electrostatic	2	all	active	
pen_technology	MPP	MPP	surface pen	3	all	active	
pen_technology	APPLE_PENCIL_PROTOCOL	Apple Pencil		4	all	active	
pen_technology	S_PEN_PROTOCOL	S Pen		5	all	active	
pen_technology	OTHER_PEN_TECH	Другая		6	all	active	
active_area	SMALL	Малая		1	all	active	
active_area	MEDIUM	Средняя		2	all	active	
active_area	LARGE	Большая		3	all	active	
active_area	A4	A4		4	all	active	
active_area	A3	A3		5	all	active	
active_area	SCREEN_12_16	12–16″		6	all	active	
active_area	SCREEN_16_24	16–24″		7	all	active	
compatibility_os	WINDOWS	Windows		1	all	active	
compatibility_os	MACOS	macOS		2	all	active	
compatibility_os	IPADOS	iPadOS		3	all	active	
compatibility_os	ANDROID	Android		4	all	active	
compatibility_os	CHROMEOS	ChromeOS		5	all	active	
compatibility_os	LINUX	Linux		6	all	active	
dock_type	USB_C_HUB_DOCK	USB‑C hub/dock	хаб	1	all	active	
dock_type	MAGNETIC_KEYBOARD_DOCK	Клавиатурный док	keyboard dock	2	all	active	
dock_type	CHARGING_DOCK	Зарядный док	charging stand	3	all	active	
dock_type	DESKTOP_DOCK	Desktop dock		4	all	active	
dock_type	POGO_PIN_DOCK	Pogo dock		5	all	active	
stand_type	DESK_STAND	Настольная подставка		1	all	active	
stand_type	FOLDABLE_STAND	Складная подставка		2	all	active	
stand_type	ARM_MOUNT	Кронштейн/arm		3	all	active	
stand_type	CAR_HEADREST_MOUNT	Автодержатель на подголовник		4	all	active	
stand_type	MAGNETIC_STAND	Магнитная подставка		5	all	active	
screen_size_range	7_8	7–8″		1	all	active	
screen_size_range	9_11	9–11″		2	all	active	
screen_size_range	12_14	12–14″		3	all	active	
screen_size_range	UNIVERSAL	Универсальный		4	all	active	
material	ALUMINUM	Алюминий		1	all	active	
material	PLASTIC	Пластик		2	all	active	
material	STEEL	Сталь		3	all	active	
material	SILICONE	Силикон		4	all	active	
material	FABRIC	Ткань		5	all	active	
material	MIXED	Комбинированный		6	all	active	
power_delivery_w	18	18 Вт		1	all	active	
power_delivery_w	20	20 Вт		2	all	active	
power_delivery_w	30	30 Вт		3	all	active	
power_delivery_w	45	45 Вт		4	all	active	
power_delivery_w	60	60 Вт		5	all	active	
power_delivery_w	65	65 Вт		6	all	active	
power_delivery_w	100	100 Вт		7	all	active	
color_family	BLACK	Чёрный	black	1	all	active	
color_family	WHITE	Белый	white	2	all	active	
color_family	SILVER	Серебристый	silver	3	all	active	
color_family	GRAY	Серый	grey;space gray	4	all	active	
color_family	BLUE	Синий	blue	5	all	active	
color_family	GREEN	Зелёный	green	6	all	active	
color_family	PINK	Розовый	pink	7	all	active	
color_family	GOLD	Золотой	gold	8	all	active	
color_family	PURPLE	Фиолетовый	purple	9	all	active	
color_family	OTHER_COLOR	Другой		10	all	active	
