brand	family	line	model	tablet_type	release_year	seed_scope	status	notes_ru
HUAWEI	MATEPAD		Huawei MatePad SE	TABLET		head	active	
HONOR	HONOR_PAD		Honor Pad 9	TABLET		head	active	
HONOR	HONOR_PAD		Honor Pad X9	TABLET		head	active	
MICROSOFT	TABLET_GENERAL		Microsoft Surface Pro	TABLET		head	active	
MICROSOFT	TABLET_GENERAL		Microsoft Surface Go	TABLET		head	active	
ASUS	TABLET_GENERAL		ASUS Vivobook Slate	TABLET		head	active	
NOKIA	TABLET_GENERAL		Nokia T21	TABLET		head	active	
TCL	TABLET_GENERAL		TCL Tab 10	TABLET		head	active	
REALME	TABLET_GENERAL		Realme Pad	TABLET		head	active	
OPPO	TABLET_GENERAL		OPPO Pad Air	TABLET		head	active	
BLACKVIEW	TABLET_GENERAL		Blackview Tab	TABLET		head	active	
DOOGEE	TABLET_GENERAL		Doogee T30	TABLET		head	active	
TECLAST	TABLET_GENERAL		Teclast T50	TABLET		head	active	
CHUWI	TABLET_GENERAL		Chuwi HiPad	TABLET		head	active	
AMAZON	KIDS_TABLET		Amazon Fire HD 10 Kids	KIDS_TABLET		head	active	
AMAZON	KIDS_TABLET		Amazon Fire 7 Kids	KIDS_TABLET		head	active	
SAMSUNG	KIDS_TABLET		Samsung Galaxy Tab A Kids	KIDS_TABLET		head	active	
LENOVO	KIDS_TABLET		Lenovo Tab M10 Kids	KIDS_TABLET		head	active	
AMAZON	KINDLE		Kindle Paperwhite	E_READER		head	active	
AMAZON	KINDLE		Kindle Scribe	E_READER		head	active	
AMAZON	KINDLE		Kindle Oasis	E_READER		head	active	
AMAZON	KINDLE		Kindle Basic	E_READER		head	active	
KOBO	KOBO		Kobo Clara	E_READER		head	active	
KOBO	KOBO		Kobo Libra	E_READER		head	active	
KOBO	KOBO		Kobo Sage	E_READER		head	active	
POCKETBOOK	POCKETBOOK		PocketBook Verse	E_READER		head	active	
POCKETBOOK	POCKETBOOK		PocketBook InkPad	E_READER		head	active	
ONYX_BOOX	ONYX_BOOX		Onyx Boox Note Air	E_READER		head	active	
ONYX_BOOX	ONYX_BOOX		Onyx Boox Tab Ultra	E_READER		head	active	
REMARKABLE	REMARKABLE		reMarkable 2	E_READER		head	active	
WACOM	Intuos		Wacom Intuos	GRAPHICS_TABLET		head	active	
WACOM	One		Wacom One	GRAPHICS_TABLET		head	active	
WACOM	Cintiq		Wacom Cintiq 16	GRAPHICS_TABLET		head	active	
WACOM	Cintiq		Wacom Cintiq Pro	GRAPHICS_TABLET		head	active	
HUION	Kamvas		Huion Kamvas 13	GRAPHICS_TABLET		head	active	
HUION	Kamvas		Huion Kamvas 16	GRAPHICS_TABLET		head	active	
HUION	Inspiroy		Huion Inspiroy	GRAPHICS_TABLET		head	active	
XP_PEN	Deco		XP-Pen Deco	GRAPHICS_TABLET		head	active	
XP_PEN	Artist		XP-Pen Artist 12	GRAPHICS_TABLET		head	active	
XP_PEN	Artist		XP-Pen Artist 16	GRAPHICS_TABLET		head	active	
GAOMON	PD1161		Gaomon PD1161	GRAPHICS_TABLET		head	active	
APPLE	IPAD_ACCESSORY		iPad Magic Keyboard Dock	TABLET_DOCK		head	active	generic accessory seed
SAMSUNG	GALAXY_TAB_ACCESSORY		Galaxy Tab Keyboard Dock	TABLET_DOCK		head	active	generic accessory seed
ANKER	USB_C_DOCK		USB-C Tablet Dock	TABLET_DOCK		head	active	generic accessory seed
UGREEN	USB_C_DOCK		USB-C Tablet Hub	TABLET_DOCK		head	active	generic accessory seed
BASEUS	TABLET_STAND		Adjustable Tablet Stand	TABLET_STAND		head	active	generic accessory seed
UGREEN	TABLET_STAND		Foldable Tablet Stand	TABLET_STAND		head	active	generic accessory seed
OTHER_BRAND	TABLET_STAND		Universal Tablet Stand	TABLET_STAND		head	active	generic accessory seed
