alias	brand	model_name_text	target_category	confidence	note
canon canoscan lide 400	CANON	CanoScan LiDE 400	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
eco tank l3250	EPSON	EcoTank L3250	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
ecotankl3250	EPSON	EcoTank L3250	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
epson ecotank l3250	EPSON	EcoTank L3250	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
ecotank l3250	EPSON	EcoTank L3250	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
экотанк l3250	EPSON	EcoTank L3250	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
ecotankl8050	EPSON	EcoTank L8050	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
экотанк l8050	EPSON	EcoTank L8050	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
epson ecotank l8050	EPSON	EcoTank L8050	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
ecotank l8050	EPSON	EcoTank L8050	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
eco tank l8050	EPSON	EcoTank L8050	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
workforce wf 2930dwf	EPSON	WorkForce WF-2930DWF	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
epson workforce wf-2930dwf	EPSON	WorkForce WF-2930DWF	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
workforce wf-2930dwf	EPSON	WorkForce WF-2930DWF	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
workforcewf-2930dwf	EPSON	WorkForce WF-2930DWF	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
perfection v600 photo	EPSON	Perfection V600 Photo	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
perfectionv600photo	EPSON	Perfection V600 Photo	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
epson perfection v600 photo	EPSON	Perfection V600 Photo	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hl-l2350dw	BROTHER	HL-L2350DW	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hl l2350dw	BROTHER	HL-L2350DW	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
brother hl-l2350dw	BROTHER	HL-L2350DW	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
dcp-l2530dw	BROTHER	DCP-L2530DW	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
brother dcp-l2530dw	BROTHER	DCP-L2530DW	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
dcp l2530dw	BROTHER	DCP-L2530DW	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
brother mfc-l2710dw	BROTHER	MFC-L2710DW	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
mfc l2710dw	BROTHER	MFC-L2710DW	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
mfc-l2710dw	BROTHER	MFC-L2710DW	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
ql 800	BROTHER	QL-800	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
ql-800	BROTHER	QL-800	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
brother ql-800	BROTHER	QL-800	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
p touch pt d210	BROTHER	P-touch PT-D210	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
brother p-touch pt-d210	BROTHER	P-touch PT-D210	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
p-touchpt-d210	BROTHER	P-touch PT-D210	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
p-touch pt-d210	BROTHER	P-touch PT-D210	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
phaser 3020	XEROX	Phaser 3020	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
xerox phaser 3020	XEROX	Phaser 3020	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
phaser3020	XEROX	Phaser 3020	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
workcentre 3025	XEROX	WorkCentre 3025	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
xerox workcentre 3025	XEROX	WorkCentre 3025	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
workcentre3025	XEROX	WorkCentre 3025	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
p2500w	PANTUM	P2500W	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
pantum p2500w	PANTUM	P2500W	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
pantum m6500w	PANTUM	M6500W	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
m6500w	PANTUM	M6500W	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
ecosysp2040dn	KYOCERA	ECOSYS P2040dn	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
kyocera ecosys p2040dn	KYOCERA	ECOSYS P2040dn	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
ecosys p2040dn	KYOCERA	ECOSYS P2040dn	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
kyocera ecosys m2040dn	KYOCERA	ECOSYS M2040dn	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
ecosys m2040dn	KYOCERA	ECOSYS M2040dn	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
ecosysm2040dn	KYOCERA	ECOSYS M2040dn	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
sp230dnw	RICOH	SP 230DNw	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
ricoh sp 230dnw	RICOH	SP 230DNw	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
sp 230dnw	RICOH	SP 230DNw	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
lexmark b2236dw	LEXMARK	B2236dw	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
b2236dw	LEXMARK	B2236dw	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
xpress m2020w	SAMSUNG	Xpress M2020W	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
samsung xpress m2020w	SAMSUNG	Xpress M2020W	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
xpressm2020w	SAMSUNG	Xpress M2020W	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
zebra zd421	ZEBRA	ZD421	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
zd421	ZEBRA	ZD421	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
zebra gk420d	ZEBRA	GK420d	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
gk420d	ZEBRA	GK420d	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
dymo labelwriter 450	DYMO	LabelWriter 450	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
labelwriter 450	DYMO	LabelWriter 450	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
labelwriter450	DYMO	LabelWriter 450	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
slp dx220	BIXOLON	SLP-DX220	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
bixolon slp-dx220	BIXOLON	SLP-DX220	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
slp-dx220	BIXOLON	SLP-DX220	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
cl s621	CITIZEN	CL-S621	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
citizen cl-s621	CITIZEN	CL-S621	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
cl-s621	CITIZEN	CL-S621	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
fujitsu scansnap ix1600	FUJITSU	ScanSnap iX1600	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
scansnap ix1600	FUJITSU	ScanSnap iX1600	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
scansnapix1600	FUJITSU	ScanSnap iX1600	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
fujitsu scansnap ix1400	FUJITSU	ScanSnap iX1400	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
scansnapix1400	FUJITSU	ScanSnap iX1400	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
scansnap ix1400	FUJITSU	ScanSnap iX1400	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
opticbook3800l	PLUSTEK	OpticBook 3800L	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
plustek opticbook 3800l	PLUSTEK	OpticBook 3800L	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
opticbook 3800l	PLUSTEK	OpticBook 3800L	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
scanmatei940	KODAK_ALARIS	ScanMate i940	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
kodak_alaris scanmate i940	KODAK_ALARIS	ScanMate i940	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
scanmate i940	KODAK_ALARIS	ScanMate i940	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
ad225wn	AVISION	AD225WN	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
avision ad225wn	AVISION	AD225WN	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
et24 pro	CZUR	ET24 Pro	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
et24pro	CZUR	ET24 Pro	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
czur et24 pro	CZUR	ET24 Pro	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
b21	NIIMBOT	B21	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
niimbot b21	NIIMBOT	B21	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
phomemo m110	PHOMEMO	M110	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
m110	PHOMEMO	M110	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp305black/color	HP	HP 305 Black/Color	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp 305 black/color	HP	HP 305 Black/Color	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp hp 305 black/color	HP	HP 305 Black/Color	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp650black/color	HP	HP 650 Black/Color	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp hp 650 black/color	HP	HP 650 Black/Color	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp 650 black/color	HP	HP 650 Black/Color	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp hp 83a cf283a	HP	HP 83A CF283A	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp 83a cf283a	HP	HP 83A CF283A	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
hp83acf283a	HP	HP 83A CF283A	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canon pg-445 / cl-446	CANON	Canon PG-445 / CL-446	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canon canon pg-445 / cl-446	CANON	Canon PG-445 / CL-446	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canonpg-445/cl-446	CANON	Canon PG-445 / CL-446	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canon pg 445 / cl 446	CANON	Canon PG-445 / CL-446	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canon gi 490 ink bottle	CANON	Canon GI-490 Ink Bottle	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canon canon gi-490 ink bottle	CANON	Canon GI-490 Ink Bottle	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canon gi-490 ink bottle	CANON	Canon GI-490 Ink Bottle	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
canongi-490inkbottle	CANON	Canon GI-490 Ink Bottle	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
epson epson 103 ink bottle	EPSON	Epson 103 Ink Bottle	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
epson103inkbottle	EPSON	Epson 103 Ink Bottle	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
epson 103 ink bottle	EPSON	Epson 103 Ink Bottle	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
epson 664 ink bottle	EPSON	Epson 664 Ink Bottle	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
epson epson 664 ink bottle	EPSON	Epson 664 Ink Bottle	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
epson664inkbottle	EPSON	Epson 664 Ink Bottle	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
brothertn-2421	BROTHER	Brother TN-2421	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
brother tn-2421	BROTHER	Brother TN-2421	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
brother brother tn-2421	BROTHER	Brother TN-2421	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
brother tn 2421	BROTHER	Brother TN-2421	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
brother lc-3219xl	BROTHER	Brother LC-3219XL	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
brother brother lc-3219xl	BROTHER	Brother LC-3219XL	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
brotherlc-3219xl	BROTHER	Brother LC-3219XL	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
brother lc 3219xl	BROTHER	Brother LC-3219XL	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
xerox xerox 106r02773	XEROX	Xerox 106R02773	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
xerox106r02773	XEROX	Xerox 106R02773	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
xerox 106r02773	XEROX	Xerox 106R02773	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
pantum pantum pc-211	PANTUM	Pantum PC-211	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
pantum pc 211	PANTUM	Pantum PC-211	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
pantumpc-211	PANTUM	Pantum PC-211	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
pantum pc-211	PANTUM	Pantum PC-211	TECH.PRINTERS_SCANNERS	0.70	generated_model_alias
