query	expected_category	expected_type	expected_brand	note
принтер штрихкодов	TECH.PRINTERS_SCANNERS	LABEL_PRINTER		
принтер для озон wildberries	TECH.PRINTERS_SCANNERS	LABEL_PRINTER		
niimbot b21	TECH.PRINTERS_SCANNERS	LABEL_PRINTER		
phomemo m110	TECH.PRINTERS_SCANNERS	LABEL_PRINTER		
label printer	TECH.PRINTERS_SCANNERS	LABEL_PRINTER		
картридж hp 305	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	HP	
чернила epson 103	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	EPSON	
canon pg 445 cl 446	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	CANON	
струйный картридж canon	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	CANON	
картриджи hp 650	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	HP	
epson 664 ink	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	EPSON	
чернила для ecotank	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE		
ink cartridge hp	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	HP	
картридж цветной canon	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	CANON	
оригинальный картридж hp	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	HP	
тонер hp 83a	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	HP	
картридж brother tn 2421	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	BROTHER	
лазерный картридж xerox	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	XEROX	
pantum pc 211	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	PANTUM	
тонер картридж canon	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	CANON	
картридж для лазерного принтера	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE		
черный тонер	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE		
тонер совместимый hp	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	HP	
xerox 106r02773	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	XEROX	
brother toner	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	BROTHER	
печатающая головка canon	TECH.PRINTERS_SCANNERS	PRINTER_ACCESSORY	CANON	
лоток для бумаги hp	TECH.PRINTERS_SCANNERS	PRINTER_ACCESSORY	HP	
кабель принтера usb	TECH.PRINTERS_SCANNERS	PRINTER_ACCESSORY		
ремкомплект принтера	TECH.PRINTERS_SCANNERS	PRINTER_ACCESSORY		
maintenance box epson	TECH.PRINTERS_SCANNERS	PRINTER_ACCESSORY	EPSON	
printhead hp	TECH.PRINTERS_SCANNERS	PRINTER_ACCESSORY	HP	
фьюзер xerox	TECH.PRINTERS_SCANNERS	PRINTER_ACCESSORY	XEROX	
ролик захвата бумаги	TECH.PRINTERS_SCANNERS	PRINTER_ACCESSORY		
бумага для принтера фото	TECH.PRINTERS_SCANNERS	PRINTER_ACCESSORY		
label roll zebra	TECH.PRINTERS_SCANNERS	PRINTER_ACCESSORY	ZEBRA	
usb c кабель 2 метра	TECH.POWER_CHARGING_CABLES			generic cable
фотоаппарат canon eos	TECH.CAMERAS_DRONES			camera not printer
роутер tp link	TECH.NETWORKING			router
3d принтер ender 3	TECH.OTHER_ELECTRONICS			3d printer future/other
сканер obd2 автомобильный	TECH.CAR_ELECTRONICS_GPS			car scanner
сканер штрихкода usb	TECH.OTHER_ELECTRONICS			barcode scanner future/pos
бумага a4 пачка	OFFICE_SUPPLIES_OR_OTHER			paper only not core tech if office supplies exists
принтер hp	TECH.PRINTERS_SCANNERS	PRINTER	HP	
мфу hp	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	HP	
картридж hp	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	HP	
тонер hp	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	HP	
сканер hp	TECH.PRINTERS_SCANNERS	SCANNER	HP	
принтер canon	TECH.PRINTERS_SCANNERS	PRINTER	CANON	
мфу canon	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	CANON	
картридж canon	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	CANON	
тонер canon	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	CANON	
сканер canon	TECH.PRINTERS_SCANNERS	SCANNER	CANON	
принтер epson	TECH.PRINTERS_SCANNERS	PRINTER	EPSON	
мфу epson	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	EPSON	
картридж epson	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	EPSON	
тонер epson	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	EPSON	
сканер epson	TECH.PRINTERS_SCANNERS	SCANNER	EPSON	
принтер brother	TECH.PRINTERS_SCANNERS	PRINTER	BROTHER	
мфу brother	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	BROTHER	
картридж brother	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	BROTHER	
тонер brother	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	BROTHER	
сканер brother	TECH.PRINTERS_SCANNERS	SCANNER	BROTHER	
принтер xerox	TECH.PRINTERS_SCANNERS	PRINTER	XEROX	
мфу xerox	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	XEROX	
картридж xerox	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	XEROX	
тонер xerox	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	XEROX	
сканер xerox	TECH.PRINTERS_SCANNERS	SCANNER	XEROX	
принтер pantum	TECH.PRINTERS_SCANNERS	PRINTER	PANTUM	
мфу pantum	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	PANTUM	
картридж pantum	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	PANTUM	
тонер pantum	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	PANTUM	
сканер pantum	TECH.PRINTERS_SCANNERS	SCANNER	PANTUM	
принтер kyocera	TECH.PRINTERS_SCANNERS	PRINTER	KYOCERA	
мфу kyocera	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	KYOCERA	
картридж kyocera	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	KYOCERA	
тонер kyocera	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	KYOCERA	
сканер kyocera	TECH.PRINTERS_SCANNERS	SCANNER	KYOCERA	
