seed_id	categoryCode	printer_scanner_type	brand	family	model_name_text	print_technology	mono_color	seed_scope	notes
PRS0013	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	EPSON	WORKFORCE	WorkForce WF-2930DWF	INKJET	COLOR	head_representative	head value only; not full registry
PRS0014	TECH.PRINTERS_SCANNERS	SCANNER	EPSON	PERFECTION	Perfection V600 Photo			head_representative	head value only; not full registry
PRS0015	TECH.PRINTERS_SCANNERS	PRINTER	BROTHER	HL	HL-L2350DW	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0016	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	BROTHER	DCP	DCP-L2530DW	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0017	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	BROTHER	MFC	MFC-L2710DW	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0018	TECH.PRINTERS_SCANNERS	LABEL_PRINTER	BROTHER	QL	QL-800	THERMAL		head_representative	head value only; not full registry
PRS0019	TECH.PRINTERS_SCANNERS	LABEL_PRINTER	BROTHER	PT	P-touch PT-D210	THERMAL		head_representative	head value only; not full registry
PRS0020	TECH.PRINTERS_SCANNERS	PRINTER	XEROX	PHASER	Phaser 3020	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0021	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	XEROX	WORKCENTRE	WorkCentre 3025	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0022	TECH.PRINTERS_SCANNERS	PRINTER	PANTUM	P	P2500W	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0023	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	PANTUM	M	M6500W	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0024	TECH.PRINTERS_SCANNERS	PRINTER	KYOCERA	ECOSYS	ECOSYS P2040dn	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0025	TECH.PRINTERS_SCANNERS	MULTIFUNCTION_PRINTER	KYOCERA	ECOSYS	ECOSYS M2040dn	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0026	TECH.PRINTERS_SCANNERS	PRINTER	RICOH	SP	SP 230DNw	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0027	TECH.PRINTERS_SCANNERS	PRINTER	LEXMARK	B	B2236dw	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0028	TECH.PRINTERS_SCANNERS	PRINTER	SAMSUNG	XPRESS	Xpress M2020W	LASER	MONOCHROME	head_representative	head value only; not full registry
PRS0029	TECH.PRINTERS_SCANNERS	LABEL_PRINTER	ZEBRA	ZD	ZD421	THERMAL		head_representative	head value only; not full registry
PRS0030	TECH.PRINTERS_SCANNERS	LABEL_PRINTER	ZEBRA	GK	GK420d	THERMAL		head_representative	head value only; not full registry
PRS0031	TECH.PRINTERS_SCANNERS	LABEL_PRINTER	DYMO	LABELWRITER	LabelWriter 450	THERMAL		head_representative	head value only; not full registry
PRS0032	TECH.PRINTERS_SCANNERS	LABEL_PRINTER	BIXOLON	SLP	SLP-DX220	THERMAL		head_representative	head value only; not full registry
PRS0033	TECH.PRINTERS_SCANNERS	LABEL_PRINTER	CITIZEN	CL	CL-S621	THERMAL		head_representative	head value only; not full registry
PRS0034	TECH.PRINTERS_SCANNERS	SCANNER	FUJITSU	SCANSNAP	ScanSnap iX1600			head_representative	head value only; not full registry
PRS0035	TECH.PRINTERS_SCANNERS	SCANNER	FUJITSU	SCANSNAP	ScanSnap iX1400			head_representative	head value only; not full registry
PRS0036	TECH.PRINTERS_SCANNERS	SCANNER	PLUSTEK	OPTICBOOK	OpticBook 3800L			head_representative	head value only; not full registry
PRS0037	TECH.PRINTERS_SCANNERS	SCANNER	KODAK_ALARIS	SCANMATE	ScanMate i940			head_representative	head value only; not full registry
PRS0038	TECH.PRINTERS_SCANNERS	SCANNER	AVISION	AD	AD225WN			head_representative	head value only; not full registry
PRS0039	TECH.PRINTERS_SCANNERS	SCANNER	CZUR	ET	ET24 Pro			head_representative	head value only; not full registry
PRS0040	TECH.PRINTERS_SCANNERS	LABEL_PRINTER	NIIMBOT	B	B21	THERMAL		head_representative	head value only; not full registry
PRS0041	TECH.PRINTERS_SCANNERS	LABEL_PRINTER	PHOMEMO	M	M110	THERMAL		head_representative	head value only; not full registry
PRS0042	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	HP	305	HP 305 Black/Color	INKJET		head_representative	head value only; not full registry
PRS0043	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	HP	650	HP 650 Black/Color	INKJET		head_representative	head value only; not full registry
PRS0044	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	HP	83A	HP 83A CF283A	LASER	BLACK	head_representative	head value only; not full registry
PRS0045	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	CANON	PG_445_CL_446	Canon PG-445 / CL-446	INKJET		head_representative	head value only; not full registry
PRS0046	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	CANON	GI_490	Canon GI-490 Ink Bottle	INKJET		head_representative	head value only; not full registry
PRS0047	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	EPSON	103	Epson 103 Ink Bottle	INKJET		head_representative	head value only; not full registry
PRS0048	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	EPSON	664	Epson 664 Ink Bottle	INKJET		head_representative	head value only; not full registry
PRS0049	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	BROTHER	TN_2421	Brother TN-2421	LASER	BLACK	head_representative	head value only; not full registry
PRS0050	TECH.PRINTERS_SCANNERS	INK_CARTRIDGE	BROTHER	LC_3219	Brother LC-3219XL	INKJET		head_representative	head value only; not full registry
PRS0051	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	XEROX	106R02773	Xerox 106R02773	LASER	BLACK	head_representative	head value only; not full registry
PRS0052	TECH.PRINTERS_SCANNERS	TONER_CARTRIDGE	PANTUM	PC_211	Pantum PC-211	LASER	BLACK	head_representative	head value only; not full registry
