attribute_code	value_code	label_ru	usage_scope	status
toner_color	BLACK	Black	head	active
toner_color	CYAN	Cyan	head	active
toner_color	MAGENTA	Magenta	head	active
toner_color	YELLOW	Yellow	head	active
toner_color	PHOTO_BLACK	Photo Black	head	active
toner_color	LIGHT_CYAN	Light Cyan	head	active
toner_color	LIGHT_MAGENTA	Light Magenta	head	active
toner_color	MULTICOLOR	Multicolor	head	active
toner_color	CMYK_SET	Cmyk Set	head	active
page_yield_bucket	STANDARD_YIELD	Standard Yield	head	active
page_yield_bucket	HIGH_YIELD	High Yield	head	active
page_yield_bucket	EXTRA_HIGH_YIELD	Extra High Yield	head	active
page_yield_bucket	MULTIPACK	Multipack	head	active
original_compatible_status	OEM_ORIGINAL	Oem Original	head	active
original_compatible_status	COMPATIBLE	Compatible	head	active
original_compatible_status	REMANUFACTURED	Remanufactured	head	active
original_compatible_status	REFILL	Refill	head	active
original_compatible_status	UNKNOWN	Unknown	head	active
accessory_subtype	PAPER_TRAY	Paper Tray	head	active
accessory_subtype	DUPLEX_UNIT	Duplex Unit	head	active
accessory_subtype	PRINTHEAD	Printhead	head	active
accessory_subtype	MAINTENANCE_KIT	Maintenance Kit	head	active
accessory_subtype	PICKUP_ROLLER	Pickup Roller	head	active
accessory_subtype	TRANSFER_BELT	Transfer Belt	head	active
accessory_subtype	FUSER_UNIT	Fuser Unit	head	active
accessory_subtype	USB_PRINTER_CABLE	Usb Printer Cable	head	active
accessory_subtype	LABEL_ROLL	Label Roll	head	active
accessory_subtype	PHOTO_PAPER	Photo Paper	head	active
accessory_subtype	SCANNER_PAD	Scanner Pad	head	active
accessory_subtype	DUST_COVER	Dust Cover	head	active
accessory_subtype	STAND	Stand	head	active
accessory_subtype	CUTTER_BLADE	Cutter Blade	head	active
accessory_subtype	ADAPTER_POWER_SUPPLY	Adapter Power Supply	head	active
supported_os	WINDOWS	Windows	head	active
supported_os	MACOS	Macos	head	active
supported_os	LINUX	Linux	head	active
supported_os	IOS	Ios	head	active
supported_os	ANDROID	Android	head	active
supported_os	CHROME_OS	Chrome Os	head	active
mobile_printing	AIRPRINT	Airprint	head	active
mobile_printing	MOPRIA	Mopria	head	active
mobile_printing	EPSON_CONNECT	Epson Connect	head	active
mobile_printing	HP_SMART	Hp Smart	head	active
mobile_printing	CANON_PRINT	Canon Print	head	active
mobile_printing	BROTHER_IPRINT	Brother Iprint	head	active
mobile_printing	CLOUD_PRINT	Cloud Print	head	active
mobile_printing	VENDOR_APP	Vendor App	head	active
media_type_supported	PLAIN_PAPER	Plain Paper	head	active
media_type_supported	PHOTO_PAPER	Photo Paper	head	active
media_type_supported	LABELS	Labels	head	active
media_type_supported	CARDSTOCK	Cardstock	head	active
media_type_supported	ENVELOPES	Envelopes	head	active
media_type_supported	TRANSPARENCY_FILM	Transparency Film	head	active
media_type_supported	RECEIPT_PAPER	Receipt Paper	head	active
media_type_supported	THERMAL_LABELS	Thermal Labels	head	active
brand	HP	Hp	head	active
brand	CANON	Canon	head	active
brand	EPSON	Epson	head	active
brand	BROTHER	Brother	head	active
brand	XEROX	Xerox	head	active
brand	KYOCERA	Kyocera	head	active
brand	RICOH	Ricoh	head	active
brand	LEXMARK	Lexmark	head	active
brand	PANTUM	Pantum	head	active
brand	SAMSUNG	Samsung	head	active
brand	OKI	Oki	head	active
brand	KONICA_MINOLTA	Konica Minolta	head	active
brand	SHARP	Sharp	head	active
brand	TOSHIBA	Toshiba	head	active
brand	FUJIFILM	Fujifilm	head	active
brand	ZEBRA	Zebra	head	active
brand	DYMO	Dymo	head	active
brand	BIXOLON	Bixolon	head	active
brand	CITIZEN	Citizen	head	active
brand	TSC	Tsc	head	active
brand	ARGOX	Argox	head	active
brand	HONEYWELL	Honeywell	head	active
brand	FUJITSU	Fujitsu	head	active
brand	PLUSTEK	Plustek	head	active
brand	KODAK_ALARIS	Kodak Alaris	head	active
brand	AVISION	Avision	head	active
brand	MUSTEK	Mustek	head	active
brand	IRIS	Iris	head	active
brand	CZUR	Czur	head	active
brand	POLAROID	Polaroid	head	active
brand	PHOMEMO	Phomemo	head	active
brand	NIIMBOT	Niimbot	head	active
brand	XPRINTER	Xprinter	head	active
brand	MUNBYN	Munbyn	head	active
