query	expected_categoryCode	expected_networking_type	expected_brand	expected_attributes	negative_route	notes
mimo антенна	TECH.NETWORKING	ANTENNA				
poe инжектор	TECH.NETWORKING	POE_INJECTOR				
инжектор poe	TECH.NETWORKING	POE_INJECTOR				
poe injector	TECH.NETWORKING	POE_INJECTOR				
питание по ethernet	TECH.NETWORKING	POE_INJECTOR				
сетевой аксессуар	TECH.NETWORKING	NETWORK_ACCESSORY				
патч панель	TECH.NETWORKING	NETWORK_ACCESSORY				
keystone	TECH.NETWORKING	NETWORK_ACCESSORY				
сетевой тестер	TECH.NETWORKING	NETWORK_ACCESSORY				
network accessory	TECH.NETWORKING	NETWORK_ACCESSORY				
nas synology ds220j	TECH.STORAGE_MEMORY				TECH.STORAGE_MEMORY	NAS
usb hub type c 7 in 1	TECH.COMPUTER_ACCESSORIES				TECH.COMPUTER_ACCESSORIES	USB hub
камера видеонаблюдения hikvision	TECH.SMART_HOME_SECURITY				TECH.SMART_HOME_SECURITY	security camera
hdmi кабель 2 метра	TECH.POWER_CHARGING_CABLES				TECH.POWER_CHARGING_CABLES	cable
ИБП для роутера	TECH.POWER_CHARGING_CABLES				TECH.POWER_CHARGING_CABLES	UPS
gps трекер автомобильный	TECH.CAR_ELECTRONICS_GPS				TECH.CAR_ELECTRONICS_GPS	car GPS
компьютер lenovo thinkpad	TECH.COMPUTERS				TECH.COMPUTERS	computer
iphone 15	TECH.PHONES				TECH.PHONES	phone
poe switch 8 портов	TECH.NETWORKING	SWITCH		poe_support=POE_802_3AF		
