brand	family	line	model	networking_type	wifi_standard	ethernet_max_speed	port_hint	poe_hint	controller_ecosystem	popularity_tier	notes
UBIQUITI	UNIFI	UDM	UniFi Dream Machine	ROUTER	WIFI_5	1_GBPS	4 LAN	NO_POE	UNIFI	A	
UBIQUITI	UNIFI	EXPRESS	UniFi Express	ROUTER	WIFI_6	1_GBPS	2	NO_POE	UNIFI	A	
UBIQUITI	UNIFI	UAP	U6 Lite	ACCESS_POINT	WIFI_6	1_GBPS	1	POE_802_3AF	UNIFI	A	
UBIQUITI	UNIFI	UAP	U6 Pro	ACCESS_POINT	WIFI_6	1_GBPS	1	POE_PLUS_802_3AT	UNIFI	A	
UBIQUITI	UNIFI	UAP	U7 Pro	ACCESS_POINT	WIFI_7	2_5_GBPS	1	POE_PLUS_802_3AT	UNIFI	A	
UBIQUITI	UNIFI	USW	USW-24-PoE	SWITCH	NO_WIFI	1_GBPS	24	POE_PLUS_802_3AT	UNIFI	A	
UBIQUITI	UNIFI	USW	USW-Flex-Mini	SWITCH	NO_WIFI	1_GBPS	5	POE_INPUT	UNIFI	B	
UBIQUITI	UNIFI	POE	U-POE-af	POE_INJECTOR	NO_WIFI	1_GBPS	1	POE_802_3AF	UNIFI	B	
MIKROTIK	HAP	AX	hAP ax3	ROUTER	WIFI_6	2_5_GBPS	4 LAN	NO_POE	MIKROTIK_ROUTEROS	A	
MIKROTIK	HAP	AC	hAP ac2	ROUTER	WIFI_5	1_GBPS	5	NO_POE	MIKROTIK_ROUTEROS	A	
MIKROTIK	ROUTERBOARD	RB	RB5009UG+S+IN	ROUTER	NO_WIFI	2_5_GBPS	7+SFP+	POE_INPUT	MIKROTIK_ROUTEROS	A	
MIKROTIK	CRS	CRS	CRS326-24G-2S+RM	SWITCH	NO_WIFI	1_GBPS	24+2SFP+	NO_POE	MIKROTIK_ROUTEROS	A	
KEENETIC	GIGA	KN	Keenetic Giga KN-1011	ROUTER	WIFI_6	1_GBPS	4 LAN	NO_POE	KEENETIC_OS	A	
KEENETIC	VIVA	KN	Keenetic Viva KN-1912	ROUTER	WIFI_6	1_GBPS	4 LAN	NO_POE	KEENETIC_OS	A	
KEENETIC	HERO	4G	Keenetic Hero 4G	ROUTER	WIFI_5	1_GBPS	4 LAN	NO_POE	KEENETIC_OS	A	
XIAOMI	MI_ROUTER	AX	Mi Router AX3000	ROUTER	WIFI_6	1_GBPS	3 LAN	NO_POE	GENERIC	A	
HUAWEI	WIFI	AX	Huawei WiFi AX3	ROUTER	WIFI_6	1_GBPS	4 LAN	NO_POE	GENERIC	A	
ZYXEL	NEBULA	AP	NWA50AX	ACCESS_POINT	WIFI_6	1_GBPS	1	POE_802_3AF	GENERIC	B	
D_LINK	DIR	AX	DIR-X5460	ROUTER	WIFI_6	1_GBPS	4 LAN	NO_POE	GENERIC	C	
TENDA	NOVA	MW	Nova MW6	MESH_WIFI_SYSTEM	WIFI_5	1_GBPS	2 per node	NO_POE	GENERIC	B	
MERCUSYS	HALO	H	Halo H50G	MESH_WIFI_SYSTEM	WIFI_5	1_GBPS	2 per node	NO_POE	GENERIC	B	
CISCO	CATALYST	C	Catalyst 2960	SWITCH	NO_WIFI	1_GBPS	24/48	NO_POE	GENERIC	B	
HPE_ARUBA	INSTANT_ON	AP	Aruba Instant On AP22	ACCESS_POINT	WIFI_6	1_GBPS	1	POE_802_3AF	ARUBA_INSTANT_ON	B	
MOTOROLA	MB	DOCSIS	MB8611	MODEM	NO_WIFI	2_5_GBPS	1	NO_POE	GENERIC	B	
ARRIS	SURFBOARD	SB	SB8200	MODEM	NO_WIFI	1_GBPS	2	NO_POE	GENERIC	B	
TELTONIKA	RUT	RUT	RUTX11	ROUTER	WIFI_5	1_GBPS	4 LAN	NO_POE	GENERIC	B	
