alias	brand	model	networking_type	locale	priority	notes
keenetic keenetic giga kn-1011	KEENETIC	Keenetic Giga KN-1011	ROUTER	ru	97	
keenetic viva kn-1912	KEENETIC	Keenetic Viva KN-1912	ROUTER	ru	100	
keenetic viva kn 1912	KEENETIC	Keenetic Viva KN-1912	ROUTER	ru	99	
keeneticvivakn-1912	KEENETIC	Keenetic Viva KN-1912	ROUTER	ru	98	
keenetic keenetic viva kn-1912	KEENETIC	Keenetic Viva KN-1912	ROUTER	ru	97	
keenetic hero 4g	KEENETIC	Keenetic Hero 4G	ROUTER	ru	100	
keenetichero4g	KEENETIC	Keenetic Hero 4G	ROUTER	ru	99	
keenetic keenetic hero 4g	KEENETIC	Keenetic Hero 4G	ROUTER	ru	98	
mi router ax3000	XIAOMI	Mi Router AX3000	ROUTER	ru	100	
mirouterax3000	XIAOMI	Mi Router AX3000	ROUTER	ru	99	
xiaomi mi router ax3000	XIAOMI	Mi Router AX3000	ROUTER	ru	98	
huawei wifi ax3	HUAWEI	Huawei WiFi AX3	ROUTER	ru	100	
huaweiwifiax3	HUAWEI	Huawei WiFi AX3	ROUTER	ru	99	
huawei huawei wifi ax3	HUAWEI	Huawei WiFi AX3	ROUTER	ru	98	
nwa50ax	ZYXEL	NWA50AX	ACCESS_POINT	ru	100	
zyxel nwa50ax	ZYXEL	NWA50AX	ACCESS_POINT	ru	99	
dir-x5460	D_LINK	DIR-X5460	ROUTER	ru	100	
dir x5460	D_LINK	DIR-X5460	ROUTER	ru	99	
d link dir-x5460	D_LINK	DIR-X5460	ROUTER	ru	98	
nova mw6	TENDA	Nova MW6	MESH_WIFI_SYSTEM	ru	100	
novamw6	TENDA	Nova MW6	MESH_WIFI_SYSTEM	ru	99	
tenda nova mw6	TENDA	Nova MW6	MESH_WIFI_SYSTEM	ru	98	
halo h50g	MERCUSYS	Halo H50G	MESH_WIFI_SYSTEM	ru	100	
haloh50g	MERCUSYS	Halo H50G	MESH_WIFI_SYSTEM	ru	99	
mercusys halo h50g	MERCUSYS	Halo H50G	MESH_WIFI_SYSTEM	ru	98	
catalyst 2960	CISCO	Catalyst 2960	SWITCH	ru	100	
catalyst2960	CISCO	Catalyst 2960	SWITCH	ru	99	
cisco catalyst 2960	CISCO	Catalyst 2960	SWITCH	ru	98	
aruba instant on ap22	HPE_ARUBA	Aruba Instant On AP22	ACCESS_POINT	ru	100	
arubainstantonap22	HPE_ARUBA	Aruba Instant On AP22	ACCESS_POINT	ru	99	
hpe aruba aruba instant on ap22	HPE_ARUBA	Aruba Instant On AP22	ACCESS_POINT	ru	98	
mb8611	MOTOROLA	MB8611	MODEM	ru	100	
motorola mb8611	MOTOROLA	MB8611	MODEM	ru	99	
sb8200	ARRIS	SB8200	MODEM	ru	100	
arris sb8200	ARRIS	SB8200	MODEM	ru	99	
rutx11	TELTONIKA	RUTX11	ROUTER	ru	100	
teltonika rutx11	TELTONIKA	RUTX11	ROUTER	ru	99	
