alias	locale	target_attribute	target_value	match_type	priority	negative_guard	notes
tp link	ru	brand	TP_LINK	phrase	92		
асус	ru	brand	ASUS	phrase	95		
asus	ru	brand	ASUS	phrase	94		
netgear	ru	brand	NETGEAR	phrase	95		
нетгир	ru	brand	NETGEAR	phrase	94		
ubiquiti	ru	brand	UBIQUITI	phrase	95		
юбикуити	ru	brand	UBIQUITI	phrase	94		
ubnt	ru	brand	UBIQUITI	phrase	93		
unifi	ru	brand	UBIQUITI	phrase	92		
uni fi	ru	brand	UBIQUITI	phrase	91		
mikrotik	ru	brand	MIKROTIK	phrase	95		
микротик	ru	brand	MIKROTIK	phrase	94		
routerboard	ru	brand	MIKROTIK	phrase	93		
keenetic	ru	brand	KEENETIC	phrase	95		
кинетик	ru	brand	KEENETIC	phrase	94		
zyxel keenetic	ru	brand	KEENETIC	phrase	93		
xiaomi	ru	brand	XIAOMI	phrase	95		
сяоми	ru	brand	XIAOMI	phrase	94		
mi router	ru	brand	XIAOMI	phrase	93		
huawei	ru	brand	HUAWEI	phrase	95		
хуавей	ru	brand	HUAWEI	phrase	94		
zyxel	ru	brand	ZYXEL	phrase	95		
зиксель	ru	brand	ZYXEL	phrase	94		
d-link	ru	brand	D_LINK	phrase	95		
dlink	ru	brand	D_LINK	phrase	94		
д линк	ru	brand	D_LINK	phrase	93		
cisco	ru	brand	CISCO	phrase	95		
циско	ru	brand	CISCO	phrase	94		
aruba	ru	brand	HPE_ARUBA	phrase	95		
hpe aruba	ru	brand	HPE_ARUBA	phrase	94		
teltonika	ru	brand	TELTONIKA	phrase	95		
телтоника	ru	brand	TELTONIKA	phrase	94		
arris	ru	brand	ARRIS	phrase	95		
аррис	ru	brand	ARRIS	phrase	94		
wifi 6	ru	wifi_standard	WIFI_6	phrase	90		
wi-fi 6	ru	wifi_standard	WIFI_6	phrase	90		
wifi 6e	ru	wifi_standard	WIFI_6E	phrase	90		
wifi 7	ru	wifi_standard	WIFI_7	phrase	90		
802.11ax	ru	wifi_standard	WIFI_6	phrase	90		
802.11be	ru	wifi_standard	WIFI_7	phrase	90		
гигабитный	ru	ethernet_max_speed	1_GBPS	phrase	70		
1g	ru	ethernet_max_speed	1_GBPS	phrase	70		
2.5g	ru	ethernet_max_speed	2_5_GBPS	phrase	70		
10g	ru	ethernet_max_speed	10_GBPS	phrase	70		
10gbe	ru	ethernet_max_speed	10_GBPS	phrase	70		
poe	ru	poe_support	POE_802_3AF	phrase	70		
poe+	ru	poe_support	POE_PLUS_802_3AT	phrase	70		
poe++	ru	poe_support	POE_PLUS_PLUS_802_3BT	phrase	70		
802.3af	ru	poe_support	POE_802_3AF	phrase	70		
802.3at	ru	poe_support	POE_PLUS_802_3AT	phrase	70		
802.3bt	ru	poe_support	POE_PLUS_PLUS_802_3BT	phrase	70		
