attribute_code	value_code	label_ru	label_en	aliases_ru	priority	status	notes
modem_type	USB_CELLULAR_MODEM	USB CELLULAR MODEM	Usb Cellular Modem		95	head	
modem_type	UNKNOWN	UNKNOWN	Unknown		94	head	
docsis_version	DOCSIS_3_0	DOCSIS 3 0	Docsis 3 0		100	head	
docsis_version	DOCSIS_3_1	DOCSIS 3 1	Docsis 3 1		99	head	
docsis_version	DOCSIS_4_0	DOCSIS 4 0	Docsis 4 0		98	head	
docsis_version	UNKNOWN	UNKNOWN	Unknown		97	head	
cellular_standard	NO_CELLULAR	NO CELLULAR	No Cellular		100	head	
cellular_standard	LTE_4G	LTE 4G	Lte 4G		99	head	
cellular_standard	FIVE_G	FIVE G	Five G		98	head	
cellular_standard	LTE_4G_FIVE_G	LTE 4G FIVE G	Lte 4G Five G		97	head	
cellular_standard	UNKNOWN	UNKNOWN	Unknown		96	head	
sim_support	NO_SIM	NO SIM	No Sim		100	head	
sim_support	NANO_SIM	NANO SIM	Nano Sim		99	head	
sim_support	MICRO_SIM	MICRO SIM	Micro Sim		98	head	
sim_support	ESIM	ESIM	Esim		97	head	
sim_support	DUAL_SIM	DUAL SIM	Dual Sim		96	head	
sim_support	UNKNOWN	UNKNOWN	Unknown		95	head	
antenna_type	OMNI	Всенаправленная	Omni		100	head	
antenna_type	DIRECTIONAL	Направленная	Directional		99	head	
antenna_type	PANEL	Панельная	Panel		98	head	
antenna_type	YAGI	Yagi	Yagi		97	head	
antenna_type	DISH	Тарелка	Dish		96	head	
antenna_type	INTERNAL	Внутренняя	Internal		95	head	
antenna_type	UNKNOWN	Не указано	Unknown		94	head	
mimo_streams	ONE_BY_ONE	ONE BY ONE	One By One		100	head	
mimo_streams	TWO_BY_TWO	TWO BY TWO	Two By Two		99	head	
mimo_streams	THREE_BY_THREE	THREE BY THREE	Three By Three		98	head	
mimo_streams	FOUR_BY_FOUR	FOUR BY FOUR	Four By Four		97	head	
mimo_streams	EIGHT_BY_EIGHT	EIGHT BY EIGHT	Eight By Eight		96	head	
mimo_streams	UNKNOWN	UNKNOWN	Unknown		95	head	
security_protocol	WPA2	WPA2	Wpa2		100	head	
security_protocol	WPA3	WPA3	Wpa3		99	head	
security_protocol	WPA2_WPA3	WPA2 WPA3	Wpa2 Wpa3		98	head	
security_protocol	VPN_FIREWALL	VPN FIREWALL	Vpn Firewall		97	head	
security_protocol	UNKNOWN	UNKNOWN	Unknown		96	head	
mount_type	DESKTOP	DESKTOP	Desktop		100	head	
mount_type	WALL_MOUNT	WALL MOUNT	Wall Mount		99	head	
mount_type	RACK_MOUNT	RACK MOUNT	Rack Mount		98	head	
mount_type	CEILING_MOUNT	CEILING MOUNT	Ceiling Mount		97	head	
mount_type	DIN_RAIL	DIN RAIL	Din Rail		96	head	
mount_type	OUTDOOR_POLE	OUTDOOR POLE	Outdoor Pole		95	head	
mount_type	UNKNOWN	UNKNOWN	Unknown		94	head	
power_source	AC_ADAPTER	AC ADAPTER	Ac Adapter		100	head	
power_source	USB	USB	Usb		99	head	
power_source	POE	POE	Poe		98	head	
power_source	DC	DC	Dc		97	head	
power_source	BATTERY	BATTERY	Battery		96	head	
power_source	UNKNOWN	UNKNOWN	Unknown		95	head	
included_accessories	POWER_ADAPTER	POWER ADAPTER	Power Adapter		100	head	
included_accessories	ETHERNET_CABLE	ETHERNET CABLE	Ethernet Cable		99	head	
included_accessories	MOUNTING_BRACKET	MOUNTING BRACKET	Mounting Bracket		98	head	
included_accessories	ANTENNAS	ANTENNAS	Antennas		97	head	
included_accessories	RACK_EARS	RACK EARS	Rack Ears		96	head	
included_accessories	MANUAL	MANUAL	Manual		95	head	
repair_history	NO_REPAIR_KNOWN	NO REPAIR KNOWN	No Repair Known		100	head	
repair_history	REPAIRED	REPAIRED	Repaired		99	head	
repair_history	UNKNOWN	UNKNOWN	Unknown		98	head	
boolean_unknown	YES	Да	Yes		100	head	
boolean_unknown	NO	Нет	No		99	head	
boolean_unknown	UNKNOWN	Не указано	Unknown		98	head	
ip_rating	IP54	IP54	Ip54		100	head	
ip_rating	IP55	IP55	Ip55		99	head	
ip_rating	IP65	IP65	Ip65		98	head	
ip_rating	IP66	IP66	Ip66		97	head	
ip_rating	IP67	IP67	Ip67		96	head	
ip_rating	UNKNOWN	UNKNOWN	Unknown		95	head	
controller_ecosystem	UNIFI	UNIFI	Unifi		100	head	
controller_ecosystem	OMADA	OMADA	Omada		99	head	
controller_ecosystem	AIMESH	AIMESH	Aimesh		98	head	
controller_ecosystem	DECO	DECO	Deco		97	head	
controller_ecosystem	ORBI	ORBI	Orbi		96	head	
controller_ecosystem	EERO	EERO	Eero		95	head	
controller_ecosystem	MERAKI	MERAKI	Meraki		94	head	
controller_ecosystem	ARUBA_INSTANT_ON	ARUBA INSTANT ON	Aruba Instant On		93	head	
controller_ecosystem	MIKROTIK_ROUTEROS	MIKROTIK ROUTEROS	Mikrotik Routeros		92	head	
controller_ecosystem	KEENETIC_OS	KEENETIC OS	Keenetic Os		91	head	
controller_ecosystem	GENERIC	GENERIC	Generic		90	head	
controller_ecosystem	UNKNOWN	UNKNOWN	Unknown		89	head	
