qid	query_text	locale	expected_route_kind	expected_target	expected_l0	expected_l1	intent	notes
Q.HOME.0050	мебель в детскую	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0051	стул кухонный рядом	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0052	кресло офисное б/у	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0053	стол письменный рядом	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0054	диван размеры	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0055	мебель купить	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	browse	category browse
Q.HOME.0056	мебель рядом	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	browse	category browse
Q.HOME.0057	теплица на дачу	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0058	теплица на дачу	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0059	газонокосилка бензиновая	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0060	лопата садовая	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0061	садовый шланг 20м	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0062	теплица на дачу	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0063	садовая мебель набор	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0064	садовая мебель набор	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0065	садовый шланг 20м	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0066	газонокосилка бензиновая	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0067	триммер электрический	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0068	теплица на дачу	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0069	мангал складной	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0070	садовый шланг 20м	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0071	грунт для рассады	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0072	опрыскиватель садовый	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0073	опрыскиватель садовый	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0074	садовый шланг 20м	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0075	теплица на дачу	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0076	газонокосилка бензиновая	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0077	мангал складной	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0078	триммер электрический	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0079	грунт для рассады	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0080	опрыскиватель садовый	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0081	газонокосилка бензиновая	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0082	лопата садовая	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	product	
Q.HOME.0083	дача и сад купить	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	browse	category browse
Q.HOME.0084	дача и сад рядом	ru-RU	canonical	HOME.GARDEN	HOME	HOME.GARDEN	browse	category browse
Q.HOME.0085	сковорода антипригарная	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0086	кружки набор	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0087	набор ножей кухонных	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0088	кружки набор	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0089	разделочная доска пластик	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0090	сковорода антипригарная	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0091	кастрюля 5 литров	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0092	форма для выпечки	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0093	кружки набор	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0094	форма для выпечки	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0095	форма для выпечки	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0096	набор ножей кухонных	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0097	столовые приборы 24 предмета	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0098	кастрюля 7 литров	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0099	сковорода чугунная	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0100	набор ножей кухонных	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0101	разделочная доска пластик	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0102	форма для выпечки	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0103	кружки набор	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0104	кружки набор	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0105	сковорода чугунная	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0106	тарелки набор	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0107	разделочная доска пластик	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0108	разделочная доска бамбук	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0109	столовые приборы 24 предмета	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0110	разделочная доска дерево	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	product	
Q.HOME.0111	посуда и кухня купить	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	browse	category browse
Q.HOME.0112	посуда и кухня рядом	ru-RU	canonical	HOME.KITCHEN_DINING	HOME	HOME.KITCHEN_DINING	browse	category browse
Q.HOME.0113	торшер в гостиную	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0114	умная лампочка wifi	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0115	лампочки led e27	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0116	лампочки led e27	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0117	торшер в гостиную	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0118	люстра в спальню	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0119	ночник детский	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0120	умная лампочка wifi	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0121	настольная лампа	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0122	светильник потолочный	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0123	светильник потолочный	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0124	ночник детский	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0125	ночник детский	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0126	светодиодная лента 5м	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0127	ночник детский	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0128	светодиодная лента 5м	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0129	настольная лампа	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0130	торшер в гостиную	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0131	светодиодная лента 5м	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0132	светильник потолочный	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0133	люстра в спальню	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0134	светильник потолочный	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0135	люстра в спальню	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0136	настольная лампа	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0137	светильник потолочный	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0138	лампочки led e27	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	product	
Q.HOME.0139	освещение купить	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	browse	category browse
Q.HOME.0140	освещение рядом	ru-RU	canonical	HOME.LIGHTING	HOME	HOME.LIGHTING	browse	category browse
Q.HOME.0141	смеситель для ванной	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0142	сифон для раковины	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0143	раковина накладная	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0144	картридж для фильтра воды	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0145	смеситель для ванной	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0146	сифон для раковины	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0147	сифон для раковины	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0148	смеситель для ванной	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0149	сифон для раковины	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0150	душевая лейка	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0151	сифон для раковины	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0152	фильтр для воды под мойку	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0153	раковина накладная	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0154	душевая лейка	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0155	трубы и фитинги пвх	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0156	картридж для фильтра воды	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0157	унитаз подвесной	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0158	картридж для фильтра воды	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0159	смеситель для ванной	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0160	смеситель для ванной	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0161	унитаз подвесной	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0162	фильтр для воды под мойку	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0163	унитаз подвесной	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0164	картридж для фильтра воды	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0165	сифон для раковины	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0166	смеситель для кухни	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	product	
Q.HOME.0167	сантехника купить	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	browse	category browse
Q.HOME.0168	сантехника рядом	ru-RU	canonical	HOME.PLUMBING	HOME	HOME.PLUMBING	browse	category browse
Q.HOME.0169	лазерный уровень	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0170	краска для стен	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0171	краска для стен	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0172	стремянка 3 ступени	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0173	герметик силиконовый	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0174	герметик силиконовый	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0175	стремянка 3 ступени	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0176	перфоратор sds plus	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0177	саморезы по дереву	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0178	лазерный уровень	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0179	саморезы по дереву	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0180	лазерный уровень	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0181	стремянка 3 ступени	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0182	стремянка 3 ступени	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0183	стремянка 3 ступени	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0184	шуруповерт аккумуляторный	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0185	стремянка 3 ступени	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0186	лазерный уровень	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0187	герметик силиконовый	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0188	набор инструментов	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0189	набор инструментов	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0190	набор инструментов	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0191	стремянка 3 ступени	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0192	герметик силиконовый	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0193	стремянка 3 ступени	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0194	перфоратор sds plus	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	product	
Q.HOME.0195	ремонт и инструменты купить	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	browse	category browse
Q.HOME.0196	ремонт и инструменты рядом	ru-RU	canonical	HOME.REPAIR_TOOLS	HOME	HOME.REPAIR_TOOLS	browse	category browse
Q.HOME.0197	контейнер для еды набор	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0198	система хранения в кладовку	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0199	органайзер в шкаф	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0200	контейнер для еды набор	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0201	вешалки для одежды	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0202	контейнеры для хранения	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0203	система хранения в кладовку	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0204	корзина для белья	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0205	органайзер в шкаф	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0206	система хранения в кладовку	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0207	органайзер в шкаф	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0208	органайзер в шкаф	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0209	контейнер для еды набор	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0210	коробки для хранения в кладовку	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0211	корзина для белья	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0212	контейнер для еды набор	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0213	система хранения в кладовку	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0214	органайзер в шкаф	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0215	вешалки для одежды	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0216	вешалки для одежды	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0217	корзина для белья	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0218	вакуумные пакеты для вещей	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0219	система хранения в кладовку	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0220	органайзер в шкаф	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0221	вакуумные пакеты для вещей	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0222	вешалки для одежды	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	product	
Q.HOME.0223	хранение и организация купить	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	browse	category browse
Q.HOME.0224	хранение и организация рядом	ru-RU	canonical	HOME.STORAGE	HOME	HOME.STORAGE	browse	category browse
Q.HOME.0225	шторы бежевые	ru-RU	canonical	HOME.TEXTILES	HOME	HOME.TEXTILES	product	
Q.HOME.0226	ковер 1.5-спальное	ru-RU	canonical	HOME.TEXTILES	HOME	HOME.TEXTILES	product	
Q.HOME.0227	текстиль для дома	ru-RU	canonical	HOME.TEXTILES	HOME	HOME.TEXTILES	product	
Q.HOME.0228	постельное белье 140x200	ru-RU	canonical	HOME.TEXTILES	HOME	HOME.TEXTILES	product	
Q.HOME.0229	постельное белье 2-спальное	ru-RU	canonical	HOME.TEXTILES	HOME	HOME.TEXTILES	product	
Q.HOME.0230	ковер 2-спальное	ru-RU	canonical	HOME.TEXTILES	HOME	HOME.TEXTILES	product	
Q.HOME.0231	текстиль для дома	ru-RU	canonical	HOME.TEXTILES	HOME	HOME.TEXTILES	product	
Q.HOME.0232	плед бежевые	ru-RU	canonical	HOME.TEXTILES	HOME	HOME.TEXTILES	product	
