model_code	brand	family	line	model	market_priority_tier	resale_liquidity_tier	ru_eu_search_weight	suggestion_scope	not_a_collection
SAMSUNG_GALAXY_Z_FOLD6	SAMSUNG	GALAXY_Z	Z_FOLD	Galaxy Z Fold6	A	A	85	identity_search_only	true
SAMSUNG_GALAXY_A36_5G	SAMSUNG	GALAXY_A	A36	Galaxy A36 5G	A	B	85	identity_search_only	true
SAMSUNG_GALAXY_S25_PLUS	SAMSUNG	GALAXY_S	S25	Galaxy S25+	A	A	85	identity_search_only	true
VIVO_VIVO_X200_PRO	VIVO	VIVO_X	X200	vivo X200 Pro	A	B	85	identity_search_only	true
XIAOMI_XIAOMI_14_ULTRA	XIAOMI	XIAOMI_NUMBER	14	Xiaomi 14 Ultra	A	B	85	identity_search_only	true
XIAOMI_XIAOMI_14T_PRO	XIAOMI	XIAOMI_T	14T	Xiaomi 14T Pro	A	B	85	identity_search_only	true
XIAOMI_XIAOMI_15	XIAOMI	XIAOMI_NUMBER	15	Xiaomi 15	A	B	85	identity_search_only	true
XIAOMI_XIAOMI_15_ULTRA	XIAOMI	XIAOMI_NUMBER	15	Xiaomi 15 Ultra	A	B	85	identity_search_only	true
APPLE_IPHONE_11	APPLE	IPHONE	11	iPhone 11	B	A	65	identity_search_only	true
APPLE_IPHONE_12_PRO	APPLE	IPHONE	12	iPhone 12 Pro	B	A	65	identity_search_only	true
APPLE_IPHONE_12_PRO_MAX	APPLE	IPHONE	12	iPhone 12 Pro Max	B	A	65	identity_search_only	true
APPLE_IPHONE_13_MINI	APPLE	IPHONE	13	iPhone 13 mini	B	B	65	identity_search_only	true
APPLE_IPHONE_14_PLUS	APPLE	IPHONE	14	iPhone 14 Plus	B	A	65	identity_search_only	true
APPLE_IPHONE_SE_3RD_GENERATION	APPLE	IPHONE	SE	iPhone SE (3rd generation)	B	B	65	identity_search_only	true
ASUS_ASUS_ROG_PHONE_8_PRO	ASUS	ROG_PHONE	8	ASUS ROG Phone 8 Pro	B	C	65	identity_search_only	true
GOOGLE_PIXEL_7	GOOGLE	PIXEL	7	Pixel 7	B	B	65	identity_search_only	true
GOOGLE_PIXEL_7_PRO	GOOGLE	PIXEL	7	Pixel 7 Pro	B	B	65	identity_search_only	true
GOOGLE_PIXEL_7A	GOOGLE	PIXEL	7A	Pixel 7a	B	B	65	identity_search_only	true
GOOGLE_PIXEL_9_PRO_FOLD	GOOGLE	PIXEL	9	Pixel 9 Pro Fold	B	B	65	identity_search_only	true
HONOR_HONOR_200_PRO	HONOR	HONOR_NUMBER	200	Honor 200 Pro	B	B	65	identity_search_only	true
HONOR_HONOR_X9C	HONOR	HONOR_X	X9	Honor X9c	B	B	65	identity_search_only	true
HUAWEI_HUAWEI_NOVA_13_PRO	HUAWEI	HUAWEI_NOVA	NOVA_13	Huawei Nova 13 Pro	B	C	65	identity_search_only	true
MOTOROLA_MOTO_G85_5G	MOTOROLA	MOTO_G	G85	Moto G85 5G	B	B	65	identity_search_only	true
MOTOROLA_MOTOROLA_EDGE_50_PRO	MOTOROLA	MOTO_EDGE	EDGE_50	Motorola Edge 50 Pro	B	B	65	identity_search_only	true
MOTOROLA_MOTOROLA_RAZR_50_ULTRA	MOTOROLA	MOTO_RAZR	RAZR_50	Motorola Razr 50 Ultra	B	B	65	identity_search_only	true
NOTHING_NOTHING_PHONE_2A	NOTHING	NOTHING_PHONE	PHONE_2A	Nothing Phone (2a)	B	B	65	identity_search_only	true
ONEPLUS_ONEPLUS_NORD_4	ONEPLUS	ONEPLUS_NORD	NORD_4	OnePlus Nord 4	B	B	65	identity_search_only	true
OPPO_OPPO_RENO13_PRO	OPPO	OPPO_RENO	RENO_13	OPPO Reno13 Pro	B	B	65	identity_search_only	true
REALME_REALME_14_PRO_PLUS	REALME	REALME_NUMBER	14	realme 14 Pro+	B	B	65	identity_search_only	true
REDMI_REDMI_NOTE_13	REDMI	REDMI_NOTE	NOTE_13	Redmi Note 13	B	B	65	identity_search_only	true
SAMSUNG_GALAXY_S22	SAMSUNG	GALAXY_S	S22	Galaxy S22	B	B	65	identity_search_only	true
SAMSUNG_GALAXY_S22_ULTRA	SAMSUNG	GALAXY_S	S22	Galaxy S22 Ultra	B	B	65	identity_search_only	true
SAMSUNG_GALAXY_A34_5G	SAMSUNG	GALAXY_A	A34	Galaxy A34 5G	B	B	65	identity_search_only	true
SAMSUNG_GALAXY_S23_PLUS	SAMSUNG	GALAXY_S	S23	Galaxy S23+	B	B	65	identity_search_only	true
SAMSUNG_GALAXY_Z_FLIP5	SAMSUNG	GALAXY_Z	Z_FLIP	Galaxy Z Flip5	B	B	65	identity_search_only	true
SAMSUNG_GALAXY_Z_FOLD5	SAMSUNG	GALAXY_Z	Z_FOLD	Galaxy Z Fold5	B	B	65	identity_search_only	true
SAMSUNG_GALAXY_M35_5G	SAMSUNG	GALAXY_M	M35	Galaxy M35 5G	B	B	65	identity_search_only	true
SAMSUNG_GALAXY_M55_5G	SAMSUNG	GALAXY_M	M55	Galaxy M55 5G	B	B	65	identity_search_only	true
SONY_SONY_XPERIA_1_VI	SONY	XPERIA_1	VI	Sony Xperia 1 VI	B	C	65	identity_search_only	true
VIVO_VIVO_V50	VIVO	VIVO_V	V50	vivo V50	B	B	65	identity_search_only	true
XIAOMI_XIAOMI_14T	XIAOMI	XIAOMI_T	14T	Xiaomi 14T	B	B	65	identity_search_only	true
ASUS_ASUS_ZENFONE_11_ULTRA	ASUS	ZENFONE	11	ASUS Zenfone 11 Ultra	C	C	45	identity_search_only	true
BLACKVIEW_BLACKVIEW_BV9900_PRO	BLACKVIEW	BV	9900	Blackview BV9900 Pro	C	C	45	identity_search_only	true
CAT_CAT_S75	CAT	CAT_S	S75	CAT S75	C	C	45	identity_search_only	true
INFINIX_INFINIX_HOT_50_PRO_PLUS	INFINIX	HOT	50	Infinix Hot 50 Pro+	C	C	45	identity_search_only	true
INFINIX_INFINIX_NOTE_40_PRO_PLUS_5G	INFINIX	NOTE	40	Infinix Note 40 Pro+ 5G	C	C	45	identity_search_only	true
NOKIA_NOKIA_3310	NOKIA	NOKIA_OLD	3310	Nokia 3310	C	B	45	identity_search_only	true
NOKIA_NOKIA_G42_5G	NOKIA	NOKIA_G	G42	Nokia G42 5G	C	C	45	identity_search_only	true
NOTHING_CMF_PHONE_1	NOTHING	CMF_PHONE	PHONE_1	CMF Phone 1	C	C	45	identity_search_only	true
OPPO_OPPO_A5_PRO_5G	OPPO	OPPO_A	A5	OPPO A5 Pro 5G	C	C	45	identity_search_only	true
REALME_REALME_C75	REALME	REALME_C	C75	realme C75	C	C	45	identity_search_only	true
SONY_SONY_XPERIA_5_V	SONY	XPERIA_5	V	Sony Xperia 5 V	C	C	45	identity_search_only	true
TECNO_TECNO_CAMON_30_PRO_5G	TECNO	CAMON	30	Tecno Camon 30 Pro 5G	C	C	45	identity_search_only	true
TECNO_TECNO_SPARK_20_PRO_PLUS	TECNO	SPARK	20	Tecno Spark 20 Pro+	C	C	45	identity_search_only	true
ULEFONE_ULEFONE_ARMOR_27T_PRO	ULEFONE	ARMOR	27	Ulefone Armor 27T Pro	C	C	45	identity_search_only	true
VIVO_VIVO_Y200_5G	VIVO	VIVO_Y	Y200	vivo Y200 5G	C	C	45	identity_search_only	true
