query	expected_categoryCode	expected_brand	expected_family	expected_model	expected_resolution	notes
10pro	TECH.PHONES	GOOGLE	PIXEL	Pixel 10 Pro	model_candidate_or_resolved	identity search hardening smoke
10 pro	TECH.PHONES	GOOGLE	PIXEL	Pixel 10 Pro	model_candidate_or_resolved	identity search hardening smoke
pixel10pro	TECH.PHONES	GOOGLE	PIXEL	Pixel 10 Pro	model_candidate_or_resolved	identity search hardening smoke
10proxl	TECH.PHONES	GOOGLE	PIXEL	Pixel 10 Pro XL	model_candidate_or_resolved	identity search hardening smoke
10 pro xl	TECH.PHONES	GOOGLE	PIXEL	Pixel 10 Pro XL	model_candidate_or_resolved	identity search hardening smoke
pixel10proxl	TECH.PHONES	GOOGLE	PIXEL	Pixel 10 Pro XL	model_candidate_or_resolved	identity search hardening smoke
note14pro5g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 14 Pro 5G	model_candidate_or_resolved	identity search hardening smoke
note 14 pro 5g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 14 Pro 5G	model_candidate_or_resolved	identity search hardening smoke
redminote14pro5g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 14 Pro 5G	model_candidate_or_resolved	identity search hardening smoke
note14pro5g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 14 Pro+ 5G	model_candidate_or_resolved	identity search hardening smoke
note 14 pro+ 5g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 14 Pro+ 5G	model_candidate_or_resolved	identity search hardening smoke
redminote14pro5g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 14 Pro+ 5G	model_candidate_or_resolved	identity search hardening smoke
a555g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A55 5G	model_candidate_or_resolved	identity search hardening smoke
a55 5g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A55 5G	model_candidate_or_resolved	identity search hardening smoke
galaxya555g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A55 5G	model_candidate_or_resolved	identity search hardening smoke
s24	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S24	model_candidate_or_resolved	identity search hardening smoke
самс s24	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S24	model_candidate_or_resolved	identity search hardening smoke
galaxys24	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S24	model_candidate_or_resolved	identity search hardening smoke
s24u	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S24 Ultra	model_candidate_or_resolved	identity search hardening smoke
s24ultra	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S24 Ultra	model_candidate_or_resolved	identity search hardening smoke
s24 ultra	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S24 Ultra	model_candidate_or_resolved	identity search hardening smoke
a565g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A56 5G	model_candidate_or_resolved	identity search hardening smoke
a56 5g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A56 5G	model_candidate_or_resolved	identity search hardening smoke
galaxya565g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A56 5G	model_candidate_or_resolved	identity search hardening smoke
s25	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S25	model_candidate_or_resolved	identity search hardening smoke
самс s25	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S25	model_candidate_or_resolved	identity search hardening smoke
galaxys25	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S25	model_candidate_or_resolved	identity search hardening smoke
s25u	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S25 Ultra	model_candidate_or_resolved	identity search hardening smoke
s25ultra	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S25 Ultra	model_candidate_or_resolved	identity search hardening smoke
s25 ultra	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S25 Ultra	model_candidate_or_resolved	identity search hardening smoke
12	TECH.PHONES	APPLE	IPHONE	iPhone 12	model_candidate_or_resolved	identity search hardening smoke
аппл 12	TECH.PHONES	APPLE	IPHONE	iPhone 12	model_candidate_or_resolved	identity search hardening smoke
эппл 12	TECH.PHONES	APPLE	IPHONE	iPhone 12	model_candidate_or_resolved	identity search hardening smoke
13pro	TECH.PHONES	APPLE	IPHONE	iPhone 13 Pro	model_candidate_or_resolved	identity search hardening smoke
13 pro	TECH.PHONES	APPLE	IPHONE	iPhone 13 Pro	model_candidate_or_resolved	identity search hardening smoke
айфон 13	TECH.PHONES	APPLE	IPHONE	iPhone 13 Pro	model_candidate_or_resolved	identity search hardening smoke
13promax	TECH.PHONES	APPLE	IPHONE	iPhone 13 Pro Max	model_candidate_or_resolved	identity search hardening smoke
айфон 13	TECH.PHONES	APPLE	IPHONE	iPhone 13 Pro Max	model_candidate_or_resolved	identity search hardening smoke
iphone 13	TECH.PHONES	APPLE	IPHONE	iPhone 13 Pro Max	model_candidate_or_resolved	identity search hardening smoke
14	TECH.PHONES	APPLE	IPHONE	iPhone 14	model_candidate_or_resolved	identity search hardening smoke
аппл 14	TECH.PHONES	APPLE	IPHONE	iPhone 14	model_candidate_or_resolved	identity search hardening smoke
эппл 14	TECH.PHONES	APPLE	IPHONE	iPhone 14	model_candidate_or_resolved	identity search hardening smoke
14pro	TECH.PHONES	APPLE	IPHONE	iPhone 14 Pro	model_candidate_or_resolved	identity search hardening smoke
14 pro	TECH.PHONES	APPLE	IPHONE	iPhone 14 Pro	model_candidate_or_resolved	identity search hardening smoke
айфон 14	TECH.PHONES	APPLE	IPHONE	iPhone 14 Pro	model_candidate_or_resolved	identity search hardening smoke
14promax	TECH.PHONES	APPLE	IPHONE	iPhone 14 Pro Max	model_candidate_or_resolved	identity search hardening smoke
айфон 14	TECH.PHONES	APPLE	IPHONE	iPhone 14 Pro Max	model_candidate_or_resolved	identity search hardening smoke
iphone 14	TECH.PHONES	APPLE	IPHONE	iPhone 14 Pro Max	model_candidate_or_resolved	identity search hardening smoke
15plus	TECH.PHONES	APPLE	IPHONE	iPhone 15 Plus	model_candidate_or_resolved	identity search hardening smoke
15 plus	TECH.PHONES	APPLE	IPHONE	iPhone 15 Plus	model_candidate_or_resolved	identity search hardening smoke
айфон 15	TECH.PHONES	APPLE	IPHONE	iPhone 15 Plus	model_candidate_or_resolved	identity search hardening smoke
16plus	TECH.PHONES	APPLE	IPHONE	iPhone 16 Plus	model_candidate_or_resolved	identity search hardening smoke
16 plus	TECH.PHONES	APPLE	IPHONE	iPhone 16 Plus	model_candidate_or_resolved	identity search hardening smoke
айфон 16	TECH.PHONES	APPLE	IPHONE	iPhone 16 Plus	model_candidate_or_resolved	identity search hardening smoke
16e	TECH.PHONES	APPLE	IPHONE	iPhone 16e	model_candidate_or_resolved	identity search hardening smoke
16 e	TECH.PHONES	APPLE	IPHONE	iPhone 16e	model_candidate_or_resolved	identity search hardening smoke
айфон 16	TECH.PHONES	APPLE	IPHONE	iPhone 16e	model_candidate_or_resolved	identity search hardening smoke
air	TECH.PHONES	APPLE	IPHONE	iPhone Air	model_candidate_or_resolved	identity search hardening smoke
аппл air	TECH.PHONES	APPLE	IPHONE	iPhone Air	model_candidate_or_resolved	identity search hardening smoke
эппл air	TECH.PHONES	APPLE	IPHONE	iPhone Air	model_candidate_or_resolved	identity search hardening smoke
17e	TECH.PHONES	APPLE	IPHONE	iPhone 17e	model_candidate_or_resolved	identity search hardening smoke
17 e	TECH.PHONES	APPLE	IPHONE	iPhone 17e	model_candidate_or_resolved	identity search hardening smoke
айфон 17	TECH.PHONES	APPLE	IPHONE	iPhone 17e	model_candidate_or_resolved	identity search hardening smoke
pixel8	TECH.PHONES	GOOGLE	PIXEL	Pixel 8	model_candidate_or_resolved	identity search hardening smoke
гугл 8	TECH.PHONES	GOOGLE	PIXEL	Pixel 8	model_candidate_or_resolved	identity search hardening smoke
Pixel 8	TECH.PHONES	GOOGLE	PIXEL	Pixel 8	model_candidate_or_resolved	identity search hardening smoke
8pro	TECH.PHONES	GOOGLE	PIXEL	Pixel 8 Pro	model_candidate_or_resolved	identity search hardening smoke
8 pro	TECH.PHONES	GOOGLE	PIXEL	Pixel 8 Pro	model_candidate_or_resolved	identity search hardening smoke
pixel8pro	TECH.PHONES	GOOGLE	PIXEL	Pixel 8 Pro	model_candidate_or_resolved	identity search hardening smoke
8a	TECH.PHONES	GOOGLE	PIXEL	Pixel 8a	model_candidate_or_resolved	identity search hardening smoke
pixel8a	TECH.PHONES	GOOGLE	PIXEL	Pixel 8a	model_candidate_or_resolved	identity search hardening smoke
гугл 8a	TECH.PHONES	GOOGLE	PIXEL	Pixel 8a	model_candidate_or_resolved	identity search hardening smoke
pixel9	TECH.PHONES	GOOGLE	PIXEL	Pixel 9	model_candidate_or_resolved	identity search hardening smoke
гугл 9	TECH.PHONES	GOOGLE	PIXEL	Pixel 9	model_candidate_or_resolved	identity search hardening smoke
Pixel 9	TECH.PHONES	GOOGLE	PIXEL	Pixel 9	model_candidate_or_resolved	identity search hardening smoke
10profold	TECH.PHONES	GOOGLE	PIXEL	Pixel 10 Pro Fold	model_candidate_or_resolved	identity search hardening smoke
10 pro fold	TECH.PHONES	GOOGLE	PIXEL	Pixel 10 Pro Fold	model_candidate_or_resolved	identity search hardening smoke
pixel10profold	TECH.PHONES	GOOGLE	PIXEL	Pixel 10 Pro Fold	model_candidate_or_resolved	identity search hardening smoke
9a	TECH.PHONES	GOOGLE	PIXEL	Pixel 9a	model_candidate_or_resolved	identity search hardening smoke
pixel9a	TECH.PHONES	GOOGLE	PIXEL	Pixel 9a	model_candidate_or_resolved	identity search hardening smoke
гугл 9a	TECH.PHONES	GOOGLE	PIXEL	Pixel 9a	model_candidate_or_resolved	identity search hardening smoke
400	TECH.PHONES	HONOR	HONOR_NUMBER	Honor 400	model_candidate_or_resolved	identity search hardening smoke
honor400	TECH.PHONES	HONOR	HONOR_NUMBER	Honor 400	model_candidate_or_resolved	identity search hardening smoke
Honor 400	TECH.PHONES	HONOR	HONOR_NUMBER	Honor 400	model_candidate_or_resolved	identity search hardening smoke
400pro	TECH.PHONES	HONOR	HONOR_NUMBER	Honor 400 Pro	model_candidate_or_resolved	identity search hardening smoke
400 pro	TECH.PHONES	HONOR	HONOR_NUMBER	Honor 400 Pro	model_candidate_or_resolved	identity search hardening smoke
honor400pro	TECH.PHONES	HONOR	HONOR_NUMBER	Honor 400 Pro	model_candidate_or_resolved	identity search hardening smoke
magic7pro	TECH.PHONES	HONOR	HONOR_MAGIC	Honor Magic7 Pro	model_candidate_or_resolved	identity search hardening smoke
magic7 pro	TECH.PHONES	HONOR	HONOR_MAGIC	Honor Magic7 Pro	model_candidate_or_resolved	identity search hardening smoke
honormagic7pro	TECH.PHONES	HONOR	HONOR_MAGIC	Honor Magic7 Pro	model_candidate_or_resolved	identity search hardening smoke
mate70pro	TECH.PHONES	HUAWEI	HUAWEI_MATE	Huawei Mate 70 Pro	model_candidate_or_resolved	identity search hardening smoke
mate 70 pro	TECH.PHONES	HUAWEI	HUAWEI_MATE	Huawei Mate 70 Pro	model_candidate_or_resolved	identity search hardening smoke
huaweimate70pro	TECH.PHONES	HUAWEI	HUAWEI_MATE	Huawei Mate 70 Pro	model_candidate_or_resolved	identity search hardening smoke
pura70ultra	TECH.PHONES	HUAWEI	HUAWEI_P	Huawei Pura 70 Ultra	model_candidate_or_resolved	identity search hardening smoke
pura 70 ultra	TECH.PHONES	HUAWEI	HUAWEI_P	Huawei Pura 70 Ultra	model_candidate_or_resolved	identity search hardening smoke
huaweipura70ultra	TECH.PHONES	HUAWEI	HUAWEI_P	Huawei Pura 70 Ultra	model_candidate_or_resolved	identity search hardening smoke
phone3	TECH.PHONES	NOTHING	NOTHING_PHONE	Nothing Phone (3)	model_candidate_or_resolved	identity search hardening smoke
phone (3)	TECH.PHONES	NOTHING	NOTHING_PHONE	Nothing Phone (3)	model_candidate_or_resolved	identity search hardening smoke
насинг (3)	TECH.PHONES	NOTHING	NOTHING_PHONE	Nothing Phone (3)	model_candidate_or_resolved	identity search hardening smoke
12	TECH.PHONES	ONEPLUS	ONEPLUS_NUMBER	OnePlus 12	model_candidate_or_resolved	identity search hardening smoke
1plus 12	TECH.PHONES	ONEPLUS	ONEPLUS_NUMBER	OnePlus 12	model_candidate_or_resolved	identity search hardening smoke
oneplus12	TECH.PHONES	ONEPLUS	ONEPLUS_NUMBER	OnePlus 12	model_candidate_or_resolved	identity search hardening smoke
13	TECH.PHONES	ONEPLUS	ONEPLUS_NUMBER	OnePlus 13	model_candidate_or_resolved	identity search hardening smoke
1plus 13	TECH.PHONES	ONEPLUS	ONEPLUS_NUMBER	OnePlus 13	model_candidate_or_resolved	identity search hardening smoke
oneplus13	TECH.PHONES	ONEPLUS	ONEPLUS_NUMBER	OnePlus 13	model_candidate_or_resolved	identity search hardening smoke
findx8pro	TECH.PHONES	OPPO	OPPO_FIND	OPPO Find X8 Pro	model_candidate_or_resolved	identity search hardening smoke
find x8 pro	TECH.PHONES	OPPO	OPPO_FIND	OPPO Find X8 Pro	model_candidate_or_resolved	identity search hardening smoke
oppofindx8pro	TECH.PHONES	OPPO	OPPO_FIND	OPPO Find X8 Pro	model_candidate_or_resolved	identity search hardening smoke
f6	TECH.PHONES	POCO	POCO_F	POCO F6	model_candidate_or_resolved	identity search hardening smoke
pocof6	TECH.PHONES	POCO	POCO_F	POCO F6	model_candidate_or_resolved	identity search hardening smoke
POCO F6	TECH.PHONES	POCO	POCO_F	POCO F6	model_candidate_or_resolved	identity search hardening smoke
f6pro	TECH.PHONES	POCO	POCO_F	POCO F6 Pro	model_candidate_or_resolved	identity search hardening smoke
f6 pro	TECH.PHONES	POCO	POCO_F	POCO F6 Pro	model_candidate_or_resolved	identity search hardening smoke
pocof6pro	TECH.PHONES	POCO	POCO_F	POCO F6 Pro	model_candidate_or_resolved	identity search hardening smoke
x6pro	TECH.PHONES	POCO	POCO_X	POCO X6 Pro	model_candidate_or_resolved	identity search hardening smoke
x6 pro	TECH.PHONES	POCO	POCO_X	POCO X6 Pro	model_candidate_or_resolved	identity search hardening smoke
pocox6pro	TECH.PHONES	POCO	POCO_X	POCO X6 Pro	model_candidate_or_resolved	identity search hardening smoke
f7	TECH.PHONES	POCO	POCO_F	POCO F7	model_candidate_or_resolved	identity search hardening smoke
pocof7	TECH.PHONES	POCO	POCO_F	POCO F7	model_candidate_or_resolved	identity search hardening smoke
POCO F7	TECH.PHONES	POCO	POCO_F	POCO F7	model_candidate_or_resolved	identity search hardening smoke
f7pro	TECH.PHONES	POCO	POCO_F	POCO F7 Pro	model_candidate_or_resolved	identity search hardening smoke
f7 pro	TECH.PHONES	POCO	POCO_F	POCO F7 Pro	model_candidate_or_resolved	identity search hardening smoke
pocof7pro	TECH.PHONES	POCO	POCO_F	POCO F7 Pro	model_candidate_or_resolved	identity search hardening smoke
x7pro	TECH.PHONES	POCO	POCO_X	POCO X7 Pro	model_candidate_or_resolved	identity search hardening smoke
x7 pro	TECH.PHONES	POCO	POCO_X	POCO X7 Pro	model_candidate_or_resolved	identity search hardening smoke
pocox7pro	TECH.PHONES	POCO	POCO_X	POCO X7 Pro	model_candidate_or_resolved	identity search hardening smoke
gt7pro	TECH.PHONES	REALME	REALME_GT	realme GT 7 Pro	model_candidate_or_resolved	identity search hardening smoke
gt 7 pro	TECH.PHONES	REALME	REALME_GT	realme GT 7 Pro	model_candidate_or_resolved	identity search hardening smoke
realmegt7pro	TECH.PHONES	REALME	REALME_GT	realme GT 7 Pro	model_candidate_or_resolved	identity search hardening smoke
note13pro5g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 13 Pro 5G	model_candidate_or_resolved	identity search hardening smoke
note 13 pro 5g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 13 Pro 5G	model_candidate_or_resolved	identity search hardening smoke
redminote13pro5g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 13 Pro 5G	model_candidate_or_resolved	identity search hardening smoke
note13pro5g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 13 Pro+ 5G	model_candidate_or_resolved	identity search hardening smoke
note 13 pro+ 5g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 13 Pro+ 5G	model_candidate_or_resolved	identity search hardening smoke
redminote13pro5g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 13 Pro+ 5G	model_candidate_or_resolved	identity search hardening smoke
note145g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 14 5G	model_candidate_or_resolved	identity search hardening smoke
note 14 5g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 14 5G	model_candidate_or_resolved	identity search hardening smoke
redminote145g	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 14 5G	model_candidate_or_resolved	identity search hardening smoke
a545g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A54 5G	model_candidate_or_resolved	identity search hardening smoke
a54 5g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A54 5G	model_candidate_or_resolved	identity search hardening smoke
galaxya545g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A54 5G	model_candidate_or_resolved	identity search hardening smoke
s23	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S23	model_candidate_or_resolved	identity search hardening smoke
самс s23	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S23	model_candidate_or_resolved	identity search hardening smoke
galaxys23	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S23	model_candidate_or_resolved	identity search hardening smoke
s23u	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S23 Ultra	model_candidate_or_resolved	identity search hardening smoke
s23ultra	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S23 Ultra	model_candidate_or_resolved	identity search hardening smoke
s23 ultra	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S23 Ultra	model_candidate_or_resolved	identity search hardening smoke
a355g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A35 5G	model_candidate_or_resolved	identity search hardening smoke
a35 5g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A35 5G	model_candidate_or_resolved	identity search hardening smoke
galaxya355g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A35 5G	model_candidate_or_resolved	identity search hardening smoke
s24	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S24+	model_candidate_or_resolved	identity search hardening smoke
s24+	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S24+	model_candidate_or_resolved	identity search hardening smoke
galaxys24	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S24+	model_candidate_or_resolved	identity search hardening smoke
zflip6	TECH.PHONES	SAMSUNG	GALAXY_Z	Galaxy Z Flip6	model_candidate_or_resolved	identity search hardening smoke
z flip6	TECH.PHONES	SAMSUNG	GALAXY_Z	Galaxy Z Flip6	model_candidate_or_resolved	identity search hardening smoke
galaxyzflip6	TECH.PHONES	SAMSUNG	GALAXY_Z	Galaxy Z Flip6	model_candidate_or_resolved	identity search hardening smoke
zfold6	TECH.PHONES	SAMSUNG	GALAXY_Z	Galaxy Z Fold6	model_candidate_or_resolved	identity search hardening smoke
z fold6	TECH.PHONES	SAMSUNG	GALAXY_Z	Galaxy Z Fold6	model_candidate_or_resolved	identity search hardening smoke
galaxyzfold6	TECH.PHONES	SAMSUNG	GALAXY_Z	Galaxy Z Fold6	model_candidate_or_resolved	identity search hardening smoke
a365g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A36 5G	model_candidate_or_resolved	identity search hardening smoke
a36 5g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A36 5G	model_candidate_or_resolved	identity search hardening smoke
galaxya365g	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A36 5G	model_candidate_or_resolved	identity search hardening smoke
s25	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S25+	model_candidate_or_resolved	identity search hardening smoke
s25+	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S25+	model_candidate_or_resolved	identity search hardening smoke
galaxys25	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S25+	model_candidate_or_resolved	identity search hardening smoke
x200pro	TECH.PHONES	VIVO	VIVO_X	vivo X200 Pro	model_candidate_or_resolved	identity search hardening smoke
x200 pro	TECH.PHONES	VIVO	VIVO_X	vivo X200 Pro	model_candidate_or_resolved	identity search hardening smoke
vivox200pro	TECH.PHONES	VIVO	VIVO_X	vivo X200 Pro	model_candidate_or_resolved	identity search hardening smoke
14ultra	TECH.PHONES	XIAOMI	XIAOMI_NUMBER	Xiaomi 14 Ultra	model_candidate_or_resolved	identity search hardening smoke
14 ultra	TECH.PHONES	XIAOMI	XIAOMI_NUMBER	Xiaomi 14 Ultra	model_candidate_or_resolved	identity search hardening smoke
ми 14 ultra	TECH.PHONES	XIAOMI	XIAOMI_NUMBER	Xiaomi 14 Ultra	model_candidate_or_resolved	identity search hardening smoke
14tpro	TECH.PHONES	XIAOMI	XIAOMI_T	Xiaomi 14T Pro	model_candidate_or_resolved	identity search hardening smoke
14t pro	TECH.PHONES	XIAOMI	XIAOMI_T	Xiaomi 14T Pro	model_candidate_or_resolved	identity search hardening smoke
ми 14t pro	TECH.PHONES	XIAOMI	XIAOMI_T	Xiaomi 14T Pro	model_candidate_or_resolved	identity search hardening smoke
15	TECH.PHONES	XIAOMI	XIAOMI_NUMBER	Xiaomi 15	model_candidate_or_resolved	identity search hardening smoke
ми 15	TECH.PHONES	XIAOMI	XIAOMI_NUMBER	Xiaomi 15	model_candidate_or_resolved	identity search hardening smoke
xiaomi15	TECH.PHONES	XIAOMI	XIAOMI_NUMBER	Xiaomi 15	model_candidate_or_resolved	identity search hardening smoke
15ultra	TECH.PHONES	XIAOMI	XIAOMI_NUMBER	Xiaomi 15 Ultra	model_candidate_or_resolved	identity search hardening smoke
15 ultra	TECH.PHONES	XIAOMI	XIAOMI_NUMBER	Xiaomi 15 Ultra	model_candidate_or_resolved	identity search hardening smoke
ми 15 ultra	TECH.PHONES	XIAOMI	XIAOMI_NUMBER	Xiaomi 15 Ultra	model_candidate_or_resolved	identity search hardening smoke
11	TECH.PHONES	APPLE	IPHONE	iPhone 11	model_candidate_or_resolved	identity search hardening smoke
аппл 11	TECH.PHONES	APPLE	IPHONE	iPhone 11	model_candidate_or_resolved	identity search hardening smoke
эппл 11	TECH.PHONES	APPLE	IPHONE	iPhone 11	model_candidate_or_resolved	identity search hardening smoke
12pro	TECH.PHONES	APPLE	IPHONE	iPhone 12 Pro	model_candidate_or_resolved	identity search hardening smoke
12 pro	TECH.PHONES	APPLE	IPHONE	iPhone 12 Pro	model_candidate_or_resolved	identity search hardening smoke
айфон 12	TECH.PHONES	APPLE	IPHONE	iPhone 12 Pro	model_candidate_or_resolved	identity search hardening smoke
12promax	TECH.PHONES	APPLE	IPHONE	iPhone 12 Pro Max	model_candidate_or_resolved	identity search hardening smoke
айфон 12	TECH.PHONES	APPLE	IPHONE	iPhone 12 Pro Max	model_candidate_or_resolved	identity search hardening smoke
iphone 12	TECH.PHONES	APPLE	IPHONE	iPhone 12 Pro Max	model_candidate_or_resolved	identity search hardening smoke
