alias	brand	family	line	model	model_code	priority	source_policy
эппл 15 pro	APPLE	IPHONE	15	iPhone 15 Pro	APPLE_IPHONE_15_PRO	100	generated_alias_delta_v1_1
apple 15 pro	APPLE	IPHONE	15	iPhone 15 Pro	APPLE_IPHONE_15_PRO	100	generated_alias_delta_v1_1
айфон 15 pro	APPLE	IPHONE	15	iPhone 15 Pro	APPLE_IPHONE_15_PRO	100	generated_alias_delta_v1_1
iPhone 15 Pro	APPLE	IPHONE	15	iPhone 15 Pro	APPLE_IPHONE_15_PRO	100	generated_alias_delta_v1_1
аппл iphone 15 pro	APPLE	IPHONE	15	iPhone 15 Pro	APPLE_IPHONE_15_PRO	100	generated_alias_delta_v1_1
эппл iphone 15 pro	APPLE	IPHONE	15	iPhone 15 Pro	APPLE_IPHONE_15_PRO	100	generated_alias_delta_v1_1
apple iphone 15 pro	APPLE	IPHONE	15	iPhone 15 Pro	APPLE_IPHONE_15_PRO	100	generated_alias_delta_v1_1
15promax	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
айфон 15	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
iphone 15	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
15 pro max	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
iphone15promax	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
аппл 15 pro max	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
эппл 15 pro max	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
apple 15 pro max	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
iphone 15 promax	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
айфон 15 pro max	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
iPhone 15 Pro Max	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
аппл iphone 15 pro max	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
эппл iphone 15 pro max	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
apple iphone 15 pro max	APPLE	IPHONE	15	iPhone 15 Pro Max	APPLE_IPHONE_15_PRO_MAX	100	generated_alias_delta_v1_1
16	APPLE	IPHONE	16	iPhone 16	APPLE_IPHONE_16	100	generated_alias_delta_v1_1
аппл 16	APPLE	IPHONE	16	iPhone 16	APPLE_IPHONE_16	100	generated_alias_delta_v1_1
эппл 16	APPLE	IPHONE	16	iPhone 16	APPLE_IPHONE_16	100	generated_alias_delta_v1_1
apple 16	APPLE	IPHONE	16	iPhone 16	APPLE_IPHONE_16	100	generated_alias_delta_v1_1
iphone16	APPLE	IPHONE	16	iPhone 16	APPLE_IPHONE_16	100	generated_alias_delta_v1_1
айфон 16	APPLE	IPHONE	16	iPhone 16	APPLE_IPHONE_16	100	generated_alias_delta_v1_1
iPhone 16	APPLE	IPHONE	16	iPhone 16	APPLE_IPHONE_16	100	generated_alias_delta_v1_1
аппл iphone 16	APPLE	IPHONE	16	iPhone 16	APPLE_IPHONE_16	100	generated_alias_delta_v1_1
эппл iphone 16	APPLE	IPHONE	16	iPhone 16	APPLE_IPHONE_16	100	generated_alias_delta_v1_1
apple iphone 16	APPLE	IPHONE	16	iPhone 16	APPLE_IPHONE_16	100	generated_alias_delta_v1_1
16pro	APPLE	IPHONE	16	iPhone 16 Pro	APPLE_IPHONE_16_PRO	100	generated_alias_delta_v1_1
16 pro	APPLE	IPHONE	16	iPhone 16 Pro	APPLE_IPHONE_16_PRO	100	generated_alias_delta_v1_1
айфон 16	APPLE	IPHONE	16	iPhone 16 Pro	APPLE_IPHONE_16_PRO	100	generated_alias_delta_v1_1
iphone 16	APPLE	IPHONE	16	iPhone 16 Pro	APPLE_IPHONE_16_PRO	100	generated_alias_delta_v1_1
iphone16pro	APPLE	IPHONE	16	iPhone 16 Pro	APPLE_IPHONE_16_PRO	100	generated_alias_delta_v1_1
аппл 16 pro	APPLE	IPHONE	16	iPhone 16 Pro	APPLE_IPHONE_16_PRO	100	generated_alias_delta_v1_1
эппл 16 pro	APPLE	IPHONE	16	iPhone 16 Pro	APPLE_IPHONE_16_PRO	100	generated_alias_delta_v1_1
apple 16 pro	APPLE	IPHONE	16	iPhone 16 Pro	APPLE_IPHONE_16_PRO	100	generated_alias_delta_v1_1
айфон 16 pro	APPLE	IPHONE	16	iPhone 16 Pro	APPLE_IPHONE_16_PRO	100	generated_alias_delta_v1_1
iPhone 16 Pro	APPLE	IPHONE	16	iPhone 16 Pro	APPLE_IPHONE_16_PRO	100	generated_alias_delta_v1_1
аппл iphone 16 pro	APPLE	IPHONE	16	iPhone 16 Pro	APPLE_IPHONE_16_PRO	100	generated_alias_delta_v1_1
эппл iphone 16 pro	APPLE	IPHONE	16	iPhone 16 Pro	APPLE_IPHONE_16_PRO	100	generated_alias_delta_v1_1
apple iphone 16 pro	APPLE	IPHONE	16	iPhone 16 Pro	APPLE_IPHONE_16_PRO	100	generated_alias_delta_v1_1
16promax	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
айфон 16	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
iphone 16	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
16 pro max	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
iphone16promax	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
аппл 16 pro max	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
эппл 16 pro max	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
apple 16 pro max	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
iphone 16 promax	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
айфон 16 pro max	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
iPhone 16 Pro Max	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
аппл iphone 16 pro max	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
эппл iphone 16 pro max	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
apple iphone 16 pro max	APPLE	IPHONE	16	iPhone 16 Pro Max	APPLE_IPHONE_16_PRO_MAX	100	generated_alias_delta_v1_1
17	APPLE	IPHONE	17	iPhone 17	APPLE_IPHONE_17	100	generated_alias_delta_v1_1
аппл 17	APPLE	IPHONE	17	iPhone 17	APPLE_IPHONE_17	100	generated_alias_delta_v1_1
эппл 17	APPLE	IPHONE	17	iPhone 17	APPLE_IPHONE_17	100	generated_alias_delta_v1_1
apple 17	APPLE	IPHONE	17	iPhone 17	APPLE_IPHONE_17	100	generated_alias_delta_v1_1
iphone17	APPLE	IPHONE	17	iPhone 17	APPLE_IPHONE_17	100	generated_alias_delta_v1_1
айфон 17	APPLE	IPHONE	17	iPhone 17	APPLE_IPHONE_17	100	generated_alias_delta_v1_1
iPhone 17	APPLE	IPHONE	17	iPhone 17	APPLE_IPHONE_17	100	generated_alias_delta_v1_1
аппл iphone 17	APPLE	IPHONE	17	iPhone 17	APPLE_IPHONE_17	100	generated_alias_delta_v1_1
эппл iphone 17	APPLE	IPHONE	17	iPhone 17	APPLE_IPHONE_17	100	generated_alias_delta_v1_1
apple iphone 17	APPLE	IPHONE	17	iPhone 17	APPLE_IPHONE_17	100	generated_alias_delta_v1_1
17pro	APPLE	IPHONE	17	iPhone 17 Pro	APPLE_IPHONE_17_PRO	100	generated_alias_delta_v1_1
17 pro	APPLE	IPHONE	17	iPhone 17 Pro	APPLE_IPHONE_17_PRO	100	generated_alias_delta_v1_1
айфон 17	APPLE	IPHONE	17	iPhone 17 Pro	APPLE_IPHONE_17_PRO	100	generated_alias_delta_v1_1
iphone 17	APPLE	IPHONE	17	iPhone 17 Pro	APPLE_IPHONE_17_PRO	100	generated_alias_delta_v1_1
iphone17pro	APPLE	IPHONE	17	iPhone 17 Pro	APPLE_IPHONE_17_PRO	100	generated_alias_delta_v1_1
аппл 17 pro	APPLE	IPHONE	17	iPhone 17 Pro	APPLE_IPHONE_17_PRO	100	generated_alias_delta_v1_1
эппл 17 pro	APPLE	IPHONE	17	iPhone 17 Pro	APPLE_IPHONE_17_PRO	100	generated_alias_delta_v1_1
apple 17 pro	APPLE	IPHONE	17	iPhone 17 Pro	APPLE_IPHONE_17_PRO	100	generated_alias_delta_v1_1
айфон 17 pro	APPLE	IPHONE	17	iPhone 17 Pro	APPLE_IPHONE_17_PRO	100	generated_alias_delta_v1_1
iPhone 17 Pro	APPLE	IPHONE	17	iPhone 17 Pro	APPLE_IPHONE_17_PRO	100	generated_alias_delta_v1_1
аппл iphone 17 pro	APPLE	IPHONE	17	iPhone 17 Pro	APPLE_IPHONE_17_PRO	100	generated_alias_delta_v1_1
эппл iphone 17 pro	APPLE	IPHONE	17	iPhone 17 Pro	APPLE_IPHONE_17_PRO	100	generated_alias_delta_v1_1
apple iphone 17 pro	APPLE	IPHONE	17	iPhone 17 Pro	APPLE_IPHONE_17_PRO	100	generated_alias_delta_v1_1
17promax	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
айфон 17	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
iphone 17	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
17 pro max	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
iphone17promax	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
аппл 17 pro max	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
эппл 17 pro max	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
apple 17 pro max	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
iphone 17 promax	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
айфон 17 pro max	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
iPhone 17 Pro Max	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
аппл iphone 17 pro max	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
эппл iphone 17 pro max	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
apple iphone 17 pro max	APPLE	IPHONE	17	iPhone 17 Pro Max	APPLE_IPHONE_17_PRO_MAX	100	generated_alias_delta_v1_1
9pro	GOOGLE	PIXEL	9	Pixel 9 Pro	GOOGLE_PIXEL_9_PRO	100	generated_alias_delta_v1_1
9 pro	GOOGLE	PIXEL	9	Pixel 9 Pro	GOOGLE_PIXEL_9_PRO	100	generated_alias_delta_v1_1
pixel9pro	GOOGLE	PIXEL	9	Pixel 9 Pro	GOOGLE_PIXEL_9_PRO	100	generated_alias_delta_v1_1
гугл 9 pro	GOOGLE	PIXEL	9	Pixel 9 Pro	GOOGLE_PIXEL_9_PRO	100	generated_alias_delta_v1_1
Pixel 9 Pro	GOOGLE	PIXEL	9	Pixel 9 Pro	GOOGLE_PIXEL_9_PRO	100	generated_alias_delta_v1_1
google 9 pro	GOOGLE	PIXEL	9	Pixel 9 Pro	GOOGLE_PIXEL_9_PRO	100	generated_alias_delta_v1_1
пиксель 9 pro	GOOGLE	PIXEL	9	Pixel 9 Pro	GOOGLE_PIXEL_9_PRO	100	generated_alias_delta_v1_1
гугл pixel 9 pro	GOOGLE	PIXEL	9	Pixel 9 Pro	GOOGLE_PIXEL_9_PRO	100	generated_alias_delta_v1_1
google pixel 9 pro	GOOGLE	PIXEL	9	Pixel 9 Pro	GOOGLE_PIXEL_9_PRO	100	generated_alias_delta_v1_1
9proxl	GOOGLE	PIXEL	9	Pixel 9 Pro XL	GOOGLE_PIXEL_9_PRO_XL	100	generated_alias_delta_v1_1
9 pro xl	GOOGLE	PIXEL	9	Pixel 9 Pro XL	GOOGLE_PIXEL_9_PRO_XL	100	generated_alias_delta_v1_1
pixel9proxl	GOOGLE	PIXEL	9	Pixel 9 Pro XL	GOOGLE_PIXEL_9_PRO_XL	100	generated_alias_delta_v1_1
гугл 9 pro xl	GOOGLE	PIXEL	9	Pixel 9 Pro XL	GOOGLE_PIXEL_9_PRO_XL	100	generated_alias_delta_v1_1
Pixel 9 Pro XL	GOOGLE	PIXEL	9	Pixel 9 Pro XL	GOOGLE_PIXEL_9_PRO_XL	100	generated_alias_delta_v1_1
google 9 pro xl	GOOGLE	PIXEL	9	Pixel 9 Pro XL	GOOGLE_PIXEL_9_PRO_XL	100	generated_alias_delta_v1_1
пиксель 9 pro xl	GOOGLE	PIXEL	9	Pixel 9 Pro XL	GOOGLE_PIXEL_9_PRO_XL	100	generated_alias_delta_v1_1
гугл pixel 9 pro xl	GOOGLE	PIXEL	9	Pixel 9 Pro XL	GOOGLE_PIXEL_9_PRO_XL	100	generated_alias_delta_v1_1
google pixel 9 pro xl	GOOGLE	PIXEL	9	Pixel 9 Pro XL	GOOGLE_PIXEL_9_PRO_XL	100	generated_alias_delta_v1_1
10	GOOGLE	PIXEL	10	Pixel 10	GOOGLE_PIXEL_10	100	generated_alias_delta_v1_1
pixel10	GOOGLE	PIXEL	10	Pixel 10	GOOGLE_PIXEL_10	100	generated_alias_delta_v1_1
гугл 10	GOOGLE	PIXEL	10	Pixel 10	GOOGLE_PIXEL_10	100	generated_alias_delta_v1_1
Pixel 10	GOOGLE	PIXEL	10	Pixel 10	GOOGLE_PIXEL_10	100	generated_alias_delta_v1_1
google 10	GOOGLE	PIXEL	10	Pixel 10	GOOGLE_PIXEL_10	100	generated_alias_delta_v1_1
пиксель 10	GOOGLE	PIXEL	10	Pixel 10	GOOGLE_PIXEL_10	100	generated_alias_delta_v1_1
гугл pixel 10	GOOGLE	PIXEL	10	Pixel 10	GOOGLE_PIXEL_10	100	generated_alias_delta_v1_1
google pixel 10	GOOGLE	PIXEL	10	Pixel 10	GOOGLE_PIXEL_10	100	generated_alias_delta_v1_1
10pro	GOOGLE	PIXEL	10	Pixel 10 Pro	GOOGLE_PIXEL_10_PRO	100	generated_alias_delta_v1_1
10 pro	GOOGLE	PIXEL	10	Pixel 10 Pro	GOOGLE_PIXEL_10_PRO	100	generated_alias_delta_v1_1
pixel10pro	GOOGLE	PIXEL	10	Pixel 10 Pro	GOOGLE_PIXEL_10_PRO	100	generated_alias_delta_v1_1
гугл 10 pro	GOOGLE	PIXEL	10	Pixel 10 Pro	GOOGLE_PIXEL_10_PRO	100	generated_alias_delta_v1_1
Pixel 10 Pro	GOOGLE	PIXEL	10	Pixel 10 Pro	GOOGLE_PIXEL_10_PRO	100	generated_alias_delta_v1_1
google 10 pro	GOOGLE	PIXEL	10	Pixel 10 Pro	GOOGLE_PIXEL_10_PRO	100	generated_alias_delta_v1_1
пиксель 10 pro	GOOGLE	PIXEL	10	Pixel 10 Pro	GOOGLE_PIXEL_10_PRO	100	generated_alias_delta_v1_1
гугл pixel 10 pro	GOOGLE	PIXEL	10	Pixel 10 Pro	GOOGLE_PIXEL_10_PRO	100	generated_alias_delta_v1_1
google pixel 10 pro	GOOGLE	PIXEL	10	Pixel 10 Pro	GOOGLE_PIXEL_10_PRO	100	generated_alias_delta_v1_1
10proxl	GOOGLE	PIXEL	10	Pixel 10 Pro XL	GOOGLE_PIXEL_10_PRO_XL	100	generated_alias_delta_v1_1
10 pro xl	GOOGLE	PIXEL	10	Pixel 10 Pro XL	GOOGLE_PIXEL_10_PRO_XL	100	generated_alias_delta_v1_1
pixel10proxl	GOOGLE	PIXEL	10	Pixel 10 Pro XL	GOOGLE_PIXEL_10_PRO_XL	100	generated_alias_delta_v1_1
гугл 10 pro xl	GOOGLE	PIXEL	10	Pixel 10 Pro XL	GOOGLE_PIXEL_10_PRO_XL	100	generated_alias_delta_v1_1
Pixel 10 Pro XL	GOOGLE	PIXEL	10	Pixel 10 Pro XL	GOOGLE_PIXEL_10_PRO_XL	100	generated_alias_delta_v1_1
google 10 pro xl	GOOGLE	PIXEL	10	Pixel 10 Pro XL	GOOGLE_PIXEL_10_PRO_XL	100	generated_alias_delta_v1_1
пиксель 10 pro xl	GOOGLE	PIXEL	10	Pixel 10 Pro XL	GOOGLE_PIXEL_10_PRO_XL	100	generated_alias_delta_v1_1
гугл pixel 10 pro xl	GOOGLE	PIXEL	10	Pixel 10 Pro XL	GOOGLE_PIXEL_10_PRO_XL	100	generated_alias_delta_v1_1
google pixel 10 pro xl	GOOGLE	PIXEL	10	Pixel 10 Pro XL	GOOGLE_PIXEL_10_PRO_XL	100	generated_alias_delta_v1_1
note14pro5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro 5G	REDMI_REDMI_NOTE_14_PRO_5G	100	generated_alias_delta_v1_1
note 14 pro 5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro 5G	REDMI_REDMI_NOTE_14_PRO_5G	100	generated_alias_delta_v1_1
redminote14pro5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro 5G	REDMI_REDMI_NOTE_14_PRO_5G	100	generated_alias_delta_v1_1
redmi not 14 pro 5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro 5G	REDMI_REDMI_NOTE_14_PRO_5G	100	generated_alias_delta_v1_1
Redmi Note 14 Pro 5G	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro 5G	REDMI_REDMI_NOTE_14_PRO_5G	100	generated_alias_delta_v1_1
redmi ноут 14 pro 5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro 5G	REDMI_REDMI_NOTE_14_PRO_5G	100	generated_alias_delta_v1_1
редми note 14 pro 5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro 5G	REDMI_REDMI_NOTE_14_PRO_5G	100	generated_alias_delta_v1_1
redmi redmi note 14 pro 5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro 5G	REDMI_REDMI_NOTE_14_PRO_5G	100	generated_alias_delta_v1_1
редми redmi note 14 pro 5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro 5G	REDMI_REDMI_NOTE_14_PRO_5G	100	generated_alias_delta_v1_1
note14pro5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro+ 5G	REDMI_REDMI_NOTE_14_PRO_PLUS_5G	100	generated_alias_delta_v1_1
note 14 pro+ 5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro+ 5G	REDMI_REDMI_NOTE_14_PRO_PLUS_5G	100	generated_alias_delta_v1_1
redminote14pro5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro+ 5G	REDMI_REDMI_NOTE_14_PRO_PLUS_5G	100	generated_alias_delta_v1_1
redmi not 14 pro+ 5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro+ 5G	REDMI_REDMI_NOTE_14_PRO_PLUS_5G	100	generated_alias_delta_v1_1
Redmi Note 14 Pro+ 5G	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro+ 5G	REDMI_REDMI_NOTE_14_PRO_PLUS_5G	100	generated_alias_delta_v1_1
redmi ноут 14 pro+ 5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro+ 5G	REDMI_REDMI_NOTE_14_PRO_PLUS_5G	100	generated_alias_delta_v1_1
редми note 14 pro+ 5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro+ 5G	REDMI_REDMI_NOTE_14_PRO_PLUS_5G	100	generated_alias_delta_v1_1
redmi redmi note 14 pro+ 5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro+ 5G	REDMI_REDMI_NOTE_14_PRO_PLUS_5G	100	generated_alias_delta_v1_1
редми redmi note 14 pro+ 5g	REDMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro+ 5G	REDMI_REDMI_NOTE_14_PRO_PLUS_5G	100	generated_alias_delta_v1_1
a555g	SAMSUNG	GALAXY_A	A55	Galaxy A55 5G	SAMSUNG_GALAXY_A55_5G	100	generated_alias_delta_v1_1
a55 5g	SAMSUNG	GALAXY_A	A55	Galaxy A55 5G	SAMSUNG_GALAXY_A55_5G	100	generated_alias_delta_v1_1
galaxya555g	SAMSUNG	GALAXY_A	A55	Galaxy A55 5G	SAMSUNG_GALAXY_A55_5G	100	generated_alias_delta_v1_1
самс a55 5g	SAMSUNG	GALAXY_A	A55	Galaxy A55 5G	SAMSUNG_GALAXY_A55_5G	100	generated_alias_delta_v1_1
Galaxy A55 5G	SAMSUNG	GALAXY_A	A55	Galaxy A55 5G	SAMSUNG_GALAXY_A55_5G	100	generated_alias_delta_v1_1
samsung a55 5g	SAMSUNG	GALAXY_A	A55	Galaxy A55 5G	SAMSUNG_GALAXY_A55_5G	100	generated_alias_delta_v1_1
самсунг a55 5g	SAMSUNG	GALAXY_A	A55	Galaxy A55 5G	SAMSUNG_GALAXY_A55_5G	100	generated_alias_delta_v1_1
самс galaxy a55 5g	SAMSUNG	GALAXY_A	A55	Galaxy A55 5G	SAMSUNG_GALAXY_A55_5G	100	generated_alias_delta_v1_1
samsung galaxy a55 5g	SAMSUNG	GALAXY_A	A55	Galaxy A55 5G	SAMSUNG_GALAXY_A55_5G	100	generated_alias_delta_v1_1
самсунг galaxy a55 5g	SAMSUNG	GALAXY_A	A55	Galaxy A55 5G	SAMSUNG_GALAXY_A55_5G	100	generated_alias_delta_v1_1
самсунг галакси a55 5g	SAMSUNG	GALAXY_A	A55	Galaxy A55 5G	SAMSUNG_GALAXY_A55_5G	100	generated_alias_delta_v1_1
s24	SAMSUNG	GALAXY_S	S24	Galaxy S24	SAMSUNG_GALAXY_S24	100	generated_alias_delta_v1_1
самс s24	SAMSUNG	GALAXY_S	S24	Galaxy S24	SAMSUNG_GALAXY_S24	100	generated_alias_delta_v1_1
galaxys24	SAMSUNG	GALAXY_S	S24	Galaxy S24	SAMSUNG_GALAXY_S24	100	generated_alias_delta_v1_1
Galaxy S24	SAMSUNG	GALAXY_S	S24	Galaxy S24	SAMSUNG_GALAXY_S24	100	generated_alias_delta_v1_1
samsung s24	SAMSUNG	GALAXY_S	S24	Galaxy S24	SAMSUNG_GALAXY_S24	100	generated_alias_delta_v1_1
самсунг s24	SAMSUNG	GALAXY_S	S24	Galaxy S24	SAMSUNG_GALAXY_S24	100	generated_alias_delta_v1_1
самс galaxy s24	SAMSUNG	GALAXY_S	S24	Galaxy S24	SAMSUNG_GALAXY_S24	100	generated_alias_delta_v1_1
