alias	locale	target_type	target_code	weight	route_intent	status	notes
классические брюки мужские	ru-RU	apparel_type	TROUSERS	0.98	route_to_FASH.MEN	active	
чиносы мужские	ru-RU	apparel_type	CHINOS	0.98	route_to_FASH.MEN	active	
мужские чиносы	ru-RU	apparel_type	CHINOS	0.98	route_to_FASH.MEN	active	
брюки чинос мужские	ru-RU	apparel_type	CHINOS	0.98	route_to_FASH.MEN	active	
карго мужские	ru-RU	apparel_type	CARGO_PANTS	0.98	route_to_FASH.MEN	active	
мужские карго	ru-RU	apparel_type	CARGO_PANTS	0.98	route_to_FASH.MEN	active	
брюки карго мужские	ru-RU	apparel_type	CARGO_PANTS	0.98	route_to_FASH.MEN	active	
штаны карго мужские	ru-RU	apparel_type	CARGO_PANTS	0.98	route_to_FASH.MEN	active	
шорты мужские	ru-RU	apparel_type	SHORTS	0.98	route_to_FASH.MEN	active	
мужские шорты	ru-RU	apparel_type	SHORTS	0.98	route_to_FASH.MEN	active	
бермуды мужские	ru-RU	apparel_type	SHORTS	0.98	route_to_FASH.MEN	active	
куртка мужская	ru-RU	apparel_type	JACKET	0.98	route_to_FASH.MEN	active	
мужская куртка	ru-RU	apparel_type	JACKET	0.98	route_to_FASH.MEN	active	
куртка на мужчину	ru-RU	apparel_type	JACKET	0.98	route_to_FASH.MEN	active	
jacket men	ru-RU	apparel_type	JACKET	0.85	route_to_FASH.MEN	active	
пальто мужское	ru-RU	apparel_type	COAT	0.98	route_to_FASH.MEN	active	
мужское пальто	ru-RU	apparel_type	COAT	0.98	route_to_FASH.MEN	active	
пуховик мужской	ru-RU	apparel_type	DOWN_JACKET	0.98	route_to_FASH.MEN	active	
мужской пуховик	ru-RU	apparel_type	DOWN_JACKET	0.98	route_to_FASH.MEN	active	
зимний пуховик мужской	ru-RU	apparel_type	DOWN_JACKET	0.98	route_to_FASH.MEN	active	
парка мужская	ru-RU	apparel_type	PARKA	0.98	route_to_FASH.MEN	active	
мужская парка	ru-RU	apparel_type	PARKA	0.98	route_to_FASH.MEN	active	
бомбер мужской	ru-RU	apparel_type	BOMBER	0.98	route_to_FASH.MEN	active	
мужской бомбер	ru-RU	apparel_type	BOMBER	0.98	route_to_FASH.MEN	active	
джинсовая куртка мужская	ru-RU	apparel_type	DENIM_JACKET	0.98	route_to_FASH.MEN	active	
мужская джинсовка	ru-RU	apparel_type	DENIM_JACKET	0.98	route_to_FASH.MEN	active	
джинсовка мужская	ru-RU	apparel_type	DENIM_JACKET	0.98	route_to_FASH.MEN	active	
кожаная куртка мужская	ru-RU	apparel_type	LEATHER_JACKET	0.98	route_to_FASH.MEN	active	
мужская кожанка	ru-RU	apparel_type	LEATHER_JACKET	0.98	route_to_FASH.MEN	active	
косуха мужская	ru-RU	apparel_type	LEATHER_JACKET	0.98	route_to_FASH.MEN	active	
ветровка мужская	ru-RU	apparel_type	WINDBREAKER	0.98	route_to_FASH.MEN	active	
мужская ветровка	ru-RU	apparel_type	WINDBREAKER	0.98	route_to_FASH.MEN	active	
анорак мужской	ru-RU	apparel_type	WINDBREAKER	0.98	route_to_FASH.MEN	active	
плащ мужской	ru-RU	apparel_type	RAINCOAT	0.98	route_to_FASH.MEN	active	
мужской плащ	ru-RU	apparel_type	RAINCOAT	0.98	route_to_FASH.MEN	active	
дождевик мужской	ru-RU	apparel_type	RAINCOAT	0.98	route_to_FASH.MEN	active	
жилет мужской	ru-RU	apparel_type	VEST	0.98	route_to_FASH.MEN	active	
мужской жилет	ru-RU	apparel_type	VEST	0.98	route_to_FASH.MEN	active	
безрукавка мужская	ru-RU	apparel_type	VEST	0.98	route_to_FASH.MEN	active	
пиджак мужской	ru-RU	apparel_type	BLAZER	0.98	route_to_FASH.MEN	active	
мужской пиджак	ru-RU	apparel_type	BLAZER	0.98	route_to_FASH.MEN	active	
блейзер мужской	ru-RU	apparel_type	BLAZER	0.98	route_to_FASH.MEN	active	
костюм мужской	ru-RU	apparel_type	SUIT	0.98	route_to_FASH.MEN	active	
мужской костюм	ru-RU	apparel_type	SUIT	0.98	route_to_FASH.MEN	active	
деловой костюм мужской	ru-RU	apparel_type	SUIT	0.98	route_to_FASH.MEN	active	
костюм двойка мужской	ru-RU	apparel_type	SUIT	0.98	route_to_FASH.MEN	active	
спортивный костюм мужской	ru-RU	apparel_type	TRACKSUIT	0.98	route_to_FASH.MEN	active	
мужской спортивный костюм	ru-RU	apparel_type	TRACKSUIT	0.98	route_to_FASH.MEN	active	
трексьют мужской	ru-RU	apparel_type	TRACKSUIT	0.98	route_to_FASH.MEN	active	
трусы мужские	ru-RU	apparel_type	UNDERWEAR	0.98	route_to_FASH.MEN	active	
мужское белье	ru-RU	apparel_type	UNDERWEAR	0.98	route_to_FASH.MEN	active	
мужское нижнее белье	ru-RU	apparel_type	UNDERWEAR	0.98	route_to_FASH.MEN	active	
боксеры мужские	ru-RU	apparel_type	UNDERWEAR	0.98	route_to_FASH.MEN	active	
носки мужские	ru-RU	apparel_type	SOCKS	0.98	route_to_FASH.MEN	active	
мужские носки	ru-RU	apparel_type	SOCKS	0.98	route_to_FASH.MEN	active	
термобелье мужское	ru-RU	apparel_type	THERMAL_UNDERWEAR	0.98	route_to_FASH.MEN	active	
мужское термобелье	ru-RU	apparel_type	THERMAL_UNDERWEAR	0.98	route_to_FASH.MEN	active	
пижама мужская	ru-RU	apparel_type	PAJAMAS	0.98	route_to_FASH.MEN	active	
мужская пижама	ru-RU	apparel_type	PAJAMAS	0.98	route_to_FASH.MEN	active	
халат мужской	ru-RU	apparel_type	ROBE	0.98	route_to_FASH.MEN	active	
мужской халат	ru-RU	apparel_type	ROBE	0.98	route_to_FASH.MEN	active	
плавки мужские	ru-RU	apparel_type	SWIMWEAR	0.98	route_to_FASH.MEN	active	
купальные шорты мужские	ru-RU	apparel_type	SWIMWEAR	0.98	route_to_FASH.MEN	active	
мужские плавки	ru-RU	apparel_type	SWIMWEAR	0.98	route_to_FASH.MEN	active	
спортивная футболка мужская	ru-RU	apparel_type	ACTIVE_TOP	0.98	route_to_FASH.MEN	active	
мужская тренировочная футболка	ru-RU	apparel_type	ACTIVE_TOP	0.98	route_to_FASH.MEN	active	
лонгслив для бега мужской	ru-RU	apparel_type	ACTIVE_TOP	0.98	route_to_FASH.MEN	active	
спортивные штаны мужские	ru-RU	apparel_type	ACTIVE_BOTTOM	0.98	route_to_FASH.MEN	active	
мужские тайтсы	ru-RU	apparel_type	ACTIVE_BOTTOM	0.98	route_to_FASH.MEN	active	
мужские спортивные брюки	ru-RU	apparel_type	ACTIVE_BOTTOM	0.98	route_to_FASH.MEN	active	
форма мужская	ru-RU	apparel_type	UNIFORM	0.98	route_to_FASH.MEN	active	
мужская униформа	ru-RU	apparel_type	UNIFORM	0.98	route_to_FASH.MEN	active	
рабочая одежда мужская	ru-RU	apparel_type	UNIFORM	0.98	route_to_FASH.MEN	active	
мужская одежда	ru-RU	category	FASH.MEN	1.00	route_to_FASH.MEN	active	
мужская одежда бу	ru-RU	category	FASH.MEN	1.00	route_to_FASH.MEN	active	
одежда мужская	ru-RU	category	FASH.MEN	1.00	route_to_FASH.MEN	active	
одежда для мужчин	ru-RU	category	FASH.MEN	1.00	route_to_FASH.MEN	active	
одежда на мужчину	ru-RU	category	FASH.MEN	1.00	route_to_FASH.MEN	active	
мужские вещи	ru-RU	category	FASH.MEN	1.00	route_to_FASH.MEN	active	
мужской гардероб	ru-RU	category	FASH.MEN	1.00	route_to_FASH.MEN	active	
men clothes	ru-RU	category	FASH.MEN	1.00	route_to_FASH.MEN	active	
menswear	ru-RU	category	FASH.MEN	1.00	route_to_FASH.MEN	active	
мужской лук	ru-RU	category	FASH.MEN	1.00	route_to_FASH.MEN	active	
мужская мода	ru-RU	category	FASH.MEN	1.00	route_to_FASH.MEN	active	
размер s мужской	ru-RU	dictionary_value	size_label:S	0.75	normalize_with_FASH.MEN_context	active	
мужской s	ru-RU	dictionary_value	size_label:S	0.75	normalize_with_FASH.MEN_context	active	
размер m мужской	ru-RU	dictionary_value	size_label:M	0.75	normalize_with_FASH.MEN_context	active	
мужской m	ru-RU	dictionary_value	size_label:M	0.75	normalize_with_FASH.MEN_context	active	
размер l мужской	ru-RU	dictionary_value	size_label:L	0.75	normalize_with_FASH.MEN_context	active	
мужской l	ru-RU	dictionary_value	size_label:L	0.75	normalize_with_FASH.MEN_context	active	
размер xl мужской	ru-RU	dictionary_value	size_label:XL	0.75	normalize_with_FASH.MEN_context	active	
мужской xl	ru-RU	dictionary_value	size_label:XL	0.75	normalize_with_FASH.MEN_context	active	
размер xxl мужской	ru-RU	dictionary_value	size_label:XXL	0.75	normalize_with_FASH.MEN_context	active	
2xl мужской	ru-RU	dictionary_value	size_label:XXL	0.75	normalize_with_FASH.MEN_context	active	
размер 3xl мужской	ru-RU	dictionary_value	size_label:3XL	0.75	normalize_with_FASH.MEN_context	active	
3 икс эль мужской	ru-RU	dictionary_value	size_label:3XL	0.75	normalize_with_FASH.MEN_context	active	
размер 48 мужской	ru-RU	dictionary_value	size_label:RU_48	0.75	normalize_with_FASH.MEN_context	active	
мужской 48 размер	ru-RU	dictionary_value	size_label:RU_48	0.75	normalize_with_FASH.MEN_context	active	
размер 50 мужской	ru-RU	dictionary_value	size_label:RU_50	0.75	normalize_with_FASH.MEN_context	active	
мужской 50 размер	ru-RU	dictionary_value	size_label:RU_50	0.75	normalize_with_FASH.MEN_context	active	
размер 52 мужской	ru-RU	dictionary_value	size_label:RU_52	0.75	normalize_with_FASH.MEN_context	active	
мужской 52 размер	ru-RU	dictionary_value	size_label:RU_52	0.75	normalize_with_FASH.MEN_context	active	
джинсы w32 мужские	ru-RU	dictionary_value	size_label:W32	0.75	normalize_with_FASH.MEN_context	active	
w32 мужской	ru-RU	dictionary_value	size_label:W32	0.75	normalize_with_FASH.MEN_context	active	
джинсы w34 мужские	ru-RU	dictionary_value	size_label:W34	0.75	normalize_with_FASH.MEN_context	active	
w34 мужской	ru-RU	dictionary_value	size_label:W34	0.75	normalize_with_FASH.MEN_context	active	
мужские кроссовки	ru-RU	negative_route_guard	FASH.SHOES	1.00	do_not_route_to_FASH.MEN	active	Cross-category guard
мужская обувь	ru-RU	negative_route_guard	FASH.SHOES	1.00	do_not_route_to_FASH.MEN	active	Cross-category guard
мужские ботинки	ru-RU	negative_route_guard	FASH.SHOES	1.00	do_not_route_to_FASH.MEN	active	Cross-category guard
мужская сумка	ru-RU	negative_route_guard	FASH.BAGS	1.00	do_not_route_to_FASH.MEN	active	Cross-category guard
мужской рюкзак	ru-RU	negative_route_guard	FASH.BAGS	1.00	do_not_route_to_FASH.MEN	active	Cross-category guard
мужской ремень	ru-RU	negative_route_guard	FASH.ACCESSORIES	1.00	do_not_route_to_FASH.MEN	active	Cross-category guard
мужские часы	ru-RU	negative_route_guard	FASH.ACCESSORIES	1.00	do_not_route_to_FASH.MEN	active	Cross-category guard
мужской браслет	ru-RU	negative_route_guard	FASH.ACCESSORIES	1.00	do_not_route_to_FASH.MEN	active	Cross-category guard
мужской парфюм	ru-RU	negative_route_guard	BEAUTY.FRAGRANCE	1.00	do_not_route_to_FASH.MEN	active	Cross-category guard
мужской шампунь	ru-RU	negative_route_guard	BEAUTY.HAIRCARE	1.00	do_not_route_to_FASH.MEN	active	Cross-category guard
мужская косметика	ru-RU	negative_route_guard	BEAUTY	1.00	do_not_route_to_FASH.MEN	active	Cross-category guard
мужской кошелек	ru-RU	negative_route_guard	FASH.ACCESSORIES	1.00	do_not_route_to_FASH.MEN	active	Cross-category guard
мужская кепка	ru-RU	negative_route_guard	FASH.ACCESSORIES	1.00	do_not_route_to_FASH.MEN	active	Cross-category guard
